Kood;Nimetus eesti keeles;Kehtiv alates
JWA00;Haava dehistsentsi korrektsioon gastroenteroloogilises kirurgias;1.1.2003
JWB00;Kordusoperatsioon pindmise infektsiooni korral gastroenteroloogilises kirurgias;1.1.2003
JWC00;Kordusoperatsioon süvainfektsiooni korral gastroenteroloogilises kirurgias;1.1.2003
JWC01;Perkutaanne endoskoopiline kordusoperatsioon süvainfektsioonide korral gastroenteroloogilises kirurgias;1.1.2003
JWD00;Kordusoperatsioon pindmise verejooksu korral gastroenteroloogilises kirurgias;1.1.2003
JWE00;Kordusoperatsioon sisemise verejooksu korral gastroenteroloogilises kirurgias;1.1.2003
JWE01;Perkutaanne endoskoopiline kordusoperatsioon sisemise verejooksu korral gastroenteroloogilises kirurgias;1.1.2003
JWE02;Transluminaalne endoskoopiline kordusoperatsioon sisemise verejooksu korral gastroenteroloogilises kirurgias;1.1.2003
JWF00;Kordusoperatsioon anastomoosi või õmbluse dehistsentsi korral gastroenteroloogilises kirurgias;1.1.2003
JWF01;Perkutaanne endoskoopiline kordusoperatsioon anastomoosi või õmbluse dehistsentsi korral gastroenteroloogilises kirurgias;1.1.2003
JWW96;Muu kordusoperatsioon gastroenteroloogilises kirurgias;1.1.2003
JWW97;Muu perkutaanne endoskoopiline kordusoperatsioon gastroenteroloogilises kirurgias;1.1.2003
JWW98;Muu transluminaalne endoskoopiline kordusoperatsioon gastroenteroloogilises kirurgias;1.1.2003
JXA00;JA alapeatükis defineerimata algpaikmega laialdase kõhuseinakasvaja lesioonisisene ektsisoon;1.1.2012
JXA03;JA alapeatükis defineerimata algpaikmega laialdase kõhuseinakasvaja väheulatuslik ektsisioon;1.1.2012
JXA06;JA alapeatükis defineerimata algpaikmega laialdase kõhuseinakasvaja laialdane ektsisioon;1.1.2012
JXA10;Teistes J alapeatükkides defineerimata algpaikmega laialdase kõhukoopasisese tuumori lesioonisisene ektsisoon;1.1.2012
JXA13;Teistes J alapeatükkides defineerimata algpaikmega laialdase kõhukoopasisese tuumori väheulatuslik ektsisioon;1.1.2012
JXA16;Teistes J alapeatükkides defineerimata algpaikmega laialdase kõhukoopasisese tuumori laialdane ektsisioon;1.1.2012
KAA00;Neeru eksploratsioon;1.1.2003
KAA01;Perkutaanne endoskoopiline neeru eksploratsioon;1.1.2003
KAA20;Eksploratiivne nefrotoomia;1.1.2003
KAA21;Perkutaanne endoskoopiline eksploratiivne nefrotoomia;1.1.2003
KAA30;Eksploratiivne püelotoomia;1.1.2003
KAA31;Perkutaanne nefroskoopia;1.1.2003
KAA96;Neeru ja neeruvaagna muu eksploratsioon;1.1.2003
KAA97;Neeru ja neeruvaagna muu perkutaanne endoskoopia;1.1.2003
KAB00;Neeru ja neeruvaagna biopsia;1.1.2003
KAB01;Perkutaanne endoskoopiline neeru ja neeruvaagna biopsia;1.1.2003
KAC00;Nefrektoomia;1.1.2003
KAC01;Perkutaanne endoskoopiline nefrektoomia;1.1.2003
KAC20;Nefroureterektoomia;1.1.2003
KAC21;Perkutaanne endoskoopiline nefroureterektoomia;1.1.2003
KAD00;Osaline nefrektoomia;1.1.2003
KAD01;Perkutaanne endoskoopiline osaline nefrektoomia;1.1.2003
KAD10;Heminefrektoomia;1.1.2003
KAD11;Perkutaanne endoskoopiline heminefrektoomia;1.1.2003
KAD40;Neeruvaagna osaline ekstsisioon;1.1.2003
KAD41;Perkutaanne endoskoopiline osaline neeruvaagna ekstsisioon;1.1.2003
KAD50;Neeruvaagna tuumori destruktsioon;1.1.2003
KAD51;Perkutaanne endoskoopiline neeruvaagna tuumori destruktsioon;1.1.2003
KAD52;Retrograadne ureteronefroskoopiline neeruvaagna tuumori destruktsioon;1.1.2003
KAD56;Renaalse parenhüümi kahjustuskolde destruktsioon;1.1.2010
KAD60;Renaalse parenhüümi kahjustuskolde perkutaanne destruktsioon;1.1.2010
KAD96;Neeru või neeruvaagna muu osaline ekstsisioon;1.1.2003
KAD97;Muu perkutaanne endoskoopiline neeru või neeruvaagna tuumori osaline ekstsisioon või destruktsioon;1.1.2003
KAD98;Muu transluminaalne endoskoopiline neeruvaagna osaline ekstsisioon;1.1.2003
KAE00;Nefrolitotoomia;1.1.2003
KAE01;Nefroskoopiline nefrolitotoomia;1.1.2003
KAE10;Püelolitotoomia;1.1.2003
KAE11;Nefroskoopiline püelolitotoomia;1.1.2003
KAE12;Retrograadne ureteronefroskoopiline litotripsia neeruvaagnas;1.1.2003
KAE96;Kivide muu eemaldamine neerust ja neeruvaagnast;1.1.2003
KAE97;Muu perkutaanne endoskoopiline kivide eemaldamine neerust ja neeruvaagnast;1.1.2003
KAE98;Muu transluminaalne endoskoopiline kivide eemaldamine neerust ja neeruvaagnast;1.1.2003
KAF00;Võõrkeha eemaldamine neerust;1.1.2003
KAF01;Perkutaanne endoskoopiline võõrkeha eemaldamine neerust;1.1.2003
KAF10;Võõrkeha eemaldamine neeruvaagnast;1.1.2003
KAF11;Perkutaanne endoskoopiline võõrkeha eemaldamine neeruvaagnast;1.1.2003
KAF12;Transluminaalne endoskoopiline võõrkeha eemaldamine neeruvaagnast;1.1.2003
KAH00;Neeru suturatsioon;1.1.2003
KAH01;Perkutaanne endoskoopiline neeru suturatsioon;1.1.2003
KAH10;Neeruvaagna suturatsioon;1.1.2003
KAH11;Perkutaanne endoskoopiline neeruvaagna suturatsioon;1.1.2003
KAH12;Retrograadne ureteronefroskoopiline neeruvaagna suturatsioon;1.1.2003
KAH30;Püeloureteroplastika ilma püeloureteraalsegmendi resektsioonita;1.1.2003
KAH31;Perkutaanne endoskoopiline püeloureteroplastika ilma püeloureteraalsegmendi resektsioonita;1.1.2003
KAH40;Püeloureteroplastika püeloureteraalsegmendi resektsiooniga;1.1.2003
KAH41;Perkutaanne endoskoopiline püeloureteroplastika püeloureteraalsegmendi resektsiooniga;1.1.2003
KAH50;Ureeteri ja neerukarika vaheline anastomoos;1.1.2003
KAH51;Perkutaanne endoskoopiline ureeteri ja neerukarika vaheline anastomoos;1.1.2003
KAH54;Perkutaanne endoskoopiline neerukarika kaela intsisioon või dilatatsioon;1.1.2003
KAH55;Retrograadne ureteronefroskoopiline neerukarika kaela intsisioon või dilatatsioon;1.1.2003
KAH61;Perkutaanne endoskoopiline püeloureteraalsegmendi resektsioon;1.1.2003
KAH62;Endopüelotoomia;1.1.2003
KAH70;Püeloureteraalsegmendi liidetest vabastamine;1.1.2003
KAH71;Perkutaanne endoskoopiline püeloureteraalsegmendi liidetest vabastamine;1.1.2003
KAH80;Nefropeksia;1.1.2003
KAH81;Perkutaanne endoskoopiline nefropeksia;1.1.2003
KAH96;Neeru või neeruvaagna muu rekonstruktsioon;1.1.2003
KAH97;Muu perkutaanne endoskoopiline neeru või neeruvaagna rekonstruktsioon;1.1.2003
KAH98;Muu transluminaalne endoskoopiline neeru või neeruvaagna rekonstruktsioon;1.1.2003
KAJ00;Nefrostoomia;1.1.2003
KAJ01;Perkutaanne endoskoopiline nefrostoomia;1.1.2003
KAJ02;Retrograadne ureteronefroskoopiline nefrostoomia;1.1.2003
KAJ10;Püelostoomia;1.1.2003
KAJ11;Perkutaanne endoskoopiline püelostoomia;1.1.2003
KAJ96;Neeruvaagna muu väline dreenimine;1.1.2003
KAJ97;Muu perkutaanne endoskoopiline neeruvaagna väline dreenimine;1.1.2003
KAJ98;Muu transluminaalne endoskoopiline neeruvaagna väline dreenimine;1.1.2003
KAS00;Neeru autotransplantatsioon;1.1.2003
KAS10;Kadaveerse doonorneeru transplantatsioon;1.1.2003
KAS20;Elusdoonori neeru transplantatsioon;1.1.2003
KAS40;Transplanteeritud neeru eemaldamine;1.1.2003
KAS41;Perkutaanne endoskoopiline transplanteeritud neeru eemaldamine;1.1.2003
KAS50;Nefrotsüstostoomia transplanteeritud neerul;1.1.2003
KAS60;Transplanteeritud neeru lümfotseele fenestratsioon;1.1.2003
KAS61;Perkutaanne endoskoopiline lümfotseele fenestratsioon;1.1.2003
KAS96;Neeru muu transplantatsioon või sellega seotud protseduur;1.1.2003
KAS97;Muu perkutaanne endoskoopiline protseduur transplanteeritud neerud;1.1.2003
KAT00;Kehaväline neeruvaagna kivi purustus lööklainega;1.1.2003
KAW96;Muu operatsioon neerul või neeruvaagnal;1.1.2003
KAW97;Muu perkutaanne endoskoopiline operatsioon neerul või neeruvaagnal;1.1.2003
KAW98;Muu transluminaalne endoskoopiline operatsioon neerul või neeruvaagnal;1.1.2003
KBA00;Ureeteri eksploratsioon;1.1.2003
KBA01;Perkutaanne nefroureteroskoopia;1.1.2003
KBA10;Eksploratiivne ureterotoomia;1.1.2003
KBA11;Perkutaanne endoskoopiline eksploratiivne ureterotoomia;1.1.2003
KBA96;Ureeteri muu eksploratsioon;1.1.2003
KBA97;Muu perkutaanne endoskoopiline ureeteri intsisioon;1.1.2003
KBB00;Ureeteri biopsia;1.1.2003
KBB01;Perkutaanne endoskoopiline ureeteri biopsia;1.1.2003
KBC00;Ureterektoomia;1.1.2003
KBC01;Perkutaanne endoskoopiline ureterektoomia;1.1.2003
KBD00;Osaline ureeteri eemaldamine;1.1.2003
KBD01;Perkutaanne endoskoopiline ureeteri osaline eemaldamine;1.1.2003
KBD20;Ureeteri tuumori destruktsioon;1.1.2003
KBD21;Perkutaanne endoskoopiline ureeteri tuumori destruktsioon;1.1.2003
KBD22;Retrograadne ureteroskoopiline ureeteri tuumori destruktsioon;1.1.2003
KBD30;Ureeteri köndi ekstsisioon;1.1.2003
KBD31;Perkutaanne endoskoopiline ureeteri köndi ekstsisioon;1.1.2003
KBD96;Muu osaline ureeteri eemaldamine või ureeteri tuumori destruktsioon;1.1.2003
KBD97;Muu perkutaanne endoskoopiline ureeteri osaline eemaldamine või ureeteri tuumori destruktsioon;1.1.2003
KBE00;Ureterolitotoomia;1.1.2003
KBE01;Perkutaanne endoskoopiline ureterolitotoomia;1.1.2003
KBE12;Transluminaalne endoskoopiline ureeteri kivi eemaldamine;1.1.2003
KBE22;Ureeterisse pitsunud konkremendi transluminaalne endoskoopiline eemaldamine;1.1.2003
KBE96;Muu operatsioon ureeteri kivi korral;1.1.2003
KBE97;Muu perkutaanne endoskoopiline operatsioon ureeteri kivi korral;1.1.2003
KBE98;Muu transluminaalne endoskoopiline operatsioon ureeteri kivi korral;1.1.2003
KBF00;Võõrkeha eemaldamine ureeterist;1.1.2003
KBF01;Perkutaanne endoskoopiline võõrkeha eemaldamine ureeterist;1.1.2003
KBF02;Transluminaalne endoskoopiline võõrkeha eemaldamine ureeterist;1.1.2003
KBH00;Ureeteri suturatsioon;1.1.2003
KBH01;Perkutaanne endoskoopiline ureeteri suturatsioon;1.1.2003
KBH06;Ureteroureterostoomia;1.1.2003
KBH10;Ureeteri ühendamine kontralateraalse ureeteriga;1.1.2003
KBH20;Ureeteri replantatsioon;1.1.2003
KBH21;Perkutaanne endoskoopiline ureeteri replantatsioon;1.1.2003
KBH30;Ureeteri asendamine peensoolega;1.1.2003
KBH40;Ureeteri plastiline korrektsioon;1.1.2003
KBH45;Endoureterotoomia;1.1.2003
KBH50;Ureterolüüs;1.1.2003
KBH51;Perkutaanne endoskoopiline ureterolüüs;1.1.2003
KBH62;Transluminaalne endoskoopiline ureeteri dilatatsioon;1.1.2003
KBH96;Ureeteri muu korrektsioon või ühendus;1.1.2003
KBH97;Muu perkutaanne endoskoopiline ureeteri korrektsioon või ühendus;1.1.2003
KBH98;Muu transluminaalne endoskoopiline ureeteri korrektsioon;1.1.2003
KBJ00;Ureterokutaneostoomia;1.1.2003
KBJ01;Perkutaanne endoskoopiline ureterokutaneostoomia;1.1.2003
KBJ10;Ureteroenterokutaneostoomia;1.1.2003
KBJ20;Ureteroenterokutaneostoomia reservuaariga;1.1.2003
KBJ40;Ureteroenterostoomia;1.1.2003
KBJ60;Anastomoos ureeterist ureetrani peensoole interpositsiooniga;1.1.2003
KBJ70;Kivide eemaldamine peensoolejuhast või reservuaarist;1.1.2003
KBJ72;Transluminaalne endoskoopiline kivide eemaldamine peensoolejuhast või reservuaarist;1.1.2003
KBJ80;Operatsioon uriini väljapääsutee funktsiooni häire korral;1.1.2003
KBJ96;Uriini muu väljapääsutee ureeterist või sellega seotud operatsioon;1.1.2003
KBJ97;Muu perkutaanne endoskoopiline uriini väljapääsutee ureeterist või sellega seotud operatsioon;1.1.2003
KBJ98;Muu transluminaalne endoskoopiline protseduur, mis on seotud uriini väljapääsuteega ureeterist;1.1.2003
KBT00;Kehaväline ureeterikivi purustus lööklainega;1.1.2003
KBV00;Ureeteri stentimine;1.1.2003
KBV01;Nefroskoopiline ureeteri stentimine;1.1.2003
KBV02;Tsüstoskoopiline ureeteri stentimine;1.1.2003
KBV05;Ureeteri stendi tsüstoskoopilise ümberasetamine;1.1.2010
KBV10;Stendi eemaldamine ureeterist;1.1.2003
KBV11;Nefroskoopiline stendi eemaldamine ureeterist;1.1.2003
KBV12;Transluminaalne endoskoopiline stendi eemaldamine ureeterist;1.1.2003
KBV15;Tsüstoskoopiline ureeteri stendi vahetus;1.1.2012
KBV22;Tsüstoskoopiline ureeteri sisesuudme dilateerimine;1.1.2003
KBV32;Tsüstoskoopiline ureeteri sisesuudme intsisioon;1.1.2003
KBV40;Ureterotseele intsisioon või ekstsisioon;1.1.2003
KBV42;Tsüstoskoopiline ureterotseele intsisioon või ekstsisioon;1.1.2003
KBV52;Tsüstoskoopiline süsteravi vesikoureteraalse refluksi korral;1.1.2003
KBW96;Muu operatsioon ureeteril;1.1.2003
KBW97;Muu perkutaanne endoskoopiline protseduur ureeteril;1.1.2003
KBW98;Muu transluminaalne endoskoopiline protseduur ureeteril;1.1.2003
KCA00;Eksploratiivne tsüstotoomia;1.1.2003
KCA01;Perkutaanne endoskoopiline eksploratiivne tsüstotoomia;1.1.2003
KCB00;Kusepõie biopsia;1.1.2003
KCB01;Perkutaanne endoskoopiline kusepõie biopsia;1.1.2003
KCC00;Tsüstektoomia;1.1.2003
KCC10;Tsüstoprostatektoomia;1.1.2003
KCC20;Tsüstoprostatouretrektoomia;1.1.2003
KCC30;Tsüstektoomia koos sisesuguorganite eemaldamisega naistel;1.1.2003
KCC96;Muu tsüstektoomia;1.1.2003
KCD02;Transuretraalne kusepõie resektsioon;1.1.2003
KCD10;Osaline tsüstektoomia;1.1.2003
KCD11;Perkutaanne endoskoopiline osaline tsüstektoomia;1.1.2003
KCD20;Kusepõie divertiikuli eemaldamine;1.1.2003
KCD21;Kusepõie divertiikuli perkutaanne endoskoopiline eemaldamine;1.1.2003
KCD30;Kusepõie tuumori destruktsioon;1.1.2003
KCD32;Kusepõie tuumori tsüstoskoopiline destruktsioon;1.1.2003
KCD40;Urachus’e  eemaldamine;1.1.2003
KCD96;Kusepõie tuumori muu osaline eemaldamine või destruktsioon;1.1.2003
KCD97;Muu perkutaanne endoskoopiline kusepõie tuumori osaline eemaldamine või destruktsioon;1.1.2003
KCD98;Muu tsüstoskoopiline kusepõie tuumori osaline eemaldamine või destruktsioon;1.1.2003
KCE00;Tsüstolitotoomia;1.1.2003
KCE01;Perkutaanne endoskoopiline kivide eemaldamine kusepõiest;1.1.2003
KCE02;Transluminaalne endoskoopiline kivide eemaldamine kusepõiest;1.1.2003
KCF00;Tsüstotoomia ja võõrkeha eemaldamine kusepõiest;1.1.2003
KCF01;Perkutaanne endoskoopiline võõrkeha eemaldamine kusepõiest;1.1.2003
KCF02;Transluminaalne endoskoopiline võõrkeha eemaldamine kusepõiest;1.1.2003
KCH00;Kusepõie suturatsioon;1.1.2003
KCH01;Perkutaanne endoskoopiline kusepõie suturatsioon;1.1.2003
KCH02;Tsüstoskoopiline kusepõie suturatsioon;1.1.2003
KCH10;Enterotsüstoplastika;1.1.2003
KCH11;Perkutaanne endoskoopiline enterotsüstoplastika;1.1.2003
KCH20;Kusepõit vähendav plastika;1.1.2003
KCH21;Perkutaanne endoskoopiline kusepõit vähendav plastika;1.1.2003
KCH30;Kusepõie ja soole vahelise fistuli sulgemine;1.1.2003
KCH40;Kusepõiekaela intsisioon või resektsioon;1.1.2003
KCH42;Kusepõiekaela transuretraalne intsisioon või resektsioon;1.1.2003
KCH96;Muu rekonstruktiivne operatsioon kusepõiel;1.1.2003
KCH97;Muu perkutaanne endoskoopiline rekonstruktiivne operatsioon kusepõiel;1.1.2003
KCH98;Muu transluminaalne endoskoopiline rekonstruktiivne operatsioon kusepõiel;1.1.2003
KCJ00;Tsüstostoomia;1.1.2003
KCJ10;Tsüstoenterokutaneostoomia;1.1.2003
KCJ20;Kontinentne tsüstoenterokutaneostoomia;1.1.2003
KCJ96;Muu tsüstostoomia;1.1.2003
KCT00;Kehaväline kusepõiekivi purustus lööklainega;1.1.2003
KCV02;Kusepõie tsüstoskoopiline balloon-venitus;1.1.2003
KCV10;Kusepõie denervatsioon;1.1.2003
KCV11;Perkutaanne endoskoopiline kusepõie denervatsioon;1.1.2003
KCV20;Kusepõie vabastamine;1.1.2003
KCV21;Perkutaanne endoskoopiline kusepõie vabastamine;1.1.2003
KCV22;Verehüüvete transluminaalne endoskoopiline eemaldamine kusepõiest;1.1.2003
KCW96;Muu operatsioon kusepõiel;1.1.2003
KCW97;Muu perkutaanne endoskoopiline operatsioon kusepõiel;1.1.2003
KCW98;Muu transluminaalne endoskoopiline protseduur kusepõiel;1.1.2003
KDC00;Uretrektoomia;1.1.2003
KDD00;Ureetra osaline eemaldamine;1.1.2003
KDD10;Ureetra divertiikuli eemaldamine;1.1.2003
KDD30;Ureetra tuumori destruktsioon;1.1.2003
KDD32;Ureetra tuumori uretroskoopiline destruktsioon;1.1.2003
KDD40;Ureetra välise sfinkteri resektsioon;1.1.2003
KDD42;Ureetra välise sfinkteri uretroskoopiline resektsioon;1.1.2003
KDD50;Uretraalklapi eemaldamine;1.1.2003
KDD52;Uretraalklapi uretroskoopiline eemaldamine;1.1.2003
KDD80;Ureetra osaline eemaldamine ja korrektsioon transplantaadi või lapi abil;1.1.2003
KDD96;Muu osaline ureetra eemaldamine;1.1.2003
KDD98;Muu transluminaalne endoskoopiline osaline ureetra eemaldamine;1.1.2003
KDE00;Uretrolitotoomia;1.1.2003
KDE12;Ureetra kivide uretroskoopiline eemaldamine;1.1.2003
KDE20;Võõrkeha eemaldamine ureetrast;1.1.2003
KDE22;Võõrkeha uretroskoopiline eemaldamine ureetrast;1.1.2003
KDE96;Kivide või võõrkeha muu eemaldamine ureetrast;1.1.2003
KDE98;Kivide või võõrkeha muu transluminaalne endoskoopiline eemaldamine ureetrast;1.1.2003
KDG00;Ureetra retropuubiline fikseerimine;1.1.2003
KDG01;Ureetra perkutaanne endoskoopiline retropuubiline fikseerimine;1.1.2003
KDG10;Kusepõiekaela abdominovaginaalne fikseerimine;1.1.2003
KDG20;Abdominaalne tupe fikseerimine;1.1.2003
KDG21;Perkutaanne endoskoopiline tupe fikseerimine;1.1.2003
KDG30;Suprapuubiline uretrotsüstopeksia linguga;1.1.2003
KDG31;Perkutaanne endoskoopiline suprapuubiline uretrotsüstopeksia linguga;1.1.2003
KDG40;Suprapuubiline uretrotsüstopeksia;1.1.2003
KDG41;Perkutaanne endoskoopiline suprapuubiline uretrotsüstopeksia;1.1.2003
KDG43;Transobturatoorne ling ureetrotsüstopeksia;1.1.2012
KDG50;Vaagnapõhja transabdominaalne plastika uriinipidamatuse korral;1.1.2003
KDG96;Muu operatsioon ureetral ja kusepõiekaelal uriinipidamatuse korral naistel;1.1.2003
KDG97;Muu perkutaanne endoskoopiline operatsioon ureetral ja kusepõiekaelal uriinipidamatuse korral naistel;1.1.2003
KDH00;Ureetra suturatsioon;1.1.2003
KDH10;Ureetra meatoplastika;1.1.2003
KDH30;Uretrokutaanse fistuli sulgemine;1.1.2003
KDH50;Uretrointestinaalse fistuli sulgemine;1.1.2003
KDH62;Ureetra uretroskoopiline rekanalisatsioon;1.1.2003
KDH70;Ureetra striktuuri plastiline korrektsioon;1.1.2003
KDH96;Muu rekonstruktiivne operatsioon ureetral;1.1.2003
KDH98;Muu transluminaalne endoskoopiline rekonstruktiivne operatsioon ureetral;1.1.2003
KDJ00;Uretrostoomia;1.1.2003
KDK00;Ureetra sfinkteri proteesi paigaldamine kusepõiekaela ümber;1.1.2003
KDK10;Ureetra sfinkteri proteesi paigaldamine bulbaarse ureetra ümber;1.1.2003
KDK30;Ureetra sfinkteri proteesi korrektsioon;1.1.2003
KDK40;Ureetra sfinkteri proteesi eemaldamine;1.1.2003
KDV00;Ureetra stentimine;1.1.2003
KDV10;Sisemine uretrotoomia;1.1.2003
KDV12;Uretroskoopiline sisemine uretrotoomia;1.1.2003
KDV15;Uretroskoopiline sisemine sfinkterektoomia;1.1.2003
KDV20;Ureetra submukoosne injektsioon;1.1.2003
KDV22;Transluminaalne endoskoopiline ureetra submukoosne injektsioon;1.1.2003
KDW96;Muud operatsioonid ureetral;1.1.2003
KDW98;Muud transluminaalsed endoskoopilised operatsioonid ureetral;1.1.2003
KEA00;Prostata eksploratsioon;1.1.2003
KEA10;Prostatotoomia;1.1.2003
KEA20;Seemnepõiekeste intsisioon;1.1.2003
KEB00;Prostata biopsia;1.1.2003
KEC00;Retropuubiline radikaalne prostatektoomia;1.1.2003
KEC01;Perkutaanne endoskoopiline radikaalne prostatektoomia;1.1.2003
KEC10;Perineaalne radikaalne prostatektoomia;1.1.2003
KEC20;Transsakraalne radikaalne prostatektoomia;1.1.2003
KED00;Transvesikaalne prostatektoomia;1.1.2003
KED22;Transuretraalne prostata resektsioon;1.1.2003
KED32;Transuretraalne prostata intsisioon;1.1.2003
KED52;Prostata laserresektsioon või vaporisatsioon;1.1.2003
KED62;Transuretraalne prostata nõel-ablatsioon;1.1.2003
KED72;Transuretraalne prostata mikrolaineteraapia;1.1.2003
KED96;Prostata muu osaline eemaldamine;1.1.2003
KED98;Muu transuretraalne prostata osaline eemaldamine;1.1.2003
KEE00;Prostatolitotoomia;1.1.2003
KEE02;Uretroskoopiline prostatolitotoomia;1.1.2003
KEE10;Võõrkeha eemaldamine prostatast;1.1.2003
KEE12;Uretroskoopiline võõrkeha eemaldamine prostatast;1.1.2003
KEV00;Prostata koagulatsioon spontaanse verejooksu korral;1.1.2003
KEV02;Uretroskoopiline prostata koagulatsioon spontaanse verejooksu korral;1.1.2003
KEV12;Seemnekünkakese transuretraalne resektsioon;1.1.2003
KEV22;Prostaatilise ureetra uretroskoopiline stentimine;1.1.2003
KEW96;Muu operatsioon prostatal või seemnepõiekestel;1.1.2003
KEW98;Muu transluminaalne endoskoopiline protseduur prostatal;1.1.2003
KFA00;Testise eksploratsioon;1.1.2003
KFA10;Testise eksploratiivne intsisioon;1.1.2003
KFA20;Epididüümise eksploratiivne intsisioon;1.1.2003
KFA30;Seemnejuha intsisioon;1.1.2003
KFA40;Skrootumi intsisioon;1.1.2003
KFA50;Võõrkeha eemaldamine skrootumist või skrotaalorganitest;1.1.2010
KFA96;Skrootumi või selle organite muu eksploratsioon või intsisioon;1.1.2003
KFB00;Testise biopsia;1.1.2003
KFB10;Epididüümise biopsia;1.1.2003
KFB20;Seemnejuha biopsia;1.1.2003
KFB96;Skrotaalorgani muu biopsia;1.1.2003
KFC00;Ühepoolne orhiektoomia;1.1.2003
KFC10;Mõlemapoolne orhiektoomia;1.1.2003
KFC60;Epididümektoomia;1.1.2003
KFC96;Testise või epididüümise muu täielik eemaldamine;1.1.2003
KFD00;Testise osaline eemaldamine;1.1.2003
KFD16;Epididüümise osaline eemaldamine;1.1.2003
KFD20;Testise hüdrotseele eemaldamine;1.1.2003
KFD26;Funikulotseele eemaldamine;1.1.2003
KFD43;Ühepoolne vasektoomia või seemnejuha ligeerimine;1.1.2003
KFD46;Mõlemapoolne vasektoomia või seemnejuha ligeerimine;1.1.2003
KFD50;V. spermatica interna resektsioon või ligeerimine;1.1.2003
KFD51;Perkutaanne endoskoopiline v. spermatica resektsioon või ligeerimine;1.1.2003
KFD56;Varikotseele eemaldamine;1.1.2003
KFD60;Skrotaalfistuli ekstsisioon;1.1.2003
KFD63;Skrootumi osaline ekstsisioon;1.1.2010
KFD70;Skrootumi nahalesiooni ektsisioon;1.1.2012
KFD73;Skrootumi nahalesiooni destruktsioon;1.1.2012
KFD96;Skrotaalorganite muu eemaldamine või ligeerimine;1.1.2003
KFH00;Operatsioon mittedestsendeerunud või ektoopilise testise korral;1.1.2003
KFH10;Orhiopeksia;1.1.2003
KFH20;Seemneväädi detorsioon ja testise fiksatsioon;1.1.2003
KFH30;Vasovasostoomia;1.1.2003
KFH40;Epididümovasostoomia;1.1.2003
KFH50;Testise proteesi paigaldamine;1.1.2003
KFH60;Testise proteesi eemaldamine;1.1.2010
KFH70;Skrootumi õmblus;1.1.2010
KFH73;Skrootumi rekonstruktsioon;1.1.2010
KFH96;Muud rekonstruktiivsed operatsioonid skrootumil ja skrotaalorganitel;1.1.2003
KFW96;Muu operatsioon skrootumil ja skrotaalorganitel;1.1.2003
KGA00;Peenise intsisioon;1.1.2003
KGA10;Eesnaha intsisioon;1.1.2003
KGA96;Peenise muu eksploratsioon või intsisioon;1.1.2003
KGB00;Peenise biopsia;1.1.2003
KGC00;Peenise osaline amputatsioon;1.1.2003
KGC10;Peenise täielik amputatsioon;1.1.2003
KGD00;Sugutiluki osaline ekstsisioon;1.1.2003
KGD05;Peenisekeha osaline ekstsisioon;1.1.2003
KGD10;Peenise lesiooni likvideerimine;1.1.2003
KGD20;Peenise nahalesiooni destruktsioon;1.1.2012
KGD96;Peenise muu osaline ekstsisioon;1.1.2003
KGF00;Võõrkeha eemaldamine peenisest;1.1.2003
KGH00;Peenise suturatsioon;1.1.2003
KGH05;Nahaõmblus peenisel;1.1.2012
KGH10;Operatsioon fimoosi korral;1.1.2003
KGH20;Peenise  kõveruse või induratsiooni korrektsioon;1.1.2003
KGH30;Peenise veeni resektsioon või ligeerimine;1.1.2003
KGH33;Peenise arteri revaskularisatsioon;1.1.2003
KGH40;Operatsioon priapismi korral;1.1.2003
KGH50;Spongiokaverenoosse fistuli ekstsisioon;1.1.2003
KGH60;Hüpospaadia korrektsioon;1.1.2003
KGH70;Epispaadia korrektsioon;1.1.2003
KGH80;Peenise naha plastiline korrektsioon;1.1.2003
KGH96;Muu rekonstruktiivne operatsioon peenisel;1.1.2003
KGV00;Eesnaha reduktsioon parafimoosi korral;1.1.2003
KGV10;Eesnaha liidetest vabastamine;1.1.2003
KGV20;Rituaalne ümberlõikus;1.1.2003
KGV30;Peenise proteesi paigaldamine;1.1.2003
KGV40;Peenise proteesi revisioon;1.1.2003
KGV50;Peenise proteesi eemaldamine;1.1.2003
KGW96;Muu operatsioon peenisel;1.1.2003
KKA00;Retroperitoneaalruumi eksploratsioon;1.1.2003
KKA01;Retroperitoneaalruumi perkutaanne eksploratsioon;1.1.2010
KKA10;Retroperitoneaalkoe biopsia;1.1.2003
KKA11;Retroperitoneaalruumi perkutaanne endoskoopiline biopsia;1.1.2003
KKA20;Retroperitoneaalruumi intsisioon;1.1.2003
KKA21;Retroperitoneaalruumi perkutaanne endoskoopiline dreenimine;1.1.2003
KKB10;Retroperitoneaaltuumori eemaldamine;1.1.2003
KKB11;Retroperitoneaaltuumori perkutaanne endoskoopiline eemaldamine;1.1.2003
KKB20;Retroperitoneaalfistuli ekstsisioon;1.1.2003
KKB21;Retroperitoneaalfistuli perkutaanne endoskoopiline ekstsisioon;1.1.2003
KKF00;Võõrkeha eemaldamine retroperitoneaalruumist;1.1.2003
KKF01;Perkutaanne endoskoopiline võõrkeha eemaldamine retroperitoneaalruumist;1.1.2003
KKW96;Muu operatsioon retroperitoneaalruumil;1.1.2003
KKW97;Muu perkutaanne endoskoopiline operatsioon retroperitoneaalruumil;1.1.2003
KWA00;Haava dehistsentsi korrektsioon uroloogilises kirurgias;1.1.2003
