Code	Text in Estonian	Text in English	Valid from	
NAF94	"Operatsioon lülisamba ja kaela sünoviaalmembraanil ja liigespinnal; lülisamba lumbaalosa"	"Operation on synovia or joint surface of spine or neck; lumbar spine"	1.1.2003	
NAF95	"Operatsioon lülisamba ja kaela sünoviaalmembraanil ja liigespinnal; lülisamba tserviko-torako-lumbaalosa"	"Operation on synovia or joint surface of spine or neck; cervico-thoraco-lumbar spine"	1.1.2003	
NAF96	"Operatsioon lülisamba ja kaela sünoviaalmembraanil ja liigespinnal; lülisamba lumbosakraalosa"	"Operation on synovia or joint surface of spine or neck; lumbo-sacral spine"	1.1.2003	
NAF99	"Operatsioon lülisamba ja kaela sünoviaalmembraanil ja liigespinnal; määratlemata"	"Operation on synovia or joint surface of spine or neck; unspecified"	1.1.2003	
NAG00	"Lülisamba ekstsisiooni artroplastika; lülisamba tservikaalosa"	"Excision arthroplasty in spine; cervical spine"	1.1.2003	
NAG01	"Lülisamba ekstsisiooni artroplastika; lülisamba tserviko-torakaalosa"	"Excision arthroplasty in spine; cervico-thoracic spine"	1.1.2003	
NAG02	"Lülisamba ekstsisiooni artroplastika; lülisamba torakaalosa"	"Excision arthroplasty in spine; thoracic spine"	1.1.2003	
NAG03	"Lülisamba ekstsisiooni artroplastika; lülisamba torakolumbaalosa"	"Excision arthroplasty in spine; thoraco-lumbar spine"	1.1.2003	
NAG04	"Lülisamba ekstsisiooni artroplastika; lülisamba lumbaalosa"	"Excision arthroplasty in spine; lumbar spine"	1.1.2003	
NAG05	"Lülisamba ekstsisiooni artroplastika; lülisamba tserviko-torako-lumbaalosa"	"Excision arthroplasty in spine; cervico-thoraco-lumbar spine"	1.1.2003	
NAG06	"Lülisamba ekstsisiooni artroplastika; lülisamba lumbosakraalosa"	"Excision arthroplasty in spine; lumbo-sacral spine"	1.1.2003	
NAG09	"Lülisamba ekstsisiooni artroplastika; määratlemata"	"Excision arthroplasty in spine; unspecified"	1.1.2003	
NAG10	"Lülisamba interpositsiooni artroplastika; lülisamba tservikaalosa"	"Interposition arthroplasty in spine; cervical spine"	1.1.2003	
NAG11	"Lülisamba interpositsiooni artroplastika; lülisamba tserviko-torakaalosa"	"Interposition arthroplasty in spine; cervico-thoracic spine"	1.1.2003	
NAG12	"Lülisamba interpositsiooni artroplastika; lülisamba torakaalosa"	"Interposition arthroplasty in spine; thoracic spine"	1.1.2003	
NAG13	"Lülisamba interpositsiooni artroplastika; lülisamba torakolumbaalosa"	"Interposition arthroplasty in spine; thoraco-lumbar spine"	1.1.2003	
NAG14	"Lülisamba interpositsiooni artroplastika; lülisamba lumbaalosa"	"Interposition arthroplasty in spine; lumbar spine"	1.1.2003	
NAG15	"Lülisamba interpositsiooni artroplastika; lülisamba tserviko-torako-lumbaalosa"	"Interposition arthroplasty in spine; cervico-thoraco-lumbar spine"	1.1.2003	
NAG16	"Lülisamba interpositsiooni artroplastika; lülisamba lumbosakraalosa"	"Interposition arthroplasty in spine; lumbo-sacral spine"	1.1.2003	
NAG19	"Lülisamba interpositsiooni artroplastika; määratlemata"	"Interposition arthroplasty in spine; unspecified"	1.1.2003	
NAG20	"Lülisamba muu artroplastika ilma proteesimiseta; lülisamba tservikaalosa"	"Other arthroplasty in spine without prosthetic replacement; cervical spine"	1.1.2003	
NAG21	"Lülisamba muu artroplastika ilma proteesimiseta; lülisamba tserviko-torakaalosa"	"Other arthroplasty in spine without prosthetic replacement; cervico-thoracic spine"	1.1.2003	
NAG22	"Lülisamba muu artroplastika ilma proteesimiseta; lülisamba torakaalosa"	"Other arthroplasty in spine without prosthetic replacement; thoracic spine"	1.1.2003	
NAG23	"Lülisamba muu artroplastika ilma proteesimiseta; lülisamba torakolumbaalosa"	"Other arthroplasty in spine without prosthetic replacement; thoraco-lumbar spine"	1.1.2003	
NAG24	"Lülisamba muu artroplastika ilma proteesimiseta; lülisamba lumbaalosa"	"Other arthroplasty in spine without prosthetic replacement; lumbar spine"	1.1.2003	
NAG25	"Lülisamba muu artroplastika ilma proteesimiseta; lülisamba tserviko-torako-lumbaalosa"	"Other arthroplasty in spine without prosthetic replacement; cervico-thoraco-lumbar spine"	1.1.2003	
NAG26	"Lülisamba muu artroplastika ilma proteesimiseta; lülisamba lumbosakraalosa"	"Other arthroplasty in spine without prosthetic replacement; lumbo-sacral spine"	1.1.2003	
NAG29	"Lülisamba muu artroplastika ilma proteesimiseta; määratlemata"	"Other arthroplasty in spine without prosthetic replacement; unspecified"	1.1.2003	
NAG30	"Lülisamba spondülodees ilma fiksatsioonita; lülisamba tservikaalosa"	"Interbody fusion of spine without fixation; cervical spine"	1.1.2003	
NAG31	"Lülisamba spondülodees ilma fiksatsioonita; lülisamba tserviko-torakaalosa"	"Interbody fusion of spine without fixation; cervico-thoracic spine"	1.1.2003	
NAG32	"Lülisamba spondülodees ilma fiksatsioonita; lülisamba torakaalosa"	Anterior fusion of thoracic spine without fixation	1.1.2003	
NAG33	"Lülisamba spondülodees ilma fiksatsioonita; lülisamba torakolumbaalosa"	"Interbody fusion of spine without fixation; thoraco-lumbar spine"	1.1.2003	
NAG34	"Lülisamba spondülodees ilma fiksatsioonita; lülisamba lumbaalosa"	"Interbody fusion of spine without fixation; lumbar spine"	1.1.2003	
NAG35	"Lülisamba spondülodees ilma fiksatsioonita; lülisamba tserviko-torako-lumbaalosa"	"Interbody fusion of spine without fixation; cervico-thoraco-lumbar spine"	1.1.2003	
NAG36	"Lülisamba spondülodees ilma fiksatsioonita; lülisamba lumbosakraalosa"	Anterior and posterior fusion of lumbar spine	1.1.2003	
NAG39	"Lülisamba spondülodees ilma fiksatsioonita; määratlemata"	"Interbody fusion of spine without fixation; unspecified"	1.1.2003	
NAG40	"Lülisamba spondülodees sisemise fiksatsiooniga; lülisamba tservikaalosa"	"Interbody fusion of spine with internal fixation; cervical spine"	1.1.2003	
NAG41	"Lülisamba spondülodees sisemise fiksatsiooniga; lülisamba tserviko-torakaalosa"	"Interbody fusion of spine with internal fixation; cervico-thoracic spine"	1.1.2003	
NAG42	"Lülisamba spondülodees sisemise fiksatsiooniga; lülisamba torakaalosa"	"Interbody fusion of spine with internal fixation; thoracic spine"	1.1.2003	
NAG43	"Lülisamba spondülodees sisemise fiksatsiooniga; lülisamba torakolumbaalosa"	Anterior fusion of thoracic spine with fixation	1.1.2003	
NAG44	"Lülisamba spondülodees sisemise fiksatsiooniga; lülisamba lumbaalosa"	"Interbody fusion of spine with internal fixation; lumbar spine"	1.1.2003	
NAG45	"Lülisamba spondülodees sisemise fiksatsiooniga; lülisamba tserviko-torako-lumbaalosa"	"Interbody fusion of spine with internal fixation; cervico-thoraco-lumbar spine"	1.1.2003	
NAG46	"Lülisamba spondülodees sisemise fiksatsiooniga; lülisamba lumbosakraalosa"	"Posterior fusion of lumbar spine with fixation; 2-3 vertebraea"	1.1.2003	
NAG49	"Lülisamba spondülodees sisemise fiksatsiooniga; määratlemata"	"Interbody fusion of spine with internal fixation; unspecified"	1.1.2003	
NAG50	"Lülisamba spondülodees välise fiksatsiooniga; lülisamba tservikaalosa"	"Interbody fusion of spine with external fixation; cervical spine"	1.1.2003	
NAG51	"Lülisamba spondülodees välise fiksatsiooniga; lülisamba tserviko-torakaalosa"	"Interbody fusion of spine with external fixation; cervico-thoracic spine"	1.1.2003	
NAG52	"Lülisamba spondülodees välise fiksatsiooniga; lülisamba torakaalosa"	"Interbody fusion of spine with external fixation; thoracic spine"	1.1.2003	
NAG53	"Lülisamba spondülodees välise fiksatsiooniga; lülisamba torakolumbaalosa"	"Interbody fusion of spine with external fixation; thoraco-lumbar spine"	1.1.2003	
NAG54	"Lülisamba spondülodees välise fiksatsiooniga; lülisamba lumbaalosa"	"Interbody fusion of spine with external fixation; lumbar spine"	1.1.2003	
NAG55	"Lülisamba spondülodees välise fiksatsiooniga; lülisamba tserviko-torako-lumbaalosa"	"Interbody fusion of spine with external fixation; cervico-thoraco-lumbar spine"	1.1.2003	
NAG56	"Lülisamba spondülodees välise fiksatsiooniga; lülisamba lumbosakraalosa"	Posterior fusion of lumbar spine without fixation	1.1.2003	
NAG59	"Lülisamba spondülodees välise fiksatsiooniga; määratlemata"	"Interbody fusion of spine with external fixation; unspecified"	1.1.2003	
NAG60	"Lülisamba interlaminaarne spondülodees ilma fiksatsioonita; lülisamba tservikaalosa"	"Interlaminary fusion of spine without fixation; cervical spine"	1.1.2003	
NAG61	"Lülisamba interlaminaarne spondülodees ilma fiksatsioonita; lülisamba tserviko-torakaalosa"	"Interlaminary fusion of spine without fixation; cervico-thoracic spine"	1.1.2003	
NAG62	"Lülisamba interlaminaarne spondülodees ilma fiksatsioonita; lülisamba torakaalosa"	"Interlaminary fusion of spine without fixation; thoracic spine"	1.1.2003	
NAG63	"Lülisamba interlaminaarne spondülodees ilma fiksatsioonita; lülisamba torakolumbaalosa"	"Interlaminary fusion of spine without fixation; thoraco-lumbar spine"	1.1.2003	
NAG64	"Lülisamba interlaminaarne spondülodees ilma fiksatsioonita; lülisamba lumbaalosa"	"Interlaminary fusion of spine without fixation; lumbar spine"	1.1.2003	
NAG65	"Lülisamba interlaminaarne spondülodees ilma fiksatsioonita; lülisamba tserviko-torako-lumbaalosa"	"Interlaminary fusion of spine without fixation; cervico-thoraco-lumbar spine"	1.1.2003	
NAG66	"Lülisamba interlaminaarne spondülodees ilma fiksatsioonita; lülisamba lumbosakraalosa"	"Interlaminary fusion of spine without fixation; lumbo-sacral spine"	1.1.2003	
NAG69	"Lülisamba interlaminaarne spondülodees ilma fiksatsioonita; määratlemata"	"Interlaminary fusion of spine without fixation; unspecified"	1.1.2003	
NAG70	"Lülisamba interlaminaarne spondülodees fiksatsiooniga; lülisamba tservikaalosa"	"Interlaminary fusion of spine with fixation; cervical spine"	1.1.2003	
NAG71	"Lülisamba interlaminaarne spondülodees fiksatsiooniga; lülisamba tserviko-torakaalosa"	"Interlaminary fusion of spine with fixation; cervico-thoracic spine"	1.1.2003	
NAG72	"Lülisamba interlaminaarne spondülodees fiksatsiooniga; lülisamba torakaalosa"	"Interlaminary fusion of spine with fixation; thoracic spine"	1.1.2003	
NAG73	"Lülisamba interlaminaarne spondülodees fiksatsiooniga; lülisamba torakolumbaalosa"	"Interlaminary fusion of spine with fixation; thoraco-lumbar spine"	1.1.2003	
NAG74	"Lülisamba interlaminaarne spondülodees fiksatsiooniga; lülisamba lumbaalosa"	"Interlaminary fusion of spine with fixation; lumbar spine"	1.1.2003	
NAG75	"Lülisamba interlaminaarne spondülodees fiksatsiooniga; lülisamba tserviko-torako-lumbaalosa"	"Interlaminary fusion of spine with fixation; cervico-thoraco-lumbar spine"	1.1.2003	
NAG76	"Lülisamba interlaminaarne spondülodees fiksatsiooniga; lülisamba lumbosakraalosa"	"Interlaminary fusion of spine with fixation; lumbo-sacral spine"	1.1.2003	
NAG79	"Lülisamba interlaminaarne spondülodees fiksatsiooniga; määratlemata"	"Interlaminary fusion of spine with fixation; unspecified"	1.1.2003	
NAG80	"Lülisamba ristijätke spondülodees; lülisamba tservikaalosa"	"Unilateral intertransverse fusion of spine; cervical spine"	1.1.2003	
NAG81	"Lülisamba ristijätke spondülodees; lülisamba tserviko-torakaalosa"	"Unilateral intertransverse fusion of spine; cervico-thoracic spine"	1.1.2003	
NAG82	"Lülisamba ristijätke spondülodees; lülisamba torakaalosa"	"Unilateral intertransverse fusion of spine; thoracic spine"	1.1.2003	
NAG83	"Lülisamba ristijätke spondülodees; lülisamba torakolumbaalosa"	"Unilateral intertransverse fusion of spine; thoraco-lumbar spine"	1.1.2003	
NAG84	"Lülisamba ristijätke spondülodees; lülisamba lumbaalosa"	"Unilateral intertransverse fusion of spine; lumbar spine"	1.1.2003	
NAG85	"Lülisamba ristijätke spondülodees; lülisamba tserviko-torako-lumbaalosa"	"Unilateral intertransverse fusion of spine; cervico-thoraco-lumbar spine"	1.1.2003	
NAG86	"Lülisamba ristijätke spondülodees; lülisamba lumbosakraalosa"	"Unilateral intertransverse fusion of spine; lumbo-sacral spine"	1.1.2003	
NAG89	"Lülisamba ristijätke spondülodees; määratlemata"	"Unilateral intertransverse fusion of spine; unspecified"	1.1.2003	
NAG90	"Lülisambaliigeste muu ekstsisioon, rekonstruktsioon või spondülodees; lülisamba tservikaalosa"	"Other excision, reconstruction or fusion of joints of spine; cervical spine"	1.1.2003	
NAG91	"Lülisambaliigeste muu ekstsisioon, rekonstruktsioon või spondülodees; lülisamba tserviko-torakaalosa"	"Other excision, reconstruction or fusion of joints of spine; cervico-thoracic spine"	1.1.2003	
NAG92	"Lülisambaliigeste muu ekstsisioon, rekonstruktsioon või spondülodees; lülisamba torakaalosa"	"Other excision, reconstruction or fusion of joints of spine; thoracic spine"	1.1.2003	
NAG93	"Lülisambaliigeste muu ekstsisioon, rekonstruktsioon või spondülodees; lülisamba torakolumbaalosa"	"Other excision, reconstruction or fusion of joints of spine; thoraco-lumbar spine"	1.1.2003	
NAG94	"Lülisambaliigeste muu ekstsisioon, rekonstruktsioon või spondülodees; lülisamba lumbaalosa"	"Other excision, reconstruction or fusion of joints of spine; lumbar spine"	1.1.2003	
NAG95	"Lülisambaliigeste muu ekstsisioon, rekonstruktsioon või spondülodees; lülisamba tserviko-torako-lumbaalosa"	"Other excision, reconstruction or fusion of joints of spine; cervico-thoraco-lumbar spine"	1.1.2003	
NAG96	"Lülisambaliigeste muu ekstsisioon, rekonstruktsioon või spondülodees; lülisamba lumbosakraalosa"	"Other excision, reconstruction or fusion of joints of spine; lumbo-sacral spine"	1.1.2003	
NAG99	"Lülisambaliigeste muu ekstsisioon, rekonstruktsioon või spondülodees; määratlemata"	"Other excision, reconstruction or fusion of joints of spine; unspecified"	1.1.2003	
NAH00	"Lülisambaliigese luksatsiooni paigaldamine; kinnine"	"Reduction of dislocation of joint of spine; closed"	1.1.2003	
NAH01	"Lülisambaliigese luksatsiooni paigaldamine; artroskoopiline"	"Reduction of dislocation of joint of spine; arthroscopic"	1.1.2003	
NAH02	"Lülisambaliigese luksatsiooni paigaldamine; lahtine"	"Reduction of dislocation of joint of spine; open"	1.1.2003	
NAH09	"Lülisambaliigese luksatsiooni paigaldamine; määratlemata"	"Reduction of dislocation of joint of spine; unspecified"	1.1.2003	
NAH20	"Lülisambaliigese proteesi luksatsiooni paigaldamine; kinnine"	"Reduction of dislocation of joint prosthesis in spine; closed"	1.1.2003	
NAH21	"Lülisambaliigese proteesi luksatsiooni paigaldamine; artroskoopiline"	"Reduction of dislocation of joint prosthesis in spine; arthroscopic"	1.1.2003	
NAH22	"Lülisambaliigese proteesi luksatsiooni paigaldamine; lahtine"	"Reduction of dislocation of joint prosthesis in spine; open"	1.1.2003	
NAH29	"Lülisambaliigese proteesi luksatsiooni paigaldamine; määratlemata"	"Reduction of dislocation of joint prosthesis in spine; unspecified"	1.1.2003	
NAH30	"Lülisambaliigese liidete vabastamine; kinnine"	"Freeing of adhesions of joint of spine; closed"	1.1.2003	
NAH31	"Lülisambaliigese liidete vabastamine; artroskoopiline"	"Freeing of adhesions of joint of spine; arthroscopic"	1.1.2003	
NAH32	"Lülisambaliigese liidete vabastamine; lahtine"	"Freeing of adhesions of joint of spine; open"	1.1.2003	
NAH39	"Lülisambaliigese liidete vabastamine; määratlemata"	"Freeing of adhesions of joint of spine; unspecified"	1.1.2003	
NAH40	"Lülisambaliigesest võõrkeha või vaba keha eemaldamine; kinnine"	"Removal of foreign or loose body from joint of spine; closed"	1.1.2003	
NAH41	"Lülisambaliigesest võõrkeha või vaba keha eemaldamine; artroskoopiline"	"Removal of foreign or loose body from joint of spine; arthroscopic"	1.1.2003	
NAH42	"Lülisambaliigesest võõrkeha või vaba keha eemaldamine; lahtine"	"Removal of foreign or loose body from joint of spine; open"	1.1.2003	
NAH49	"Lülisambaliigesest võõrkeha või vaba keha eemaldamine; määratlemata"	"Removal of foreign or loose body from joint of spine; unspecified"	1.1.2003	
NAH50	"Lülisambaliigese-sisese eksostoosi või osteofüüdi ekstsisioon; kinnine"	"Excision of intraarticular exostosis or osteophyte of spine; closed"	1.1.2003	
NAH51	"Lülisambaliigese-sisese eksostoosi või osteofüüdi ekstsisioon; artroskoopiline"	"Excision of intraarticular exostosis or osteophyte of spine; arthroscopic"	1.1.2003	
NAH52	"Lülisambaliigese-sisese eksostoosi või osteofüüdi ekstsisioon; lahtine"	"Excision of intraarticular exostosis or osteophyte of spine; open"	1.1.2003	
NAH59	"Lülisambaliigese-sisese eksostoosi või osteofüüdi ekstsisioon; määratlemata"	"Excision of intraarticular exostosis or osteophyte of spine; unspecified"	1.1.2003	
NAH90	"Muu operatsioon lülisambaliigesel; kinnine"	"Other operation on joint of spine; closed"	1.1.2003	
NAH91	"Muu operatsioon lülisambaliigesel; artroskoopiline"	"Other operation on joint of spine; arthroscopic"	1.1.2003	
NAH92	"Muu operatsioon lülisambaliigesel; lahtine"	"Other operation on joint of spine; open"	1.1.2003	
NAH99	"Muu operatsioon lülisambaliigesel; määratlemata"	"Other operation on joint of spine; unspecified"	1.1.2003	
NAJ00	"Lülisamba murru kinnine paigaldamine; lülisamba tservikaalosa"	"Closed reduction of fracture of spine; cervical spine"	1.1.2003	
NAJ01	"Lülisamba murru kinnine paigaldamine; lülisamba tserviko-torakaalosa"	"Closed reduction of fracture of spine; cervico-thoracic spine"	1.1.2003	
NAJ02	"Lülisamba murru kinnine paigaldamine; lülisamba torakaalosa"	"Closed reduction of fracture of spine; thoracic spine"	1.1.2003	
NAJ03	"Lülisamba murru kinnine paigaldamine; lülisamba torakolumbaalosa"	"Closed reduction of fracture of spine; thoraco-lumbar spine"	1.1.2003	
NAJ04	"Lülisamba murru kinnine paigaldamine; lülisamba lumbaalosa"	"Closed reduction of fracture of spine; lumbar spine"	1.1.2003	
NAJ05	"Lülisamba murru kinnine paigaldamine; lülisamba tserviko-torako-lumbaalosa"	"Closed reduction of fracture of spine; cervico-thoraco-lumbar spine"	1.1.2003	
NAJ06	"Lülisamba murru kinnine paigaldamine; lülisamba lumbosakraalosa"	"Closed reduction of fracture of spine; lumbo-sacral spine"	1.1.2003	
NAJ09	"Lülisamba murru kinnine paigaldamine; määratlemata"	"Closed reduction of fracture of spine; unspecified"	1.1.2003	
NAJ10	"Lülisamba murru lahtine paigaldamine; lülisamba tservikaalosa"	"Open reduction of fracture of spine; cervical spine"	1.1.2003	
NAJ11	"Lülisamba murru lahtine paigaldamine; lülisamba tserviko-torakaalosa"	Posterior reduction of fracture of cervical spine	1.1.2003	
NAJ12	"Lülisamba murru lahtine paigaldamine; lülisamba torakaalosa"	Anterior reduction of fractrue of thoracic spine	1.1.2003	
NAJ13	"Lülisamba murru lahtine paigaldamine; lülisamba torakolumbaalosa"	"Open reduction of fracture of spine; thoraco-lumbar spine"	1.1.2003	
NAJ14	"Lülisamba murru lahtine paigaldamine; lülisamba lumbaalosa"	Posterior reduction of fractrue of thoracic spine	1.1.2003	
NAJ15	"Lülisamba murru lahtine paigaldamine; lülisamba tserviko-torako-lumbaalosa"	"Open reduction of fracture of spine; cervico-thoraco-lumbar spine"	1.1.2003	
NAJ16	"Lülisamba murru lahtine paigaldamine; lülisamba lumbosakraalosa"	Anterior reduction of fractrue of lumbar spine	1.1.2003	
NAJ19	"Lülisamba murru lahtine paigaldamine; määratlemata"	"Open reduction of fracture of spine; unspecified"	1.1.2003	
NAJ20	"Lülisamba murru väline fiksatsioon; lülisamba tservikaalosa"	"External fixation of fracture of spine; cervical spine"	1.1.2003	
NAJ21	"Lülisamba murru väline fiksatsioon; lülisamba tserviko-torakaalosa"	"External fixation of fracture of spine; cervico-thoracic spine"	1.1.2003	
NAJ22	"Lülisamba murru väline fiksatsioon; lülisamba torakaalosa"	"External fixation of fracture of spine; thoracic spine"	1.1.2003	
NAJ23	"Lülisamba murru väline fiksatsioon; lülisamba torakolumbaalosa"	"External fixation of fracture of spine; thoraco-lumbar spine"	1.1.2003	
NAJ24	"Lülisamba murru väline fiksatsioon; lülisamba lumbaalosa"	"External fixation of fracture of spine; lumbar spine"	1.1.2003	
NAJ25	"Lülisamba murru väline fiksatsioon; lülisamba tserviko-torako-lumbaalosa"	"External fixation of fracture of spine; cervico-thoraco-lumbar spine"	1.1.2003	
NAJ26	"Lülisamba murru väline fiksatsioon; lülisamba lumbosakraalosa"	"External fixation of fracture of spine; lumbo-sacral spine"	1.1.2003	
NAJ29	"Lülisamba murru väline fiksatsioon; määratlemata"	"External fixation of fracture of spine; unspecified"	1.1.2003	
NAJ30	"Lülisamba murru sisemine fiksatsioon bioimplantaadiga; lülisamba tservikaalosa"	"Internal fixation of fracture of spine using bioimplant; cervical spine"	1.1.2003	
NAJ31	"Lülisamba murru sisemine fiksatsioon bioimplantaadiga; lülisamba tserviko-torakaalosa"	"Internal fixation of fracture of spine using bioimplant; cervico-thoracic spine"	1.1.2003	
NAJ32	"Lülisamba murru sisemine fiksatsioon bioimplantaadiga; lülisamba torakaalosa"	"Internal fixation of fracture of spine using bioimplant; thoracic spine"	1.1.2003	
NAJ33	"Lülisamba murru sisemine fiksatsioon bioimplantaadiga; lülisamba torakolumbaalosa"	"Internal fixation of fracture of spine using bioimplant; thoraco-lumbar spine"	1.1.2003	
NAJ34	"Lülisamba murru sisemine fiksatsioon bioimplantaadiga; lülisamba lumbaalosa"	"Internal fixation of fracture of spine using bioimplant; lumbar spine"	1.1.2003	
NAJ35	"Lülisamba murru sisemine fiksatsioon bioimplantaadiga; lülisamba tserviko-torako-lumbaalosa"	"Internal fixation of fracture of spine using bioimplant; cervico-thoraco-lumbar spine"	1.1.2003	
NAJ36	"Lülisamba murru sisemine fiksatsioon bioimplantaadiga; lülisamba lumbosakraalosa"	"Internal fixation of fracture of spine using bioimplant; lumbo-sacral spine"	1.1.2003	
NAJ39	"Lülisamba murru sisemine fiksatsioon bioimplantaadiga; määratlemata"	"Internal fixation of fracture of spine using bioimplant; unspecified"	1.1.2003	
NAJ40	"Lülisamba murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; lülisamba tservikaalosa"	"Internal fixation of fracture of spine using wire, rod, cerclage or pin; cervical spine"	1.1.2003	
NAJ41	"Lülisamba murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; lülisamba tserviko-torakaalosa"	"Internal fixation of fracture of spine using wire, rod, cerclage or pin; cervico-thoracic spine"	1.1.2003	
NAJ42	"Lülisamba murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; lülisamba torakaalosa"	"Internal fixation of fracture of spine using wire, rod, cerclage or pin; thoracic spine"	1.1.2003	
NAJ43	"Lülisamba murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; lülisamba torakolumbaalosa"	"Internal fixation of fracture of spine using wire, rod, cerclage or pin; thoraco-lumbar spine"	1.1.2003	
NAJ44	"Lülisamba murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; lülisamba lumbaalosa"	"Internal fixation of fracture of spine using wire, rod, cerclage or pin; lumbar spine"	1.1.2003	
NAJ45	"Lülisamba murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; lülisamba tserviko-torako-lumbaalosa"	"Internal fixation of fracture of spine using wire, rod, cerclage or pin; cervico-thoraco-lumbar spine"	1.1.2003	
NAJ46	"Lülisamba murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; lülisamba lumbosakraalosa"	"Internal fixation of fracture of spine using wire, rod, cerclage or pin; lumbo-sacral spine"	1.1.2003	
NAJ49	"Lülisamba murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; määratlemata"	"Internal fixation of fracture of spine using wire, rod, cerclage or pin; unspecified"	1.1.2003	
NAJ60	"Lülisamba murru sisemine fiksatsioon plaadi ja kruvidega; lülisamba tservikaalosa"	"Internal fixation of fracture of spine using plate and screws; cervical spine"	1.1.2003	
NAJ61	"Lülisamba murru sisemine fiksatsioon plaadi ja kruvidega; lülisamba tserviko-torakaalosa"	"Internal fixation of fracture of spine using plate and screws; cervico-thoracic spine"	1.1.2003	
NAJ62	"Lülisamba murru sisemine fiksatsioon plaadi ja kruvidega; lülisamba torakaalosa"	"Internal fixation of fracture of spine using plate and screws; thoracic spine"	1.1.2003	
NAJ63	"Lülisamba murru sisemine fiksatsioon plaadi ja kruvidega; lülisamba torakolumbaalosa"	"Internal fixation of fracture of spine using plate and screws; thoraco-lumbar spine"	1.1.2003	
NAJ64	"Lülisamba murru sisemine fiksatsioon plaadi ja kruvidega; lülisamba lumbaalosa"	"Internal fixation of fracture of spine using plate and screws; lumbar spine"	1.1.2003	
NAJ65	"Lülisamba murru sisemine fiksatsioon plaadi ja kruvidega; lülisamba tserviko-torako-lumbaalosa"	"Internal fixation of fracture of spine using plate and screws; cervico-thoraco-lumbar spine"	1.1.2003	
NAJ66	"Lülisamba murru sisemine fiksatsioon plaadi ja kruvidega; lülisamba lumbosakraalosa"	"Internal fixation of fracture of spine using plate and screws; lumbo-sacral spine"	1.1.2003	
NAJ69	"Lülisamba murru sisemine fiksatsioon plaadi ja kruvidega; määratlemata"	"Internal fixation of fracture of spine using plate and screws; unspecified"	1.1.2003	
NAJ70	"Lülisamba murru sisemine fiksatsioon ainult kruvidega; lülisamba tservikaalosa"	"Internal fixation of fracture of spine using screws alone; cervical spine"	1.1.2003	
NAJ71	"Lülisamba murru sisemine fiksatsioon ainult kruvidega; lülisamba tserviko-torakaalosa"	"Internal fixation of fracture of spine using screws alone; cervico-thoracic spine"	1.1.2003	
NAJ72	"Lülisamba murru sisemine fiksatsioon ainult kruvidega; lülisamba torakaalosa"	"Internal fixation of fracture of spine using screws alone; thoracic spine"	1.1.2003	
NAJ73	"Lülisamba murru sisemine fiksatsioon ainult kruvidega; lülisamba torakolumbaalosa"	"Internal fixation of fracture of spine using screws alone; thoraco-lumbar spine"	1.1.2003	
NAJ74	"Lülisamba murru sisemine fiksatsioon ainult kruvidega; lülisamba lumbaalosa"	"Internal fixation of fracture of spine using screws alone; lumbar spine"	1.1.2003	
NAJ75	"Lülisamba murru sisemine fiksatsioon ainult kruvidega; lülisamba tserviko-torako-lumbaalosa"	"Internal fixation of fracture of spine using screws alone; cervico-thoraco-lumbar spine"	1.1.2003	
NAJ76	"Lülisamba murru sisemine fiksatsioon ainult kruvidega; lülisamba lumbosakraalosa"	"Internal fixation of fracture of spine using screws alone; lumbo-sacral spine"	1.1.2003	
NAJ79	"Lülisamba murru sisemine fiksatsioon ainult kruvidega; määratlemata"	"Internal fixation of fracture of spine using screws alone; unspecified"	1.1.2003	
NAJ80	"Lülisamba murru sisemine fiksatsioon muul või kombineeritud meetodil; lülisamba tservikaalosa"	"Internal fixation of fracture of spine using other or combined methods; cervical spine"	1.1.2003	
NAJ81	"Lülisamba murru sisemine fiksatsioon muul või kombineeritud meetodil; lülisamba tserviko-torakaalosa"	"Internal fixation of fracture of spine using other or combined methods; cervico-thoracic spine"	1.1.2003	
NAJ82	"Lülisamba murru sisemine fiksatsioon muul või kombineeritud meetodil; lülisamba torakaalosa"	"Internal fixation of fracture of spine using other or combined methods; thoracic spine"	1.1.2003	
NAJ83	"Lülisamba murru sisemine fiksatsioon muul või kombineeritud meetodil; lülisamba torakolumbaalosa"	"Internal fixation of fracture of spine using other or combined methods; thoraco-lumbar spine"	1.1.2003	
NAJ84	"Lülisamba murru sisemine fiksatsioon muul või kombineeritud meetodil; lülisamba lumbaalosa"	"Internal fixation of fracture of spine using other or combined methods; lumbar spine"	1.1.2003	
NAJ85	"Lülisamba murru sisemine fiksatsioon muul või kombineeritud meetodil; lülisamba tserviko-torako-lumbaalosa"	"Internal fixation of fracture of spine using other or combined methods; cervico-thoraco-lumbar spine"	1.1.2003	
