SKSKODE	TEKST
BGXA10	Behandling med forstøver
BGXA2	Ekstrakorporal membran oxygenering (ECMO)
BGXA5	Iltbehandling
BGXA50	Iltbehandling med nasalkateter
BGXA51	Iltbehandling med maske
BGXA52	Iltbehandling med tragt
BGXA53	Iltbehandling i ilttelt
BGXA54	Iltbehandling i kuvøse
BGXA55	Iltbehandling gennem trakealkanyle
BGXA6	Hyperbar iltbehandling
BGXA8	Teknisk service knyttet til iltbehandling
BGXA80	Udskiftning af iltbeholder ved iltbehandling
BGXY	Interv.med rel.til brysthule, lunger og resp.ikke klass.a.st
BH	Mamma
BHD	Behandling med brystprotese
BHDD	Behandling med ekstern brystprotese
BHG	Strålebehandling med relation til mamma
BHGA	Strålebehandling af mamma
BHH	Medikamentel behandling af lidelse i mamma
BHHH	Hormonel behandling af mamma
BHHK	Antihormonel behandling af mamma
BHHL	Cytostatisk behandling af mamma
BHK	Pædagogiske interventioner vedrørende mamma
BHKA	Instruktion i brug af brystprotese
BHKB	Instruktion af øvelser efter brystoperation
BHY0	Med.beh.af metabolisk knoglesygdom ikke klass.andetsteds
BI	Mave-tarmkanal
BIA	Behandling med sonder ved lidelser i mave-tarmkanalen
BIAD	Behandling med gastro-intestinal sonde
BIAD0	Behandling med nasalsonde til ventrikel og duodenum
BIAD1	Behandling med nasalsonde til jejunum
BIAD3	Behandling med Sengstaken-sonde
BIAD30	Skylning af ventrikel gennem Sengstaken-sonde
BIAD31	Ophævelse af kompression med Sengstaken-sonde
BIAD32	Desufflering af oesophagusballon på Sengstaken-sonde
BIAD33	Desufflering af ventrikelballon på Sengstaken-sonde
BIAD5	Beh.med sonde til ventr. og duodenum ikke klass.a.st.
BIAD7	Behandling med rektalsonde
BIAZ	Delprocedurer ved behandling med gastro-intestinal sonde
BIAZ0	Anlæggelse af gastro-intestinal sonde
BIAZ00	Anlæggelse af nasalsonde til ventrikel og duodenum
BIAZ01	Anlæggelse af nasalsonde til jejunum
BIAZ03	Anlæggelse af Sengstaken-sonde
BIAZ05	Anlæggelse af sonde til ventrikel og duodenum ikke klass.a.s
BIAZ07	Anlæggelse af rektalsonde
BIAZ1	Skiftning af gastro-intestinal sonde
BIAZ10	Skiftning af nasalsonde til ventrikel og duodenum
BIAZ11	Skiftning af nasalsonde til jejunum
BIAZ13	Skiftning af Sengstaken-sonde
BIAZ15	Skiftning af sonde til ventrikel og duodenum ikke klass.a.st
BIAZ2	Fjernelse af gastro-intestinal sonde
BIAZ20	Fjernelse af nasalsonde til ventrikel og duodenum
BIAZ21	Fjernelse af nasalsonde til jejunum
BIAZ23	Fjernelse af Sengstaken-sonde
BIAZ25	Fjernelse af sonde til ventrikel og duodenum ikke klass.a.st
BIAZ27	Fjernelse af rektalsonde
BIB	Beh.af lidelse i mave-tarmkanal med perkut.katetre,sonder og
BIBG	Behandling med perkutane sonder og dræn til fordøjelses-kana
BIBG0	Behandling med gastrostomisonde
BIBG1	Behandling med jejunostomi-sonde
BIBG2	Behandling med galdevejsdræn
BIBG3	Behandling med jejunumsonde via gastrostomi
BIBZ	Delprocedure ved beh.m.perkut.sonder/dræn til mave-tarmkanal
BIBZ0	Anlæggelse af sonde og dræn til mave-tarmkanalen
BIBZ00	Anlæggelse af gastrostomisonde
BIBZ01	Anlæggelse af jejunostomi-sonde
BIBZ03	Anlæggelse af  jejunumsonde via gastrostomi
BIBZ1	Skiftning af sonde og dræn til mave-tarmkanalen
BIBZ10	Skiftning af gastrostomisonde
BIBZ11	Skiftning af jejunostomi-sonde
BIBZ13	Skiftning af jejunumsonde via gastrostomi
BIBZ2	Fjernelse af sonde og dræn til mave-tarmkanalen
BIBZ20	Fjernelse af gastrostomisonde
BIBZ21	Fjernelse af jejunostomi-sonde
BIBZ22	Fjernelse af galdevejsdræn
BIBZ23	Fjernelse af jejunumsonde via gastrostomi
BID	Bandagebeh. med eksterne bandager ved mave-tarmsygdomme
BIDA	Bandagebehandling ved stomi
BIDA0	Behandling med stomibandage
BIDA1	Bandagebehandling ved stomibrok
BIG	Strålebehandling med relation til fordøjelsesorganer
BIGA	Strålebehandling af mave-tarmkanal
BIGA0	Strålebehandling af oesophagus
BIGA1	Strålebehandling af ventrikel
BIGA2	Strålebehandling af colon
BIGA3	Strålebehandling af rectum og anus
BIGC	Strålebehandling af lever
BIGE	Strålebehandling af gladeblære og galdeveje
BIGG	Strålebehandling af pancreas
BIH	Med. behandling m relation til lidelser i fordøjelsesorganer
BIHA	Medikamentel behandling af lidelse i mave-tarmkanal
BIHA0	Medikamentel behandling af lidelse i ventrikel og duodenum
BIHA00	Behandling med H2-receptorantagonist
BIHA01	Behandling med syrepumpehæmmer
BIHA02	Behandling med mucosaprotektivt middel
BIHA03	Eradikationsbehandling
BIHA04	Behandling med antirefluksmiddel
BIHA05	Behandling med syreneutraliserende middel
BIHA1	Medikamentel behandling af lidelse i tynd- og tyktarm
BIHA10	Behandling med tarmantiinflammatorikum
BIHA11	Behandling med glukokortikoidholdigt klysma
BIHA2	Medikamentel behandling af pancreaslidelse
BIHA8	Anden specificeret medikamentel beh. af mave-tarmlidelse
BIHA80	Behandling med middel mod diarrhoe
BIHA81	Behandling med laksantium
BIHA82	Behandling med anoreksikum
BIHL	Cytostatisk behandling af mave-tarmkanal
BIHL0	Cytostatisk behandling af oesophagus
BIHL1	Cytostatisk behandling af ventrikel
BIHL2	Cytostatisk behandling af colon
BIHL3	Cytostatisk behandling af rectum og anus
BIHL4	Cytostatisk behandling af lever
BIHL5	Cytostatisk behandling af galdeblære og galdeveje
BIHL6	Cytostatisk behandling af pancreas
BIK	Pædagogiske interventioner vedrørende mave-tarmkanalen
BIKA	Vejledning i pleje af stomi
BIKA0	Vejledning i valg af stomibandage
BIKB	Instruktion i stomipasning
BIKB0	Instruktion i irrigation i stomi
BIKC	Vejledning i særlige forhold for stomipatient
BIKC0	Vejledning ved seksuelle problemer for stomipatient
BIKC1	Vejledning ved sociale problemer for stomipatient
BIKD	Vejledning i fæcesopsamling
BIKH	Vejledning til levertransplanteret patient
BIL	Soignering af sonder/katetre med rel.til mave-tarmkanalen
BILF	Soignering af sonde i mave-tarmkanalen og enterostomi
BILF0	Soignering af sonde til ventrikel og duodenum
BILF01	Soignering af nasalsonde til ventrikel og duodenum
BILF1	Soignering af gastrostomisonde
BILF2	Soignering af jejunostomi-kateter
BILF3	Soignering af ileostomi
BILF4	Soignering af kolostomi
BILF6	Soignering af galdevejsdræn
BIM	Tømning, stomipleje mm. med relation til mave-tarmkanalen
BIMA	Ventrikeltømning
BIMA0	Ventrikelaspiration
BIMA00	Ventrikelaspiration ved permanent sug
BIMA01	Manuel ventrikelaspiration
BIMA1	Kompenserende støtte ved opkastning
BIMB	Manuel udhentning af fekalia
BIMZ	Delprocedurer ved enterostomibehandling
BIMZ0	Påsætning af enterostomipose
BIMZ00	Påsætning af ileostomipose
BIMZ01	Påsætning af kolostomipose
BIMZ1	Tømning af enterostomipose
BIMZ10	Tømning af ileostomipose
BIMZ11	Tømning af kolostomipose
BIMZ2	Fjernelse af enterostomipose
BIMZ20	Fjernelse af ileostomipose
BIMZ21	Fjernelse af kolostomipose
BIMZ5	Irrigation af enterostomi
BIX	Andre interventioner i relation til mave-tarmkanalen
BIXA	Procedurer vedrørende sekretion
BIXA0	Pleje af dræn
BIXA00	Skylning af dræn
BIXA01	Afkortning af dræn
BIXA1	Anvendelse af drænpose
BIXA2	Anvendelse af drænsug
BIXB	Irrigation af endetarmsstump
BIXY	Intervention med rel.til mave-tarmkanalen ikke klass.andetst
BIXY0	Colonmassage
BIXY5	Markering af stomisted
BIXZ	Delprocedurer ved behandling med dræn
BIXZ0	Påsætning af drænposer og drænsug
BIXZ00	Påsætning af drænpose
BIXZ01	Etablering af drænsug
BIXZ1	Skiftning og tømning af drænposer og drænsug
BIXZ10	Skiftning og tømning af drænpose
BIXZ11	Skiftning og tømning af drænsug
BIXZ2	Fjernelse af dræn, drænposer og drænsug
BIXZ20	Fjernelse af dræn
BIXZ21	Fjernelse af drænpose
BIXZ22	Fjernelse af drænsug
BJ	Nyrer, urinveje og kønsorganer
BJA	Behandling med blærekateter
BJAA	Blærekateterisation
BJAA0	Éngangskaterisation af blæren
BJAA00	Éngangskaterisation af blæren (kvinde)
BJAA01	Éngangskaterisation af blæren (mand)
BJAA1	Behandling med blærekateter a demeure
BJAA10	Skylning af blærekateter a demeure
BJAZ	Delprocedurer ved behandling med blærekateter
BJAZ0	Anlæggelse af blærekateter
BJAZ00	Anlæggelse af blærekateter a demeure (kvinde)
BJAZ01	Anlæggelse af blærekateter a demeure (mand)
BJAZ1	Skiftning af blærekateter
BJAZ10	Skiftning af blærekateter a demeure (kvinde)
BJAZ11	Skiftning af blærekateter a demeure (mand)
BJAZ2	Fjernelse af blærekateter
BJAZ20	Fjernelse af blærekateter a demeure (kvinde)
BJAZ21	Fjernelse af blærekateter a demeure (mand)
BJC	Antikonception
BJCD	Intrauterin antikonception
BJCD0	Antikonception med spiral
BJCE	Vaginal antikonception
BJCE0	Pessar til antikonception
BJCE1	Antikonception med vaginalt kondom
BJCF	Antikonception med mandligt kondom
BJCZ	Delprocedure ved antikonception
BJCZ0	Indlæggelse af spiral
BJCZ00	Indlæggelse af spiral med kobber
BJCZ01	Indlæggelse af spiral med hormon
BJCZ02	Indlæggelse af anden spiral
BJCZ07	Indlæggelse af vaginalpessar (antikonception)
BJCZ2	Fjernelse af spiral
BJCZ7	Måltagning til vaginalpessar (antikonception)
BJD	Prolapsbehandling med hjælpemidler
BJDA	Behandling med vaginalring
BJDA0	Vaginalringsbehandling
BJDY	Prolapsbehandling med hjælpemidler ikke klassificeret andets
BJDZ	Delprocedure ved prolapsbehandling med hjælpemidler
BJDZ0	Indlæggelse af vaginalring
BJDZ1	Skiftning af vaginalring
BJDZ7	Måltagning til vaginalring
BJF	Behandling af dysfunktioner i nyrer, urinveje og kønsorganer
BJFA	Inkontinensbehandling
BJFA0	Elstimulationsbehandling ved inkontinens
BJFA1	Træning ved inkontinens
BJFA10	Træning af vandladningsvaner ved inkontinens (blæretræning)
BJFA11	Træning af bækkenbundsmuskulatur ved inkont.(bækkenbundstræn
BJFD	Dialysebehandling
BJFD0	Akut dialyse
BJFD00	Akut hæmodialyse
BJFD01	Akut peritonealdialyse
BJFD02	Kontinuerlig vene-vene-diahæmofiltration (CVVDHF)
BJFD2	Kronisk dialyse
BJFD20	Kronisk hæmodialyse
BJFD21	Kronisk peritonealdialyse, CAPD
BJFD22	Kronisk peritonealdialyse IPD
BJFF	Behandling ved nyre- og blærelidelser ikke klass.andetsteds
BJFF0	Forceret diurese
BJFF1	Blærekompression
BJFF2	Blæretapotement
BJFL	Behandling af dysfunktioner i kønsorganer
BJFL0	Fertilitetsbehandling
BJFL00	Fertilisatio in vitro (IVF)
BJFL01	ICSI
BJFL09	Assiteret fertilisering ikke klassificeret andetsteds
BJFL3	Insemination
BJFL30	Insemination med sæd fra partner
BJFL31	Insemination med sæd fra donor
BJFL6	Andrologisk behandling
BJFL60	Erectio artificialis
BJFZ	Delprocedurer ved dialysebehandling
BJFZ0	Tilslutning af dialyseapparatur til patient
BJFZ00	Tilslutning af hæmodialyseapparatur til patient
BJFZ01	Tilslutning af peritonealdialyseapparatur til patient
BJFZ1	Fjernelse af dialyseapparatur fra patient
BJFZ10	Fjernelse af hæmodialyseapparatur fra patient
BJFZ11	Fjernelse af peritonealdialyseapparatur fra patient
BJFZ5	Procedure vedrørende dialysekateter
BJFZ50	Skift af hæmodialysekateter
BJFZ51	Skylning af hæmodialysekateter
BJFZ52	Skift af peritonaldialysekateter
BJFZ53	Skylning af peritonaldialysekateter
BJG	Strålebeh. med relation til nyrer, urinveje og kønsorganer
BJGA	Strålebehandling af nyrer, urinveje og kønsorganer
BJGA0	Strålebehandling af nyrer
BJGA1	Strålebehandling af urinveje
BJGA12	Strålebehandling af urinblære
BJGA2	Strålebehandling af kønsorganer
BJGA20	Strålebehandling af livmoder
BJGA21	Strålebehandling af prostata
BJGA22	Strålebehandling af testes
BJGA23	Strålebehandling af ovarier
BJGF	Strålebehandling af bækken
BJH	Medikam.beh. med rel.til nyrer, urinveje og kønsorganer
BJHA	Medikamentel peroral behandling af elektrolytforstyrrelser
BJHA0	Peroral behandling af elektrolytforstyrrelser
BJHE	Medikamentel behandling af blærelidelse
BJHE0	Medikamentel behandling af blærespasmer
BJHE1	Installation af lægemiddel i blæren
BJHF	Medikamentel behandling af manglende erektion
BJHG	Medikamentel gynækologisk lokalbehandling
BJHG0	Gynækologisk lokalbeh. med antibiotikum og antiseptikum
BJHG00	Behandling med antibakterielt vaginalmiddel
BJHG01	Behandling med antiviralt vaginalmiddel
BJHG02	Behandling med antimykotisk vaginalmiddel
BJHG03	Behandling med vaginalmiddel mod protozoer
BJHG1	Antikonception med kemisk middel
BJHK	Antihormonel behandling af prostata
BJHL	Cytostatisk behandling af nyrer, urinveje og kønsorganer
BJHL0	Cytostatisk behandling af nyrer
BJHL1	Cytostatisk behandling af urinveje
BJHL10	Installation af cytostatika i urinblære
BJHL11	Installation af BCG i urinblære
BJHL2	Cytostatisk behandling af kønsorganer
BJHL20	Cytostatisk behandling af livmoder
BJHL21	Cytostatisk behandling af prostata
BJHL22	Cytostatisk behandling af testes
BJHL23	Cytostatisk behandling af ovarier
BJK	Pædagogiske interventioner vedr.beh.af urin og kønsorganer
BJKA	Pædagogiske handl.vedr. behandling af urininkontinens
BJKA0	Vejledning og undervisning til inkontinenspatient
BJKA00	Undervisning i blærefunktion
BJKA01	Miktionsrådgivning
BJKA02	Vejledning og undervisning i selvkateterisation
BJKA1	Rådgivning om hjælpemidler til inkontinenspatient
BJKA10	Rådgivning om brug af drypbind
BJKA11	Rådgivning om brug af urinbind
BJKA12	Rådgivning om brug af penisklemme
BJKA13	Rådgivning om brug af vaginaltampon
BJKA14	Rådgivning om brug af vaginalvægte
BJKB	Pædagogiske handlinger i relation til dialyse
BJKB0	Oplæring i brug af kronisk peritonealdialyse, CAPD
BJKB1	Oplæring i brug af maskine til peritonealdialyse
BJKD	Pædagogiske handlinger vedrørende antikonception
BJKD0	Vejledning vedrørende antikonception
BJKD00	Vejledning vedrørende hormonel antikonception
BJKD01	Vejledning vedrørende antikonception med vaginalt pessar
BJKD02	Vejledning vedrørende antikonception med vaginalt kondom
BJKD03	Vejledning vedrørende antikonception med kondom
BJKD04	Vejledning vedrørende antikonception med spiral
BJKD05	Vejledning vedrørende antikonception med kemiske midler
BJKE	Pædagogiske handlinger vedrørende impotens
BJKE0	Vejledning vedrørende impotensbehandling
BJKF	Pædagogiske handlinger vedrørende fertilitet
BJKF0	Vejledning vedrørende fertilitetsbehandling
BJKF1	Rådgivning vedrørende fetilitet/infertilitet
BJKY	Pædagog.handl.ved beh.af urin- og kønsorganer ikke klass.a.s
BJKY0	Vejledning i urinopsamling
BJL	Soignering mm. i relation til urinveje og kønsorganer
BJLA	Soignering af kateter og urostomi
BJLA0	Soignering af blærekateter
BJLA1	Soignering af urostomi
BJLA10	Soignering af cystostomi
BJLA11	Soignering af ureterostomi
BJLA12	Soignering af urethrastomi
BJLA13	Soignering af nefrostomi
BJLA14	Soignering af urinafledende enterostomi
BJLC	Skylning af vagina
BJLC0	Vaginalskylning
BJLD	Soignering af vaginalring
BJM	Intervent.ved vandladning og urinudtømning gennem urostomi
BJMC	Kompenserende handling mhp. urinudtømning
BJMC0	Komp. handling mhp. anv. af hjælpemiddel ved vandladning
BJMC00	Kompenserende handling mhp. anvendelse af uridom
BJMC01	Kompenserende handling mhp. anvendelse af dryppose
BJMC02	Kompenserende handling mhp. anvendelse af urinpose
BJMC03	Kompenserende handling mhp. anvendelse af uretraprop
BJML	Pleje af urostomi
BJMZ	Delprocedurer ved behandling og pleje af urostomi
BJMZ0	Påsætning af urostomipose
BJMZ00	Påsætning af cystostomipose
BJMZ01	Påsætning af nefrostomipose
BJMZ02	Påsætning af ureterostomipose
BJMZ03	Påsætning af urethrastomipose
BJMZ04	Påsætning af pose på urinafledende enterostomi
BJMZ1	Skiftning af urostomipose
BJMZ10	Skiftning af cystostomipose
BJMZ11	Skiftning af nefrostomipose
BJMZ12	Skiftning af ureterostomipose
BJMZ13	Skiftning af urethrastomipose
BJMZ14	Skiftning af pose på urinafledende enterostomi
BJMZ2	Fjernelse af urostomipose
BJMZ20	Fjernelse af cystostomipose
BJMZ21	Fjernelse af nefrostomipose
BJMZ22	Fjernelse af ureterostomipose
BJMZ23	Fjernelse af urethrastomipose
BJMZ24	Fjernelse af pose på urinafledende enterostomi
BJX	Andre intervent. med rel. til urinveje og kønsorganer
BJXA	Spec.intervention med relation til urinveje og kønsorganer
BJXA0	Blæreskylning
BJXA2	Behandling af hydrocele
BJXA20	Aspiratio hydrocelis testis
BJXA21	Sclerosering hydrocelis testis
BJXA5	Pleje af kunstig vagina
BJXA6	Behandling af lidelser i tuba uterina
BJXA60	Persufflatio tubae uterinae
BJXA61	Instillatio tubae uterinae
BJXY	Procedure m.rel. til urinveje og kønsorganer ikke klass.a.st
BJXY0	Gynækologisk procedure ikke klassificeret andetsteds
BK	Graviditet og fødsel
BKH	Medikamentel behandling under graviditet, fødsel og barsel
BKHD	Behandling med uteruskontraherende middel
BKHD0	Behandling med uteruskontraherende middel efter fødsel
BKHD2	Partus provocatus medicamentalis
BKHD20	Partus provocatus medicamentalis m. prostaglandin
BKHD21	Partus provocatus medicamentalis m. oxytocin
BKHD3	Stimulatio laborum medicamentalis
BKHD30	Stimulatio laborum medicamentalis m. prostaglandin
BKHD31	Stimulatio laborum medicamentalis m. oxytocin
BKHD4	Abortus provocatus medicamentalis
BKHD40	Medicinsk induceret tidlig abort (antiprogesteron)
BKHD41	Medicinsk induceret tidlig abort (prostaglandin)
BKHD45	Medicinsk induceret sen abort (prostaglandin)
BKHD5	Medikamentel behandling efter abort, inkl. 'missed abortion'
BKHD50	Behandling med prostaglandin
BKHD51	Behandling med antiprogesteron
BKHD52	Behandling med antiprogesteron og prostaglandin
BKHD53	Behandling med oxytocin
BKHD54	Behandling med metylergometrin
BKHD8	Anden behandling med uteruskontraherende middel
BKHE	Medikamentel behandling af unormalt forløbende graviditet
BKHE0	Medicinsk behandling af ektopisk graviditet
BKHE1	Medikamentel behandling af eklampsi
BKHE2	Medikamentel behandling af praeeklampsi
BKHE3	Medikamentel behandling af hypertension i graviditeten
BKHE8	Cytostatisk behandling ved ekstrauterin graviditet
BKHG	Behandling med vehæmmende middel
BKHH	Behandling med laktationshæmmende middel
BKHI	Behandling af nyfødt med K-vitamin
BKK	Pædagogiske interv. i forb.m. graviditet,fødsel og barsel
BKKA	Pædagogiske handlinger i forbindelse med graviditet
BKKA0	Fødselsforberedelse
BKKA01	Forberedelse af fødsel med undervisning
BKKA02	Forberedelse af fødsel med instruktion
BKKA03	Forberedelse af fødsel med afspænding
BKKA04	Forberedelse af fødsel med styrketræning
BKKA05	Forberedelse af fødsel med træning i vand
BKKA2	Forberedelse i særlige forhold ved fødsel i hjemmet
BKKB	Pædagogiske interventioner i forbindelse med fødsel
BKKB0	Vejledning i lejring med henblik på barnets rotation
BKKB1	Hjælp til indtagelse af fødestillinger
BKKB10	Hjælp til indtagelse af fødestilling i fødselsøjeblikket
BKKE	Pædagogiske handlinger i forbindelse med barsel
BKKE1	Pædagogiske handlinger i forbindelse med amning
BKKE10	Vejledning i indtagelse af ammestilling
BKKE11	Vejledning om vedligeholdelse af amning
BKKE12	Vejledning i afvikling af amning
BKKE2	Stimulation mm. i forbindelse med amning
BKKE20	Stimulering af bryst
BKKE21	Stimulering af sutterefleks
BKKE22	Vejledning og instruktion i anvendelse af suttebrik
BKKE23	Facilitering af suttefunktion
BKKE4	Instruktion ved udmalkning
BKKE40	Instruktion ved manuel udmalkning
BKKE41	Instruktion ved mekanisk udmalkning
BKKE5	Instruktion i barselsgymnastik
BKKE8	Instruktion i pusling af barn
BKKG	Pædagogiske interventioner i forbindelse med abort
BKKG0	Pædagogiske interventioner i forbindelse med spontan abort
BKKG1	Pædagogiske interventioner i forbindelse med provokeret abor
BKQ	Interventioner med henblik på smertelindring ved fødsel
BKQA	Smertelindring under fødsel ved brug af hjælpemidler
BKQA0	Smertelindring under fødsel ved anbringelse i badekar
BKQA1	Smertelindring under fødsel ved anbringelse i brusebad
BKQA2	Smertelindring under fødsel ved anvendelse af varmepude
BKQA3	Smertelindring under fødsel ved anvendelse af kolde puder
BKQA4	Smertelindring under fødsel ved brug af transkutan nervestim
BKQB	Smertelindring under fødsel med brug af manuel terapi
BKQB0	Smertelindring under fødsel ved brug af massage
BKQD	Andre interventioner med smertelindring ved fødsel
BKQD0	Kontinuerlig tilstedeværelse af jordemoder
BKQD00	Kontinuerlig tilstedeværelse af jordemoder i latent fase
BKQD01	Kontinuerlig tilstedeværelse af jordemoder i aktiv fase
BKQD1	Smertelindring ved hjælp af lejringsændring
BKQD2	Smertelindring ved hjælp af fysisk bevægelse
BKQD3	Smertelindring under fødsel ved brug af vejrtrækn. og afslap
BKX	Andre interventioner i rel.til graviditet, fødsel og barsel
BKXA	Specificeret intervention i relation til graviditet, fødsel
BKXA0	Hindeløsning
BKXA1	Accouchement
BKXA2	Holde caput eller sæde oppe ved fremfald af navlesnor
BKXA3	Manuel stimulation
BKXA30	Vestimulation med zoneterapi
BKXA31	Vestimulation med akupunktur
BKXA5	Fjernelse af navleklemme
BKXA8	Early feeding (<2 timer post partum)
BKXB	Interventioner med henblik på placentafødsel
BKXB1	Assisteret fødsel af placenta
BKXB10	Assisteret fødsel af placenta ved at lægge barn til bryst
BKXB11	Assisteret fødsel af placenta ved akupunktur
BKXB12	Assisteret fødsel af placenta ved brug af syntocinon i navle
BKXB13	Assisteret fødsel af placenta ved zoneterapi
BKXC	Intervention ved blødning efter fødsel
BKXC0	Kugling af uterus
BKXC1	ompression af uterus
BKXG	Assistance ved abort
BKXG0	Assistance ved spontan abort
BKXG1	Assistance ved provokeret abort
BKZ	Særlige forhold vedrørende fødselsforløb
BKZA	Fødestilling
BKZA0	Liggende fødestilling
BKZA00	Liggende fødestilling, gynækologisk leje
BKZA01	Liggende fødestilling, sideleje
BKZA02	Liggende fødestilling, på maven over sækkestol
BKZA1	Siddende fødestilling
BKZA10	Siddende fødestilling, hugsiddende
BKZA11	Siddende fødestilling, i sækkestol
BKZA12	Siddende fødestilling, på fødestol eller -skammel
BKZA2	Stående fødestilling
BKZA20	Stående fødestilling, hængende i tov
BKZA21	Stående fødestilling, hængende i hjælper
BKZA9	Fødestilling ikke klassificeret andetsteds
BKZA90	Fødestilling på alle fire
BKZB	Fødsel i vand
BKZS	Fødestilling indtaget spontant
BL	Bevægeapparatet
BLD	Behandling med proteser, ortoser og ortopædisk fodtøj
BLDD	Behandling med overekstremitetsprotese
BLDD0	Behandling med hemiscapulær protese
BLDD00	Behandling med kosmetisk hemiscapulær protese
BLDD01	Behandling med konventionel hemiscapulær protese
BLDD02	Behandling med myo-elektrisk hemiscapulær protese
BLDD03	Behandling med kosmetisk skulderprotese
BLDD04	Behandling med speciel hemiscapulær protese
BLDD1	Behandling med skulderexartikulationsprotese
BLDD10	Behandling med kosmetisk skulderexartikulationsprotese
BLDD11	Behandling med konventionel skulderexartikulationsprotese
BLDD12	Behandling med myo-elektrisk skulderexartikulationsprotese
BLDD13	Behandling med speciel skulderexartikulationsprotese
BLDD2	Behandling med overarmsprotese
BLDD20	Behandling med kosmetisk overarmsprotese
BLDD21	Behandling med konventionel overarmsprotese
BLDD22	Behandling med myo-elektrisk overarmsprotese
BLDD23	Behandling med speciel overarmsprotese
BLDD3	Behandling med albueexartikulationsprotese
BLDD30	Behandling med kosmetisk albueexartikulationsprotese
BLDD31	Behandling med konventionel albueexartikulationsprotese
BLDD32	Behandling med myo-elektrisk albueexartikulationsprotese
BLDD33	Behandling med speciel albueexartikulationsprotese
BLDD4	Behandling med underarmsprotese
BLDD40	Behandling med kosmetisk underarmsprotese
BLDD41	Behandling med konventionel underarmsprotese
BLDD42	Behandling med myo-elektrisk underarmsprotese
BLDD43	Behandling med speciel underarmsprotese
BLDD5	Behandling med håndledsexartikulationsprotese
BLDD50	Behandling med kosmetisk håndledsexartikulationsprotese
BLDD51	Behandling med konventionel håndledsexartikulationsprotese
BLDD52	Behandling med myo-elektrisk håndledsexartikulations-protese
BLDD53	Behandling med speciel håndledsexartikulationsprotese
BLDD6	Behandling med partiel håndprotese
BLDE	Behandling med underekstremitetsprotese
BLDE0	Behandling med hemipelvectomiprotese
BLDE00	Behandling med speciel hemipelvectomiprotese
BLDE1	Behandling med hofteexartikulationsprotese
BLDE10	Behandling med speciel hofteexartikulationsprotese
BLDE2	Behandling med femurprotese
BLDE20	Behandling med speciel femurprotese
BLDE3	Behandling med knæexartikualtionsprotese
BLDE30	Behandling med speciel knæexartikualtionsprotese
BLDE4	Behandling med crusprotese
BLDE40	Behandling med PTB crusprotese
BLDE41	Behandling med speciel PTB crusprotese
BLDE42	Behandling med crusprotese med lårstykke
BLDE43	Behandling med speciel crusprotese med lårstykke
BLDE44	Behandling med Symes-protese
BLDE45	Behandling med speciel Symes-protese
BLDE46	Behandling med Pirogoff-protese
BLDE47	Behandling med speciel Pirogoff-protese
BLDE5	Behandling med kortbensprotese
BLDE50	Behandling med kortbensprotese uden knæled
BLDE51	Behandling med kortbensprotese med knæled
BLDE6	Behandling med partiel lægprotese
BLDE7	Behandling med partiel fodprotese
BLDF	Behandling med ortopædisk fodtøj
BLDF0	Behandling med ortopædisk standardfodtøj
BLDF1	Behandling med håndsyet ortopædisk fodtøj
BLDG	Behandling med ortoser
BLDG0	Behandling med overekstremitetsortose
BLDG00	Behandling med skulderortose
BLDG01	Behandling med skulder-albueortose
BLDG02	Behandling med skulder-albue-håndledortose
BLDG03	Behandling med skulder-albue-håndled-håndortose
BLDG2	Behandling med underekstremitetsortose
BLDG20	Behandling med fodortose
BLDG21	Behandling med ankel-fodortose
BLDG22	Behandling med knæortose
BLDG23	Behandling med knæ-ankel-fodortose
BLDG24	Behandling med hofteortose
BLDG25	Behandling med hofte-knæ-ankel-fodortose
BLDG5	Korsetbehandling
BLDG50	Behandling med stofkorset
BLDG51	Behandling med specialkorset
BLDG6	Behandling med halskrave
BLDG60	Behandling med blød halskrave
BLDG61	Behandling med speciel halskrave
BLDZ	Delprocedurer ved beh.med proteser, ortoser og ortopæd.fodtø
BLDZ0	Måltagning til protese, ortose og ortopædisk fodtøj
BLDZ00	Måltagning til protese
BLDZ01	Måltagning til ortose
BLDZ02	Måltagning til ortopædisk fodtøj
BLDZ1	Prøvning af protese, ortose og ortopædisk fodtøj
BLDZ10	Prøvning af protese
BLDZ11	Prøvning af ortose
BLDZ12	Prøvning af ortopædisk fodtøj
BLDZ2	Tilpasning af protese, ortose og ortopædisk fodtøj
BLDZ20	Tilpasning af protese
BLDZ21	Tilpasning af ortose
BLDZ22	Tilpasning af ortopædisk fodtøj
BLDZ3	Træning med protese, ortose og ortopædisk fodtøj
BLG	Strålebehandling med relation til bevægeapparatet
BLGA	Strålebehandling af bevægeapparatet
BLGA0	Strålebehandling af muskel
BLGA1	Strålebehandling af knogle
BLGA2	Strålebehandling af bindevæv
BLH	Medikamentel behandling af lidelser i bevægeapparatet
BLHL	Cytostatisk behandling af bevægeapparatet
BLHM	Med.systemisk beh. af lidelser i muskler, led og knogler
BLHM0	Behandling med NSAID
BLHM2	Behandling med langsomtvirkende antirheumatika
BLHM3	Behandling med lavdosis cytostatica
BLHM4	Medikamentel behandling med urinsyresænkende middel
BLHM5	Behandling med antirheumatika til udvortes brug
BLHM6	Behandling med muskelrelakserende middel
BLHN	Medikamentel lokalbeh. af lidelser i muskler, led og knogler
BLHN0	Terapeutisk steroidinjektion i led
