Copyright, Sundhedsstyrelsen
Sundhedsstyrelsens SKS-koder opdateres månedligt.
Dette udtræk modsvarer opdateringen d 01/04-2004 15:15:02.

"Kode";"Tekst"
"BGAZ1";"Skiftning af tube i luftveje"
"BGAZ11";"Skiftning af oraltube"
"BGAZ12";"Skiftning af nasaltube"
"BGAZ13";"Skiftning af trakealtube"
"BGAZ14";"Skiftning af trakealkanyle"
"BGAZ2";"Fjernelse af tube i luftveje"
"BGAZ20";"Fjernelse af tungeholder"
"BGAZ21";"Fjernelse af oraltube"
"BGAZ22";"Fjernelse af nasaltube"
"BGAZ23";"Fjernelse af trakealtube"
"BGAZ24";"Fjernelse af trakealkanyle"
"BGD";"Behandling med respirator mm."
"BGDA";"Respiratorbehandling og anden assisteret ventilation"
"BGDA0";"Respiratorbehandling"
"BGDA00";"PEEP-behandling med respirator"
"BGDA01";"Differentieret respiratorbehandling"
"BGDA02";"Respiratorbehandling i bugleje"
"BGDA1";"Non-invasiv ventilation (NIV)"
"BGDA6";"Ventilation"
"BGDA60";"Manuel ventilation med maske"
"BGDA61";"Manuel ventilation gennem trakealtube"
"BGDA62";"Mund-til-næse ventilation"
"BGDA63";"Mund-til-mund ventilation"
"BGDA7";"Tilslutning af patient til respirator"
"BGF";"Interventioner ved behandling af respirationslidelser"
"BGFC";"Lungeterapi og anden respirationsbehandling"
"BGFC0";"Lungeterapi med fokus på vitalkapacitet"
"BGFC00";"Diafragmatiske respirationsøvelser"
"BGFC01";"Latero-basale respirationsøvelser"
"BGFC02";"Mobilisering til forbedring af vitalkapacitet"
"BGFC03";"Styrke- og konditionstræning med fokus på vitalkapacitet"
"BGFC04";"Mobilis. øvelser for thorax til forbedring af vitalkapacitet"
"BGFC05";"Manuel stimulation af thorax med fokus på vitalkapacitet"
"BGFC06";"Respirationsmuskeltræning (RMT)"
"BGFC07";"Indøvning af hvilestillinger med fokus på vitalkapacitet"
"BGFC1";"Lungeterapi ved sekretproblemer"
"BGFC10";"Indøvning af støde- og hosteteknik"
"BGFC11";"Drænage og stillingsændringer ved sekretproblemer"
"BGFC12";"'Pursed lip-breathing' ved sekretproblemer"
"BGFC13";"Behandling af sekretproblemer med vibrationer"
"BGFC14";"Behandling af sekretproblemer med tapotement"
"BGFC15";"Behandling af sekretproblemer med squeezing"
"BGFC16";"Behandling af sekretproblemer med mobilisering"
"BGFC3";"Maskebehandling"
"BGFC30";"PEP-behandling"
"BGFC32";"Nasal CPAP-behandling"
"BGFC33";"Intermitterende CPAP behandling med maske"
"BGFC34";"BiPAP-behandling"
"BGFC7";"Kompenserende støttehandling ved respirationsproblemer"
"BGFC70";"Kompens.støttehandl.mhp. korrekt lejr.ved respirationsprobl."
"BGFC71";"Elevation af hovedgærde ved vejrtrækningsproblemer"
"BGH";"Medikamentel behandling af luftvejslidelser"
"BGHF";"Behandling med lungemodnende middel"
"BGHR";"Medikamentel behandling af respirationslidelser"
"BGHR0";"Medikamentel behandling af astma"
"BGHR00";"Bronkodilaterende medikamentel behandling af astma"
"BGHR01";"Forebyggende medikamentel behandling af astma"
"BGHR1";"Behandling af hoste"
"BGHR10";"Behandling med hostestillende middel"
"BGHR11";"Behandling med slimløsnende middel"
"BGHR9";"Med.beh.af respirationslidelse ikke klass.andetsteds"
"BGK";"Pædagogiske interventioner vedrørende respirationslidelser"
"BGKA";"Instruktion i ekspektoratopsamling"
"BGKB";"Instruktion i hvilestilling ved respirationsbesvær"
"BGKC";"Vejledning vedr. behandling af astma og kol"
"BGKC0";"Vejledning vedr. behandling af astma og kol med tabletter"
"BGKC1";"Vejledning vedr. behandling af astma og kol med inhalation"
"BGKC2";"Vejledning vedr. forebyggende  behandling af astma og kol"
"BGKC3";"Vejledning vedr. bronkieudvid.  behandling af astma og kol"
"BGKD";"Vejledning i peak flow monitorering"
"BGKF";"Vejledning i vurdering af egen respirationsfunktion"
"BGKG";"Vejledning af patient med respirationslidelse pga. allergi"
"BGKG0";"Vejledning af patient om støvsanering"
"BGKG00";"Vejledning af patient i støvopsamling"
"BGKG1";"Vejledning af patient om indeklimaproblemer"
"BGKG2";"Vejledning af patient om pollenallergi"
"BGKH";"Vejledning af patient om iltbehandling"
"BGKI";"Vejledning af patient om CPAP-behandling"
"BGL";"Soignering mm. med relation til luftveje"
"BGLF";"Soignering af tube og stomi med relation til luftveje"
"BGLF1";"Soignering af oraltube"
"BGLF2";"Soignering af nasaltube"
"BGLF3";"Soignering af trakealtube"
"BGLF4";"Soignering af trakeostomi"
"BGM";"Interventioner med relation til ekspektoration"
"BGME";"Interventioner ved sekretion fra luftveje"
"BGME0";"Sugning af øvre luftveje"
"BGME1";"Sugning af nedre luftveje"
"BGME10";"Trakealsugning"
"BGME11";"Trakealsugning gennem tube"
"BGME12";"Trakealsugning gennem kanyle"
"BGME5";"Kompenserende støtte ved ekspektoration"
"BGX";"Andre interv.med rel.til brysthule, lunger og respiration"
"BGXA";"Spec.interv.med rel.til brysthule, lunger og respiration"
"BGXA0";"Hyperventilationsbehandling"
"BGXA1";"Fugterbehandling"
"BGXA10";"Behandling med forstøver"
"BGXA2";"Ekstrakorporal membran oxygenering (ECMO)"
"BGXA5";"Iltbehandling"
"BGXA50";"Iltbehandling med nasalkateter"
"BGXA51";"Iltbehandling med maske"
"BGXA52";"Iltbehandling med tragt"
"BGXA53";"Iltbehandling i ilttelt"
"BGXA54";"Iltbehandling i kuvøse"
"BGXA55";"Iltbehandling gennem trakealkanyle"
"BGXA6";"Hyperbar iltbehandling"
"BGXA6C";"Hyperbar iltbehandling, US NAVY Tabel 3"
"BGXA6D";"Hyperbar iltbehandling, US NAVY Tabel 4"
"BGXA6DH";"Hyperbar iltbehandling, US NAVY Tabel 4, med Heliox"
"BGXA6DN";"Hyperbar iltbehandling, US NAVY Tabel 4, med Nitrox"
"BGXA6E";"Hyperbar iltbehandling, US NAVY Tabel 5"
"BGXA6F";"Hyperbar iltbehandling, US NAVY Tabel 6"
"BGXA6G";"Hyperbar iltbehandling, US NAVY Tabel 6A"
"BGXA6GH";"Hyperbar iltbehandling, US NAVY Tabel 6A, med Heliox"
"BGXA6GN";"Hyperbar iltbehandling, US NAVY Tabel 6A, med Nitrox"
"BGXA6H";"Hyperbar iltbehandling, modificeret Tabel 6A"
"BGXA6HH";"Hyperbar iltbehandling, modificeret Tabel 6A, med Heliox"
"BGXA6HN";"Hyperbar iltbehandling, modificeret Tabel 6A, med Nitrox"
"BGXA6I";"Hyperbar iltbehandling, US NAVY Tabel 7"
"BGXA6J";"Hyperbar iltbehandling, US NAVY Tabel 8"
"BGXA6N";"Hyperbar iltbehandling, Tabel Comex 30"
"BGXA6NH";"Hyperbar iltbehandling, Tabel Comex 30, med Heliox"
"BGXA6NN";"Hyperbar iltbehandling, Tabel Comex 30, med Nitrox"
"BGXA6Q";"Hyperbar iltbehandling, Tabel RH 14"
"BGXA6R";"Hyperbar iltbehandling, Tabel RH 15"
"BGXA6S";"Hyperbar iltbehandling, Tabel RH 18"
"BGXA6T";"Hyperbar iltbehandling, Tabel RH 30"
"BGXA7";"Pulmonal vasodilatationsbehandling ved inhalation"
"BGXA71";"NO inhalationsbehandling"
"BGXA72";"Epoprostenol inhalationsbehandling"
"BGXA8";"Teknisk service knyttet til iltbehandling"
"BGXA80";"Udskiftning af iltbeholder ved iltbehandling"
"BGXY";"Interv.med rel.til brysthule, lunger og resp.ikke klas.a.st."
"BH";"Mamma"
"BHD";"Behandling med brystprotese"
"BHDD";"Behandling med ekstern brystprotese"
"BHH";"Medikamentel behandling af lidelse i mamma"
"BHHH";"Hormonel behandling af mamma"
"BHK";"Pædagogiske interventioner vedrørende mamma"
"BHKA";"Instruktion i brug af brystprotese"
"BHKB";"Instruktion af øvelser efter brystoperation"
"BI";"Mave-tarmkanal"
"BIA";"Behandling med sonder ved lidelser i mave-tarmkanalen"
"BIAD";"Behandling med gastro-intestinal sonde"
"BIAD0";"Behandling med nasalsonde til ventrikel og duodenum"
"BIAD1";"Behandling med nasalsonde til jejunum"
"BIAD3";"Behandling med Sengstaken-sonde"
"BIAD30";"Skylning af ventrikel gennem Sengstaken-sonde"
"BIAD31";"Ophævelse af kompression med Sengstaken-sonde"
"BIAD32";"Desufflering af oesophagusballon på Sengstaken-sonde"
"BIAD33";"Desufflering af ventrikelballon på Sengstaken-sonde"
"BIAD5";"Beh.med sonde til ventr. og duodenum ikke klass.a.st."
"BIAD7";"Behandling med rektalsonde"
"BIAZ";"Delprocedurer ved behandling med gastro-intestinal sonde"
"BIAZ0";"Anlæggelse af gastro-intestinal sonde"
"BIAZ00";"Anlæggelse af nasalsonde til ventrikel og duodenum"
"BIAZ01";"Anlæggelse af nasalsonde til jejunum"
"BIAZ03";"Anlæggelse af Sengstaken-sonde"
"BIAZ05";"Anlæg. af sonde til ventrikel og duodenum ikke klass.a.st."
"BIAZ07";"Anlæggelse af rektalsonde"
"BIAZ1";"Skiftning af gastro-intestinal sonde"
"BIAZ10";"Skiftning af nasalsonde til ventrikel og duodenum"
"BIAZ11";"Skiftning af nasalsonde til jejunum"
"BIAZ13";"Skiftning af Sengstaken-sonde"
"BIAZ15";"Skiftning af sonde til ventrikel og duodenum ikke klas.a.st."
"BIAZ2";"Fjernelse af gastro-intestinal sonde"
"BIAZ20";"Fjernelse af nasalsonde til ventrikel og duodenum"
"BIAZ21";"Fjernelse af nasalsonde til jejunum"
"BIAZ23";"Fjernelse af Sengstaken-sonde"
"BIAZ25";"Fjernelse af sonde til ventrikel og duodenum ikke klas.a.st."
"BIAZ27";"Fjernelse af rektalsonde"
"BIB";"Beh.af lidelse i mave-tarmkanal m.perkut.katetre,sonder,dræn"
"BIBG";"Behandl. m. perkutane sonder og dræn til fordøjelses-kanalen"
"BIBG0";"Behandling med gastrostomisonde"
"BIBG1";"Behandling med jejunostomi-sonde"
"BIBG2";"Behandling med galdevejsdræn"
"BIBG3";"Behandling med jejunumsonde via gastrostomi"
"BIBZ";"Delprocedure v.beh.m.perkut.sonder/dræn til mave-tarmkanalen"
"BIBZ0";"Anlæggelse af sonde og dræn til mave-tarmkanalen"
"BIBZ00";"Anlæggelse af gastrostomisonde"
"BIBZ01";"Anlæggelse af jejunostomi-sonde"
"BIBZ03";"Anlæggelse af  jejunumsonde via gastrostomi"
"BIBZ1";"Skiftning af sonde og dræn til mave-tarmkanalen"
"BIBZ10";"Skiftning af gastrostomisonde"
"BIBZ11";"Skiftning af jejunostomi-sonde"
"BIBZ13";"Skiftning af jejunumsonde via gastrostomi"
"BIBZ2";"Fjernelse af sonde og dræn til mave-tarmkanalen"
"BIBZ20";"Fjernelse af gastrostomisonde"
"BIBZ21";"Fjernelse af jejunostomi-sonde"
"BIBZ22";"Fjernelse af galdevejsdræn"
"BIBZ23";"Fjernelse af jejunumsonde via gastrostomi"
"BID";"Bandagebeh. med eksterne bandager ved mave-tarmsygdomme"
"BIDA";"Bandagebehandling ved stomi"
"BIDA0";"Behandling med stomibandage"
"BIDA1";"Bandagebehandling ved stomibrok"
"BIH";"Med. behandling m relation til lidelser i fordøjelsesorganer"
"BIHA";"Medikamentel behandling af lidelse i mave-tarmkanal"
"BIHA0";"Medikamentel behandling af lidelse i ventrikel og duodenum"
"BIHA00";"Behandling med H2-receptorantagonist"
"BIHA01";"Behandling med syrepumpehæmmer"
"BIHA02";"Behandling med mucosaprotektivt middel"
"BIHA03";"Eradikationsbehandling"
"BIHA04";"Behandling med antirefluksmiddel"
"BIHA05";"Behandling med syreneutraliserende middel"
"BIHA1";"Medikamentel behandling af lidelse i tynd- og tyktarm"
"BIHA10";"Behandling med tarmantiinflammatorikum"
"BIHA11";"Behandling med glukokortikoidholdigt klysma"
"BIHA2";"Medikamentel behandling af pancreaslidelse"
"BIHA8";"Anden specificeret medikamentel beh. af mave-tarmlidelse"
"BIHA80";"Behandling med middel mod diarrhoe"
"BIHA81";"Behandling med laksantium"
"BIHA82";"Behandling med anoreksikum"
"BIK";"Pædagogiske interventioner vedrørende mave-tarmkanalen"
"BIKA";"Vejledning i pleje af stomi"
"BIKA0";"Vejledning i valg af stomibandage"
"BIKB";"Instruktion i stomipasning"
"BIKB0";"Instruktion i irrigation i stomi"
"BIKC";"Vejledning i særlige forhold for stomipatient"
"BIKC0";"Vejledning ved seksuelle problemer for stomipatient"
"BIKC1";"Vejledning ved sociale problemer for stomipatient"
"BIKD";"Vejledning i fæcesopsamling"
"BIKH";"Vejledning til levertransplanteret patient"
"BIKK";"Vejledning i procedurer relateret til tarmens funktion"
"BIKK1";"Instruktion i høj colonirrigation"
"BIL";"Soignering af sonder/katetre med rel.til mave-tarmkanalen"
"BILF";"Soignering af sonde i mave-tarmkanalen og enterostomi"
"BILF0";"Soignering af sonde til ventrikel og duodenum"
"BILF01";"Soignering af nasalsonde til ventrikel og duodenum"
"BILF1";"Soignering af gastrostomisonde"
"BILF2";"Soignering af jejunostomi-kateter"
"BILF3";"Soignering af ileostomi"
"BILF4";"Soignering af kolostomi"
"BILF6";"Soignering af galdevejsdræn"
"BIM";"Tømning, stomipleje mm. med relation til mave-tarmkanalen"
"BIMA";"Ventrikeltømning"
"BIMA0";"Ventrikelaspiration"
"BIMA00";"Ventrikelaspiration ved permanent sug"
"BIMA01";"Manuel ventrikelaspiration"
"BIMA1";"Kompenserende støtte ved opkastning"
"BIMB";"Tømning af tarm, rektalt"
"BIMB0";"Manuel udhentning af fekalia"
"BIMB1";"Transanal irrigation"
"BIMC";"Colonirrigation"
"BIMC1";"Høj colonirrigation"
"BIMZ";"Delprocedurer ved enterostomibehandling"
"BIMZ0";"Påsætning af enterostomipose"
"BIMZ00";"Påsætning af ileostomipose"
"BIMZ01";"Påsætning af kolostomipose"
"BIMZ1";"Tømning af enterostomipose"
"BIMZ10";"Tømning af ileostomipose"
"BIMZ11";"Tømning af kolostomipose"
"BIMZ2";"Fjernelse af enterostomipose"
"BIMZ20";"Fjernelse af ileostomipose"
"BIMZ21";"Fjernelse af kolostomipose"
"BIMZ5";"Irrigation af enterostomi"
"BIX";"Andre interventioner i relation til mave-tarmkanalen"
"BIXA";"Procedurer vedrørende sekretion"
"BIXA0";"Pleje af dræn"
"BIXA00";"Skylning af dræn"
"BIXA01";"Afkortning af dræn"
"BIXA1";"Anvendelse af drænpose"
"BIXA2";"Anvendelse af drænsug"
"BIXB";"Irrigation af endetarmsstump"
"BIXY";"Intervention med rel.til mave-tarmkanalen ikke klas.andetst."
"BIXY0";"Colonmassage"
"BIXY1";"Bækkenbundstræning ved anale dysfunktioner"
"BIXY5";"Markering af stomisted"
"BIXZ";"Delprocedurer ved behandling med dræn"
"BIXZ0";"Påsætning af drænposer og drænsug"
"BIXZ00";"Påsætning af drænpose"
"BIXZ01";"Etablering af drænsug"
"BIXZ1";"Skiftning og tømning af drænposer og drænsug"
"BIXZ10";"Skiftning og tømning af drænpose"
"BIXZ11";"Skiftning og tømning af drænsug"
"BIXZ2";"Fjernelse af dræn, drænposer og drænsug"
"BIXZ20";"Fjernelse af dræn"
"BIXZ21";"Fjernelse af drænpose"
"BIXZ22";"Fjernelse af drænsug"
"BJ";"Nyrer, urinveje og kønsorganer"
"BJA";"Behandling med blærekateter"
"BJAA";"Blærekateterisation"
"BJAA0";"Éngangskaterisation af blæren"
"BJAA1";"Behandling med blærekateter a demeure"
"BJAZ";"Delprocedurer ved behandling med blærekateter"
"BJAZ0";"Anlæggelse af blærekateter"
"BJAZ00";"Anlæggelse af blærekateter a demeure"
"BJAZ1";"Skiftning af blærekateter"
"BJAZ10";"Skiftning af blærekateter a demeure"
"BJAZ14";"Skiftning af suprapubisk kateter"
"BJAZ2";"Fjernelse af blærekateter"
"BJAZ20";"Fjernelse af blærekateter a demeure"
"BJAZ24";"Fjernelse af suprapubisk katater"
"BJAZ3";"Skylning af blærekateter"
"BJAZ30";"Skylning af blærekateter a demeure"
"BJB";"Behandling med nefrostomikateter"
"BJBZ";"Delprocedurer ved behandling med nefrostomikateter"
"BJBZ0";"Anlæggelse af nefrostomikateter"
"BJBZ1";"Skiftning af nefrstomikateter"
"BJBZ2";"Fjernelse af nefrostomikateter"
"BJC";"Antikonception"
"BJCA";"Medikamentel antikonception"
"BJCA0";"Antikonception med P-piller"
"BJCA1";"Antikonception med mini-piller"
"BJCA2";"Antikonception med P-sprøjte"
"BJCA3";"Antikonception med subkutant implantat"
"BJCA4";"Antikonception med fortrydelsespiller"
"BJCD";"Intrauterin antikonception"
"BJCD0";"Antikonception med spiral"
"BJCD00";"Antikonception med kobberspiral"
"BJCD01";"Antikonception med hormonspiral"
"BJCD02";"Antikonception med anden spiral"
"BJCE";"Vaginal antikonception"
"BJCE0";"Pessar til antikonception"
"BJCE1";"Antikonception med vaginalt kondom"
"BJCF";"Antikonception med mandligt kondom"
"BJCZ";"Delprocedure ved antikonception"
"BJCZ0";"Indlæggelse af spiral"
"BJCZ00";"Indlæggelse af spiral med kobber"
"BJCZ01";"Indlæggelse af spiral med hormon"
"BJCZ02";"Indlæggelse af anden spiral"
"BJCZ07";"Indlæggelse af vaginalpessar (antikonception)"
"BJCZ2";"Fjernelse af spiral"
"BJCZ3";"Fjernelse af subkutant antikonceptivt implantat"
"BJCZ7";"Måltagning til vaginalpessar (antikonception)"
"BJD";"Prolapsbehandling med hjælpemidler"
"BJDA";"Behandling med vaginalring"
"BJDA0";"Vaginalringsbehandling"
"BJDY";"Prolapsbehandling med hjælpemidler ikke klass. Andetsteds"
"BJDY0";"Bækkenbundstræning ved nedsynkning af underlivsorganer"
"BJDZ";"Delprocedure ved prolapsbehandling med hjælpemidler"
"BJDZ0";"Indlæggelse af vaginalring"
"BJDZ1";"Skiftning af vaginalring"
"BJDZ7";"Måltagning til vaginalring"
"BJF";"Behandling af dysfunktioner i nyrer, urinveje og kønsorganer"
"BJFA";"Inkontinensbehandling"
"BJFA0";"Elstimulationsbehandling ved inkontinens"
"BJFA1";"Træning ved inkontinens"
"BJFA10";"Træning af vandladningsvaner ved inkontinens (blæretræning)"
"BJFA11";"Træn. af bækkenbundsmuskulatur v.inkont.(bækkenbundstræning)"
"BJFD";"Dialysebehandling"
"BJFD0";"Akut dialyse"
"BJFD00";"Akut hæmodialyse"
"BJFD01";"Akut peritonealdialyse"
"BJFD02";"Kontinuerlig vene-vene-diahæmofiltration (CVVDHF)"
"BJFD2";"Dialyse ved kronisk nyresygdom"
"BJFD20";"Hæmodialyse ved kronisk nyresygdom"
"BJFD21";"Kontinuerlig ambulant peritonealdialyse, CAPD"
"BJFD22";"Intermitterende peritonealdialyse, IPD"
"BJFD23";"Natlig peritonealdialyse, NPD"
"BJFD24";"Kontinuerlig cyklisk peritonealdialyse, CCPD"
"BJFD25";"Daglig ambulant peritonealdialyse, DAPD"
"BJFD26";"Hæmodiafiltration"
"BJFD27";"Automatisk peritonealdialyse, APD"
"BJFF";"Behandling ved nyre- og blærelidelser ikke klass.andetsteds"
"BJFF0";"Forceret diurese"
"BJFF1";"Blærekompression"
"BJFF2";"Blæretapotement"
"BJFL";"Behandling af dysfunktioner i kønsorganer"
"BJFL0";"Fertilitetsbehandling"
"BJFL00";"Fertilisatio in vitro (IVF) uden mikroinsemination (ICSI)"
"BJFL00A";"Fertilisering in vitro (IVF) med donor sæd"
"BJFL01";"Mikroinsemination (ICSI)"
"BJFL01A";"Mikroinsemination (ICSI) med ejakuleret sperm"
"BJFL01B";"Mikroinsem. (ICSI) m testikulært aspireret sperm (TESE / PESA)"
"BJFL03";"Mikroinsemination (ICSI) med donor sæd"
"BJFL04";"Behandling med optøede embryoner"
"BJFL05";"Donerede æg modtaget af recipient (antal)"
"BJFL09";"Assiteret fertilisering ikke klassificeret andetsteds"
"BJFL3";"Insemination"
"BJFL30";"Insemination med sæd fra partner"
"BJFL31";"Insemination med sæd fra donor"
"BJFL6";"Andrologisk behandling"
"BJFL60";"Erectio artificialis"
"BJFZ";"Delprocedurer ved dialysebehandling"
"BJFZ0";"Tilslutning af dialyseapparatur til patient"
"BJFZ00";"Tilslutning af hæmodialyseapparatur til patient"
"BJFZ01";"Tilslutning af peritonealdialyseapparatur til patient"
"BJFZ1";"Fjernelse af dialyseapparatur fra patient"
"BJFZ10";"Fjernelse af hæmodialyseapparatur fra patient"
"BJFZ11";"Fjernelse af peritonealdialyseapparatur fra patient"
"BJFZ4";"Delprocedure vedrørende dialysekateter"
"BJFZ40";"Anlæggelse af hæmodialysekateter"
"BJFZ41";"Skift af hæmodialysekateter"
"BJFZ42";"Skylning af hæmodialysekateter"
"BJFZ43";"Fjernelse af hæmodialysekateter"
"BJFZ44";"Omlægning af hæmodialysekateter"
"BJFZ45";"Anlæggelse af peritonaldialysekateter"
"BJFZ46";"Skift af peritonaldialysekateter"
"BJFZ47";"Skylning af peritonaldialysekateter"
"BJFZ48";"Fjernelse af peritonaldialysekateter"
"BJFZ49";"Omlægning af peritonealdialysekateter"
"BJFZ6";"Slangeskift ved dialysebehandling"
"BJFZ60";"Slangeskift ved peritonealdialysekateter"
"BJFZ9";"Tilpasning af dialyseapparatur til patient"
"BJFZ90";"Programmering af kort til individuel dialysebehandling"
"BJFZ91";"Justering af individuel dialysebehandling"
"BJH";"Medikam.beh. med rel.til nyrer, urinveje og kønsorganer"
"BJHA";"Medikamentel peroral behandling af elektrolytforstyrrelser"
"BJHA0";"Peroral behandling af elektrolytforstyrrelser"
"BJHE";"Medikamentel behandling af blærelidelse"
"BJHE0";"Medikamentel behandling af blærespasmer"
"BJHE1";"Installation af lægemiddel i blæren"
"BJHE11";"Installation af BCG i blæren"
"BJHE12";"Installation af cytostatikum i blæren"
"BJHE12A";"Installation af mitomycin-C i blæren"
"BJHE18";"Installation af andet lægemiddel i blæren"
"BJHE18A";"Installation af lidokain i blæren"
"BJHE18B";"Installation af DMSO i blæren"
"BJHE18C";"Installation af cystistat i blæren"
"BJHE18D";"Installation af alun i blæren"
"BJHE18E";"Installation af lapis i blæren"
"BJHF";"Medikamentel behandling af manglende erektion"
"BJHG";"Medikamentel gynækologisk lokalbehandling"
"BJHG0";"Gynækologisk lokalbeh. med antibiotikum og antiseptikum"
"BJHG00";"Behandling med antibakterielt vaginalmiddel"
"BJHG01";"Behandling med antiviralt vaginalmiddel"
"BJHG02";"Behandling med antimykotisk vaginalmiddel"
"BJHG03";"Behandling med vaginalmiddel mod protozoer"
"BJHG1";"Antikonception med kemisk middel"
"BJK";"Pædagogiske interventioner vedr.beh.af urin og kønsorganer"
"BJKA";"Pædagogiske handl.vedr. behandling af urininkontinens"
"BJKA0";"Vejledning og undervisning til inkontinenspatient"
"BJKA00";"Undervisning i blærefunktion"
"BJKA01";"Miktionsrådgivning"
"BJKA02";"Vejledning og undervisning i selvkateterisation"
"BJKA1";"Rådgivning om hjælpemidler til inkontinenspatient"
"BJKA10";"Rådgivning om brug af drypbind"
"BJKA11";"Rådgivning om brug af urinbind"
"BJKA12";"Rådgivning om brug af penisklemme"
"BJKA13";"Rådgivning om brug af vaginaltampon"
"BJKA14";"Rådgivning om brug af vaginalvægte"
"BJKB";"Pædagogiske handlinger i relation til dialyse"
"BJKB0";"Oplæring i brug af kronisk peritonealdialyse, CAPD"
"BJKB1";"Oplæring i brug af maskine til peritonealdialyse"
"BJKB2";"Oplæring i brug af maskine til hæmodialyse"
"BJKD";"Pædagogiske handlinger vedrørende antikonception"
"BJKD0";"Vejledning vedrørende antikonception"
"BJKD00";"Vejledning vedrørende hormonel antikonception"
"BJKD01";"Vejledning vedrørende antikonception med vaginalt pessar"
"BJKD02";"Vejledning vedrørende antikonception med vaginalt kondom"
"BJKD03";"Vejledning vedrørende antikonception med kondom"
"BJKD04";"Vejledning vedrørende antikonception med spiral"
"BJKD05";"Vejledning vedrørende antikonception med kemiske midler"
"BJKE";"Pædagogiske handlinger vedrørende impotens"
"BJKE0";"Vejledning vedrørende impotensbehandling"
"BJKF";"Pædagogiske handlinger vedrørende fertilitet"
"BJKF0";"Vejledning vedrørende fertilitetsbehandling"
"BJKF1";"Rådgivning vedrørende fertilitet/infertilitet"
"BJKY";"Pædagog.handl.v. beh.af urin- og kønsorganer ikke klass.a.st"
"BJKY0";"Vejledning i urinopsamling"
"BJL";"Soignering mm. i relation til urinveje og kønsorganer"
"BJLA";"Soignering af kateter og urostomi"
"BJLA0";"Soignering af blærekateter"
"BJLA1";"Soignering af urostomi"
"BJLA10";"Soignering af cystostomi"
"BJLA11";"Soignering af ureterostomi"
"BJLA12";"Soignering af urethrastomi"
"BJLA13";"Soignering af nefrostomi"
"BJLA14";"Soignering af urinafledende enterostomi"
"BJLC";"Skylning af vagina"
"BJLC0";"Vaginalskylning"
"BJLD";"Soignering af vaginalring"
"BJM";"Intervent.ved vandladning og urinudtømning gennem urostomi"
"BJMC";"Kompenserende handling mhp. urinudtømning"
"BJMC0";"Komp. handling mhp. anv. af hjælpemiddel ved vandladning"
"BJMC00";"Kompenserende handling mhp. anvendelse af uridom"
"BJMC01";"Kompenserende handling mhp. anvendelse af dryppose"
"BJMC02";"Kompenserende handling mhp. anvendelse af urinpose"
"BJMC03";"Kompenserende handling mhp. anvendelse af uretraprop"
"BJML";"Pleje af urostomi"
"BJMZ";"Delprocedurer ved behandling og pleje af urostomi"
"BJMZ0";"Påsætning af urostomipose"
"BJMZ00";"Påsætning af cystostomipose"
"BJMZ01";"Påsætning af nefrostomipose"
"BJMZ02";"Påsætning af ureterostomipose"
"BJMZ03";"Påsætning af urethrastomipose"
"BJMZ04";"Påsætning af pose på urinafledende enterostomi"
"BJMZ1";"Skiftning af urostomipose"
"BJMZ10";"Skiftning af cystostomipose"
"BJMZ11";"Skiftning af nefrostomipose"
"BJMZ12";"Skiftning af ureterostomipose"
"BJMZ13";"Skiftning af urethrastomipose"
"BJMZ14";"Skiftning af pose på urinafledende enterostomi"
"BJMZ2";"Fjernelse af urostomipose"
"BJMZ20";"Fjernelse af cystostomipose"
"BJMZ21";"Fjernelse af nefrostomipose"
"BJMZ22";"Fjernelse af ureterostomipose"
"BJMZ23";"Fjernelse af urethrastomipose"
"BJMZ24";"Fjernelse af pose på urinafledende enterostomi"
"BJX";"Andre intervent. med rel. til urinveje og kønsorganer"
"BJXA";"Spec.intervention med relation til urinveje og kønsorganer"
"BJXA0";"Blæreskylning"
"BJXA2";"Behandling af hydrocele"
"BJXA20";"Aspiratio hydrocelis testis"
"BJXA21";"Sclerosering hydrocelis testis"
"BJXA5";"Pleje af kunstig vagina"
"BJXA6";"Behandling af lidelser i tuba uterina"
"BJXA60";"Persufflatio tubae uterinae"
"BJXA61";"Instillatio tubae uterinae"
"BJXY";"Procedure m.rel. til urinveje og kønsorganer ikke klass.a.st"
"BJXY0";"Gynækologisk procedure ikke klassificeret andetsteds"
"BJXY5";"Procedure m.rel. til mandlige kønsorganer ikke klass.a.st."
"BJXY50";"Høst af sæd"
"BJXY51";"Nedfrysning af ovarievæv (kryopreservering)"
"BK";"Graviditet og fødsel"
"BKH";"Medikamentel behandling under graviditet, fødsel og barsel"
"BKHD";"Behandling med uteruskontraherende middel"
"BKHD0";"Behandling med uteruskontraherende middel efter fødsel"
"BKHD2";"Partus provocatus medicamentalis"
"BKHD20";"Partus provocatus medicamentalis m. prostaglandin"
"BKHD21";"Partus provocatus medicamentalis m. oxytocin"
"BKHD3";"Stimulatio laborum medicamentalis"
"BKHD30";"Stimulatio laborum medicamentalis m. prostaglandin"
"BKHD31";"Stimulatio laborum medicamentalis m. oxytocin"
"BKHD4";"Abortus provocatus medicamentalis"
"BKHD40";"Medicinsk induceret tidlig abort (antiprogesteron)"
"BKHD41";"Medicinsk induceret tidlig abort (prostaglandin)"
"BKHD45";"Medicinsk induceret sen abort (prostaglandin)"
"BKHD5";"Medikamentel behandling efter abort, inkl. 'missed abortion'"
"BKHD50";"Behandling med prostaglandin"
