OPR	OPRNAVN
KFBW96	Operation, arteria pulmonalis og dens grene, anden
KFC	Operationer på thoracale og thoraco-abdominale aorta
KFCA	Sutur og rekonstruktion af aorta ascendens
KFCA00	Sutur af aorta ascendens
KFCA10	Rekonstruktion af aorta ascendens med deling og sutur
KFCA20	Wrapping af aorta ascendens
KFCA30	Resektion og sutur af aorta ascendens
KFCA40	Rekonstruktion af aorta ascendens med patch
KFCA50	Resektion og rekonstruktion af aorta ascendens
KFCA60	Resektion af aorta m reimpl af coronarkar m composite graft
KFCA70	Resektion af aorta m reimpl af coronarkar m biol. protese
KFCA96	Rekonstruktion af aorta ascendens, anden
KFCB	Sutur og rekonstruktion af arcus aortae
KFCB00	Sutur af arcus aortae
KFCB10	Rekonstruktion af arcus aortae med deling og sutur
KFCB20	Resektion og sutur af arcus aortae
KFCB30	Rekonstruktion af arcus aortae med patch
KFCB40	Resektion og rekonstruktion af arcus aortae med tube graft
KFCB50	Resektion af arcus aortae med implantation af sidegrene
KFCB96	Rekonstruktiv operation på arcus aortae, anden
KFCC	Sutur og rekonstruktion af aortae descendens
KFCC00	Sutur af aorta descendens
KFCC10	Rekonstruktion af aorta descendens med deling og sutur
KFCC30	Resektion og sutur af aorta descendens
KFCC40	Rekonstruktion af aorta descendens med patch
KFCC50	Resektion og rekonstruktion af aorta descendens m tube graf
KFCC60	Resektion af aorta descendens med implantation af sidegrene
KFCC70	By-pass mellem aorta desc. og aorta thor-abdom. m tube graf
KFCC75	By-pass til aorta thoraco-abdominalis med tube graft
KFCC96	Rekonstruktiv operation på aorta descendens, anden
KFCD	Sutur og rekonstruktion af aorta thoraco-abdominalis
KFCD00	Sutur af aorta thoraco-abdominalis
KFCD10	Forstærkning af aorta thoraco-abdominalis med sutur
KFCD30	Rekonstruktion af aorta thoraco-abdominalis med patch
KFCD40	Resektion og sutur af aorta thoraco-abdominalis
KFCD50	Resektion og rekonstruktion af aorta thor-abdom m tube graf
KFCD60	Resektion af aorta thor-abdom. og implantation af sidegrene
KFCD70	By-pass af aorta thoraco-abdominalis med tube graft
KFCD96	Rekonstruktion af aorta thoraco-abdominalis, anden
KFCE	Lukning af erhvervet aortafistel
KFCE00	Lukning af rumperet aneurisme i sinus valsalvae
KFCE10	Lukning af aorto-venøs fistel
KFCE12	Perkutan transluminal lukning af aortovenøs fistel
KFCE20	Lukning af aorto-pulmonal fistel
KFCE22	Perkutan transluminal lukning af aortopulmonal fistel
KFCE30	Lukning af aorto-bronchial fistel
KFCE35	Lukning af aorto-kardial fistel
KFCE40	Lukning af aorto-enterisk fistel
KFCE96	Lukning af anden erhvervet aortafistel
KFCF02	Perkutan transluminal lukning af aortopulmonal kollateral
KFCW	Andre operationer på aorta thoracalis og thoracoabdominalis
KFCW96	Operation, aorta thoracalis og thoracoabdominalis, anden
KFD	Operationer f. anomalier/defekter med rel. til thoracalaorta
KFDA	Operation for hypoplastisk venstre hjertesyndrom (HLHS)
KFDA00	Aortaplastik og aortico-pulmonal shunt. Norwood seance 1
KFDA96	Operation, HLHS, anden
KFDB	Operation for transposition af de store arterier
KFDB00	Operation, enkel TGA, inkl. lukning af ductus arteriosus
KFDB10	Operation, kompleks TGA, inkl. lukning af VSD og lignende
KFDB20	Switch operation for anden medfødt hjertemisdannelse
KFDB96	Operation, transposition af de store arterier, anden
KFDC	Operation for truncus arteriosus commune
KFDC00	Op. truncus arteriosus m protese fra højre ventr til a pulm
KFDC10	Operation, truncus arteriosus commune med klapprotese
KFDC96	Reparation af truncus arteriosus commune, anden
KFDD	Lukning af congenit fistel fra aorta
KFDD00	Lukning af aortico-ventrikulær tunnel
KFDD10	Ligatur af aortico-pulmonalt vindue
KFDD13	Lukning af aortico-pulmonalt vindue med sutur
KFDD20	Lukning af aortico-pulmonalt vindue med patch
KFDD96	Operation, congenit fistel fra aorta, anden
KFDE	Lukning af ductus arteriosus persistens
KFDE00	Lukning af ductus arteriosus persistens, inkl. præmat. børn
KFDE10	Ligatur af ductus arteriosus persistens
KFDE20	Deling af ductus arteriosus persistens
KFDE30	Lukning af ductus arteriosus persistens, endoskopisk
KFDE32	Perkutan translumin. lukning af ductus arteriosus persistens
KFDE96	Operation, ductus arteriosus persistens, anden
KFDF	Lukning af aortico-pulmonale kollateraler
KFDF00	Lukning af aortico-pulmonale kollateraler
KFDG	Rekonstruktion ved supravalvulær aortastenose
KFDG00	Rekonstruktion af aorta ascendens
KFDG10	Rekonstruktion af aorta ascendens med patch
KFDG96	Operation, supravalvulær aortastensoe, anden
KFDH	Rekonstruktion ved hypoplasi/atresi af arcus aortae (IAA)
KFDH00	Rekonstruktion, end-to-end af arcus aortae ved IAA
KFDH10	Rekonstruktion af arcus aortae med patch ved IAA
KFDH30	Rekonstruktion af arcus aortae med rørprotese ved IAA
KFDH40	Rekonstruktion af arcus aortae med bypass ved IAA
KFDH96	Operation, IAA, anden
KFDJ	Rekonstruktion ved coarctatio aorta
KFDJ00	Rekonstruktion, end-to-end ved coarctatio aorta
KFDJ10	Aortaplastik med arteria subclavia/carotis
KFDJ20	Aorta patch plastik (Vosschulte eller lignende)
KFDJ30	Rekonstruktion med rørprotese ved coarctatio aortae
KFDJ40	Dilatation af coarctatio aortae m. ballon
KFDJ42	Perkutan transluminal plastik ved coarctatio aortae
KFDJ45	Perkutan translum. plastik ved coarctatio aortae m. stent
KFDJ96	Operation, coarctatio aortae, anden
KFDM	Operation for vaskulær ring
KFDM00	Deling af dobbelt aortabue
KFDM10	Deling af anden karring (aorta)
KFDM20	Transposition af karslynge, fx anomal truncus brachio-cepha
KFDM96	Operation, karring (aorta), anden
KFDW	Andre op.for anomal/defekt på thoracal/thoraco-abdom. aorta
KFDW96	Op. anomalier/defekter på thor el thor-abdom. aorta, anden
KFE	Operationer på pericardium
KFEA	Punktur af pericardium
KFEA00	Punktur (ekstern drænage) af pericardium
KFEB	Pericardiotomi
KFEB00	Exploration af pericardiet
KFEB10	Dekompression og drænage af pericardium, fx ved skade
KFEB51	Pericardiotomi, endoskopisk perkutan
KFEB96	Procedure med pericardiotomi, anden
KFEC	Intern pericardiostomi
KFEC00	Pericardio-pleurostomi, fx ved hydropericardium
KFEC01	Pericardio-pleurostomi, thoracoskopisk
KFEC10	Pericardio-peritoneostomia
KFEC96	Operation, intern pericardiostomi, anden
KFED	Operationer ved læsion på pericardium
KFED00	Sutur og evt. reposition af hjertet
KFED10	Sutur af pericardium og diafragma, inkl. reposit. af viscer
KFED96	Operation, læsion på pericardium, anden
KFEE	Biopsi eller excision af tumor i pericardium
KFEE00	Excisio probatoria pericardii
KFEE01	Excisio probatoria pericardii endoscopica
KFEE10	Excisio tumoris pericardii
KFEE96	Procedure med fjernelse af væv fra pericardium, anden
KFEF	Pericardiectomi
KFEF00	Resectio pericardii
KFEF10	Pericardiektomi, subtotal
KFEF20	Pericardiektomi med dekortikation
KFEF31	Pericardiektomi, endoskopisk
KFEF96	Procedure med pericardiektomi, anden
KFEW	Andre operationer på pericardium
KFEW96	Operation, pericardium, anden
KFF	Operationer på atrier, atrieseptum og lungevener
KFFA	Biopsi eller excision af tumori i atrium
KFFA00	Excisio probatoria atrii
KFFA10	Excisio tumoris atrii
KFFA20	Excision af atrietrombe
KFFA30	Fjernelse af fremmedlegeme i atrium
KFFA32	Perkut.translum. fjern. af fremmedlegeme fra hjerteforkammer
KFFA96	Operation, tumor i atrium, anden
KFFB	Reparation ved læsion af atrium
KFFB00	Sutura atrii
KFFB10	Rekonstruktion ved skade på atrium, inkl. patch, anden
KFFB96	Operation, skade eller lignende på atrium, anden
KFFC	Lukning af isoleret atrieseptumdefekt
KFFC00	Sutur af ASD, secundum type
KFFC10	Sutur af ASD, sinus venosus type
KFFC22	Perkut.translum.lukning af atrieseptumdefekt, secundum-type
KFFC32	Perkut.translum.lukning af atrieseptumdefekt, sinus venosus
KFFC50	Lukning af ASD med patch, secundum type
KFFC60	Lukning af ASD med patch, sinus venosus type
KFFC96	Operation, isoleret ASD, anden
KFFD	Operation ved partiel a-v commune
KFFD00	Sutur, direkte, af partiel a-v commune
KFFD20	Lukning af partiel a-v commune med patch
KFFD96	Operation, partiel a-v commune, anden
KFFE	Anlæggelse eller udvidelse af ASD
KFFE00	Anlæggelse af ASD (Blalock-Hanlon)
KFFE02	Perkutan transluminal atrieseptostomi
KFFE02A	Perkutan transluminal atrieseptostomi, m. ballon
KFFE02B	Perkutan transluminal atrieseptostomi, m. Blade-teknik
KFFE10	Anlæggelse eller udvidelse af ASD (åben operation)
KFFE96	Operation, atrio-septostomi, anden
KFFF	Transposition af partielt anomale lungevener
KFFF00	Transpos. m intra-atrial patch v partielt anomale lungevene
KFFF10	Udvid/anlæggelse af ASD og transpos v anomale lungevener
KFFF20	Anastomose til ve. atrium ved partielt anomale lungevener
KFFF96	Operation, partielt anomale lungevener, anden
KFFG	Transposition af total anomale lungevener
KFFG00	Operation, TAPVD, supracardial
KFFG10	Operation, TAPVD cardial type
KFFG20	Operation, infracardial TAPVD
KFFG30	Operation, TAPVD blandet type
KFFG96	Operation, total anomal lungevenedrænage, anden
KFFH	Operation for lungevenestenose
KFFH00	Operation, primær lungevenestenose
KFFH10	Operation, TAPVD tidligere korrigeret
KFFH22	Perkutan transluminal plastik på lungevene
KFFH25	Perkutan translum. plastik på lungevene m. stentanlæggelse
KFFH96	Operation, lungevenestenose, anden
KFFJ	Interatriel transposition af system venøs blodstrøm
KFFJ00	Transposition, interareriel (Senning)
KFFJ10	Transposition, interarteriel med patch (Mustard)
KFFJ96	Transpositionsoperation, anden interarteriel
KFFK	Atriel anastomoseoperation Fontan
KFFK10	Anastomose, atrio-ventrikulær
KFFK20	Anastomose, atrio-pulmonal
KFFK96	Anastomose, anden atriel
KFFL	Rekonstruktion ved cor triatriatum
KFFL00	Resektion af intraatriel membran
KFFL10	Resektion af intraatriel membran og lukning af ASD
KFFL96	Operation, cor triatriatum, anden
KFFW	Andre operationer med operationer på atrierne
KFFW96	Operation, operationer på atrierne, anden
KFG	Operationer på tricuspidalklap
KFGA	Operation af tricuspidalklappen ved stenose
KFGA00	Kommisurotomi ved congenit misdannelse
KFGA02	Fjernelse af fremmedlegeme fra rektum
KFGA10	Kommisurotomi ved erhvervet stenose
KFGA32	Perkutan transluminal udvidelse af triskuspidalklapstenose
KFGA96	Operation, tricuspidal stenose, anden
KFGB	Operation ved Ebsteins anomali
KFGB00	Op. Ebsteins anomali med atrio-ventrikulær plikatur (Hardy)
KFGB10	Op. Ebsteins anomali m mobilisering og ventrikulær plikatur
KFGB96	Operation, Ebsteins anomali, anden
KFGC	Annuloplastik ved tricuspidalinsufficiens
KFGC00	Annuloplastik af valvulae tricuspidale med sutur el lignend
KFGC10	Annuloplastik af valvulae tricuspidale med ring
KFGC96	Operation, tricuspidal insufficiens, anden annuloplastisk
KFGD	Rekonstruktion ved tricuspidalinsufficiens
KFGD00	Rekonstruktion af tricuspidalklap med sutur
KFGD05	Sutur af tricuspidalsplit
KFGD10	Rekonstruktion af tricuspidalklap med patch
KFGD30	Rekonstr. af tricuspidalklap m sut af papilmuskel el. chord
KFGD40	Rekonstruktion v tricuspidalinsufficiens med kunstig chorda
KFGD96	Rekonstruktion ved tricuspidalinsufficiens, anden
KFGE	Excision af tricuspidalklap og indsyning af klapprotese
KFGE00	Indsyning af mekanisk tricuspidalklapprotese
KFGE10	Indsyning af biologisk tricuspidalklapprotese
KFGE20	Indsyning af homograft tricuspidalklap
KFGE96	Implantation af tricuspidalklapprotese, anden
KFGW	Andre operationer på tricuspidalklap
KFGW96	Operation, tricuspidalklap, anden
KFH	Operationer på ventrikelseptum
KFHA	Lukning af erhvervet VSR ved skade, infarkt el.lign.
KFHA00	Lukning af VSR efter læsion
KFHA10	Lukning af VSR efter anteroseptalt infarkt
KFHA20	Lukning af VSR efter posteroseptalt infarkt
KFHA96	Operation, lukning af VSR, anden
KFHB	Lukning af isoleret ventrikelseptumdefekt
KFHB00	Sutur af VSD, transatriel
KFHB10	Sutur af VSD, transventrikulær
KFHB20	Sutur af VSD, transpulmonl
KFHB30	Sutur af VSD, transaortal
KFHB42	Perkutan transluminal lukning af ventrikelseptumdefekt
KFHB50	Lukning af VSD med patch, transatriel
KFHB60	Lukning af VSD med patch, transventrikulær
KFHB70	Lukning af VSD med patch, transpulmonal
KFHB80	Lukning af VSD med patch, transaortal
KFHB96	Operation, medfødt isoleret VSD, anden
KFHC	Lukning af multiple ventrikelseptumdefekter
KFHC00	Lukning af VSD, transatriel
KFHC10	Lukning af VSD gennem højre ventrikulotomi
KFHC20	Lukning af VSD gennem venstre ventrikulotomi
KFHC30	Lukning af VSD ved kombineret atriotomi og ventrikulotomi
KFHC96	Operation, multiple, medfødte VSD, anden
KFHD	Operation ved komplet a-v commune
KFHD00	Op. komplet a-v commune med atrio-ventrikulær patch
KFHD10	Operation, komplet a-v commune med 2-patch teknik
KFHD30	Op. komplet a-v commune og resektion af pulmonalstenose
KFHD96	Operation, komplet a-v commune, anden
KFHE	Operation ved Fallots tetrade
KFHE00	Korrektion af Fallots tetrade, transatriel
KFHE10	Korrektion af Fallots tetrade, transventrikulær
KFHE20	Korrektion af Fallots tetrade med udløbspatch, transventrik
KFHE30	Korrektion af Fallots tetrade med transannular patch
KFHE40	Korrektion, Fallots tetrade m conduit/homograft til a. pulm
KFHE96	Operation, Fallots tetrade, anden
KFHF	Operation ved pulmonal atresi
KFHF00	Op. pulm. atresi med transannular patch (evt. monocuspklap)
KFHF10	Op. pulm. atresi m ventriculo-pulmonal conduit el homograft
KFHF20	Op. pulmonal atresi med transannular patch og lukning, VSD
KFHF30	Op. pulm. atresi m ventr.-pulmonal conduit/lukning af VSD
KFHF96	Operation, pulmonal atresi, anden
KFHG	Lukning af VSD med samtidig intraventrikulær transposition
KFHG00	Korrektion af DOLV
KFHG10	Korrektion af DORV
KFHG96	Operation, double outlet ventricle, anden
KFHH	Anlæggelse eller udvidelse af VSD
KFHH00	Udvidelse af VSD ved 'univentrikulært hjerte'
KFHH10	Udvidelse af VSD ved 'double outlet' ventrikel
KFHH20	Fenestrering af VSD patch
KFHH96	Operation, udvidelse af VSD, anden
KFHJ	"Rekonstruktion af septum ved ""common ventricle"""
KFHJ00	Rekonstruktion af septum (patch) ved 'common ventricle'
KFHJ10	Rekonstr. af septum (fenestreret patch) v 'common ventricle
KFHJ96	Operation, common ventricle, anden
KFHW	Andre operationer på ventrikelseptum
KFHW96	Operation, ventrikelseptum, anden
KFJ	Operationer på højre ventrikel og pulmonalklap
KFJA	Biopsi fra højre ventrikel
KFJA00	Excisio probatoria ventriculi dextra
KFJA12	Perkutan transluminal biopsi af højre ventrikel
KFJA96	Biopsi af højre ventrikel, anden
KFJB	Rekonstruktion af højre ventrikel ved læsion af hjertet
KFJB00	Sutur af højre ventrikel ved læsion
KFJB10	Rekonstruktion af hø ventrikel ved hjertelæsion m implantat
KFJB96	Rekonstruktion af hø ventrikel ved læsion af hjertet, anden
KFJC	Excisio tumoris ventriculi dextra
KFJC00	Excisio tumoris ventriculi dextra
KFJC10	Amotio corporis alieni ventriculi dextra
KFJC12	Perkut.translum.fjern. af fremmedlegeme, hø. hjerteventrikel
KFJD	Op.på hø.ventrikels udløb v.medfødt el.erhvervet obstruktio
KFJD00	Resektion af fibromuskulær, infundibulær pulmonalstenose
KFJD10	Udvidelse af højre ventrikel med patch og evt. resektion
KFJD20	By-pass af arteria pulmonalis med conduit eller homograft
KFJD96	Operation, højre ventrikels udløb, anden
KFJE	Operationer for isoleret pulmonal klapstenose
KFJE00	Dilatation af pulmonalklapstenose
KFJE10	Valvulotomia pulmonalis
KFJE20	Excision af pulmonalklap, udvidelse af annulus pulm. m patc
KFJE30	Transannular pulmonal patch med monocusp klap
KFJE42	Perkutan transluminal udvidelse af pulmonalklapstenose
KFJE96	Operation, isoleret pulmonal klapstenose, anden
KFJF	Pulmonalklapprotese
KFJF00	Indsyning af pulmonal, mekanisk klapprotese
KFJF10	Indsyning af pulmonal, biologisk klapprotese
KFJF20	Indsyning af pulmonal homograft
KFJF96	Operation, indsyning af pulmonal klapprotese, anden
KFJW	Andre operationer på højre ventrikel og pulmonalklap
KFJW96	Operation, højre ventrikel og pulmonalklap, anden
KFK	Operationer på mitralklap
KFKA	Rekonstruktive operationer ved mitralstenose
KFKA00	Commisurotomia mitralis
KFKA10	Commisurotomia mitralis med dekalcinering
KFKA20	Commisurotomia mitralis og spaltning af fusionerede chordae
KFKA32	Perkutan transluminal udvidelse af mitralklapstenose
KFKA96	Operation, mitralstenose, anden
KFKB	Annuloplastik ved mitralinsufficiens
KFKB00	Annuloplastik ved mitralinsufficiens med sutur
KFKB10	Annuloplastik ved mitralinsufficiens med ring
KFKB96	Operation med annuloplastik ved mitral insufficiens, anden
KFKC	Operation for mitralinsufficiens
KFKC00	Operation, mitralinsufficiens med sutur
KFKC10	Sutur af split ved mitralklap
KFKC20	Rekonstruktion ved mitralinsufficiens med patch
KFKC30	Chordaforkortning/-forlængelse (mitralklap)
KFKC40	Sutur af chorda eller papilmuskel (mitralklap)
KFKC50	Rekonstruktion af mitralinsufficiens med kunstige chordae
KFKC60	Resektion og rekonstruktion af mitralklapsejl ved insuff
KFKC96	Operation, mitralinsufficiens, anden
KFKD	Rekonstruktion af mitralklap med protese
KFKD00	Indsyning af mitral klapprotese (mekanisk)
KFKD10	Indsyning af mitral klapprotese (biologisk)
KFKD20	Indsyning af mitralklap (homograft)
KFKD96	Procedure med indsyning af mitral klapprotese, anden
KFKW	Andre operationer på mitralklap
KFKW96	Operation, mitralklap, anden
KFL	Operationer på venstre ventrikel
KFLA	Biopsi fra venstre ventrikel
KFLA00	Excisio probatoria ventriculi sinistra
KFLA10	Biopsia ventriculi sinistra transvenosa
KFLA12	Perkutan transluminal biopsi af venstre ventrikel
KFLA96	Biopsi af venstre ventrikel, anden
KFLB	Excision af tumor i venstre ventrikel
KFLB00	Excision af tumor i venstre ventrikel
KFLB10	Amotio corporis alieni ventriculi sinistra
KFLB12	Perkut.translum.fjern. af fremmedlegeme, ve. hjerteventrikel
KFLC	Anden rekonstruktion af venstre ventrikel
KFLC00	Sutur af venstre ventrikelvæg
KFLC10	Sutur af venstre ventrikelvæg med patch
KFLC96	Procedure med rekonstruktion af ventrikelvæg, anden
KFLD	Resektion ved aneurisme i venstre ventrikel
KFLD00	Plikatur af aneurisme i venstre ventrikel
KFLD10	Resektion af aneurisme i venstre ventrikel
KFLD20	Resektion/rekonstr. med patch ved aneurisme i ve ventrikel
KFLD96	Operation for aneurisme i venstre ventrikel, anden
KFLE	Rekonstruktion ved udløbsobstruktion i venstre ventrikel
KFLE00	Excision af subvalvulær membran i venstre ventrikel
KFLE10	Myotomi/myektomi ved obstr. cardiomyopati/subvalv. stenose
KFLE96	Procedure for udløbsobstruktion i venstre ventrikel, anden
KFLF12	Perkut. transmyokard. laser-revaskularisering, ve. ventrikel
KFLW	Andre operationer på venstre ventrikel
KFLW96	Operation, venstre ventrikel, anden
KFM	Operationer på aortaklap
KFMA	Operationer på aortaklappen for klapstenose
KFMA00	Dilatation af aortaklapstenose
KFMA10	Commisurotomia valvulae aortae
KFMA20	Valvuloplastik på aorta
KFMA32	Perkutan transluminal udvidelse af aortaklapstenose
KFMA96	Operation, aortaklapstenose, anden
KFMB	Udvidelse af aortaostiet
KFMB00	Aorta patch, supravalvulær (Nick)
KFMB10	Transannular udvidelse af aortaostiet (Mounighan)
KFMB20	Udvidelse, aorto-septal af aortaostiet (Konno)
KFMB96	Annuloplastik på aortaostiet, anden
KFMC	Plastik på aortaklap ved insufficiens
KFMC00	Annuloplastik på aorta
KFMC10	Reduktion af aortaklapsejl (inkl. excision)
KFMC20	Sutur af aortaklapsejl (inkl. patch)
KFMC96	Operation, aortaklap ved insufficiens, anden
KFMD	Substitution af aortaklap med klapprotese
KFMD00	Indsyning af mekanisk aortaklapprotese
KFMD10	Indsyning af biologisk aortaklapprotese
KFMD20	Indsyning af homograft aortaklap
KFMD30	Indsyning af homograft med coronar reimplantation
KFMD40	Indsyning af pulm. autograft, inkl. coronar reimplantation
KFMD96	Operation, substitution af aortaklap, anden
KFMW	Andre operationer på aortaklap
KFMW96	Operation, aortaklap, anden
KFN	Operationer på coronararterier
KFNA	Anastomose mellem arteria mammaria og coronararterie
KFNA00	Anastomose mellem arteria mammaria og coronararterie
KFNA10	Anastomose, sekventiel mellem a. mammaria og coronararterie
KFNA20	Anastomose mellem bilaterale a. mammaria og coronararterier
KFNA96	Anastomose mellem arteria mammaria og coronararterie, anden
KFNB	Anastomose mellem arteria gastroepiploica og coronararterie
KFNB00	Anastomose mellem arteria gastroepiploica og coronararterie
KFNB20	Anast. sekventiel mellem a. gastroepipl. og coronararterie
KFNB96	Anastomose med a. gastroepiploica og coronarearterie, anden
KFNC	Aorto-coronar venebypass
KFNC10	By-pass, aorto-coronar (enkelt distal anastomose)
KFNC20	By-pass, aorto-coronar (to distale anastomoser)
KFNC30	By-pass, aorto-coronar (tre distale anastomoser)
KFNC40	By-pass, aorto-coronar (fire distale anastomoser)
KFNC50	By-pass, aorto-coronar (fem distale anastomoser)
KFNC60	By-pass, aorto-coronar (seks distale anastomoser)
KFNC96	Veneby-pass, coronar, anden
KFND	Aorto-coronar bypass med protese
KFND10	By-pass, aorto-coronar med enkelt protese
KFND20	By-pass, aorto-coronar med to proteser
KFND96	By-pass, coronar med protese, anden
KFNE	Coronar bypass med frit arterietransplantat
KFNE00	By-pass, coronar m a. mammaria interna, frit arterietranspl
KFNE10	By-pass, coronar m a. gastroepiploica, frit arterietranspl
KFNE96	By-pass, coronar med frit arterietransplantat, anden
KFNF	Coronar trombendarterektomi
KFNF00	Thrombendarterectomia coronarii dextra
KFNF10	Thrombendarterectomia ramus descendens anterior
KFNF20	Thrombendarterectomia ramus circumflexus
KFNF30	Thrombendarterectomia i ve coronararteries hovedstamme
KFNF96	Thrombendarterektomi, coronar, anden
KFNG	Rekanalisering af coronararterier
KFNG00	Dilatation af coronararterier
KFNG02	Perkutan transluminal plastik på koronararterie (PTCA)
KFNG02A	Primær perkut. translum. plastik på koronararterie (PTCA)
KFNG05	Perkut. translum. plastik på koronararterie (PTCA) m. stent
KFNG05A	Prim. perkut. translum.plastik på koronarart. (PTCA) m stent
KFNG10	Embolectomia arteriae coronarii
KFNG12	Perkutan transluminal embolektomi på koronararterie
KFNG20	Fjernelse af fremmedlegeme i arteriae coronarii
KFNG30	Udvidelse af coronararterie med patch
KFNG40	Laserbehandling af koronararterie
KFNG96	Operation, rekanalisering af coronararterie, anden
KFNH	Rekonstruktion af coronararterier
KFNH00	Sutura arteria coronaria
KFNH10	Rekonstruktion af arteria coronaria med patch
KFNH20	Rekonstruktion af arteria coronaria med bypass
KFNH96	Rekonstruktion, coronar, anden specificeret
KFNJ	Lukning af coronarfistel
KFNJ00	Ligatur af anormal coronararterie
KFNJ02	Perkutan transluminal lukning af anomal koronararterie
KFNJ10	Okklusion af coronarfistel
KFNJ12	Perkutan transluminal lukning af koronarfistel
KFNJ96	Operation, coronarfistel, anden
KFNK	Rekonstruktion ved anomal coronararterieafgang
KFNK00	Transposition af coronararterie
KFNK10	Pulmonalarterieplastik med anastomose til aorta
KFNK20	Ligatur og bypass-rekonstruktion ved anomal coronararterie
KFNK96	Operation, anomal coronararterie, anden
KFNW	Andre operationer på coronararterierne
KFNW00	Perkutan transluminal septal myokardial ablation
KFNW96	Operation, coronaraterier, anden
KFNW97	Operation på coronararterie, anden endoskopisk
KFP	Operationer og procedurer ved hjertearytmier
KFPA	Operation for supraventrikulær arytmi
KFPA00	Deling af anteroseptal ledningsgren
KFPA10	Deling af posteroseptal ledningsgren
KFPA20	Deling af højresidig ledningsgren
KFPA30	Deling af venstresidig ledningsgren
KFPA40	Deling af multiple ledningsgrene
KFPA96	Operation, supraventrikulær arytmi, anden
KFPB	Excision el. ablation af aberrant bane eller fokus i hjerte
KFPB00	Excision af ektopisk hjertefokus
KFPB10	Kryoablation af hjertefokus
KFPB96	Procedure på ektopiske foci i hjertet, anden
KFPC	Endocardial myotomi (circumcision) for ventrikulære arytmie
KFPC00	Myotomi, partiel endocardial for ventrikulære arytmier
KFPC10	Myotomi,total endocardial for ventrikulære arytmier
KFPC96	Myotomiprocedure, anden endocardial
KFPD	Operation for atrieflimmer
KFPD00	Labyrintoperation for atrieflimmer
KFPD96	Operation, atrieflimmer, anden
KFPF	Implantation af permanent epicardial pacemaker
KFPF00	Implantation af epicardial pacemaker m ventrikulær elektrod
KFPF10	Implantation af epicardial pacemaker med atrial elektrode
KFPF20	Implant. af epicard pacemaker m atrial/ventrikulær elektrod
KFPF30	Udskiftning, transvenøs epicard pacemaker med pulsgenerator
KFPF40	Udskiftning af transvenøs epicardial pacemakerelektrode
KFPF96	Implantation af epicardial pacemaker, anden
KFPW	Andre op.og procedurer for arytmier og ledningsforstyrrelse
KFPW00	Revision af elektrode
KFPW10	Implantation af transvenøs ventrikelelektrode
KFPW20	Implantation af transvenøs atrieelektrode
KFPW96	Operation, arytmier og ledningsforstyrrelser, anden
KFQ	Transplantationer af hjerte og lunger
KFQA	Transplantation af hjerte
KFQA00	Hjertetransplantation, ortotop
KFQA10	Hjertetransplantation, ortotop med bicaval anastomose
KFQA20	Hjertetranspl, ortotop m rekonstr af recipientarterier/vene
KFQA30	Hjertetransplantation, heterotop
KFQA40	Hjertetransplantation m levende donor, Dominotransplantatio
KFQA96	Hjertetransplantation, anden
KFQB	Transplantation af hjerte og lunger
KFQB00	Hjerte-lungetransplantation
KFQB10	Hjerte-lungetransplantation med bicaval anastomose
KFQB20	Hjerte-lungetranspl. m rekonstr. af recipient arterier/vene
KFQB30	Hjerte-lungetranspl. m revask. af bronchialarterier
KFQB96	Hjerte-lungetransplantation, anden
KFQW	Andre operationer ved transplantation af hjerte og lunger
KFQW96	Operation, transplantation af hjerte og lunger, anden
KFW	Reopr. efter opr. på hjerte og store intrathoracale kar
KFWA	Sutur v. sårruptur eft. op. på hjerte og store thoracale ka
KFWA00	Sutur ved sårruptur efter op. på hjerte og thoracale kar
KFWB	Reop.for overflad.sårinf. eft.op. på hjerte og thoracale ka
KFWB00	Reop, overfladisk sårinfek eft op. på hjerte/thoracale kar
KFWC	Reop.for dyb inf. eft.op. på hjerte og store thoracale kar
KFWC00	Reop, dyb infektion efter operation på hjerte og store kar
KFWD	Reop.for overflad.blødn. eft.op. på hjerte og thoracale kar
KFWD00	Reop, overfladisk blødning eft op. på hjerte/thoracale kar
KFWE	Reop.for dyb blødn. eft. op.på hjerte og store thoracale ka
KFWE00	Reop, dyb blødning eft op. på hjerte og store thoracale kar
KFWF	Reop.for sutur/anastom.insuff.eft.op.på hjerte/thoracale ka
KFWF00	Reoperation, sut/anast.insuff eft op på hjerte/thoracale ka
KFWW	Anden reop. efter operation på hjerte og store thoracale ka
KFWW96	Reop. efter op. på hjerte og store thoracale kar, anden
KFX	Særskilte proc. f. ekstracorporal el. assisteret cirkulation
KFXA	Total cardio-pulmonal bypass v.samtidig reparativ procedure
KFXA96	By-pass, total cardio-pulm. m reparativ kirurgisk procedure
KFXB	Part. cardio-pulmonal bypass m.samtidig reparativ procedure
KFXB96	By-pass, partiel cardio-pulm m reparativ kirurgisk procedur
KFXC	Brug af ECHLA uden samtidig kirurgisk procedure
KFXC96	ECHLA, brug af, uden samtidig kirurgisk procedure
KFXD	Brug af ECLA
KFXD96	ECLA, brug af
KFXE	Dekanylering efter ECHLA eller ECLA
KFXE96	ECHLA eller ECLA, dekanylering efter
KFXF	Brug af IABP
KFXF96	IABP, brug af
KFXG	Fjernelse af IABP
KFXG96	IABP, fjernelse af
KFXH	Indlæggelse af PABP
KFXH96	PABP, indlæggelse af
KFXJ	Fjernelse af PABP
