Kode	Tekst
BWHA133	Behandling med cisplatin+etoposid+BCNU
BWHA134	Behandling med COP
BWHA135	Behandling med VCR
BWHA136	Behandling med M2
BWHA137	Behandling med NOP
BWHA138	Behandling med BEACOPP
BWHA140	Behandling med cisplatin+etoposid
BWHA141	Behandling med tegafur/uracil
BWHA142	Behandling med tegafur/uracil+mitomycin
BWHA143	Behandling med cyclofosfamid+adriamycin+vincristin (CAV)
BWHA144	Behandling med cyclofosfamid+doxorubicin+vincristin
BWHA145	Behandling med darcarbazin
BWHA146	Behandling med 5-fluorouracil+doxorubicin
BWHA150	Behandling med bleomycin
BWHA151	Behandling med mitocycin
BWHA152	Behandling med procarbazin
BWHA153	Behandling med vincristin
BWHA2	Kompleks cytostatisk behandling
BWHA201	Behandling med cisplatin+etoposid+bleomycin
BWHA202	Behandling med paclitaxel
BWHA203	Behandling med carboplatin+paclitaxel
BWHA204	Behandling med pacliatxel+epirubicin
BWHA205	Behandling med paclitaxel+capecitabin
BWHA206	Behandling med cisplatin+gemcitabin+paclitaxel
BWHA207	Behandling med paclitaxel+cisplatin+etoposid+bleomycin
BWHA208	Behandling med docetaxel
BWHA209	Behandling med cisplatin+docetaxel
BWHA210	Behandling med docetaxel+epirubicin
BWHA211	Behandling med docetaxel+gemcitabin
BWHA212	Behandling med irinotecan
BWHA213	Behandling med topotecan
BWHA214	Behandling med topotecan+cisplatin+etoposid+carboplatin
BWHA215	Behandling med temozolomid
BWHA216	Behandling med VAD
BWHA217	Behandling med fludarabin i forb. m. helkropsbestråling (konditionering)
BWHA218	Behandling med cyklofosfamid (med forceret alkaliniseret diurese)
BWHA219	Behandling med methotrexat (med forceret alkaliniseret diurese)
BWHA221	Behandling med rituximab+CHOP (R-CHOP)
BWHA222	Behandling med capecitabin+oxaliplatin
BWHA223	Behandling med oxaliplatin+capecitabin+epirubicin
BWHA224	Behandling med cisplatin+carboplatin+bleomycin
BWHA225	Behandling med cisplatin+irinotecan
BWHA226	Behandling med cisplatin+topotecan
BWHA231	Behandling med 5-fluorouracil+oxaliplatin
BWHA232	Behandling med 5-fluorouracil+doxorubicin
BWHA233	Behandling med 5-fluorouracil+irinotecan
BWHA235	Behandling med gemcitabin+paclitaxel
BWHA236	Behandling med gemcitabin+capecitabin
BWHA237	Behandling med doxorubicin (liposomal)
BWHA238	Behandling med carboplatin+gemcitabin+paclitaxel
BWHA3	Behandling med højdosis cytostatika
BWHA30	Højdosis cytostatisk behandling
BWHA301	Behandling med højdosis Ara-C
BWHA302	Behandling med mitoxantron+Ara-C
BWHA303	"Behandling med daunorubicin+Ara-C (""3+7"" og ""2+5"")"
BWHA304	Behandling med FLAG-Idarubicin
BWHA305	Behandling med mAMSA+etoposid
BWHA306	Behandling med højdosis etoposid
BWHA307	Behandling med Codox M
BWHA308	Behandling med IVAC
BWHA309	Behandling med højdosis melfalan (konditionering)
BWHA31	Konditionering til behandling med stamcellestøtte
BWHA310	Behandling med BEAM (konditionering)
BWHA311	Behandling med cyklofosfamid i forb. m. helkropsbestråling (konditionering)
BWHA312	Behandling med busulfex+cyklofosfamid (konditionering)
BWHA32	Konditionering til minitransplantation
BWHA4	Anden cytostatisk behandling
BWHA41	Behandling med imatinib
BWHB	Behandling med biologisk modificerende stoffer
BWHB1	Behandling med interferoner
BWHB10	Behandling med alfa-interferon
BWHB10A	Behandling med interferon alfa-2A
BWHB10B	Behandling med interferon alfa-2B
BWHB11	Behandling med beta-interferon
BWHB2	Behandling med interleukiner
BWHB20	Behandling med interleukin-2
BWHB28	Behandling med andet interleukin
BWHB3	Beh.m.biologisk modific.stof m.indvirk.p.myoloide forstadier
BWHB30	Behandling med retinoider
BWHB4	Beh m biologisk modific. stof m indvirk på knogleresorption
BWHB40	Behandling med bisfosfonat
BWHB8	Behandling med andre biologisk modificerende stoffer
BWHB81	Behandling med thalidomid
BWHC	Hormonel/antihormonel antineoplastisk behandling
BWHC1	Antineoplastisk behandling med antiøstrogen
BWHC10	Behandling med Tamoxifen
BWHC11	Behandling med Fulvestrant
BWHC2	Antineoplastisk behandling med enzymhæmmer
BWHC20	Behandling med Exemestan
BWK	Pædagogiske interventioner med relation til div. behandling
BWKA	Instruktion i medicintagning
BWKB	Oplæring i injektionsteknik
BWW	Andre forhold vedr. behandling og undersøgelse
BWW1	Behandling og undersøgelse uden samtykke
BWW11	Behandl. og undersø. uden samtykke efter Sociallovens § 44
BX	Interventioner uden specifikation
BXA	Intervention uden specifikation
BXAA	Behandling uden specifikation
BXAB	Efterbehandling uden specifikation
BXAB0	Medicinsk efterbehandling uden specifikation
BXX	Integreret intervention uden specifikation
BZ	Tillægskoder til Behandlings- og Plejeklassifikationen
BZA	administrationsvej for lægemidler
BZAA	via det perifere nervesystem
BZAA0	epiduralt
BZAA1	intrathekalt
BZAA2	perineuralt
BZAC	via øjet
BZAC0	okulært
BZAC1	intraokulært
BZAC2	retrobulbært
BZAC3	subkonjunktivalt
BZAD	via næse og øre
BZAD0	nasalt
BZAD1	aurikulært
BZAD2	endosinusialt
BZAE	i mundhulen
BZAE0	oralt
BZAE1	oromukosalt
BZAE2	dentalt
BZAE3	gingivalt
BZAF	i hjertet
BZAF0	intrakardialt
BZAF1	intrakoronart
BZAG	via luftveje
BZAG0	inhalation
BZAG00	inhalation med spray
BZAG2	endotrakeopulmonal installation
BZAG3	intrapleuralt
BZAJ	via gastrointestinalkanalen
BZAJ0	peroralt
BZAJ1	rektalt
BZAJ2	gastrointestinal installation
BZAJ3	intraperitonealt
BZAK	via urinveje
BZAK0	uretralt
BZAK1	intravesikalt
BZAL	via kvindelige kønsorganer eller fosterhinder
BZAL0	vaginalt
BZAL1	intrauterint
BZAL2	endocervikalt
BZAL3	intraamnionalt
BZAL4	intracervikalt
BZAL5	ekstraamnionalt
BZAM	via led-, sene- eller knoglehulrum
BZAM0	intramuskulært
BZAM1	intraartikulært
BZAM2	periartikulært
BZAM3	intrabursalt
BZAM4	intradiskalt
BZAM5	intrasternalt
BZAN	via blod- eller lymfekar
BZAN0	intravenøst
BZAN1	intraarterielt
BZAN2	intralymfatisk
BZAQ	via huden
BZAQ0	kutant
BZAQ1	intrakutant
BZAQ2	subkutant
BZAQ3	transdermalt
BZAQ4	subkutant depot
BZAX	indgift andre veje
BZAX0	intrakavernalt
BZAX1	intralæsionalt
BZC	administrationsmængde af lægemiddel
BZCB	administration af lægemiddel som portion
BZCB1	antal portioner
BZF	behandlingsform
BZFA	behandling på hold
BZFA00	hjertehold
BZFA01	lungehold
BZFA02	mammahold
BZFA03	RIB-træningshold
BZFA04	hemiplegihold
BZFA05	osteoporosehold
BZFA06	bækkenløsningshold
BZFA07	bækkenbundshold
BZFA08	hoftealloplastikhold
BZFA09	amputationshold
BZFA10	knæhold
BZFA11	knæalloplastikhold
BZFA12	korsbåndsplastikhold
BZFA13	korsbåndslæsionshold
BZFA14	svangrehold
BZFA15	efter fødselshold
BZFA16	geriatrisk hold
BZFA17	ADL-hold
BZFA18	skulderhold
BZFB	gruppebehandling
BZFB0	behandling i gruppe
BZFB00	behandling i blandet gruppe
BZFB1	behandling i familiegruppe
BZFB10	behandling i familiegruppe med børn
BZFB11	behandling sammen med flere familiegrupper inkl børn
BZFC	skole-behandling
BZFC0	astmaskole
BZFC1	gigtskole
BZFC2	rygskole
BZFC3	diabetesskole
BZFC4	nyreskole
BZFC5	smerteskole
BZFD	individuel behandling
BZFD0	patient alene
BZFD1	patient og pårørende
BZFD2	patient og andet behandlingspersonale
BZFD3	patient og netværksperson
BZFD4	patient og arbejdspladsrepræsentant
BZFD8	to behandlere om samme procedure
BZFD89	flere behandlere om samme procedure
BZFD9	pårørende uden patient
BZFE	behandling af par
BZP	Behandlingsprincip
BZPA	ABC-koncept
BZPA0	bobath-koncept
BZPB	craniosacralterapi
BZPC	danseterapi
BZPD	janda-koncept
BZPE	Kaltenborn-koncept
BZPF	labanprincip-koncept
BZPG	Maitland mobiliseringsteknik
BZPH	McKenzie-koncept
BZPJ	motor control-koncept
BZPK	motorisk udvikling-koncept
BZPL	MTT, medicinsk træningsterapi
BZPM	Petö
BZPN	PNF (proprioceptiv neuromuskulær facilitering)
BZPP	trille-krybe-kravle-koncept
BZT	behandlingsteknik
BZTB	ANT-teknik (Abnormal Neural Tension)
BZTC	bassintræning
BZTC0	selvstændig bassintræning
BZTC1	individuel assisteret bassintræning
BZTC2	hold-bassintræning
BZTD	MET-teknik (muscle-energy-technique)
BZTE	MFR-teknik (myofascial release)
BZTF	mobiliseringsteknik (high-velocity-trust)
BZTG	sport, boldspil
U	Klassifikation af undersøgelser
UCGA	Elektrooculografi (EOG)
UCGD	Elektroretinografi (ERG)
UCGD00	Elektroretinografi, mørke
UCGG	Elektroneuronografi (ENG) og elektromyografi (EMG)
UCGG00	ENG almen
UCGG01	ENG/EMG speciel (< 2 timer)
UCGG02	ENG/EMG (kompleks, > 2 timer))
UCGK	Visuelt evokeret potentiale (VEP)
UCGK00	VEP, Flashstimulation'
UCGK01	VEP, Skakmønsterstimulation med fuldfelt
UCGK02	VEP, Skakmønsterstimulation med halvfelt
UCGK03	Somatosensorisk evoked potential (SEP), ulnaris adduceret
UCGL	Hjernestamme evokeret potentiale (BAEP)
UCGM	Sensorisk evokeret potentiale (SEP)
UCGM1	SEP uden dermatomstimulation
UCGM2	SEP med dermatomstimulation
UCGN	Motorisk evokeret potentiale (MEP)
UCHA3	Synsfeltundersøgelse, computer assisteret perimetri
UCXA	Fotografiske undersøgelser af øje og øjenomgivelser
UCXF	Angiografiske undersøgelser af øje og øjenomgivelser
UFYA00	Elektrofysiologisk undersøgelse
UFYA01	Elektrofysiologisk computermapping
UFYA02	Computermapping af ve. ventrikel
UFYA10	Måling af minutvolumen, Fick's princip
UFYA11	Måling af minutvolumen, termodilutionsteknik
UFYA20	Intrakoronar trykmåling med trykwire
UFYA22	Elektrofysiologisk undersøgelse via transøsofageal pacing
UFYA24	Elektrofysiologisk undersøgelse via ICD/permanent pacemaker
UFYA31	Test af ICD enhed
UFYA31A	Test af ICD enhed uden induktion af ventikelflimren
UFYA31B	Test af ICD enhed med induktion af ventikelflimren
UWW	Andre procedurer i forbindelse med undersøgelsesmateriale
UWW10	Revurdering af egen tidligere undersøgelse
UWW20	Ophængning af egen tidligere undersøgelse
UWW30	Ophængning til konference af fremmed billedmateriale
UWW31	Vurdering / evaluering af fremmed billedmateriale
UX	Radiologiske procedurer
UXA	Angiografier
UXAA	Angiografier af hoved
UXAA30	Arteriografi af a. carotis communis
UXAA31	Arteriografi af a. carotis externa (selektiv)
UXAA32	Arteriografi af a. carotis interna (selektiv)
UXAA33	Arteriografi af a. vertebralis
UXAA35	Angiografi af øjenvæv
UXAB	Angiografier af hals
UXAB20	Arteriografi af a. carotis communis (selektiv)
UXAB25	Aortografi, thorakal mhp. aortacervikal arteriografi
UXAB30	Flebografi på hals
UXAC	Angiografier af thorax
UXAC10	Pulmonal arteriografi
UXAC40	Arteriografi af arteria mammaria
UXAC60	Flebografi af vena cava superior med tilløb
UXAC65	Flebografi gennem centralt venekateter
UXAC70	Thorakal aortografi
UXAC80	Venstresidig ventrikulografi
UXAC82	Højresidig ventrikulografi
UXAC85	Koronar arteriografi
UXAC85A	Koronar arteriografi via arteria femoralis
UXAC85B	Koronar arteriografi via arteria radialis
UXAC85C	Koronar arteriografi via arteria brachialis
UXAC85D	Koronar arteriografi via aorta abdominalis
UXAC90	Aortokoronar graft-angiografi
UXAD	Angiografier af abdomen
UXAD30	Abdominal aortografi
UXAD35	Bækkenangiografi
UXAD40	Coeliacografi
UXAD45	Arteria mesenterica superior angiografi
UXAD50	Arteria mesenterica inferior angiografi
UXAD55	Vena portae flebografi
UXAD60	Splenoportografi
UXAD65	Renal angiografi
UXAD65A	Renal graft-angiografi
UXAD80	Vena cava inferior flebografi
UXAD85	Øvrige abdominale flebografier
UXAD90	Cavernosografi
UXAE	Angiografier af columna
UXAE60	Spinal arteriografi
UXAF	Angiografier af overekstremitet
UXAF00	Overekstremitetsarteriografi
UXAF05	Overekstremitetsflebografi
UXAF30	Angiografi af dialysefistel
UXAG	Angiografier af underekstremitet
UXAG00	Arteriografi af underekstremitet inkl. aortofemoral
UXAG02	Selektiv underekstremitetsarteriografi
UXAG05	Underekstremitetsflebografi
UXAG30	Varikografi
UXC	CT-skanninger
UXCA	CT-skanninger af hoved
UXCA00	CT-skanning af cerebrum
UXCA05	CT-skanning af kranie
UXCA10	CT-skanning af hypofyse
UXCA15	CT-skanning af os temporale
UXCA20	CT-skanning af orbita
UXCA25	CT-skanning af ansigtsskelet
UXCA40	Aksial CT-skanning af bihuler, inkl. cavum nasi
UXCA45	Koronal CT-skanning af bihuler, inkl. cavum nasi
UXCA50	CT-skanning af rhino-oropharynx
UXCA55	CT-skanning af tænder
UXCA60	CT-skanning af mandiblen
UXCA75	CT-skanning af spytkirtler
UXCA90	CT-skanning af traumept. (hoved, thorax, abdomen og bækken)
UXCB	CT-skanninger af hals
UXCB00	CT-skanning af hals
UXCB20	CT-skanning af larynx
UXCC	CT-skanninger af thorax
UXCC00	CT-skanning af thorax
UXCC20	CT-skanning af klavikel
UXCC30	CT-skanning af sternoklavikulærled
UXCC35	CT-skanning af sternum
UXCC60	CT-skanning af mediastinum
UXCC70	CT-skanning af aorta thoracalis
UXCC75	CT-skanning af lunger
UXCC77	High Resolution CT-skanning af lunger
UXCD	CT-skanninger af abdomen og bækken
UXCD00	CT-skanning af abdomen
UXCD10	CT-skanning af øvre abdomen
UXCD15	CT-skanning af nedre abdomen, inkl. bækken
UXCD20	CT-skanning af retroperitoneum
UXCD30	CT-skanning af aorta abdominalis
UXCD40	CT-skanning af lever
UXCD55	CT-skanning af pancreas
UXCD60	CT-skanning af nyrer
UXCD62	CT-urografi
UXCD65	CT-skanning af binyrer
UXCD75	CT-skanning af blære
UXCD80	CT-skanning af colon og rektum (CT-kolografi)
UXCE	CT-skanninger af columna
UXCE10	CT-skanning af columna cervicalis
UXCE12	CT-skanning af cervikale disci
UXCE20	CT-skanning af columna thoracalis
UXCE30	CT-skanning af columna lumbalis
UXCE45	CT-skanning af lumbale disci
UXCE50	CT-skanning af os sacrum
UXCE80	CT-osteodensitometri af columna
UXCF	CT-skanninger af overekstremitet
UXCF15	CT-skanning af skulder
UXCF20	CT-skanning af overarm
UXCF25	CT-skanning af albue
UXCF30	CT-skanning af underarm
UXCF40	CT-skanning af håndled
UXCF50	CT-skanning af hånd
UXCF80	CT-osteodensitometri, underarm
UXCG	CT-skanninger af underekstremitet
UXCG10	CT-skanning af ossøse bækken
UXCG15	CT-skanning af hofte
UXCG20	CT-skanning af femur
UXCG25	CT-skanning af knæ
UXCG30	CT-skanning af crus
UXCG40	CT-skanning af fodled
UXCG50	CT-skanning af fod
UXCG80	CT-osteodensitometri af hofte
UXM	MR-skanninger
UXMA	MR-skanninger af hoved
UXMA00	MR-skanning af cerebrum
UXMA05	MR-skanning af kranieknogler
UXMA10	MR-skanning af hypofyse
UXMA12	MR-skanning af fossa posterior
UXMA15	MR-skanning af hjernestamme
UXMA16	MR-skanning af mellemøre
UXMA20	MR-skanning af orbita
UXMA40	MR-skanning af bihuler, inkl. cavum nasi
UXMA60	MR-skanning af rhino-oropharynx
UXMA65	MR-skanning af kæbeled
UXMA75	MR-skanning af spytkirtler
UXMB	MR-skanninger af hals
UXMB00	MR-skanning af hals
UXMB10	MR-skanning af gld. thyreoidea og parathyr.
UXMC	MR-skanninger af thorax
UXMC10	MR-skanning af thoraxvæg
UXMC20	MR-skanning af klavikel
UXMC30	MR-skanning af sternoklavikularled
UXMC35	MR-skanning af sternum
UXMC40	MR-skanning af mamma
UXMC50	MR-skanning af øsofagus
UXMC60	MR-skanning af mediastinum
UXMC70	MR-skanning af aorta thoracalis
UXMC80	MR-skanning af hjertet
UXMD	MR-skanninger af abdomen og bækken
UXMD10	MR-skanning af øvre abdomen
UXMD15	MR-skanning af nedre abdomen, inkl. bækken
UXMD20	MR-skanning af retroperitoneum
UXMD22	MR-skanning af abdominalvæg
UXMD25	MR-skanning af mave-tarmkanal
UXMD30	MR-skanning af aorta abdominalis
UXMD40	MR-skanning af lever
UXMD50	MR-cholangio-pancreaticografi (MRCP)
UXMD55	MR-skanning af pancreas
UXMD60	MR-skanning af nyrer
UXMD62	MR-urografi
UXMD65	MR-skanning af binyrer
UXMD75	MR-skanning af blære
UXMD80	MR-skanning af genitalia feminina
UXMD85	MR-skanning af foster
UXMD90	MR-skanning af genitalia maskulina
UXMD92	MR-skanning af prostata
UXME	MR-skanninger af columna
UXME00	MR-skanning af columna
UXME10	MR-skanning af columna cervicalis
UXME15	MR-myelografi af medulla cervicalis
UXME20	MR-skanning af columna thoracalis
UXME25	MR-myelografi af medulla thoracalis
UXME30	MR-skanning af columna lumbalis
UXME40	MR-myelografi, lumbal
UXME50	MR-skanning af os sacrum
UXMF	MR-skanninger af overekstremitet
UXMF00	MR-skanning af overekstremitet
UXMF10	MR-skanning af skulder
UXMF20	MR-skanning af overarm
UXMF25	MR-skanning af albue
UXMF30	MR-skanning af underarm
UXMF40	MR-skanning af håndled
UXMF50	MR-skanning af hånd og fingre
UXMF90	Arbejdstest, MR-spektroskopi af muskler, overekstremitet
UXMG	MR-skanninger af underekstremitet
UXMG00	MR-skanning af underekstremitet
UXMG10	MR-skanning af bækken, inkl. begge hofteled
UXMG15	MR-skanning af hofteled
UXMG20	MR-skanning af femur
UXMG25	MR-skanning af knæ
UXMG30	MR-skanning af crus
UXMG40	MR-skanning af fodled
UXMG50	MR-skanning af fod og tæer
UXMG90	Arbejdstest, MR-spektroskopi af muskler, underekstremitet
UXR	Røntgenundersøgelser
UXRA	Røntgenundersøgelser af hoved
UXRA05	Røntgenundersøgelse af kranie
UXRA07	Røntgenundersøgelse af kranie med cephalostat
UXRA10	Røntgenundersøgelse af sella turcica
UXRA15	Røntgenundersøgelse af os temporale
UXRA20	Røntgenundersøgelse af orbita
UXRA25	Røntgenundersøgelse af ansigtsskelet
UXRA35	Røntgenundersøgelse af ductus lacrimalis med kontraststof
UXRA40	Røntgenundersøgelse af bihuler
UXRA45	Ortopan-tomografi af kæber
UXRA50	Panoramix-optagelse af kæber
UXRA55	Enoral optagelse af tænder
UXRA60	Røntgenundersøgelse af underkæbe
UXRA65	Røntgenundersøgelse af kæbeled
UXRA75	Oversigtsoptagelse af spytkirtler
UXRA80	Sialografi
UXRA90	Totalskelet - screening af børn <1 år mhp. batterred child
UXRA91	Totalskelet-screening af kvitteret foster eller dødfødt barn
UXRB	Røntgenundersøgelser af hals
UXRB00	Røntgenundersøgelse af hals
UXRB20	Røntgenundersøgelse af larynx
UXRB25	Røntgenundersøgelse af trachea
UXRC	Røntgenundersøgelser af thorax
UXRC00	Røntgenundersøgelse af thorax
UXRC05	Gennemlysning af thorax
UXRC10	Røntgenundersøgelse af thorax, inkl. specialprojektion
UXRC12	Røntgenundersøgelse af thorax med kontrast i CVK
UXRC20	Røntgenundersøgelse af clavicula
UXRC25	Røntgenundersøgelse af costae
UXRC30	Røntgenundersøgelse af sternoklavikulærled
UXRC35	Røntgenundersøgelse af sternum
UXRC40	Klinisk mammografi
UXRC45	Mammografi, screening
UXRC47	Røntgenvejledt nålemarkering i mamma
UXRC48	Cystografi af mamma
UXRC49	Galactografi af mamma
UXRC50	Røntgenundersøgelse af øsofagus med kontraststof
UXRC52	Røntgenundersøgelse af øsofagus med dokumentation af funkt.
UXRD	Røntgenundersøgelser af abdomen
UXRD00	Oversigtsoptagelse af abdomen
UXRD05	Røntgenundersøgelse af ventrikel med kontraststof
UXRD10	Røntgenundersøgelse af ventrikel med kontraststof og føde
UXRD15	Tyndtarmspassage
UXRD20	Tyndtarm med indgift af kontraststof gennem sonde
UXRD25	Røntgenundersøgelse af  kolon
UXRD30	Røntgenundersøgelse af  kolon efter peroral kontrast
UXRD35	Pouchografi
UXRD37	Defækografi
UXRD40	Oversigtsoptagelse af galdeveje
UXRD45	Kolangiografi gennem dræn
UXRD47	Intravenøs kolangiografi
UXRD50	Peroral kolecystografi med indgift af kontraststof
UXRD55	PTC, perkutan-transhepatisk-kolangiografi
UXRD60	Oversigtsoptagelse af nyrer op urinveje
UXRD65	Intravenøs urografi, inkl. oversigtsbilleder
UXRD70	Antegrad og retrograd pyelografi
UXRD75	Cystografi
UXRD80	MCU, miktions-cysto-urethrografi
UXRD85	Urethrografi
UXRD90	HSG, hystero-salpingografi
UXRE	Røntgenundersøgelser af columna
UXRE10	Røntgenundersøgelse af columna cervicalis
UXRE15	Cervikal myelografi
UXRE20	Røntgenundersøgelse af columna thoracalis
UXRE25	Thorakal myelografi
UXRE30	Røntgenundersøgelse af columna lumbalis
UXRE35	Lumbal myelografi
UXRE45	Lumbal diskografi
UXRE50	Røntgenundersøgelse af os sacrum
UXRE60	Røntgenundersøgelse af sakroiliakaled
UXRE70	Skolioseoptagelse
UXRE80	Osteodensitometri, dual X-ray absorptiometri, columna lumb.
UXRE82	Osteodensitometri, dual X-ray absorptiometri, lateral spine
UXRE85	Osteomorfometri, dual X-ray absorptiometri (DXA), columna
UXRF	Røntgenundersøgelser af overekstemitet
UXRF10	Røntgenundersøgelse af scapula
UXRF12	Røntgenundersøgelse af akromioklavikularled
UXRF15	Røntgenundersøgelse af skulder
UXRF20	Røntgenundersøgelse af overarm
UXRF25	Røntgenundersøgelse af albue
UXRF30	Røntgenundersøgelse af underarm
UXRF40	Røntgenundersøgelse af håndled
UXRF45	Røntgenundersøgelse af os scaphoideum
UXRF50	Røntgenundersøgelse af hånd og fingre
UXRF51	Røntgenundersøgelse af begge hænder
UXRF60	Røntgenundersøgelse på lang film af overekstremitet
UXRF80	Osteodensitometri, dual X-ray absorptiometri af underarm
UXRF82	Osteodensitometri, single X-ray absorptiometri af underarm
UXRF83	Osteodensitometri, dual X-ray absorptiometri af hånd
UXRG	Røntgenundersøgelser af underekstremitet
UXRG10	Røntgenundersøgelse af bækken
UXRG15	Røntgenundersøgelse af hofte
UXRG20	Røntgenundersøgelse af femur
UXRG25	Røntgenundersøgelse af knæ
UXRG26	Røntgenundersøgelse af begge knæ
UXRG27	Tangential røntgenundersøgelse af patella
UXRG30	Røntgenundersøgelse af crus
UXRG40	Røntgenundersøgelse af fodled
UXRG41	Røntgenundersøgelse af begge fodled
UXRG45	Røntgenundersøgelse af calcaneus
UXRG47	Røntgenundersøgelse af mellemfod
UXRG50	Røntgenundersøgelse af fod og tæer
UXRG60	Røntgenundersøgelse på lang film af underekstremiteten
UXRG80	Osteodensitometri, dual X-ray absorptiometri af collum fem.
UXRG81	Osteodensitometri, dual X-ray absorptiometri af  tibia
UXRG82	Osteodensitometri, single X-ray absorptiometri af calcaneus
UXRG82A	Osteodensitometri, dual X-ray absorptiometri af calcaneus
UXU	Ultralyds-undersøgelser
UXUA	Ultralyd-undersøgelser af hoved
UXUA00	UL-undersøgelse af cerebrum
UXUA20	UL-undersøgelse af orbita
UXUA25	UL-undersøgelse af bulbus oculi (B-skanning)
UXUA27	UL-vejledt måling af øjenakser (A-skanning)
UXUA30	Transkraniel Doppler af intracerebrale kar
UXUA32	Fontanelle-skanning
UXUA40	UL-undersøgelse af sinus maxillaris
UXUA45	Endoskopisk UL-undersøgelse af bihuler
UXUA65	UL-undersøgelse af kæbeled
UXUA75	UL-undersøgelse af spytkirtler
UXUA80	UL-undersøgelse af ansigtsbløddele
UXUA85	UL-undersøgelse af tunge og mundbund
UXUB	Ultralyd-undersøgelser af hals
UXUB00	UL-undersøgelse af hals
UXUB00A	UL-undersøgelse af lymfeknude på hals
UXUB00B	UL-undersøgelse af cyste på hals
UXUB10	UL-undersøgelse af gld. thyreoidea og parathyr.
UXUB10A	Ultralydundersøgelse, gl. thyreoidea
UXUB10B	Ultralydsundersøgelse, parathyreoidea
UXUB30	Kvantitativ UL / Doppler-undersøgelse af halsarterier
UXUB35	Kvantitativ UL / Doppler-undersøgelse af halsvener
UXUC	Ultralyd-undersøgelser af thorax
UXUC05	UL-undersøgelse af sternoklavikulærled
UXUC10	UL af thoraxvæg og axil, inkl. periklavikulær
UXUC15	UL-undersøgelse af pleura og diafragma
UXUC40	UL-undersøgelse af mamma
UXUC47	UL-vejledt nålemarkering i mamma
UXUC50	Endoskopisk UL-undersøgelse af øsofagus
UXUC60	UL-undersøgelse af lunge og mediastinum
UXUC62	Bronkoskopisk UL-undersøgelse
UXUC70	Epikardial ultralydsdiagnostik
UXUC71	Perikardial ultralydsdiagnostik
UXUC72	Intrapleural ultralydsdiagnostik
UXUC74	Transtorakoskopisk ultralydsdiagnostik
UXUC80	Transthorakal ekkokardiografi
UXUC80A	Transthorakal stress-ekkokardiografi
UXUC80B	Transthorakal ekkokardiografi m. Dobutamin test
UXUC80C	Transthorakal ekkokardiografi m. kontrast
UXUC80D	Transthorakal 3-D ekkokardiografi
UXUC80E	Transthorakal ekkokardiografi med vævsdoppler
UXUC81	Transoesofageal ekkokardiografi
UXUC82	Intrakardial ultralydsundersøgelse
UXUC85	Intrakoronar UL-undersøgelse
UXUC86	Intrakoronar flowmåling m. Doppler
UXUD	Ultralyd-undersøgelser af abdomen
UXUD10	UL-undersøgelse af øvre abdomen
UXUD11	Laparoskopisk UL-undersøgelse af øvre abdomen
UXUD12	UL-undersøgelse af tarm
UXUD15	UL-undersøgelse af nedre abdomen
UXUD16	Laparoskopisk UL-undersøgelse af nedre abdomen
UXUD20	UL-undersøgelse af retroperitoneum, inkl. aorta og binyrer
UXUD22	UL-undersøgelse af bugvæg
UXUD25	UL-undersøgelse af lyskeregion
UXUD30	Kvantitativ UL/Doppler af splanknikuskar
UXUD31	Endoskopisk UL-undersøgelse af ventrikel, duodenum og omgiv.
UXUD32	UL-undersøgelse af ventrikel, duodenum og omgiv. via stomi
UXUD33	Endoskopisk UL-undersøgelse af tyndtarm
UXUD34	UL-undersøgelse af tyndtarm via stomi
UXUD35	Endoskopisk UL-undersøgelse af tyktarm
UXUD36	UL-undersøgelse af tyktarm via stomi
UXUD38	Transrektal UL-undersøgelse af rektum og analkanal
UXUD39	Transvaginal UL-undersøgelse af tarm
UXUD40	Endoskopisk UL-undersøgelse af galdeveje
UXUD41	Endoskopisk UL-undersøgelse af pancreas
UXUD45	Perkutan UL-vejledt pancreastrykmåling
UXUD50	Endoskopisk UL-undersøgelse af lever
UXUD52	Kvantitativ UL/Doppler af leverens kar
UXUD60	Kvantitativ Doppler-undersøgelse af flow i nyrekar
UXUD61	UL-undersøgelse af nyrer
UXUD75	UL-undersøgelse af urinblæren
UXUD80	UL-undersøgelse af genitalia feminina
UXUD82	Transvaginal UL-undersøgelse af genitalia feminina
UXUD82A	Transvaginal UL-undersøgelse af uterus med kontrast
UXUD82B	Transvaginal UL-unds. af salpinges og uterus med kontrast
UXUD84	UL-undersøgelse af follikler
UXUD85	UL-undersøgelse af cervix
UXUD86	UL/Doppler af foster og placenta
UXUD86A	Obstetrisk ultralydskanning, type 1
UXUD86B	Obstetrisk ultralydskanning, type 2
UXUD86C	Fosterekkokardiografi
UXUD86D	Diagnostisk obstetrisk UL-skanning på speciel indikation
UXUD86E	Fosterekkokardiografi - tvillingeundersøgelse
UXUD87	Transvaginal UL-undersøgelse af  foster og placenta
UXUD87A	Transvaginal obstetrisk ultralydsskanning, type 1
UXUD87B	Transvaginal obstetrisk ultralydsskanning, type 2
UXUD88	UL/Doppler af navlesnorsflow/føto-maternelt kredsløb
UXUD88A	Flowmåling i a. umbilicalis
UXUD88B	Flowmåling i v. umbilicalis
UXUD88C	Flowmåling i a. cerebri media
UXUD88D	Flowmåling i ductus venosus
UXUD88E	Flowmåling over hjerteklapper
UXUD88F	Flowmåling i a. uterina
UXUD88G	Flowmåling i anastomoser i placenta
