AAA    Diagnostiska intrakraniella operationer
MAE    F”rlossning med vakuumextraktor
MAF    F”rlossning med t†ng
MAG    Ingrepp vid fot- eller s„tesbjudning
MAH    Diverse ingrepp i samband med f”rlossning
MAJ    Reduktion av multipel graviditet
MAW    Andra ingrepp f”re eller i samband med f”rlossning
MBA    Exeres och avl„gsnande av kvarh†llen moderkaka
MBB    Andra manuella ingrepp p† uterus efter f”rlossning
MBC    Sutur och revision av f”rlossningsskador
MBW    Andra ingrepp efter f”rlossning eller abort
MCA    Kejsarsnitt
MCB    Laparotomi med uth„mtande av extrauterint foster
MCC    Laparotomi med sutur av uterusruptur efter f”rlossning
MCW    Andra operationer av hith”rande art
MWA    Reoperation f”r s†rruptur
MWB    Reoperation f”r ytlig infektion
MWC    Reoperation f”r djup infektion
MWD    Reoperation f”r ytlig bl”dning
MWE    Reoperation f”r djup bl”dning
MWF    Reoperation f”r anastomos- och suturinsufficiens
MWW    Annan reoperation efter obstetriska ingrepp
NAA    Explorativa operationer p† kotpelaren
NAG    Excision, rekonstruktion och fusion av leder i kotpelaren
NAH    Diverse operationer p† leder i kotpelaren
NAJ    Frakturkirurgi i kotpelaren
NAK    Operationer p† kotor
NAL    Operationer p† muskler och senor i kotpelaren och nacken
NAM    Operationer p† fascior och bursor i kotpelaren och nacken
NAN    Transplantationer i kotpelaren
NAR    Operationer f”r tum”rer i kotpelaren
NAS    Operationer vid infektion i kotpelaren
NAT    Diverse operationer i kotpelaren
NAU    Extraktion av implantat och externt fixationsmaterial fr†n kotpelaren och nacken
NAW    Reoperationer i kotpelaren och nacken
NBA    Explorativa operationer p† axel och ”verarm
NBB    Prim„r ledprotesoperation i skulderled
NBC    Sekund„r ledprotesoperation i skulderled
NBE    Operationer p† ledkapslar och ledband i skulderled
NBF    Operationer p† ledhinnor och ledytor i skulderled
NBG    Excision, rekonstruktion och artrodes skulderled
NBH    Diverse operationer p† skulderled
NBJ    Frakturkirurgi p† axel och ”verarm
NBK    Operationer p† ben i axel och ”verarm
NBL    Operationer p† muskler och senor i axel och ”verarm
NBM    Operationer p† fascior, senskidor och bursor i axel och ”verarm
NBN    Transplantationer till axel och ”verarm
NBP    Replantation av ”vre extremitet ovan armb†gen
NBQ    Amputationer och relaterade operationer i axel och ”verarm
NBR    Operationer f”r tum”rer i axel och ”verarm
NBS    Operationer vid infektion i axel och ”verarm
NBT    Diverse operationer p† axel eller ”verarm
NBU    Extraktion av implantat och externt fixationsmaterial fr†n axel och ”verarm
NBW    Reoperationer p† axel och ”verarm
NCA    Explorativa operationer p† armb†ge och underarm
NCB    Prim„r ledprotesoperation i armb†gsled
NCC    Sekund„r ledprotesoperation i armb†gsled
NCE    Operationer p† ledkapslar och ledband i armb†gsled
NCF    Operationer p† ledhinnor och ledytor i armb†gsled
NCG    Excision, rekonstruktion och artrodes av armb†gsled
NCH    Diverse operationer p† armb†gsled
NCJ    Frakturkirurgi p† armb†ge och underarm
NCK    Operationer p† ben i armb†ge och underarm
NCL    Operationer p† muskler och senor vid armb†ge och i underarm
NCM    Operationer p† fascior, senskidor och bursor i armb†ge och underarm
NCN    Transplantationer till armb†ge och underarm
NCP    Replantation av underarm
NCQ    Amputationer av underarm och relaterade operationer
NCR    Operationer f”r tum”rer i armb†ge och underarm
NCS    Operationer vid infektion i armb†ge och underarm
NCT    Diverse operationer p† armb†ge och underarm
NCU    Extraktion av implantat och externt fixationsmaterial fr†n armb†ge och underarm
NCW    Reoperationer p† armb†ge och underarm
NDA    Explorativa operationer p† handled och hand
NDB    Prim„r ledprotesoperation i hand- och fingerleder
NDC    Sekund„r ledprotesoperation i hand- och fingerled
NDE    Operationer p† ledkapslar och ledband i hand- och fingerleder
NDF    Operationer p† ledhinnor och ledytor i hand- och fingerleder
NDG    Excision, rekonstruktion och artrodes av hand- och fingerleder
NDH    Diverse operationer p† hand- och fingerleder
NDJ    Frakturkirurgi p† handled och hand
NDK    Operationer p† ben i handled och hand
NDL    Operationer p† muskler och senor vid handled och i hand
NDM    Operationer p† fascior, senskidor och bursor i handled och hand
NDN    Transplantationer till handled och hand
NDP    Replantationer och autotransplantationer till handled och hand
NDQ    Amputationer och relaterade operationer i handled och hand
NDR    Operationer f”r tum”rer i handled och hand
NDS    Operationer vid infektion i handled och hand
NDT    Diverse operationer p† handled och hand
NDU    Extraktion av implantat och externt fixationsmaterial fr†n handled och hand
NDW    Reoperationer p† handled och hand
NEA    Explorativa operationer p† b„ckenet
NEG    Excision, rekonstruktion och artrodes av b„ckenled
NEH    Diverse operationer p† b„ckenled
NEJ    Frakturkirurgi i b„ckenet
NEK    Operationer p† ben i b„ckenet
NEL    Operationer p† muskler och senor i b„ckenet
NEM    Operationer p† fascior och bursor i b„ckenet
NEN    Transplantationer till b„ckenet
NEP    Replantationer och autotransplantationer i b„ckenet
NEQ    Amputationer och relaterade operationer p† b„ckenet
NER    Operationer f”r tum”rer av b„ckenet
NES    Operationer vid infektion i b„ckenet
NET    Diverse operationer p† b„ckenet
NEU    Extraktion av implantat och externt fixationsmaterial fr†n b„ckenet
NEW    Reoperationer p† b„ckenet
NFA    Explorativa operationer p† h”ft och l†r
NFB    Prim„r ledprotesoperation i h”ftled
NFC    Sekund„r ledprotesoperation i h”ftled
NFE    Operationer p† ledkapslar och ligament i h”ftled
NFF    Operationer p† ledhinnor och ledytor i h”ftled
NFG    Excision, rekonstruktion och artrodes av h”ftled
NFH    Diverse operationer p† h”ftled
NFJ    Frakturkirurgi p† femur
NFK    Operationer p† femur
NFL    Operationer p† muskler och senor i h”ft och l†r
NFM    Operationer p† fascior och bursor i h”ft och l†r
NFN    Transplantationer till h”ft och l†r
NFP    Replantationer och autotransplantationer i h”ft och l†r
NFQ    Amputationer och relaterade operationer p† h”ft och femur
NFR    Operationer f”r tum”rer av h”ft och l†r
NFS    Operationer vid infektion i h”ft och l†r
NFT    Diverse operationer p† h”ft eller l†r
NFU    Extraktion av implantat och externt fixationsmaterial fr†n h”ft och femur
NFW    Reoperationer p† h”ft eller l†r
NGA    Explorativa operationer p† kn„ och underben
NGB    Prim„r ledprotesoperation i kn„led
NGC    Sekund„r ledprotesoperation i kn„led
NGD    Operationer p† menisker i kn„led
NGE    Operationer p† ledkapslar och ligament i kn„led, ospecificerad
NGF    Operationer p† ledhinnor och ledytor i kn„led
NGG    Excision, rekonstruktion och artrodes i kn„led
NGH    Diverse operationer p† kn„led
NGJ    Frakturkirurgi p† kn„ och underben
NGK    Operationer p† ben i kn„ och underben
NGL    Operationer p† muskler och senor i kn„ och underben
NGM    Operationer p† fascior och bursor i kn„ och underben
NGN    Transplantationer till kn„ och underben
NGP    Replantationer i kn„ och underben
NGQ    Amputationer och relaterade operationer av kn„ och underben
NGR    Operationer f”r tum”rer i kn„ och underben
NGS    Operationer vid infektion i kn„ och underben
NGT    Diverse operationer p† kn„ och underben
NGU    Extraktion av implantat och externt fixationsmaterial fr†n kn„ och underben
NGW    Reoperationer p† kn„ och underben
NHA    Explorativa operationer p† fotled och fot
NHB    Prim„r ledprotesoperation i fotled och fot
NHC    Sekund„r ledprotesoperation i fotled och fot
NHE    Operationer p† ledkapslar och ledband i fotled och fot
NHF    Operationer p† ledhinnor och ledytor i fotled och fot
NHG    Excision, rekonstruktion och artrodes av fotled och fot
NHH    Diverse operationer p† fotled och fot
NHJ    Frakturkirurgi p† fotled och fot
NHK    Operationer p† ben i fotled och fot
NHL    Operationer p† muskler och senor av fotled och fot
NHM    Operationer p† fascior, senskidor och bursor i fotled och fot
NHN    Transplantationer till fotled och fot
NHP    Replantationer och autotransplantationer i fotled och fot
NHQ    Amputationer och relaterade operationer p† fotled och fot
NHR    Operationer f”r tum”rer av fotled och fot
NHS    Operationer vid infektion i fotled och fot
NHT    Diverse operationer p† fotled och fot
NHU    Extraktion av implantat och externt fixationsmaterial fr†n fotled och fot
NHW    Reoperationer p† fotled eller fot
PAA    Exploration av art„rer avg†ende fr†n aortab†gen och dess grenar
PAB    Ligatur av art„rer avg†ende fr†n aortab†gen och dess grenar
PAC    Sutur av art„rer avg†ende fr†n aortab†gen och dess grenar
PAE    Trombektomi/embolektomi i art„rer avg†ende fr†n aortab†gen och dess grenar
PAF    Trombendart„rektomi i art„rer avg†ende fr†n aortab†gen och dess grenar
PAG    Aneurysmoperation p† art„rer avg†ende fr†n aortab†gen och dess grenar
PAH    Bypass fr†n art„rer avg†ende fr†n aortab†gen och dess grenar
PAJ    Transposition av art„rer avg†ende fr†n aortab†gen och dess grenar
PAK    Reimplantation av art„rer avg†ende fr†n aortab†gen och dess grenar
PAM    Slutning av fistel fr†n art„rer avg†ende fr†n aortab†gen och dess grenar
PAN    Plastik p† art„rer avg†ende fr†n aortab†gen och dess grenar
PAP    Perkutan plastik p† art„rer avg†ende fr†n aortab†gen och dess grenar
PAQ    Inl„ggande av endovaskul„rt implantat i art„rer avg†ende fr†n aortab†gen ock dess grenar
PAR    Uttagning av endovaskul„rt implantat fr†n art„rer avg†ende fr†n aortab†gen och dess grenar
PAT    Injektion av l„kemedel eller ockluderande material i art„rer avg†ende fr†n aortab†gen och dess grenar
PAU    Operation inom tidigare rekonstruktion p† art„rer avg†ende fr†n aortab†gen och dess grenar
PAW    Andra operationer p† art„rer avg†ende fr†n aortab†gen och dess grenar
PBA    Exploration av art„rer i ”vre extremiteten
PBB    Ligatur av art„rer i ”vre extremiteten
PBC    Sutur av art„rer i ”vre extremiteten
PBE    Trombektomi eller embolektomi i art„rer i ”vre extremiteten
PBF    Trombendart„rektomi i art„rer i ”vre extremiteten
PBG    Aneurysmoperation p† art„rer i ”vre extremiteten
PBH    Bypass fr†n art„rer i ”vre extremiteten
PBL    Anl„ggande av a-v fistel fr†n art„rer i ”vre extremiteten
PBM    Slutning av a-v fistel fr†n art„rer i ”vre extremiteten
PBN    Plastik p† art„rer i ”vre extremiteten
PBP    Perkutan plastik p† art„rer i ”vre extremiteten
PBQ    Inl„ggande av endovaskul„rt implantat i art„rer i ”vre extremiteten
PBR    Uttagning av endovaskul„rt implantat fr†n art„rer i ”vre extremiteten
PBU    Operation inom tidigare rekonstruktion p† art„rer i ”vre extremiteten
PBW    Andra operationer p† art„rer i ”vre extremiteten
PCA    Exploration av visceralart„rer
PCB    Ligatur av visceralart„rer
PCC    Sutur av suprarenala bukaorta och visceralart„rer
PCE    Trombektomi eller embolektomi i visceralart„rer
PCF    Trombendart„rektomi i visceralart„rer
PCG    Aneurysmoperation p† suprarenala bukaorta och visceralart„rer
PCH    Bypass fr†n suprarenala bukaorta och visceralart„rer
PCJ    Transposition av visceralart„rer
PCK    Reimplantation av visceralart„rer
PCN    Plastik p† visceralart„rer
PCP    Perkutan plastik p† visceralart„rer
PCQ    Inl„ggande av endovaskul„rt implantat i suprarenala bukaorta och visceralart„rer
PCR    Uttagning av endovaskul„rt implantat fr†n suprarenala bukaorta och visceralart„rer
PCS    Endoskopisk operation p† visceralart„rer
PCT    Injektion av l„kemedel eller ockluderande material i visceralart„rer
PCU    Operation inom tidigare rekonstruktion p† suprarenala bukaorta och visceralart„rer
PCW    Andra operationer p† suprarenala bukaorta och visceralart„rer
PDA    Exploration av infrarenala bukaorta och a iliaca
PDC    Sutur av infrarenala bukaorta och a iliaca
PDE    Trombektomi eller embolektomi i infrarenala bukaorta och a iliaca
PDF    Trombendart„rektomi i infrarenala bukaorta och a iliaca
PDG    Aneurysmoperation p† infrarenala bukaorta och a iliaca
PDH    Bypass fr†n infrarenala bukaorta och a iliaca
PDN    Plastik p† infrarenala bukaorta och a iliaca
PDP    Perkutan plastik p† infrarenala bukaorta och a iliaca
PDQ    Inl„ggande av endovaskul„rt implantat i infrarenala bukaorta och a iliaca
PDR    Uttagning av endovaskul„rt implantat fr†n infrarenala bukaorta och a iliaca
PDS    Endoskopisk operation p† infrarenala bukaorta och a iliaca
PDT    Injektion av l„kemedel eller ockluderande material i infrarenala bukaorta och a iliaca
PDU    Operation inom tidigare rekonstruktion p† infrarenala bukaorta och a iliaca samt ingrepp d„rifr†n och perifert
PDW    Andra operationer p† infrarenala bukaorta och a iliaca samt ingrepp d„rifr†n och perifert
PEA    Exploration av a femoralis och dess grenar
PEC    Sutur av a femoralis och dess grenar
PEE    Trombektomi eller embolektomi i a femoralis och dess grenar
PEF    Trombendart„rektomi i a femoralis och dess grenar
PEG    Aneurysmoperation p† a femoralis och dess grenar
PEH    Bypass fr†n a femoralis och dess grenar
PEN    Plastik p† a femoralis och dess grenar
PEP    Perkutan plastik p† a femoralis och dess grenar
PEQ    Inl„ggande av endovaskul„rt implantat i a femoralis och dess grenar
PER    Uttagning av endovaskul„rt implantat fr†n a femoralis och dess grenar
PES    Endoskopisk operation p† a femoralis och dess grenar
PET    Injektion av l„kemedel eller ockluderande material i a femoralis och dess grenar
PEU    Operation inom tidigare rekonstruktion p† arteria femoralis och dess grenar samt ingrepp d„rifr†n till a poplitea
PEW    Andra operationer p† arteria femoralis och dess grenar samt ingrepp d„rifr†n till a poplitea
PFA    Exploration av a poplitea, underbens- eller fotart„r
PFB    Ligatur av a poplitea, underbens- eller fotart„r
PFC    Sutur av a poplitea
PFE    Trombektomi och embolektomi i arteria poplitea, underbens- och fotart„r
PFG    Aneurysmoperation p† a poplitea
PFH    Bypass fr†n a femoralis och a poplitea
PFL    Anl„ggande av a-v fistel i underben och fot
PFN    Plastik p† a poplitea
PFP    Perkutan plastik p† a poplitea, underbens- eller fotart„r
PFQ    Inl„ggande av endovaskul„rt implantat i a poplitea eller underbensart„r
PFR    Uttagning av endovaskul„rt implantat fr†n a poplitea
PFS    Endoskopisk operation p† a poplitea
PFT    Injektion av l„kemedel eller ockluderande material i a poplitea, underbens- eller fotart„r
PFU    Operation inom tidigare rekonstruktion p† arteria femoralis och arteria poplitea
PFW    Andra operationer fr†n arteria femoralis till infrapopliteala art„rer samt ingrepp p† a poplitea och art„rer p† underben och fot
PGH    Extra-anatomiska bypass operationer
PGU    Operation inom tidigare rekonstruktion med extra-anatomiskt f”rlopp
PGW    Andra extra-anatomiska bypass operationer
PHB    Ligatur av ven
PHC    Sutur av ven
PHD    Resektion av ven
PHE    Trombektomi i ven
PHH    Bypass fr†n ven
PHJ    Transposition av ven
PHN    Plastik p† ven
PHP    Perkutan plastik p† ven
PHQ    Inl„ggande av endovaskul„rt implantat i ven
PHR    Uttagning av endovaskul„rt implantat fr†n ven
PHS    Endoskopisk operation p† ben
PHT    Injektion av l„kemedel eller ockluderande material i ven
PHW    Andra operationer p† ven
PJA    Exploration och biopsi av lymfk”rtlar
PJB    Ligatur av lymfk„rl
PJD    Exstirpation och utrymning av lymfk”rtlar
PJW    Andra operationer p† lymfsystemet
PWA    Reoperation f”r s†rruptur
PWB    Reoperation f”r ytlig infektion
PWC    Reoperation f”r djup infektion
PWD    Reoperation f”r ytlig bl”dning
PWE    Reoperation f”r djup bl”dning
PWF    Reoperation f”r anastomos- och suturinsufficiens
PWG    Reoperation f”r trombos eller emboli
PWH    Reoperation f”r lymfocele
PWW    Annan reoperation p† perifera k„rl och lymfsystemet
QAA    Punktion, incision och destruktion vid hudf”r„ndring i huvud-halsregionen
QAB    S†rbehandling i huvud-halsregionen
QAC    Avl„gsnande av subkutan fr„mmande kropp i huvud-halsregionen
QAD    Behandling av br„nnskador i huvud-halsregionen
QAE    Excision och rekonstruktion vid hudf”r„ndringar i huvud-halsregionen
QAF    Operationer p† skalpen och ”gonbryn
QAG    Operationer f”r kroniska s†r och fistlar i huvud-halsregionen
QAJ    Operationer av estetiska orsaker i huvud-halsregionen
QBA    Punktion, incision och destruktion vid hudf”r„ndring p† b†len
QBB    S†rbehandling p† b†len
QBC    Avl„gsnande av subkutan fr„mmande kropp p† b†len
QBD    Behandling av br„nnskador p† b†len
QBE    Excision och rekonstruktion vid hudf”r„ndringar p† b†len
QBG    Operationer f”r kroniska s†r och fistlar p† b†len
QBJ    Operationer av estetiska orsaker p† b†len
QCA    Punktion, incision och destruktion vid hudf”r„ndring, ”vre extremitet
QCB    S†rbehandling, ”vre extremitet
QCC    Avl„gsnande av subkutan fr„mmande kropp, ”vre extremitet
QCD    Behandling av br„nnskador, ”vre extremitet
QCE    Excision och rekonstruktion vid hudf”r„ndringar, ”vre extremitet
QCG    Operationer f”r kroniska s†r och fistlar, ”vre extremitet
QCH    Operationer p† fingernaglar
QCJ    Operationer av estetiska orsaker, ”vre extremitet
QDA    Punktion, incision och destruktion vid hudf”r„ndring, nedre extremitet
QDB    S†rbehandling, nedre extremitet
QDC    Avl„gsnande av subkutan fr„mmande kropp, nedre extremitet
QDD    Behandling av br„nnskador, nedre extremitet
QDE    Excision och rekonstruktion vid hudf”r„ndringar, nedre extremitet
QDG    Operationer f”r kroniska s†r och fistlar, nedre extremitet
QDH    Operationer p† t†naglar
QDJ    Operationer av estetiska orsaker, nedre extremitet
QWA    Reoperation f”r s†rruptur
QWB    Reoperation f”r ytlig infektion
QWD    Reoperation f”r ytlig bl”dning
QWF    Reoperation f”r anastomos- och suturinsufficiens
QWW    Annan reoperation p† hud och subkutan v„vnad
TAB    TAB
TAC    TAC
TAD    TAD
TAW    TAW
TBA    TBA
TBB    TBB
TBC    TBC
TBW    TBW
TCA    TCA
TCB    TCB
TCC    TCC
TCE    TCE
TCF    TCF
TCG    TCG
TCH    TCH
TCK    TCK
TCW    TCW
TDA    TDA
TDB    TDB
TDC    TDC
TDH    TDH
TDJ    TDJ
TDM    TDM
TDN    TDN
TDP    TDP
TDQ    TDQ
TDW    TDW
TEA    TEA
TEB    TEB
TEC    TEC
TED    TED
TEE    TEE
TEG    TEG
TEH    TEH
TEJ    TEJ
TEL    TEL
TEM    TEM
TEN    TEN
TEW    TEW
TFC    TFC
TFE    TFE
TFJ    TFJ
TFP    TFP
TFW    TFW
TGA    TGA
TGB    TGB
TGD    TGD
TGE    TGE
TGW    TGW
THA    THA
THW    THW
TJA    TJA
TJC    TJC
TJD    TJD
TJF    TJF
TJG    TJG
TJJ    TJJ
TJK    TJK
TJL    TJL
TJM    TJM
TJW    TJW
TKA    TKA
TKC    TKC
TKD    TKD
TKE    TKE
TKF    TKF
TKK    TKK
TKW    TKW
TLA    TLA
TLB    TLB
TLC    TLC
TLE    TLE
TLW    TLW
TMA    TMA
TMW    TMW
TNA    Mindre ortopediska operationer p† kotpelare och nacke
TNB    Mindre ortopediska operationer p† axel och ”verarm (inkl skapula och klavikel och deras ledf”rbindelser)
TNC    Mindre ortopediska operationer p† armb†ge och underarm
TND    Mindre ortopediska operationer p† handled och hand
TNE    Mindre ortopediska operationer p† b„ckenet (inkl sakrum och koccyx)
TNF    Mindre ortopediska operationer p† h”ftled och l†r
TNG    Mindre ortopediska operationer p† kn„led och underben
TNH    Mindre ortopediska operationer p† fotled och fot
TNX    Mindre ortopediska operationer, ospecificerad region
TPH    TPH
TPJ    TPJ
TPW    TPW
TPX    TPX
TQW    TQW
TQX    TQX
UDH    UDH
UDM    UDM
UDQ    UDQ
UGA    UGA
UGB    UGB
UGC    UGC
UJC    Esofagoskopi
UJD    Gastroskopi
UJF    Enteroskopi och koloskopi
UJG    Rektoskopi
UJH    Anoskopi
UJK    Endoskopisk och radiologisk unders”kning av gallv„garna och pankreasg†ngen
UKA    UKA
UKB    UKB
UKC    UKC
UKD    UKD
ULB    ULB
ULC    ULC
XAA    XAA
XAB    XAB
XAW    XAW
XAX    XAX
XCC    XCC
XCD    XCD
XCK    XCK
XCW    XCW
XFE    XFE
XFN    XFN
XFP    XFP
XFX    XFX
XGX    XGX
XJA    XJA
XJC    XJC
XJD    XJD
XJF    XJF
XJG    XJG
XJH    XJH
XJK    XJK
XJL    XJL
XJW    XJW
XKA    XKA
XKC    XKC
XKD    XKD
XKG    XKG
XKW    XKW
XKX    XKX
XLE    XLE
XLW    XLW
XNA    XNA
XNB    XNB
XNW    XNW
XNX    XNX
XPX    XPX
XXA    XXA
YCA    Uttagning av hornhinna till transplantation
YFA    Uttagning av hj„rta eller hj„rta-lungor till transplantation
YGA    Uttagning av lungor till transplantation
YJA    Uttagning av lever till transplantation
YJB    Uttagning av tunntarm till transplantation
YJC    Uttagning av mags„ck och tunntarm till transplantation
YJD    Uttagning av pankreas till transplantation
YKA    Uttagning av njure till transplantation
YNA    Uttagning av ben och mjukdelar till transplantation
YNB    Uttagning av benm„rg till transplantation
YPA    Uttagning av k„rl till transplantation
YQA    Excision av hud till transplantation
ZFX    Kardiovaskul„r kirurgisk teknik
ZSA    ZSA
ZSB    ZSB
ZSC    ZSC
ZSD    ZSD
ZSE    ZSE
ZSF    ZSF
ZSG    ZSG
ZSH    ZSH
ZSJ    ZSJ
ZSK    ZSK
ZSL    ZSL
ZSM    ZSM
ZSN    ZSN
ZSP    ZSP
ZSQ    ZSQ
ZST    ZST
ZSU    ZSU
ZSX    ZSX
ZSY    ZSY
ZXA    Lateralitet
ZXB    Lateralt - medialt
ZXC    Kirurgisk teknik
ZXD    Akut - elektivt
ZXE    Operationens varaktighet
ZXF    Orsaker till avbruten operation
ZXG    Behandling av peroperativt hj„rtstillest†nd
ZXH    Anestesimetoder
ZZA    Fria hudtransplantat
ZZB    Fritt sentransplantat
ZZC    Fritt fascietransplantat
ZZD    Fritt duratransplantat
ZZE    Fritt muskeltransplantat
ZZF    Fritt fettv„vnadstransplantat
ZZG    Fritt brosk- eller menisktransplantat
ZZH    Fritt periosttransplantat
ZZJ    Fritt perikondriumtransplantat
ZZK    Fritt nervtransplantat
ZZL    Fritt fosterhinnetransplantat
ZZM    Fritt sammansatt transplantat
ZZN    Fria art„rtransplantat
ZZP    Fria ventransplantat
ZZQ    Fria mikrovaskul„ra transplantat
ZZR    Stj„lkade lamb†er
ZZS    Kirurgisk teknik vid anv„ndning av lamb† och v„vnadsexpander
ZZU    Fritt slemhinnetransplantat
