A00    Kolera
H21    Andra f”r„ndringar i regnb†gshinnan och ciliarkroppen
H22    F”r„ndringar i regnb†gshinnan och ciliarkroppen vid sjukdomar som klassificeras annorst„des
H25    Katarakt (gr† starr) vid h”gre †lder
H26    Andra former av katarakt (gr† starr)
H27    Andra linsf”r„ndringar
H28    Katarakt (gr† starr) och andra linsf”r„ndringar vid sjukdomar som klassificeras annorst„des
H30    Inflammation i †derhinnan och n„thinnan
H31    Andra f”r„ndringar i †derhinnan
H32    F”r„ndringar i b†de †derhinnan och n„thinnan vid sjukdomar som klassificeras annorst„des
H33    N„thinneavlossning och n„thinneh†l
H34    Ocklusion av retinala blodk„rl
H35    Andra sjukliga f”r„ndringar i n„thinnan
H36    F”r„ndringar i n„thinnan vid sjukdomar som klassificeras annorst„des
H40    Glaukom (gr”n starr)
H42    Glaukom (gr”n starr) vid sjukdomar som klassificeras annorst„des
H43    Sjukliga f”r„ndringar i glaskroppen
H44    Sjukliga f”r„ndringar i ”gongloben
H45    F”r„ndringar i glaskroppen och ”gongloben vid sjukdomar som klassificeras annorst„des
H46    Synnervsinflammation
H47    Andra f”r„ndringar i synnerven eller synbanorna
H48    F”r„ndringar i synnerven och synbanorna vid sjukdomar som klassificeras annorst„des
H49    Paralytisk strabism (”gonmuskelf”rlamning)
H50    Annan strabism (skelning)
H51    Andra f”r„ndringar i de binokul„ra r”relserna
H52    F”r„ndringar i ”gats refraktion och ackommodation
H53    Synst”rningar
H54    Blindhet och allvarligt nedsatt syn
H55    Nystagmus och andra oregelbundna ”gonr”relser
H57    Andra sjukdomar i ”gat och n„rliggande organ
H58    Andra f”r„ndringar i ”gat och n„rliggande organ vid sjukdomar som klassificeras annorst„des
H59    F”r„ndringar i ”gat och n„rliggande organ efter kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
H60    Extern otit (inflammation i ytter”rat och yttre h”rselg†ngen)
H61    Andra sjukdomar i ytter”rat
H62    F”r„ndringar i ytter”rat vid sjukdomar som klassificeras annorst„des
H65    Icke varig inflammation i mellan”rat
H66    Varig och icke specificerad mellan”reinflammation
H67    Mellan”reinflammation vid sjukdomar som klassificeras annorst„des
H68    Inflammation och tillt„ppning av ”rontrumpeten
H69    Andra sjukdomar i ”rontrumpeten
H70    Inflammation i mastoidutskottet och besl„ktade sjukdomar
H71    Mellan”rekolesteatom
H72    Perforation av trumhinnan
H73    Andra sjukdomar i trumhinnan
H74    Andra sjukdomar i mellan”rat och mastoidutskottet
H75    Andra tillst†nd i mellan”rat och mastoidutskottet vid sjukdomar som klassificeras annorst„des
H80    Otoskleros
H81    Rubbningar i balansapparatens funktion
H82    Yrselsyndrom vid sjukdomar som klassificeras annorst„des
H83    Andra sjukdomar i inner”rat
H90    Ledningshinder och sensorineural h”rselneds„ttning
H91    Annan h”rselneds„ttning
H92    ™ronv„rk och ”ronflytning
H93    Andra sjukdomar i ”rat som ej klassificeras annorst„des
H94    Andra tillst†nd i ”rat vid sjukdomar som klassificeras annorst„des
H95    Sjukdomar i ”rat och i mastoidutskottet efter kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
I00    Akut reumatisk feber utan uppgift om hj„rtsjukdom
I01    Akut reumatisk feber med hj„rtsjukdom
I02    Reumatisk korea (danssjuka)
I05    Reumatiska mitralisklaffel
I06    Reumatiska aortaklaffel
I07    Reumatiska trikuspidalisklaffel
I08    Multipla klaffel
I09    Andra reumatiska hj„rtsjukdomar
I10    Essentiell hypertoni (h”gt blodtryck utan k„nd orsak)
I11    Hypertoni med hj„rtsjukdom
I12    Hypertoni med njursjukdom
I13    Hypertoni med hj„rt- och njursjukdom
I15    Sekund„r hypertoni (h”gt blodtryck som f”ljd av annan sjukdom)
I20    Angin”sa br”stsm„rtor (k„rlkramp i br”stet)
I21    Akut hj„rtinfarkt
I22    Reinfarkt (†terinsjuknande i akut hj„rtinfarkt)
I23    Vissa komplikationer till akut hj„rtinfarkt
I24    Andra akuta ischemiska hj„rtsjukdomar
I25    Kronisk ischemisk hj„rtsjukdom
I26    Lungemboli
I27    Andra sjukdomstillst†nd inom lungcirkulationen
I28    Andra sjukdomar i lungk„rlen
I30    Akut perikardit (hj„rts„cksinflammation)
I31    Andra sjukdomar i perikardiet (hj„rts„cken)
I32    Perikardit (hj„rts„cksinflammation) vid sjukdomar som klassificeras annorst„des
I33    Akut och subakut endokardit (inflammatorisk hj„rtklaffsjukdom)
I34    Icke reumatiska mitralisklaffsjukdomar
I35    Icke reumatiska aortaklaffsjukdomar
I36    Icke reumatiska trikuspidalisklaffsjukdomar
I37    Pulmonalisklaffsjukdomar
I38    Endokardit (inflammation i hj„rtklaff), icke specificerad klaff
I39    Endokardit (inflammation i hj„rtklaff) och hj„rtklaff”r„ndringar vid sjukdomar som klassificeras annorst„des
I40    Akut myokardit
I41    Myokardit vid sjukdomar som klassificeras annorst„des
I42    Kardiomyopati (hj„rtmuskelsjukdom)
I43    Hj„rtmuskelsjukdom vid sjukdomar som klassificeras annorst„des
I44    Atrioventrikul„rt block och v„nstersidigt grenblock (retledningsrubbning mellan f”rmak och kammare respektive i den v„nstra sk„nkeln)
I45    Andra retledningsrubbningar
I46    Hj„rtstillest†nd
I47    Paroxysmal takykardi
I48    F”rmaksflimmer och f”rmaksfladder
I49    Andra hj„rtarytmier
I50    Hj„rtinsufficiens
I51    Ofullst„ndigt preciserade hj„rtsjukdomar och komplikationer till hj„rtsjukdom
I52    Andra hj„rtsjukdomar vid sjukdomar som klassificeras annorst„des
I60    Subaraknoidalbl”dning (bl”dning under spindelv„vshinnan)
I61    Hj„rnbl”dning
I62    Annan icke traumatisk intrakraniell bl”dning
I63    Cerebral infarkt
I64    Akut cerebrovaskul„r sjukdom ej specificerad som bl”dning eller infarkt
I65    Ocklusion och stenos av precerebrala art„rer som ej lett till cerebral infarkt
I66    Ocklusion och stenos av cerebrala art„rer som ej lett till cerebral infarkt
I67    Andra cerebrovaskul„ra sjukdomar
I68    F”r„ndringar i hj„rnans k„rl vid sjukdomar som klassificeras annorst„des
I69    Sena effekter av cerebrovaskul„r sjukdom
I70    Ateroskleros (†derf”rkalkning)
I71    Aortaaneurysm (aortabr†ck)
I72    Annat aneurysm (art„rbr†ck)
I73    Andra sjukdomar i perifera k„rl
I74    Emboli och trombos i art„r
I77    Andra sjukdomar i art„rer och arterioler (sm†art„rer)
I78    Sjukdomar i kapill„rerna
I79    F”r„ndringar i art„rer, arterioler (sm†art„rer) och kapill„rer vid sjukdomar som klassificeras annorst„des
I80    Flebit (inflammation i ven) och tromboflebit (inflammation och blodpropp i ven)
I81    Trombos i portavenen
I82    Annan ven”s emboli och trombos
I83    Varicer (†derbr†ck) i nedre extremiteterna
I84    Hemorrojder
I85    Esofagusvaricer (†derbr†ck i matstrupen)
I86    Varicer (†derbr†ck) med annan lokalisation
I87    Andra sjukdomar i venerna
I88    Icke specifik lymfadenit (inflammation i lymfk”rtel)
I89    Andra icke infekti”sa sjukdomar i lymfk„rlen och lymfk”rtlarna
I95    Hypotoni
I97    Sjukdomar i cirkulationsorganen efter kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
I98    Andra tillst†nd i cirkulationsorganen vid sjukdomar som klassificeras annorst„des
I99    Andra och icke specificerade sjukdomar i cirkulationsorganen
J00    Akut nasofaryngit (f”rkylning)
J01    Akut sinuit (bih†leinflammation)
J02    Akut faryngit (halskatarr)
J03    Akut tonsillit (tonsillinflammation)
J04    Akut laryngit (inflammation i struphuvudet) och trakeit (inflammation i luftstrupen)
J05    Akut obstruktiv laryngit (pseudokrupp) och epiglottit (inflammation i struplocket)
J06    Akut ”vre luftv„gsinfektion med multipel och icke specificerad lokalisation
J10    Influensa orsakad av identifierat influensavirus
J11    Influensa, virus ej identifierat
J12    Viruspneumoni som ej klassificeras annorst„des
J13    Pneumoni orsakad av Streptococcus pneumoniae
J14    Pneumoni orsakad av Haemophilus influenzae
J15    Bakteriell pneumoni som ej klassificeras annorst„des
J16    Pneumoni orsakad av andra infekti”sa organismer som ej klassificeras annorst„des
J17    Pneumoni vid sjukdomar som klassificeras annorst„des
J18    Pneumoni orsakad av icke specificerad mikroorganism
J20    Akut bronkit
J21    Akut bronkiolit (katarr i de sm† luftv„garna)
J22    Icke specificerad akut infektion i nedre luftv„garna
J30    Vasomotorisk och allergisk rinit (snuva)
J31    Kronisk rinit (snuva), nasofaryngit (katarr i n„sa och svalg) och faryngit (halskatarr)
J32    Kronisk sinuit (bih†leinflammation)
J33    N„spolyp
J34    Andra sjukdomar i n„sh†la och n„ssinus
J35    Kroniska sjukdomar i tonsiller (halsmandlar) och adenoider ('k”rtlar bakom n„san')
J36    Halsb”ld
J37    Kronisk laryngit och laryngotrakeit (inflammation i struphuvudet och struphuvudet-luftstrupen)
J38    Sjukdomar i st„mbanden och i struphuvudet som ej klassificeras annorst„des
J39    Andra sjukdomar i ”vre luftv„garna
J40    Bronkit icke specificerad som akut eller kronisk
J41    Kronisk bronkit utan luftv„gsobstruktion
J42    Icke specificerad kronisk bronkit
J43    Lungemfysem
J44    Kroniskt obstruktiv lungsjukdom [KOL]
J45    Astma
J46    Akut sv†r astma
J47    Bronkiektasier (lokala utvidgningar av luftr”ren)
J60    Pneumokonios (dammlunga) orsakad av stenkolsdamm
J61    Pneumokonios (dammlunga) orsakad av asbest och andra mineralfibrer
J62    Pneumokonios (dammlunga) orsakad av damm inneh†llande kisel
J63    Pneumokonios (dammlunga) orsakad av annat oorganiskt damm
J64    Icke specificerad pneumokonios (dammlunga)
J65    Pneumokonios (dammlunga) f”renad med tuberkulos
J66    Luftv„gssjukdom orsakad av specificerat organiskt damm
J67    Hypersensitivitetspneumonit (spridda, icke infektionsbetingade inflammatoriska f”r„ndringar i lungorna) orsakad av organiskt damm
J68    Sjukliga tillst†nd i lungorna orsakade av kemikalier, gaser, r”k och †nga
J69    Pneumonit (spridda, icke infektionsbetingade inflammatoriska f”r„ndringar i lungorna) orsakad av fasta och flytande „mnen
J70    Sjukliga tillst†nd i lungorna av andra yttre orsaker
J80    Akut andningssviktsyndrom hos vuxen
J81    Lung”dem
J82    Lungeosinofili som ej klassificeras annorst„des
J84    Andra interstitiella lungsjukdomar (sjukdomar i lungornas st”djev„vnad)
J85    Abscess i lunga och mediastinum (lungmellanrummet)
J86    Empyem (varansamling i lungs„cken)
J90    Utgjutning i lungs„cken som ej klassificeras annorst„des
J91    Utgjutning i lungs„cken vid tillst†nd som klassificeras annorst„des
J92    Pleuraplack (lokal f”rtjockning av lungs„cksbladen)
J93    Pneumotorax (luft i lungs„cken)
J94    Andra pleurala sjukdomar
J95    Sjukdomar i andningsorganen efter kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
J96    Respiratorisk insufficiens (andningssvikt) som ej klassificeras annorst„des
J98    Andra sjukdomar i andningsorganen
J99    Lungf”r„ndringar vid sjukdomar som klassificeras annorst„des
K00    Rubbningar i t„ndernas utveckling och frambrott
K01    Retinerade t„nder
K02    Tandkaries
K03    Andra sjukdomar i t„ndernas h†rdv„vnader
K04    Sjukdomar i tandpulpan och de periradikul„ra v„vnaderna (v„vnaderna kring tandr”tterna)
K05    Sjukdomar i tandk”ttet och de parodontala v„vnaderna (v„vnaderna kring t„nderna)
K06    Andra sjukdomar i tandk”ttet och tandl”st alveolarutskott
K07    Tand- och k„kmissbildningar med malocklusion (felaktig sammanbitning)
K08    Andra sjukdomar och tillst†nd i t„nderna och omgivande v„vnader
K09    Cystor i mun- och k„kregionen som ej klassificeras annorst„des
K10    Andra sjukdomar i k„karna
K11    Sjukdomar i spottk”rtlarna
K12    Stomatit (inflammation i munslemhinnan) och besl„ktade tillst†nd
K13    Andra sjukdomar i l„pparna och i munslemhinnan
K14    Sjukdomar i tungan
K20    Esofagit (inflammation i matstrupen)
K21    Gastroesofagal refluxsjukdom (†terfl”de av maginneh†ll till matstrupen)
K22    Andra sjukdomar i matstrupen
K23    F”r„ndringar i matstrupen vid sjukdomar som klassificeras annorst„des
K25    S†r i mags„cken
K26    S†r i tolvfingertarmen
K27    S†r i mags„cken eller tolvfingertarmen utan angiven lokalisation
K28    Recidivs†r efter gastroenterostomi (operation av mags„cken)
K29    Inflammation i mags„cken och tolvfingertarmen
K30    Dyspepsi
K31    Andra sjukdomar i mags„cken och tolvfingertarmen
K35    Akut appendicit
K36    Annan appendicit
K37    Icke specificerad appendicit
K38    Andra sjukdomar i appendix
K40    Ljumskbr†ck
K41    Femoralbr†ck
K42    Navelbr†ck
K43    Fr„mre bukv„ggsbr†ck
K44    Diafragmabr†ck
K45    Andra bukbr†ck
K46    Icke specificerat bukbr†ck
K50    Crohns sjukdom [regional enterit]
K51    Ulcer”s kolit
K52    Annan icke infekti”s inflammation i mags„cken och tarmen
K55    K„rlsjukdomar i tarmen
K56    Paralytisk ileus (tarmvred) och tarmpassagehinder utan uppgift om br†ck
K57    Divertikel (fickbildning) i tarmen
K58    Irritabel tarm
K59    Andra funktionsrubbningar i tarmen
K60    Fissur och fistel i stolg†ngs- och „ndtarmsomr†det
K61    Abscess i stolg†ngs- och „ndtarmsomr†det
K62    Andra sjukdomar i stolg†ngen och „ndtarmen
K63    Andra sjukdomar i tarmen
K65    Peritonit
K66    Andra sjukdomar i bukhinnan
K67    Sjukdomstillst†nd i bukhinnan vid infektionssjukdomar som klassificeras annorst„des
K70    Leversjukdom orsakad av alkohol
K71    Toxisk leversjukdom
K72    Leversvikt som ej klassificeras annorst„des
K73    Kronisk hepatit som ej klassificeras annorst„des
K74    Leverfibros och levercirros
K75    Andra inflammatoriska leversjukdomar
K76    Andra leversjukdomar
K77    Leversjukdomar vid sjukdomar som klassificeras annorst„des
K80    Gallstenssjukdom
K81    Gallbl†seinflammation
K82    Andra sjukdomar i gallbl†san
K83    Andra sjukdomar i gallv„garna
K85    Akut pankreatit
K86    Andra sjukdomar i pankreas
K87    F”r„ndringar i gallbl†san, gallv„garna och pankreas vid sjukdomar som klassificeras annorst„des
K90    Malabsorption (bristf„lligt n„ringsupptagande fr†n tarmen)
K91    Sjukdomar i matsm„ltningsorganen efter kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
K92    Andra sjukdomar i matsm„ltningsorganen
K93    F”r„ndringar i andra matsm„ltningsorgan vid sjukdomar som klassificeras annorst„des
L00    Exfoliativ dermatit (br„nnskadeliknande hudavflagning) orsakad av stafylokocker
L01    Impetigo (svinkoppor)
L02    Kutan abscess, furunkel och karbunkel (varbildning i huden, b”ld)
L03    Cellulit (inflammation i underhudens bindv„v)
L04    Akut lymfk”rtelinflammation
L05    Pilonidalcysta (h†rs„ckscysta)
L08    Andra lokala infektioner i hud och underhud
L10    Pemfigus
L11    Andra akantolytiska tillst†nd
L12    Pemfigoid
L13    Andra bl†sdermatoser
L14    Bl†sdermatos vid sjukdomar som klassificeras annorst„des
L20    Atopiskt eksem (b”jveckseksem)
L21    Seborroisk dermatit (eksem)
L22    Bl”jdermatit
L23    Allergisk kontaktdermatit
L24    Irritativ kontaktdermatit
L25    Ospecificerad kontaktdermatit
L26    Exfoliativ dermatit
L27    Dermatit orsakad av f”rt„rda „mnen
L28    Enkel kronisk lichen och prurigo
L29    Pruritus (kl†da)
L30    Annan dermatit
L40    Psoriasis
L41    Parapsoriasis
L42    Pityriasis rosea
L43    Lichen ruber planus
L44    Andra papuloskvam”sa sjukdomar
L45    Papuloskvam”sa tillst†nd vid sjukdomar som klassificeras annorst„des
L50    Urtikaria (n„sselfeber)
L51    Erythema multiforme
L52    Erythema nodosum (kn”lros)
L53    Andra erytemat”sa tillst†nd (hudrodnader)
L54    Erytem vid sjukdomar som klassificeras annorst„des
L55    Solbr„nna
L56    Andra akuta hudf”r„ndringar orsakade av ultraviolett str†lning
L57    Hudf”r„ndringar orsakade av kronisk exponering f”r icke joniserande str†lning
L58    Dermatit orsakad av radioaktiv str†lning
L59    Andra str†lningsrelaterade sjukdomar i hud och underhud
L60    Nagelsjukdomar
L62    Nagel†kommor vid sjukdomar som klassificeras annorst„des
L63    Alopecia areata (fl„ckformigt h†ravfall)
L64    Androgen alopeci (manligt h†ravfall)
L65    Annat icke „rrbildande h†ravfall
L66    rrbildande h†ravfall
L67    H†rf„rgs- och h†rskaftsabnormiteter
L68    Hypertrikos (onormalt riklig beh†ring)
L70    Akne
L71    Rosacea
L72    Follikul„ra cystor i hud och underhud
L73    Andra sjukdomar i hudens och underhudens folliklar
L74    Ekkrina svettsjukdomar
L75    Apokrina svettsjukdomar
L80    Vitiligo (pigmentfattiga fl„ckar i huden)
L81    Andra pigmentrubbningar
L82    Seborroisk keratos
L83    Acanthosis nigricans
L84    Liktornar och hudf”rh†rdnader
L85    Annan epidermal hudf”rtjockning
L86    Keratodermi vid sjukdomar som klassificeras annorst„des
L87    Transepidermala eliminationsrubbningar
L88    Pyoderma gangraenosum
L89    Trycks†r
L90    Atrofiska hudsjukdomar
L91    Hypertrofiska hudsjukdomar
L92    Granulomat”sa sjukdomar i hud och underhud
L93    Lupus erythematosus
L94    Andra lokaliserade bindv„vssjukdomar
L95    Vaskulit (k„rlv„ggsinflammation) begr„nsad till huden som ej klassificeras annorst„des
L97    Bens†r som ej klassificeras annorst„des
L98    Andra sjukdomar i hud och underhud som ej klassificeras annorst„des
L99    Andra tillst†nd i hud och underhud vid sjukdomar som klassificeras annorst„des
M00    Varig artrit
M01    Direktinfektioner av led vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
M02    Reaktiva artriter
M03    Postinfekti”sa och reaktiva artriter vid sjukdomar som klassificeras annorst„des
M05    Seropositiv reumatoid artrit
M06    Annan reumatoid artrit
M07    Ledsjukdomar vid psoriasis och tarmsjukdomar
M08    Juvenil artrit
M09    Juvenil artrit vid sjukdomar som klassificeras annorst„des
M10    Gikt
M11    Andra kristallartropatier
M12    Andra specificerade artropatier
M13    Annan artrit
M14    Artropatier vid andra sjukdomar som klassificeras annorst„des
M15    Polyartros
M16    H”ftledsartros
M17    Kn„artros
M18    Artros i f”rsta karpometakarpalleden
M19    Andra artroser
M20    F”rv„rvade deformiteter i fingrar och t†r
M21    Andra f”rv„rvade deformiteter av extremiteter
M22    Sjukdomar i patella
M23    Andra sjukliga f”r„ndringar i kn„led
M24    Andra specificerade rubbningar i leder
M25    Andra ledsjukdomar som ej klassificeras annorst„des
M30    Polyarteritis nodosa och besl„ktade tillst†nd
M31    Andra nekrotiserande vaskulopatier (k„rlsjukdomar)
M32    Systemisk lupus erythematosus [SLE]
M33    Dermatopolymyosit
M34    Systemisk skleros
M35    Andra inflammatoriska systemsjukdomar
M36    Systemiska sjukdomar med led- och bindv„vsengagemang vilka klassificeras annorst„des
M40    Kyfos och lordos
M41    Skolios
M42    Osteokondros (degenerativ brosk-bensjukdom) i kotpelaren
M43    Andra deformerande ryggsjukdomar
M45    Pelvospondylit [Bechterews sjukdom]
M46    Andra inflammatoriska sjukdomar i ryggraden
M47    Spondylos
M48    Andra spondylopatier
M49    Spondylopatier vid sjukdomar som klassificeras annorst„des
M50    Sjukdomar i halskotpelarens mellankotskivor
M51    Andra sjukdomar i mellankotskivorna
M53    Andra ryggsjukdomar som ej klassificeras annorst„des
M54    Ryggv„rk
M60    Myosit (muskelinflammation)
M61    Muskelkalcifikation och muskelossifikation (f”rkalkning och f”rbening i muskel)
M62    Andra muskelsjukdomar
M63    Muskelsjukdomar vid sjukdomar som klassificeras annorst„des
M65    Synovit och tenosynovit (inflammation i ledhinnor och senor)
M66    Spontanruptur av ledhinna och sena
M67    Andra sjukdomar i ledhinna och sena
M68    Sjukdomstillst†nd i ledhinnor och senor vid sjukdomar som klassificeras annorst„des
M70    Sjukdomar i mjukv„vnader som har samband med anv„ndning, ”veranstr„ngning och tryck
M71    Andra sjukdomar i bursor (slems„ckar)
M72    Fibroplastiska sjukdomar (fibroplasier)
M73    F”r„ndringar i mjukv„vnader vid sjukdomar som klassificeras annorst„des
M75    Sjukdomstillst†nd i skulderled
M76    Entesopatier (sjukdomar i perifera ligament- och muskelf„sten) i nedre extremitet, med undantag f”r fot
M77    Andra entesopatier (sjukdomar i perifera ligament- och muskelf„sten)
M79    Andra sjukdomstillst†nd i mjukv„vnader som ej klassificeras annorst„des
M80    Osteoporos med patologiska frakturer
M81    Osteoporos utan patologisk fraktur
M82    Osteoporos vid sjukdomar som klassificeras annorst„des
M83    Osteomalaci hos vuxen
M84    Kontinuitetsavbrott i benv„vnad
M85    Andra rubbningar i bent„thet och benstruktur
M86    Osteomyelit (benr”ta)
M87    Osteonekros (benv„vnadsd”d)
M88    Pagets deformerande bensjukdom
M89    Andra sjukdomstillst†nd i benv„vnad
M90    Sjukdomstillst†nd i benv„vnad vid sjukdomar som klassificeras annorst„des
M91    Juvenil osteokondros (ben-broskdegeneration hos unga) i h”ft och b„cken
M92    Annan juvenil osteokondros
M93    Andra sjukdomar i ben- och broskv„vnad
M94    Andra brosksjukdomar
M95    Andra f”rv„rvade deformiteter i muskuloskeletala systemet och bindv„ven
M96    Muskuloskeletala sjukdomar efter kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
M99    Biomekanisk dysfunktion som ej klassificeras annorst„des
N00    Akut glomerulonefrit
N01    Snabbt progredierande glomerulonefrit
N02    Recidiverande och best†ende hematuri
N03    Kronisk glomerulonefrit
N04    Nefrotiskt syndrom
N05    Icke specificerad glomerulonefrit
N06    Isolerad proteinuri med specificerad morfologisk skada
N07    Heredit„r nefropati som ej klassificeras annorst„des
N08    Glomerul„ra sjukdomstillst†nd vid sjukdomar som klassificeras annorst„des
N10    Akut tubulo-interstitiell nefrit
N11    Kronisk tubulo-interstitiell nefrit
N12    Tubulo-interstitiell nefrit, ej specificerad som akut eller kronisk
N13    Avfl”deshinder och reflux i urinv„garna
N14    Tubulo-interstitiella och tubul„ra njursjukdomar orsakade av l„kemedel och tungmetaller
N15    Andra tubulo-interstitiella njursjukdomar
N16    Tubulo-interstitiella njursjukdomar vid sjukdomar som klassificeras annorst„des
N17    Akut njursvikt
N18    Kronisk njursvikt
N19    Njursvikt, icke specificerad som akut eller kronisk
N20    Sten i njure och uret„r (urinledare)
N21    Sten i de nedre urinv„garna
N22    Sten i urinv„garna vid sjukdomar som klassificeras annorst„des
N23    Icke specificerad njurkolik
N25    Sjukdomar orsakade av nedsatt funktion i njurtubuli
N26    Icke specificerad skrumpnjure
N27    Liten njure av ok„nd orsak
N28    Andra sjukdomar i njure och uret„r (urinledare) som ej klassificeras annorst„des
N29    Andra sjukdomstillst†nd i njure och uret„r (urinledare) vid sjukdomar som klassificeras annorst„des
N30    Cystit (bl†skatarr)
N31    Neuromuskul„r bl†sfunktionsrubbning som ej klassificeras annorst„des
N32    Andra sjukdomar i urinbl†san
N33    Sjukliga tillst†nd i urinbl†san vid sjukdomar som klassificeras annorst„des
N34    Uretrit (inflammation i urinr”ret) och uretrasyndrom
N35    Uretrastriktur (urinr”rsf”rtr„ngning)
N36    Andra sjukdomar i uretra (urinr”ret)
N37    Sjukliga tillst†nd i uretra (urinr”ret) vid sjukdomar som klassificeras annorst„des
N39    Andra sjukdomar i urinorganen
N40    Prostataf”rstoring
N41    Inflammatoriska sjukdomar i prostata
N42    Andra sjukdomar i prostata
N43    Hydrocele (vattenbr†ck) och spermatocele (spermiecysta)
N44    Torsion av testikel
N45    Testikelinflammation och bitestikelinflammation
N46    Infertilitet hos man
N47    F”rhudssjukdomar
N48    Andra sjukdomar i penis
N49    Inflammatoriska sjukdomar i de manliga k”nsorganen som ej klassificeras annorst„des
N50    Andra sjukdomar i de manliga k”nsorganen
N51    Sjukliga tillst†nd i de manliga k”nsorganen vid sjukdomar som klassificeras annorst„des
N60    Benign br”stk”rteldysplasi
N61    Inflammatoriska sjukdomar i br”stk”rtel
N62    Hypertrofi av br”stk”rtel
N63    Icke specificerad knuta i br”stk”rtel
N64    Andra sjukdomar i br”stk”rtel
N70    Salpingit och ooforit (inflammation i „ggledare och „ggstock)
N71    Inflammatorisk sjukdom i livmodern utom livmoderhalsen
N72    Inflammatorisk sjukdom i livmoderhalsen
N73    Andra inflammatoriska sjukdomar i det kvinnliga b„ckenet
N74    Inflammatoriska tillst†nd i det kvinnliga b„ckenet vid sjukdomar som klassificeras annorst„des
N75    Sjukdomar i Bartholins k”rtel
N76    Annan inflammation i vagina och vulva
N77    Vulvovaginal ulceration och inflammation vid sjukdomar som klassificeras annorst„des
N80    Endometrios (felbel„gen livmoderslemhinna)
N81    Framfall av livmodern och slidan
N82    Fistlar som engagerar de kvinnliga k”nsorganen
N83    Icke inflammatoriska sjukdomar i „ggstockar, „ggledare och breda ligament
N84    Polyp i de kvinnliga k”nsorganen
N85    Andra icke inflammatoriska sjukdomar i livmodern, utom livmoderhalsen
N86    Erosion och ektropi i cervix uteri (livmoderhalsen)
N87    Dysplasi i cervix uteri (livmoderhalsen)
N88    Andra icke inflammatoriska sjukdomar i cervix uteri (livmoderhalsen)
N89    Andra icke inflammatoriska sjukdomar i vagina
N90    Andra icke inflammatoriska sjukdomar i vulva och perineum (mellang†rden)
N91    Utebliven, sparsam och gles menstruation
N92    Riklig, frekvent och oregelbunden menstruation
N93    Annan onormal bl”dning fr†n livmodern och slidan
N94    Sm„rtor och andra symtom som har samband med de kvinnliga k”nsorganen och menstruationscykeln
N95    Sjukliga tillst†nd i samband med klimakteriet
N96    Kvinna med habituella aborter (upprepade missfall)
N97    Kvinnlig infertilitet (ofruktsamhet)
N98    Komplikationer i samband med assisterad befruktning
N99    Sjukliga tillst†nd efter kirurgiska och medicinska ingrepp i urin- och k”nsorganen som ej klassificeras annorst„des
O00    Utomkvedshavandeskap
O01    Druvb”rd
O02    Annat onormalt utfall av befruktningen
O03    Spontanabort
O04    Legal abort
O05    Annan abort
O06    Icke specificerad abort
O07    Misslyckat f”rs”k till abort
O08    Komplikationer efter abort, utomkvedshavandeskap och druvb”rd
O10    Tidigare konstaterad hypertoni som komplikation under graviditet, f”rlossning och barns„ngstid
O11    Tidigare konstaterad hypertoni med under graviditeten tillst”tande proteinuri
O12    Graviditets”dem och proteinuri utan hypertoni
O13    Graviditetshypertoni utan proteinuri av betydelse
O14    Graviditetshypertoni med proteinuri av betydelse
O15    Graviditetskramper
O16    Icke specificerad hypertoni hos modern
O20    Bl”dning i tidig graviditet
O21    Ih†llande kr„kningar under graviditeten
O22    Ven”sa komplikationer under graviditeten
O23    Infektioner i urin- och k”nsorganen under graviditeten
O24    Diabetes (sockersjuka) under graviditeten
O25    Undern„ring under graviditeten
O26    V†rd av modern f”r andra tillst†nd i huvudsak sammanh„ngande med graviditeten
O28    Onormala fynd vid unders”kning av den blivande modern
O29    Komplikationer vid anestesi under graviditet
O30    Flerb”rdsgraviditet
O31    Komplikationer specifika f”r flerb”rdsgraviditet
O32    V†rd av blivande moder p† grund av k„nt eller misst„nkt onormalt fosterl„ge
O33    V†rd av blivande moder p† grund av k„nt eller misst„nkt missf”rh†llande mellan b„cken- och fosterstorlek
O34    V†rd av blivande moder p† grund av k„nd eller misst„nkt abnormitet i b„ckenorganen
O35    V†rd av blivande moder p† grund av k„nd eller misst„nkt abnormitet eller skada hos fostret
O36    V†rd av blivande moder p† grund av andra k„nda eller misst„nkta problem hos fostret
O40    Onormalt stor m„ngd fostervatten
O41    Andra problem h„nf”rbara till fostervattnet och hinnorna
O42    F”r tidig hinnbristning
O43    Onormala tillst†nd i moderkakan
O44    F”religgande moderkaka
O45    F”r tidig avlossning av moderkakan
O46    Bl”dning f”re f”rlossningen som ej klassificeras annorst„des
O47    F”rv„rkar och hotande f”rtidsb”rd
O48    ™verburenhet
O60    Prematurb”rd
O61    F”rs”k till ig†ngs„ttande av f”rlossningsarbetet
O62    V„rkrubbningar
O63    Utdragen f”rlossning
O64    F”rlossningshinder orsakat av onormalt fosterl„ge och felaktig fosterbjudning
