V0100  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-idrott
V3708  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i olycka, ej trafik-andra aktiviteter
V3709  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i olycka, ej trafik-ospec aktiviteter
V3710  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i olycka, ej trafik-idrott
V3711  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i olycka, ej trafik-lek,fritid
V3712  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i olycka, ej trafik-f”rv„rvsarbete
V3713  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i olycka, ej trafik-annan syssels„ttning
V3714  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i olycka, ej trafik-vitalaktivitet
V3718  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i olycka, ej trafik-andra aktiviteter
V3719  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i olycka, ej trafik-ospec aktiviteter
V3720  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-idrott
V3721  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-lek,fritid
V3722  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-f”rv„rvsarbete
V3723  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-annan syssels„ttning
V3724  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-vitalaktivitet
V3728  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-andra aktiviteter
V3729  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-ospec aktiviteter
V3730  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-idrott
V3731  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-lek,fritid
V3732  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-f”rv„rvsarbete
V3733  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-annan syssels„ttning
V3734  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet
V3738  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter
V3739  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter
V3740  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person skadad vid p†- och avstigning-idrott
V3741  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person skadad vid p†- och avstigning-lek,fritid
V3742  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person skadad vid p†- och avstigning-f”rv„rvsarbete
V3743  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person skadad vid p†- och avstigning-annan syssels„ttning
V3744  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person skadad vid p†- och avstigning-vitalaktivitet
V3748  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person skadad vid p†- och avstigning-andra aktiviteter
V3749  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person skadad vid p†- och avstigning-ospec aktiviteter
V3750  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i trafikolycka-idrott
V3751  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i trafikolycka-lek,fritid
V3752  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i trafikolycka-f”rv„rvsarbete
V3753  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i trafikolycka-annan syssels„ttning
V3754  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i trafikolycka-vitalaktivitet
V3758  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i trafikolycka-andra aktiviteter
V3759  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare skadad i trafikolycka-ospec aktiviteter
V3760  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i trafikolycka-idrott
V3761  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i trafikolycka-lek,fritid
V3762  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i trafikolycka-f”rv„rvsarbete
V3763  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i trafikolycka-annan syssels„ttning
V3764  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i trafikolycka-vitalaktivitet
V3768  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i trafikolycka-andra aktiviteter
V3769  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, passagerare skadad i trafikolycka-ospec aktiviteter
V3770  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-idrott
V3771  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-lek,fritid
V3772  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-f”rv„rvsarbete
V3773  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-annan syssels„ttning
V3774  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-vitalaktivitet
V3778  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-andra aktiviteter
V3779  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-ospec aktiviteter
V3790  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-idrott
V3791  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-lek,fritid
V3792  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-f”rv„rvsarbete
V3793  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-annan syssels„ttning
V3794  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-vitalaktivitet
V3798  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-andra aktiviteter
V3799  F”rare av eller passagerare i trehjuligt motorfordon skadad i kollision med fast eller stillast†ende f”rem†l, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-ospec aktiviteter
V3800  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i olycka, ej trafik-idrott
V3801  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i olycka, ej trafik-lek,fritid
V3802  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i olycka, ej trafik-f”rv„rvsarbete
V3803  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i olycka, ej trafik-annan syssels„ttning
V3804  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i olycka, ej trafik-vitalaktivitet
V3808  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i olycka, ej trafik-andra aktiviteter
V3809  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i olycka, ej trafik-ospec aktiviteter
V3810  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-idrott
V3811  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-lek,fritid
V3812  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-f”rv„rvsarbete
V3813  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-annan syssels„ttning
V3814  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-vitalaktivitet
V3818  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-andra aktiviteter
V3819  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-ospec aktiviteter
V3820  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-idrott
V3821  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-lek,fritid
V3822  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-f”rv„rvsarbete
V3823  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-annan syssels„ttning
V3824  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-vitalaktivitet
V3828  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-andra aktiviteter
V3829  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i olycka, ej trafik-ospec aktiviteter
V3830  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-idrott
V3831  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-lek,fritid
V3832  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-f”rv„rvsarbete
V3833  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-annan syssels„ttning
V3834  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet
V3838  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter
V3839  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter
V3840  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person skadad vid p†- och avstigning-idrott
V3841  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person skadad vid p†- och avstigning-lek,fritid
V3842  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person skadad vid p†- och avstigning-f”rv„rvsarbete
V3843  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person skadad vid p†- och avstigning-annan syssels„ttning
V3844  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person skadad vid p†- och avstigning-vitalaktivitet
V3848  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person skadad vid p†- och avstigning-andra aktiviteter
V3849  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person skadad vid p†- och avstigning-ospec aktiviteter
V3850  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i trafikolycka-idrott
V3851  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i trafikolycka-lek,fritid
V3852  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i trafikolycka-f”rv„rvsarbete
V3853  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i trafikolycka-annan syssels„ttning
V3854  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i trafikolycka-vitalaktivitet
V3858  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i trafikolycka-andra aktiviteter
V3859  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare skadad i trafikolycka-ospec aktiviteter
V3860  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-idrott
V3861  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-lek,fritid
V3862  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-f”rv„rvsarbete
V3863  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-annan syssels„ttning
V3864  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-vitalaktivitet
V3868  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-andra aktiviteter
V3869  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-ospec aktiviteter
V3870  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-idrott
V3871  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-lek,fritid
V3872  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-f”rv„rvsarbete
V3873  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-annan syssels„ttning
V3874  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-vitalaktivitet
V3878  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-andra aktiviteter
V3879  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, person p† utsidan av trehjuligt motorfordon skadad i trafikolycka-ospec aktiviteter
V3890  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-idrott
V3891  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-lek,fritid
V3892  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-f”rv„rvsarbete
V3893  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-annan syssels„ttning
V3894  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-vitalaktivitet
V3898  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-andra aktiviteter
V3899  F”rare av eller passagerare i trehjuligt motorfordon skadad i transportolycka, ej kollision, f”rare eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i trafikolycka-ospec aktiviteter
V3900  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-idrott
V3901  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-lek,fritid
V3902  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-f”rv„rvsarbete
V3903  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-annan syssels„ttning
V3904  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-vitalaktivitet
V3908  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-andra aktiviteter
V3909  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-ospec aktiviteter
V3910  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-idrott
V3911  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-lek,fritid
V3912  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-f”rv„rvsarbete
V3913  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-annan syssels„ttning
V3914  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-vitalaktivitet
V3918  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-andra aktiviteter
V3919  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon vid olycka, ej trafik-ospec aktiviteter
V3920  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med-idrott
V3921  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med-lek,fritid
V3922  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med-f”rv„rvsarbete
V3923  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med-annan syssels„ttning
V3924  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med-vitalaktivitet
V3928  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med-andra aktiviteter
V3929  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med-ospec aktiviteter
V3930  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad olycka, ej trafik-idrott
V3931  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad olycka, ej trafik-lek,fritid
V3932  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad olycka, ej trafik-f”rv„rvsarbete
V3933  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad olycka, ej trafik-annan syssels„ttning
V3934  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad olycka, ej trafik-vitalaktivitet
V3938  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad olycka, ej trafik-andra aktiviteter
V3939  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad olycka, ej trafik-ospec aktiviteter
V3940  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-idrott
V3941  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-lek,fritid
V3942  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-f”rv„rvsarbete
V3943  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-annan syssels„ttning
V3944  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-vitalaktivitet
V3948  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-andra aktiviteter
V3949  F”rare av trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-ospec aktiviteter
V3950  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-idrott
V3951  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-lek,fritid
V3952  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-f”rv„rvsarbete
V3953  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-annan syssels„ttning
V3954  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-vitalaktivitet
V3958  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-andra aktiviteter
V3959  Passagerare i trehjuligt motorfordon skadad i kollision med motorfordon i trafikolycka-ospec aktiviteter
V3960  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med motorfordon i trafikolycka-idrott
V3961  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med motorfordon i trafikolycka-lek,fritid
V3962  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med motorfordon i trafikolycka-f”rv„rvsarbete
V3963  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med motorfordon i trafikolycka-annan syssels„ttning
V3964  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med motorfordon i trafikolycka-vitalaktivitet
V3968  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med motorfordon i trafikolycka-andra aktiviteter
V3969  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i kollision med motorfordon i trafikolycka-ospec aktiviteter
V3980  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i andra specificerade transportolyckor-idrott
V3981  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i andra specificerade transportolyckor-lek,fritid
V3982  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i andra specificerade transportolyckor-f”rv„rvsarbete
V3983  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i andra specificerade transportolyckor-annan syssels„ttning
V3984  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i andra specificerade transportolyckor-vitalaktivitet
V3988  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i andra specificerade transportolyckor-andra aktiviteter
V3989  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i andra specificerade transportolyckor-ospec aktiviteter
V3990  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad trafikolycka-idrott
V3991  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad trafikolycka-lek,fritid
V3992  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad trafikolycka-f”rv„rvsarbete
V3993  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad trafikolycka-annan syssels„ttning
V3994  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad trafikolycka-vitalaktivitet
V3998  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad trafikolycka-andra aktiviteter
V3999  F”rare av eller passagerare i trehjuligt motorfordon, ej specificerat, skadad i icke specificerad trafikolycka-ospec aktiviteter
V4000  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, f”rare skadad i olycka, ej trafik-idrott
V4001  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, f”rare skadad i olycka, ej trafik-lek,fritid
V4002  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, f”rare skadad i olycka, ej trafik-f”rv„rvsarbete
V4003  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, f”rare skadad i olycka, ej trafik-annan syssels„ttning
V4004  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, f”rare skadad i olycka, ej trafik-vitalaktivitet
V4008  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, f”rare skadad i olycka, ej trafik-andra aktiviteter
V4009  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, f”rare skadad i olycka, ej trafik-ospec aktiviteter
V4010  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, passagerare skadad i olycka, ej trafik-idrott
V4011  F”rare av eller passagerare i personbil skadad i kollision med fotg„ngare eller djur, passagerare skadad i olycka, ej trafik-lek,fritid
