AAA00  Explorativ kraniotomi
FCD70  Bypass av torakoabdominala aorta med k„rlprotes
FCD96  Annan rekonstruktion av torakoabdominala aorta
FCE00  Slutning av rupturerat sinus Valsalva-aneurysm
FCE10  Slutning av f”rv„rvad aortoven”s fistel
FCE20  Slutning av f”rv„rvad aortopulmonell fistel
FCE30  Slutning av f”rv„rvad aortobronkial fistel
FCE40  Slutning av f”rv„rvad aortoenterisk fistel
FCE96  Slutning av annan f”rv„rvad fistel fr†n aorta
FCW96  Annan operation p† torakala och torakoabdominala aorta
FDA00  Aortaplastik och aortopulmonell shunt
FDA96  Annan operation f”r HLHS
FDB00  Operation f”r enkel TGA
FDB10  Operation f”r komplicerad TGA
FDB20  Switchoperation f”r annan medf”dd hj„rtmissbildning
FDB96  Annan operation f”r TGA
FDC00  Reparation av truncus arteriosus communis med enkel protes fr†n h”ger kammare till a pulmonalis
FDC10  Reparation av truncus arteriosus communis med klaffb„rande protes
FDC20  Reparation av truncus arteriosus persistens med anastomos fr†n h”ger kammare till arteria pulmonalis
FDC96  Annan reparation av truncus arteriosus communis
FDD00  Slutning av aortoventrikul„r tunnel
FDD10  Ligatur av aortopulmonellt f”nster
FDD13  Slutning av aortopulmonellt f”nster med sutur
FDD20  Slutning av aortopulmonellt f”nster med patch
FDD96  Annan operation f”r kongenital fistel fr†n aorta
FDE00  Slutning av ductus arteriosus
FDE10  Ligatur av ductus arteriosus
FDE20  Delning av ductus arteriosus
FDE31  Torakoskopisk slutning av ”ppen ductus arteriosus
FDE32  Perkutan transluminal tillslutning av ductus arteriosus
FDE96  Annan operation vid ductus arteriosus
FDF00  Slutning av aortopulmonella kollateraler
FDF05  Perkutan transluminal tillslutning av aortopulmonella kollateraler
FDG00  Rekonstruktion av aorta ascendens vid supravalvul„r aortastenos
FDG10  Rekonstruktion av aorta ascendens vid supravalvul„r aortastenos med patch
FDG96  Annan operation vid supravalvul„r aortastenos
FDH00  End-to-end rekonstruktion av aortab†gen
FDH10  Rekonstruktion av aortab†gen med patch
FDH30  Rekonstruktion av aortab†gen med k„rlprotes
FDH40  Rekonstruktion av aortab†gen med bypass
FDH96  Annan rekonstruktion vid hypoplasi eller atresi av aortab†gen
FDJ00  End-to-end rekonstruktion vid aortakoarktation
FDJ10  Aortaplastik med a subclavia eller a carotis
FDJ20  Aortaplastik med patch
FDJ30  Rekonstruktion vid aortakoarktation med k„rlprotes
FDJ42  Perkutan transluminal angioplastik vid aortakoarktation
FDJ96  Annan rekonstruktion vid aortakoarktation
FDM00  Delning av dubbel aortab†ge
FDM10  Delning av annan k„rlringsanomali vid aortab†gen
FDM11  Torakoskopisk delning av annan k„rlringsanomali vid aortab†gen
FDM20  Transposition av art„rslynga
FDM96  Annan operation vid k„rlringsanomali vid aortab†gen
FDN02  Perkutan transluminal inl„ggning av stent i ductus arteriosus
FDW96  Annan operation f”r anomali eller defekt med relation till br”staorta
FEA00  Slutet externt dr„nage av perikardiet
FEB00  Exploration av perikardiet
FEB10  Dekompression och dr„nage av perikardiet
FEB51  Torakoskopisk perikardiotomi
FEB96  Annan perikardiotomi
FEC00  Perikardio-pleurostomi
FEC01  Torakoskopisk perikardio-pleurostomi
FEC10  Perikardio-peritoneostomi
FEC96  Annan intern perikardiostomi
FED00  Sutur av perikardiet
FED03  Rekonstruktion av perikardiet med patch
FED10  Sutur av perikardiet och diafragma
FED96  Annan reparation av perikardiet
FEE00  Biopsi av perikardiet
FEE01  Torakoskopisk biopsi av perikardiet
FEE10  Excision av patologisk f”r„ndring i perikardiet
FEE96  Annan biopsi eller excision av patologisk f”r„ndring i perikardiet
FEF00  Perikardektomi
FEF10  Subtotal perikardektomi
FEF20  Perikardektomi med dekortikation av hj„rtytan
FEF31  Torakoskopisk perikardektomi
FEF96  Annan resektion eller exstirpation av perikardiet
FEW96  Annan operation p† perikardiet
FFA00  Biopsi av f”rmak
FFA02  Perkutan transluminal biopsi av f”rmak
FFA10  Excision av patologisk f”r„ndring i f”rmak
FFA20  Excision av tromber i f”rmak
FFA30  Avl„gsnande av fr„mmande kropp i f”rmak
FFA32  Perkutant transluminalt avl„gsnande av fr„mmande kropp fr†n f”rmak
FFA96  Annan biopsi eller excision av patologisk f”r„ndring i f”rmak
FFB00  Sutur av f”rmak
FFB10  Rekonstruktion av f”rmak vid skada
FFB96  Annan reparation av skada p† f”rmak
FFC00  Sutur av ASD, sekundumtyp
FFC10  Sutur av ASD, sinus venosustyp
FFC22  Perkutan transluminal slutning av ASD, sekundumtyp
FFC32  Perkutan transluminal slutning av ASD, sinus venosustyp
FFC50  Slutning av ASD med patch, sekundumtyp
FFC60  Slutning av ASD med patch, sinus venosustyp
FFC96  Annan operation vid isolerad f”rmaksseptumdefekt
FFD00  Sutur av inkomplett atrioventrikul„r septumdefekt
FFD20  Slutning av inkomplett atrioventrikul„r septumdefekt med patch
FFD96  Annan operation vid inkomplett atrioventrikul„r septumdefekt
FFE00  Anl„ggande av ASD, slutet
FFE02  Anl„ggande av ASD, perkutant transluminalt
FFE10  Anl„ggande eller f”rstoring av ASD, ”ppet
FFE96  Annan operation f”r atrioseptostomi
FFF00  Transponering med intraatrial patch
FFF10  Anl„ggande eller f”rstoring av ASD inkl transponering med patch
FFF20  Anastomos till v„nster f”rmak
FFF96  Annan operation vid partiellt anomalt mynnande lungvener
FFG00  Reparation vid suprakardiell TAPVD
FFG10  Reparation vid kardiell TAPVD
FFG20  Reparation vid infrakardiell TAPVD
FFG30  Reparation vid blandad TAPVD
FFG96  Annan operation vid totalt anomalt mynnande lungvener
FFH00  Operation vid prim„r lungvensstenos
FFH10  Operation vid lungvensstenos efter tidigare korrigerad TAPVD
FFH22  Perkutan transluminal angioplastik av lungven
FFH25  Perkutan transluminal angioplastik av lungven med inl„ggande av stent
FFH96  Annan operation f”r lungvensstenos
FFJ00  Interatrial korrektion utan patch
FFJ10  Interatrial korrektion med patch
FFJ96  Annan interatrial korrektion
FFK10  Atrioventrikul„r anastomos
FFK20  Atriopulmonell anastomos
FFK96  Annan atrial anastomosoperation
FFL00  Resektion av intraatrialt membran
FFL10  Resektion av membran och slutning av ASD
FFL96  Annan rekonstruktion vid cor triatriatum
FFW96  Annan operation p† f”rmak
FGA00  Kommissurotomi vid kongenital stenos
FGA10  Kommissurotomi vid f”rv„rvad stenos
FGA32  Perkutan transluminal dilatation av trikuspidalisstenos
FGA96  Annan rekonstruktion av trikuspidalisklaffen vid stenos
FGB00  Rekonstruktion med atrioventrikul„r plikatur
FGB10  Rekonstruktion med mobilisering och ventrikul„r plikatur
FGB96  Annan rekonstruktion vid Ebsteins anomali
FGC00  Anuloplastik med sutur
FGC10  Anuloplastik med ring
FGC96  Annan anuloplastik vid trikuspidalisinsufficiens
FGD00  Rekonstruktion av trikuspidalisklaff med sutur
FGD03  Sutur av defekt i trikuspidalisklaffen
FGD10  Rekonstruktion av trikuspidalisklaff med patch
FGD30  Rekonstruktion med sutur av papillarmuskel eller chordae
FGD40  Rekonstruktion med artificiella chordae
FGD96  Annan rekonstruktion vid trikuspidalisinsufficiens
FGE00  Implantation av mekanisk trikuspidalisklaffprotes
FGE10  Implantation av biologiskt trikuspidalisklaffprotes
FGE20  Implantation av trikuspidalisklaff, homograft
FGE96  Annan implantation av trikuspidalisklaffprotes
FGW96  ™vriga operationer p† trikuspidalisklaffen
FHA00  Slutning av VSD efter skada
FHA10  Slutning av VSD efter anteroseptal infarkt
FHA20  Slutning av VSD efter posteroseptal infarkt
FHA96  Annan slutning av f”rv„rvad ventrikelseptumdefekt
FHB00  Transatrial direktsutur av VSD
FHB10  Transventrikul„r direktsutur av VSD
FHB20  Transpulmonell direktsutur av VSD
FHB30  Transaortal direktsutur av VSD
FHB42  Perkutan transluminal slutning av ventrikelseptumdefekt
FHB50  Transatrial slutning av VSD med patch
FHB60  Transventrikul„r slutning av VSD med patch
FHB70  Transpulmonell slutning av VSD med patch
FHB80  Transaortal slutning av VSD med patch
FHB96  Annan slutning av isolerad kongenital ventrikelseptumdefekt
FHC00  Transatrial slutning av multipla VSD
FHC10  Slutning av multipla VSD genom h”gersidig ventrikulotomi
FHC20  Slutning av multipla VSD genom v„nstersidig ventrikulotomi
FHC30  Slutning av multipla VSD med kombinerad atriotomi och ventrikulotomi
FHC96  Annan slutning av multipla ventrikelseptumdefekter
FHD00  Reparation av komplett atrioventrikul„r septumdefekt med atrioventrikul„r patch
FHD10  Reparation vid komplett atrioventrikul„r septumdefekt med tv†-patch teknik
FHD30  Reparation vid komplett atrioventrikul„r septumdefekt med samtidig resektion av pulmonalisstenos
FHD96  Annan reparation vid komplett atrioventrikul„r septumdefekt
FHE00  Transatrial korrektion av Fallots tetrad
FHE10  Transventrikul„r korrektion av Fallots tetrad
FHE20  Transventrikul„r korrektion av Fallots tetrad med utfl”despatch
FHE30  Korrektion Fallots tetrad med transanul„r patch
FHE40  Korrektion av Fallots tetrad med ventrikulo-pulmonell conduit eller homograft
FHE96  Annan korrektion av Fallots tetrad
FHF00  Korrektion av pulmonalisatresi med transanul„r patch
FHF10  Korrektion av pulmonalisatresi med ventrikulo-pulmonell conduit eller homograft
FHF20  Korrektion av pulmonalisatresi med transanul„r patch och slutning av VSD
FHF30  Korrektion av pulmonalisatresi med ventrikulo-pulmonell conduit och slutning av VSD
FHF96  Annan korrektion av pulmonalisatresi
FHG00  Korrektion av DOLV
FHG10  Korrektion av DORV
FHG96  """Annan operation vid ""double outlet ventricle"""""
FHH00  """Vidgning av VSD vid ""single ventricle"""""
FHH10  """Utvidgning av VSD vid ""double outlet ventricle"""""
FHH20  Fenestrering av anlagd patch
FHH96  Annat anl„ggande eller utvidgning av VSD
FHJ00  Rekonstruktion av septum med patch
FHJ10  Rekonstruktion av septum med fenestrerad patch
FHJ96  """Annan operation vid ""common ventricle"""""
FHW96  Annan operation p† ventrikelseptum
FJA00  Biopsi av h”ger kammare
FJA12  Perkutan transluminal biopsi av h”ger kammare
FJA96  Annan biopsi av h”ger kammare
FJB00  Sutur av h”ger kammare vid skada
FJB10  Rekonstruktion av h”ger kammare vid skada med implantat
FJB96  Annan reparation av skada p† h”ger kammare
FJC00  Excision av patologisk v„vnad i h”ger kammare
FJC10  Avl„gsnande av fr„mmande kropp i h”ger kammare
FJC12  Perkutant transluminalt avl„gsnande av fr„mmande kropp fr†n h”ger kammare
FJD00  Resektion av fibromuskul„r, infundibul„r pulmonalisstenos
FJD10  Vidgning av h”ger kammare med patch
FJD20  Bypass av arteria pulmonalis med conduit eller homograft
FJD96  Annan operation p† h”ger kammares utfl”desregion
FJE00  Dilatation av pulmonalisstenos
FJE10  Valvulotomi vid pulmonalisstenos
FJE20  Excision av pulmonalisklaffen och vidgning av anulus med patch
FJE30  Transanul„r patch med monocuspklaff
FJE42  Perkutan transluminal dilatation av pulmonalisstenos
FJE96  Annan operation f”r isolerad pulmonalisstenos
FJF00  Implantation av mekanisk pulmonalisklaffprotes
FJF10  Implantation av biologisk pulmonalisklaffprotes
FJF20  Implantation av pulmonalisklaffprotes, homograft
FJF96  Annan implantation av pulmonalisklaffprotes
FJW96  Annan operation p† h”ger kammare och pulmonalisklaff
FKA00  Kommissurotomi vid mitralisstenos
FKA10  Kommissurotomi med dekalcifiering vid mitralisstenos
FKA20  Kommissurotomi och separering av chordae tendinae vid mitralisstenos
FKA32  Perkutan transluminal dilatation av mitralisstenos
FKA96  Annan operation vid mitralisstenos
FKB00  Anuloplastik med sutur vid mitralisinsufficiens
FKB10  Anuloplastik med ring vid mitralisinsufficiens
FKB96  Annan anuloplastik vid mitralisinsufficiens
FKC00  Rekonstruktion av mitralisinsufficiens med sutur
FKC10  Sutur av kluven mitralisklaff
FKC20  Klaffsegelplastik vid mitralisinsufficiens
FKC30  F”rkortning eller f”rl„ngning av chordae vid mitralisinsufficiens
FKC40  Sutur av chordae eller papillarmuskel vid mitralisinsufficiens
FKC50  Rekonstruktion av mitralisklaff med artificiella chordae
FKC60  Resektion av mitralisklaffsegel med rekonstruktion
FKC96  Annan klaffrekonstruktion vid mitralisinsufficiens
FKD00  Implantation av mekanisk mitralisklaffprotes
FKD10  Implantation av biologisk mitralisklaffprotes
FKD20  Implantation av mitralisklaffprotes, homograft
FKD96  Annan implantation av mitralisklaffprotes
FKW96  Annan operation p† mitralisklaffen
FLA00  Biopsi av v„nster kammare
FLA12  Perkutan transluminal biopsi av v„nster kammare
FLA96  Annan biopsi av v„nster kammare
FLB00  Excision av patologisk v„vnad i v„nster kammare
FLB10  Avl„gsnande av fr„mmande kropp i v„nster kammare
FLB12  Perkutant transluminalt avl„gsnande av fr„mmande kropp fr†n v„nster kammare
FLC00  Sutur av v„nster kammares v„gg
FLC10  Rekonstruktion av v„nster kammares v„gg med patch
FLC96  Annan rekonstruktion av v„nster kammare
FLD00  Plikatur vid v„nsterkammaraneurysm
FLD10  Resektion vid v„nsterkammaraneurysm
FLD20  Resektion och rekonstruktion med patch vid v„nsterkammaraneurysm
FLD30  Partiell excision av v„nster kammare
FLD50  Plastikoperativ vidgning av v„nster kammare
FLD96  Annan operativ reduktion eller dilatation av v„nster kammare
FLE00  Excision av subvalvul„r membran i v„nster kammare
FLE10  Myotomi eller myektomi vid obstruktiv cardiomyopati eller subvalvul„r stenos
FLE20  Myotomi eller myektomi samt vidgning med patch i kammarseptum vid utfl”desobstruktion i v„nster kammare
FLE96  Annan operation vid utfl”desobstruktion i v„nster kammare
FLF00  Transmyokardiell laserrevaskularisering av v„nster kammare
FLF12  Perkutan transmyokardiell laserrevaskularisering av v„nster kammare
FLW96  Annan operation p† v„nster kammare
FMA00  Dilatation av aortastenos
FMA10  Kommissurotomi p† aortaklaffen
FMA20  Valvuloplastik p† aortaklaffen
FMA32  Perkutan transluminal dilatation av aortastenos
FMA96  Annan operation f”r valvul„r aortastenos
FMB00  Supravalvul„r vidgning av aorta med patch
FMB10  Transanul„r vidgning av aortaostiet
FMB20  Aortoseptal vidgning av aortaostiet
FMB96  Annan vidgning av aortaostiet
FMC00  Anuloplastik p† aortaklaffen
FMC10  Reduktion av aortaklaffsegel
FMC20  Sutur av aortaklaffsegel
FMC96  Annan operation f”r aortaklaffinsufficiens
FMD00  Implantation av mekanisk aortaklaffprotes
FMD10  Implantation av biologisk aortaklaffprotes
FMD20  Implantation av aortaklaff, homograft
FMD30  Implantation av aortaklaff, homograft med koronar reimplantation
FMD40  Aortopulmonell autotransplantation med reimplantation av aortaart„rer och implantation av homotransplantat i pulmonalisostiet
FMD96  Annan implantation av aortaklaffprotes
FMW96  Annan operation p† aortaklaffen
FNA00  Anastomos mellan arteria mammaria interna och koronarart„r
FNA10  Sekventiella anastomoser mellan arteria mammaria interna och koronarart„rer
FNA20  Anastomoser mellan arteria mammaria interna och koronarart„rer bilateralt
FNA96  Annan anastomosoperation mellan arteria mammaria interna och koronarart„rer
FNB00  Anastomos mellan arteria gastroepiploica och koronarart„r
FNB20  Sekventiella anastomoser mellan arteria gastroepiploica och koronarart„rer
FNB96  Annan anastomosoperation mellan arteria gastroepiploica och koronarart„rer
FNC10  Aortokoronar bypass med enkelt ventransplantat
FNC20  Aortokoronar bypass med tv† ventransplantat
FNC30  Aortokoronar bypass med tre ventransplantat
FNC40  Aortokoronar bypass med fyra ventransplantat
FNC50  Aortokoronar bypass med fem ventransplantat
FNC60  Aortokoronar bypass med sex ventransplantat
FNC96  Annan aortokoronar venbypass
FND10  Aortokoronar bypass med ett graft
FND20  Aortokoronar bypass med tv† graft
FND96  Annan koronar bypass med k„rlprotes
FNE00  Koronar bypass med fritt art„rtransplantat med arteria mammaria
FNE10  Koronar bypass med fritt art„rtransplantat med arteria gastroepiploica
FNE96  Koronar bypass med annat fritt art„rtransplantat
FNF00  Trombendart„rektomi p† h”ger koronarart„r
FNF10  Trombendart„rektomi p† ramus descendens anterior
FNF20  Trombendart„rektomi p† ramus cirkumflexus
FNF30  Trombendart„rektomi p† v„nster koronarart„rs huvudstam
FNF96  Annan koronar trombendart„rektomi
FNG00  Dilatation av koronarart„r(er)
FNG02  Perkutan transluminal koronarangioplastik (PTCA)
FNG05  Perkutan transluminal koronarangioplastik (PTCA) med inl„ggande av stent
FNG10  Embolektomi fr†n koronarart„r(er)
FNG20  Avl„gsnande av fr„mmande kropp fr†n koronarart„r
FNG22  Perkutant transluminalt borttagande av fr„mmande kropp fr†n koronarart„r
FNG30  Vidgning av koronarart„r med patch
FNG96  Annan rekanalisering av koronarart„r(er)
FNH00  Sutur av koronarart„r
FNH10  Sutur av koronarart„r med patch
FNH20  Sutur av koronarart„r med bypass
FNH96  Annan rekonstruktion av koronarart„r
FNJ00  Ligatur av anomal koronarart„r
FNJ02  Perkutan transluminal slutning av anomal koronarart„r
FNJ10  Obliteration av koronarfistel
FNJ12  Perkutan transluminal slutning av koronarfistel
FNJ96  Annan operation vid koronarfistel
FNK00  Transponering av koronarart„r
FNK10  Pulmonalisart„rplastik med anastomos till aorta
FNK20  Ligatur och bypass-rekonstruktion vid anomal koronarart„r
FNK96  Annan operation vid anomal koronarart„r
FNW96  Annan operation p† koronar„rterna
FNW98  Annan perkutan transluminal operation p† koronarart„rerna
FPA00  Delning av anteroseptal ledningssk„nkel
FPA10  Delning av posteroseptal ledningssk„nkel
FPA20  Delning av h”gersidig ledningssk„nkel
FPA30  Delning av v„nstersidig ledningssk„nkel
FPA40  Delning av multipla ledningssk„nklar
FPA96  Annan operation f”r supraventrikul„r arytmi
FPB00  Excision av ektopiskt hj„rtfokus
FPB10  Kryoablation av ektopiskt hj„rtfokus
FPB20  Radiofrekvensablation av aberrant hj„rtfokus
FPB22  Transven”s radiofrekvensablation av aberrant retledningsbana eller arytmifokus
FPB96  Annan excision eller ablation av aberrant hj„rtfokus
FPC00  Partiell endokardiell myotomi f”r ventrikul„ra arytmier
FPC10  Total endokardiell myotomi f”r ventrikul„ra arytmier
FPC96  Annan endokardiell myotomi f”r ventrikul„ra arytmier
FPD00  Labyrintoperation f”r f”rmaksflimmer
FPD96  Annan operation f”r f”rmaksflimmer
FPE00  Inl„ggande av transven”s pacemaker med ventrikelelektrod
FPE10  Inl„ggande av transven”s pacemaker med f”rmakselektrod
FPE20  Inl„ggande av transven”s pacemaker med f”rmaks- och ventrikelelektrod
FPE30  Byte av pulsgenerator vid permanent transven”s pacemaker
FPE40  Byte av elektrod vid permanent transven”s pacemaker
FPE96  Annat inl„ggande eller byte av transven”s pacemaker
FPF00  Inl„ggande av epikardiell pacemaker med ventrikelelektrod
FPF10  Inl„ggande av epikardiell pacemaker med f”rmakselektrod
FPF20  Inl„ggande av epikardiell pacemaker med f”rmaks-och ventrikelelektrod
FPF30  Byte av pulsgenerator vid epikardiell pacemaker
FPF40  Byte av elektrod vid epikardiell pacemaker
FPF96  Annat inl„ggande eller byte av permanent epikardiell pacemaker
FPG10  ™ppet inl„ggande av epikardiell cardioverter-defibrillator
FPG20  Inl„ggande av epikardiell cardioverter-defibrillator vid samtidig hj„rtkirurgi
FPG30  Inl„ggande av transven”s cardioverter-defibrillator och kammarelelektrod
FPG33  Inl„ggande av transven”s cardioverter-defibrillator samt f”rmaks- och kammarelelektrod
FPG40  Byte av pulsgenerator i transven”st cardioverter-defibrillatorsystem
FPG43  Byte av elektrod i transven”st cardioverter-defibrillatorsystem
FPG96  Annat inl„ggande av permanent cardioverter-defibrillator
FPH00  Transven”s extraktion av transven”st system
FPH10  ™ppet avl„gsnande av transven”st system
FPH20  ™ppet avl„gsnande av epikardiellt system
FPH96  Annan operation f”r avl„gsnande av pacemaker, defibrillator eller pulsgenerator
FPJ00  Revision av pacemaker eller elektrod
FPW96  Annan operation f”r arytmi och ”verledningsrubbningar
FQA00  Ortotop hj„rttransplantation
FQA10  Ortotop hj„rttransplantation med bikaval anastomos
FQA20  Ortotop hj„rttransplantation med rekonstruktion av mottagarens f”rmak eller systemven”sa f”rbindelser
FQA30  Heterotop hj„rttransplantation
FQA40  Hj„rttransplantation med levande donator
FQA96  Annan hj„rttransplantation
FQB00  Hj„rt-lungtransplantation
FQB10  Hj„rt-lungtransplantation med bikaval anastomos
FQB20  Hj„rt-lungtransplantation med rekonstruktion av mottagarens f”rmak eller systemven”sa f”rbindelser
FQB30  Hj„rt-lungtransplantation med revaskularisering av bronkialart„rer
FQB96  Annan hj„rt-lungtransplantation
FQW96  Annan operation vid hj„rt- eller hj„rt-lungtransplantation
FWA00  Reoperation f”r s†rruptur
FWB00  Reoperation f”r ytlig infektion
FWC00  Reoperation f”r djup infektion
FWD00  Reoperation f”r ytlig bl”dning
FWE00  Reoperation f”r djup bl”dning
FWF00  Reoperation f”r anastomos- eller suturinsufficiens
FWG00  Reoperation f”r trombos eller emboli
FWG02  Angioskopisk reoperation f”r trombos eller emboli
FWW96  Annan reoperation p† hj„rtat och de stora intratorakala k„rlen
FWW98  Annan angioskopisk reoperation p† hj„rtat och de stora intratorakala k„rlen
FXA00  Total kardiopulmonell bypass i normotermi eller moderat hypotermi
FXA10  Total kardiopulmonell bypass i djup hypotermi
FXA20  Total kardiopulmonell bypass i djup hypotermi och hj„rtstillest†nd
FXA96  Annan intraoperativ total kardiopulmonell bypass
FXB00  Intraoperativ partiell kardiopulmonell bypass
FXC00  Partiell kardiopulmonell bypass utan anv„ndande av oxygenator
FXD00  Anv„ndande av ECHLA utan samtidigt kirurgiskt ingrepp
FXE00  Anv„ndande av ECLA
FXF00  Dekanylering efter ECHLA eller ECLA
FXG00  Anv„ndande av IABP
FXH00  Avl„gsnande av IABP
FXJ00  Inl„ggande av PABP
FXK00  Avl„gsnande av PABP
FXL00  Inl„ggande och anv„ndande av extra-, para- eller intrakorporeal VAD
FXM00  Avl„gsnande av extra-, para- eller intrakorporeal VAD
FXN00  tg„rder med anv„ndande av TAH
FXP00  Hemofiltration eller hemodialys under kardiopulmonell bypass
GAA10  Inl„ggande av toraxdr„nage
GAA15  Inl„ggande av toraxdr„nage med kostaresektion
GAA20  Pleurostomi
GAA31  Torakoskopi
GAA96  Annat ”ppet eller perkutant dr„nageingrepp i pleurah†lan
GAA97  Annat torakoskopiskt dr„nageingrepp i pleurah†lan
GAB00  N”dtorakotomi
GAB10  Torakotomi , antero- eller posterolateral
GAB13  Torakotomi, transaxill„r
GAB20  Torakotomi, median sternotomi
GAB30  Parasternal minitorakotomi
GAB96  Annan torakotomi
GAC00  Biopsi av pleura
GAC01  Endoskopisk biopsi av pleura
GAC10  Avl„gsnande av fr„mmande kropp i pleurah†lan
GAC11  Endoskopiskt avl„gsnande av fr„mmande kropp i pleurah†lan
GAC20  Exstirpation eller destruktion av lokal f”r„ndring i pleura
GAC21  Endoskopisk exstirpation eller destruktion av lokal f”r„ndring i pleura
GAC30  Anl„ggande av terapeutisk pneumotorax
GAC33  Pleurodes
GAC34  Endoskopisk pleurodes
GAC36  Kemisk pleurodes
GAC37  Endoskopisk kemisk pleurodes
GAC40  Pleurodes med pleurektomi
GAC41  Endoskopisk pleurodes med pleurektomi
GAC43  Total pleurektomi
GAC44  Endoskopisk total pleurektomi
GAC46  Partiell pleurektomi
GAC47  Endoskopisk partiell pleurektomi
GAC96  Annan operation p† pleura
GAC97  Annan endoskopisk operation p† pleura
GAC98  Annan operation p† pleura via pleurokutant f”nster
GAD00  Torakoplastik utan plombering
GAD03  Torakoplastik med plombering
GAD10  Avl„gsnande av intratorakal plombering
GAD96  Annan torakoplastikoperation
GAE00  Incision av br”stv„ggen
GAE03  Sutur av br”stv„ggen
GAE06  Exstirpation av lokal f”r„ndring i br”stv„ggen
GAE10  Slutning av pleurostomi
GAE16  Resektion av br”stv„gg
GAE20  Resektion av br”stv„gg och rekonstruktion med muskel- eller hudplastik
GAE23  Resektion av br”stv„gg och rekonstruktion med implantat eller protes
GAE26  Stabilisering av br”stv„gg vid skada
GAE30  Operation f”r kombinerad skada p† br”stv„gg och diafragma
GAE40  Operation f”r thoracic outlet syndrome
GAE50  Rekonstruktion av br”stv„gg
GAE53  Avl„gsnande av fr„mmande kropp fr†n br”stv„ggen
GAE96  Annan incision, biopsi, resektion eller rekonstruktion av br”stv„gg
GAF00  Korrektion av pectus carinatum
GAF03  Korrektion av pectus excavatum
GAF10  Avl„gsnande av implantat i toraxv„ggen efter operation f”r anomali eller defekt
GAF96  Annan rekonstruktiv operation vid br”stv„ggsanomalier eller -defekter
GAG00  Transtorakal biopsi av diafragma
GAG01  Torakoskopisk biopsi av diafragma
GAG10  Transtorakal exstirpation eller destruktion av lokal f”r„ndring i diafragma
GAG11  Torakoskopisk exstirpation eller destruktion av lokal f”r„ndring i diafragma
GAG20  Transtorakalt avl„gsnande av fr„mmande kropp i diafragma
GAG21  Torakoskopiskt avl„gsnande av fr„mmande kropp i diafragma
GAG30  Transtorakal operation av diafragmaruptur
GAG33  Transtorakal resektion av diafragma
GAG36  Transtorakal resektion och rekonstruktion av diafragma med transplantat
GAG40  Transtorakal slutning av torakoabdominell fistel
GAG50  Transtorakal rekonstruktion av diafragmadefekt
GAG96  Annan transtorakal operation p† diafragma
GAG97  Annan torakoskopisk operation p† diafragma
GAW96  Annan transtorakal operation p† br”stv„gg, pleura och diafragma
GAW97  Annan torakoskopisk operation p† br”stv„gg, pleura och diafragma
GBA00  Trakeotomi
GBA10  Trakeotomi med avl„gsnande av fr„mmande kropp
GBA12  Endoskopisk extraktion av fr„mmande kropp i trakea
GBA22  Endoskopisk exstirpation av lokal f”r„ndring i trakea
GBA25  Endoskopisk elektrokoagulation av lokal f”r„ndring i trakea
GBA28  Endoskopisk laserbehandling av lokal f”r„ndring i trakea
GBA32  Endoskopisk dilatation av trakea
GBA35  Endoskopisk nedl„ggning av stent i trakea
GBA40  Sutur av trakea
GBA46  Plastikoperation p† trakea
GBA50  Rekonstruktion av trakea utan protes
GBA53  Rekonstruktion av trakea med protes
GBA96  Annan operation f”r skada eller lokal f”r„ndring i trakea
GBA98  Annan endoskopisk operation f”r skada eller lokal f”r„ndring i trakea
GBB00  Trakeostomi
GBB03  Perkutan trakeostomi
GBB13  Revision av trakeostomi
GBB18  Slutning av trakeostomi
GBB96  Annan trakeostomioperation
GBC00  Resektion och sutur av trakea
GBC03  Resektion av trakea med reanastomos
GBC06  Resektion och rekonstruktion av trakea med protes
GBC10  Resektion och rekonstruktion av carina
GBC13  Resektion och rekonstruktion av carina med implantat
GBC96  Annan resektion eller rekonstruktion av trakea
GBW96  Annan operation p† trakea
GBW98  Annan endoskopisk operation p† trakea
GCA02  Endobronkial elektrokoagulation av lokal f”r„ndring
GCA05  Endobronkial laserbehandling av lokal f”r„ndring
GCA06  Exstirpation av lokal f”r„ndring i bronk
GCA08  Endobronkial exstirpation av lokal f”r„ndring
GCA10  Avl„gsnande av fr„mmande kropp i bronk
GCA12  Endobronkial extraktion av fr„mmande kropp
GCA18  Endoskopisk dilatation av bronk
GCA20  Sutur eller rekonstruktion av bronk vid skada
GCA26  Bronkoplastik
GCA30  Bronkoplastik med protes
GCA32  Endoskopisk nedl„ggning av stent i bronk
GCA40  Slutning av bronkopleural fistel
GCA42  Endoskopisk slutning av bronkopleural fistel
GCA43  Annan slutning av bronkopleural fistel
GCA50  Resektion av bronk
GCA60  Resektion av bronk med anastomos „nda till „nda
GCA70  Resektion och rekonstruktion av bronk med protes
GCA96  Annan operation p† bronk
GCA98  Annan endoskopisk operation p† bronk
GDA00  Incision av lunga
GDA01  Endoskopisk incision av lunga
GDA10  Lungbiopsi
GDA11  Torakoskopisk lungbiopsi
GDA12  Bronkoskopisk lungbiopsi
GDA20  Exstirpation av lokal f”r„ndring i lunga
GDA21  Torakoskopisk exstirpation av lokal f”r„ndring i lunga
GDA30  Pneumotomi och extraktion av fr„mmande kropp
GDA31  Torakoskopisk pneumotomi och extraktion av fr„mmande kropp
GDA40  Revision och sutur av lungskada
