A083A  Coxsackievirusenterit
G402F  Partiell epilepsi, komplex, med medvetandest”rning, psykomotorisk
G402X  Partiell epilepsi, komplex, med medvetandest”rning, ospecificerad
G403A  Barnepilepsi, med absenser, petit mal (pyknolepsi)
G403B  Juvenil absensepilepsi
G403C  Juvenil myoklon epilepsi
G403D  Benigna neonatala kramper med eller utan hereditet
G403E  Benign myoklon epilepsi hos sp„dbarn
G403F  Epilepsi med grand mal efter uppvaknande
G403X  Prim„rt generaliserad idiopatisk epilepsi, ospecificerad
G404A  Infantil spasm, Wests syndrom
G404B  Myoklonisk-astatiska anfall, Lennox-Gastauts syndrom
G404C  Myoklona absenser
G404D  Atypiska absenser
G404X  Generaliserad symtomatisk epilepsi, ospecificerad
G550A* Kompression av nervr”tter och nervplexus i halsryggen vid tum”rsjukdom
G550J* Kompression av nervr”tter och nervplexus i torakalryggen vid tum”rsjukdom
G550K* Kompression av nervr”tter och nervplexus i l„ndryggen vid tum”rsjukdom
G550X* Kompression av nervr”tter och nervplexus med icke specificerad lokalisation vid tum”rsjukdom
G562B  Ulnarisentrapment i axelled/”verarm
G562C  Ulnarisentrapment i armb†ge/underarm
G562D  Ulnarisentrapment i handled/hand
G562X  Ulnarisentrapment med icke specificerad lokalisation
G563B  Radialisentrapment i axelled/”verarm
G563C  Radialisentrapment i armb†ge/underarm
G563D  Radialisentrapment i handled/hand
G563X  Radialisentrapment med icke specificerad lokalisation
G710A  Muskeldystrofi, heredit„r, typ Duchenne
G710B  Muskeldystrofi, heredit„r, typ Becker (benign)
G710W  Annan specificerad muskeldystrofi
G710X  Muskeldystrofi, (ej medf”dd), ospecificerad
G723A  Hypokalemisk periodisk paralys
G723B  Hyperkalemisk periodisk paralys
G801A  Cerebral pares, diplegi, spastisk, hos prematura
G801B  Cerebral pares, diplegi, spastisk, hos fullg†ngna
G801C  Cerebral pares, diplegi, ataktisk
G801X  Cerebral pares, spastisk diplegi, ospecificerad
G803A  Cerebral pares, dyston, tonusv„xlingssyndrom
G803B  Cerebral pares, atetoid
G803X  Dyskinetisk cerebral pares, ospecificerad
G804A  Cerebral pares, dysekvilibriumataxi
G804W  Annan ataktisk cerebral pares
G808A  Cerebral pares, tetrapares, spastisk
G808B  Cerebral pares, monopares
G808C  Cerebral pares, blandade syndrom
G918A  Hydrocefalus med ventrikeldilatation
G918B  Posthemorragisk hydrocefalus
G918W  Annan specificerad ej medf”dd hydrocefalus
H020A  Entropion
H020B  Trikiasis
H101A  Konjunktivit orsakad av l”vtr„dspollen
H101B  Konjunktivit orsakad av gr„spollen
H101C  Konjunktivit orsakad av compositae-pollen
H101D  Konjunktivit orsakad av pollen UNS
H101E  Konjunktivit orsakad av djurepitel
H101X  Konjunktivit, allergisk UNS
H150A  Fr„mre sklerit
H150B  Bakre sklerit
H150X  Ospecificerad lokalisation av sklerit
H185A  Epitelial dystrofi av kornea
H185B  Dystrofi i Bowmans membran
H185C  Stromal dystrofi av kornea
H185D  Endotelial dystrofi av kornea
H185X  Ospecificerad dystrofi av kornea
H191A* Keratitis dendritica herpetica (B005Å)
H191B* Keratitis disciformis herpetica (B005Å)
H191X* Ospecifik keratit eller keratokonjunktivit av herpesvirus (B005Å)
H312A  Regional dystrofi av korioidea
H312B  Diffus dystrofi av korioidea
H312C  Generell vaskul„r dystrofi av korioidea
H312X  Ospecificerad dystrofi av korioidea
H330A  Partiell retinalavlossning med ett runt eller ovalt h†l
H330B  Partiell retinalavlossning med flera runda eller ovala h†l
H330C  Partiell retinalavlossning med ett h„stskoformat h†l
H330D  Partiell retinalavlossning med flera h„stskoformade h†l
H330E  Partiell retinalavlossning med oradialys
H330F  Partiell retinalavlossning med ekvatoriell bristning
H330G  Partiell retinalavlossning med flera h†l av olika typ
H330H  Subtotal eller total retinalavlossning med h†l
H330X  Ospecificerad retinalavlossning med h†l
H333A  Runda eller ovala retinalh†l, enstaka eller multipla
H333B  H„stskoformade retinalh†l, enstaka eller multipla
H333C  Oradialys
H333D  Ekvatoriell bristning
H333W  Annat retinalh†l eller flera h†l av olika typ
H333X  Ospecificerat retinalh†l
H348A  Centralocklusion av retinalven
H348B  Grenocklusion av retinalven
H348C  Incipient retinalvensocklusion
H348X  Ospecificerad form av retinalvensocklusion
H351A  Prematuritetsretinopati; demarkationslinje mellan vaskulariserad och ej vaskulariserad retina
H351B  Prematuritetsretinopati; l„tt upph”jd vall (ridge), ej vidgade eller slingriga k„rl i centrum
H351C  Prematuritetsretinopati; ridge med slingriga och vidgade k„rl i centrum
H351D  Prematuritetsretinopati; ridge med extraretinala fibrovaskul„ra f”r„ndringar, ej vidgade eller slingriga k„rl i centrum
H351E  Prematuritetsretinopati; ridge med extraretinala fibrovaskul„ra f”r„ndringar samt vidgade och slingriga k„rl i centrum
H351F  Prematuritetsretinopati; subtotal retinalavlossning
H351G  Prematuritetsretinopati; total retinalavlossning, retrolental fibroplasi
H351L  Prematuritetsretinopati (ROP), grad 1-2
H351M  Prematuritetsretinopati (ROP), grad 3-5, ej behandlad
H351N  Prematuritetsretinopati (ROP), grad 3-5, behandlad
H351X  Prematuritetsretinopati, ospecificerad form
H355A  Vitreoretinal dystrofi
H355B  Retinitis pigmentosa-liknande tillst†nd
H355C  Pigmentepiteldystrofi
H355W  Annan „rftlig retinal dystrofi
H355X  rftlig retinal dystrofi ospecificerad
H356A  Preretinal bl”dning
H356B  Intraretinal bl”dning
H356C  Subretinal bl”dning
H356W  Retinala bl”dningar med olika lokalisation
H356X  Ospecificerad retinal bl”dning
H360A* Icke proliferativ diabetisk retinopati
H360B* Proliferativ diabetisk retinopati
H360X* Ospecificerad form av diabetisk retinopati
H400A  Okul„r hypertension
H400B  Tr†ng kammarvinkel
H400C  Misst„nkt papillexkavation
H400D  Exfoliationssyndrom utan s„ker glaukomdiagnos
H400E  Pigmentspridningssyndrom utan s„ker glaukomdiagnos
H400W  Annan typ av misst„nkt glaukom
H400X  Misst„nkt glaukom, ospecificerat
H401A  Kroniskt enkelt glaukom, ”ppen kammarvinkel
H401B  Pigmentglaukom, ”ppen kammarvinkel
H401C  Kapsul„rt glaukom, ”ppen kammarvinkel
H401D  Glaukom med l†gt ”gontryck, ”ppen kammarvinkel
H401W  Annan specificerad form av prim„rt glaukom med ”ppen kammarvinkel
H401X  Prim„rt glaukom med ”ppen kammarvinkel UNS
H438A  Glaskroppsdegeneration
H438B  Glaskroppsavlossning
H480A* Postinflammatorisk optikusatrofi
H480B* Optikusatrofi vid intrakraniell neoplasm
H480C* Optikusatrofi vid annan intrakraniell skada
H480W* Optikusatrofi vid andra sjukdomar som klassificeras annorst„des
H503A  Intermittent esotropi
H503B  Intermittent exotropi
H503X  Intermittent heterotropi UNS
H504A  Cyklotropi
H504B  Konkomitant strabism
H504C  Mikrotropi
H504D  Monofixationssyndrom
H504X  Heterotropi UNS
H505A  Alternerande hyperfori
H505B  Esofori
H505C  Exofori
H505D  Cyklofori
H505X  Heterofori UNS
H511A  Konvergensinsufficiens
H511B  Konvergensexcess
I214A  Akut subendokardiell infarkt i framv„gg
I214B  Akut subendokardiell infarkt, diafragmal
I214W  Akut subendokardiell infarkt med annan lokalisation
I214X  Akut subendokardiell infarkt med icke specificerad lokalisation
I301A  Akut infekti”s perikardit med tamponad
I301B  Akut infekti”s perikardit utan tamponad
I308A  Akut recidiverande perikardit med tamponad
I308B  Akut recidiverande perikardit utan tamponad
I309A  Akut perikardit UNS med tamponad
I309B  Akut perikardit UNS utan tamponad
I441A  AV-block grad II/Wenckebachs typ
I441B  AV-block grad II/M”bitz typ II
I446A  Komplett v„nstergrenblock
I446B  Inkomplett v„nstergrenblock
I450A  Komplett h”gergrenblock
I450B  Inkomplett h”gergrenblock
I456A  Wolff-Parkinson-White (WPW)-syndrom
I456B  Lown-Ganong-Levine (LGL)-syndrom
I456W  Pre-excitationssyndrom av annan typ
I456X  Pre-excitationssyndrom/accessorisk ”verledning
I472A  Kammartakykardi, kortvarig
I472B  Kammartakykardi, l†ngvarig
I472C  Kammartakykardi, torsades des pointes
I489A  F”rmaksflimmer, kroniskt
I489B  F”rmaksflimmer, paroxysmalt
I489C  F”rmaksfladder, kroniskt
I489D  F”rmaksfladder, paroxysmalt
I489E  F”rmaksflimmerfladder, kroniskt
I489F  F”rmaksflimmerfladder, paroxysmalt
I495A  Sinus arrest
I495B  Sick sinus syndrome
I495C  Brady-takysyndrom
I498A  Sinusbradykardi
I498B  Sinustakykardi
I498C  Kardiell ers„ttningsrytm
I690A  Sena effekter av subaraknoidalbl”dning
I690B  Sena effekter av subduralbl”dning
I702A  Aterosklerotiskt gangr„n
I702C  Aterosklerotiskt bens†r
I702X  Ateroskleros i extremitetsart„rer, ospecificerat
I738A  Akrocyanos
I738B  Akroparestesi
I738C  Erytrocyanos
I738D  Erytromelalgi
I738W  Andra specificerade sjukdomar i perifera k„rl
I739A  Art„rspasm
I739B  Claudicatio intermittens
I739C  Digital ischemi
I739D  Vasodilatation
I739X  Perifer k„rlsjukdom, ospecificerad
I781A  Angioma senile
I781B  Spindelnevus
I781C  Telangiektasier
I781X  Icke neoplastiskt nevus, ospecifierat
I890A  Lymfangiektasi
I890B  Lymphoedema praecox
I890C  Lymf”demat”s keratoderma
I890W  Annat lymf”dem som ej klassificeras annorst„des
I898A  Kylocele (ej orsakat av filaria)
I898B  Lipomelanotisk retikulos
I898W  Andra specifika icke infekti”sa sjukdomar i lymk„rlen och lymfk”rtlarna
J303A  Rinit, allergisk, icke s„songsbunden, orsakad av p„lsdjur
J303B  Rinit, allergisk, icke s„songsbunden, orsakad av kvalster
J303W  Rinit, allergisk, icke s„songsbunden, orsakad av andra agens
J370A  Kronisk hypertrofisk laryngit
J370B  Kronisk laryngitis sicca
J370C  Monokordit (ensidig st„mbandsinflammation)
J370W  Annan specificerad kronisk laryngit
J370X  Kronisk laryngit, ospecificerad
J380A  Immobiliserat st„mband
J380B  Ensidig st„mbandsf”rlamning
J380C  Bilateral st„mbandsf”rlamning
J380D  Pares av nervus laryngeus superior
J380W  Annan specificerad st„mbandsf”rlamning
J380X  St„mbandsf”rlamning, ospecificerad
J381A  St„mbandspolyp
J381B  Reinke”dem
J381D  Randst†ende st„mbands”dem
J381W  Annan specificerad polyp i struphuvudet
J381X  Polyp i struphuvudet, ospecificerad
J383A  St„mbandscysta
J383B  St„mbandsf†ra
J383C  Vergeture i st„mband
J383D  rrbildning i st„mband
J383E  St„mbandsatrofi, st„mbandsinsufficiens
J383F  Granulomat”s inflammation i st„mbandens membran”sa del
J383G  F”rv„rvat larynxmembran/ st„mbandssammanv„xning
J383H  K„rlektasier i st„mband
J383J  St„mbandshematom
J383K  Leukoplaki p† st„mband
J383N  Interaryirritation i st„mband
J383Q  Kontaktulcus och andra s†r i processus vocalis-omr†det
J383R  Kontaktgranulom och andra granulom i processus vocalis-omr†det
J383W  Andra specificerade sjukdomar i st„mband
J383X  F”r„ndring i st„mband, ospecificerad
J387A  Pachydermia interarytenoidea
J387B  Fickbandsprolaps, fickbandscysta
J387C  Ledstelhet i krikoarytenoidleden, larynxankylos
J387D  Asymmetri i st„mbandsr”rlighet eller larynx
J387E  Paradoxal st„mbandsr”rlighet
J387W  Annan specificerad sjukdom i larynx
J450A  Asthma bronchiale, allergisk, akut, infektionsutl”st
J450B  Asthma bronchiale, allergisk, akut, allergenutl”st
J450W  Annan asthma bronchiale, allergisk, akut
J451A  Asthma bronchiale, icke allergisk, akut, infektionsutl”st
J451W  Annan asthma bronchiale, icke allergisk, akut
K070A  Makrognati
K070B  Mikrognati
K121A  Protesstomatit
K121C  Ulcer”s stomatit
K121D  Vesikul”s stomatit
K121W  Andra former av stomatit
K121X  Stomatit UNS
K130A  Angul„r keilit
K130B  Exfoliativ keilit
K130C  Glandul„r keilit
K130D  Keilit UNS
K130E  Keilodyni
K130G  PerlŠche som ej klassificeras annorst„des
K130H  Ulceration p† l„pp
K130J  Plasmacellskeilit
K130K  Cheilitis factitia
K130L  Eczema labiorum
K130M  Labial melanotic macule
K130X  Sjukdomar i l„pparna, ospecificerade
K132A  Erytroplaki i munnen eller tungan
K132B  Fokal epitelial hyperplasi [Heck]
K132C  Leukokeratosis nicotina palati
K132X  Leukoplaki i munslemhinna och p† tunga
K134A  Eosinofilt granulom i munslemhinnan
K134B  Pyogent granulom i munslemhinnan
K134C  Verruk”st xantom i munslemhinna
K134W  Andra granulomliknande tillst†nd i munslemhinnan
K137A  Fokal oral mucinos
K137B  Burning mouth
K137C  Lokaliserad oral purpura
K137D  Oral pigmentering
K137W  Andra och icke specificerade f”r„ndringar i munslemhinnan
K522A  Gastroenterit/kolit, allergisk, f”do„mnesbetingad, f”do„mnet k„nt eller sannolikt
K522X  Gastroenterit/kolit, allergisk, f”do„mnesbetingad, f”do„mnet ok„nt
K830A  Skleroserande kolangit
K830X  Kolangit, annan eller UNS
K900A  Celiaki, glutenenteropati, s„kerst„lld
K900B  Celiaki, glutenenteropati, sannolik men ej s„kerst„lld
K900X  Celiaki, glutenenteropati, UNS
L010A  Bockharts follikul„ra impetigo
L010X  Impetigo, ospecificerad
L029A  Kutan abscess med icke specificerad lokalisation
L029B  Furunkel med icke specificerad lokalisation i huden
L029C  Karbunkel med icke specificerad lokalisation i huden
L029D  Furunkulos UNS
L030A  Nagelinfektion
L030B  Akut paronyki (med lymfangit)
L030C  Paronyki UNS
L030X  Cellulit i finger och t†, ospecificerad
L080A  Ektyma
L080B  Purulent dermatit
L080X  Pyoderma, ospecificerad
L088A  Pyoderma vegetans
L088B  Keratolysis plantare sulcatum
L088C  Botryomykos
L088W  Andra lokala infektioner i hud och underhud
L120A  Generaliserad bull”s pemfigoid
L120B  Lokaliserad bull”s pemfigoid
L120W  Annan bull”s pemfigoid
L121A  Slemhinnepemfigoid UNS
L121B  Generaliserad „rrbildande pemfigoid
L121C  Lokaliserad „rrbildande pemfigoid (kronisk) [Brunsting-Perry]
L121W  Annan „rrbildande pemfigoid
L122A  Juvenil dermatitis herpetiformis
L122B  Juvenil line„r IgA-dermatos
L122C  Juvenil pemfigoid
L122D  Kronisk bull”s dermatos hos barn
L122W  Annan kronisk bull”s sjukdom hos barn
L138A  Line„r IgA-dermatos (hos vuxen)
L138B  Atypisk bl†sdermatos
L138C  Eosinofil spongios
L138W  Andra specificerade bl†sdermatoser
L208A  Atopisk dermatit hos barn utan f”do„mnesallergi
L208B  Atopisk dermatit hos barn med f”do„mnesallergi
L208C  Barneksem UNS
L208D  B”jveckseksem som ej klassificeras annorst„des
L208E  Atopisk neurodermatit
L208F  Diffus neurodermatit
L208G  Atopisk dermatit hos vuxen
L208W  Annan specificerad atopisk dermatit
L210A  Mj”lkskorv
L210B  Seborroiskt eksem i h†rbotten
L210C  Seborrhoea sicca
L210W  Annan seborrhoea capitis
L218A  Paranasalt erytem (hos unga kvinnor)
L218B  Seborroisk dermatit i ansiktet
L218C  Seborroisk dermatit p† b†len
L218W  Andra specificerade seborroiska dermatiter
L229A  Bl”jerytem
L229B  Bl”jutslag
L229C  Psoriasiform bl”jdermatit
L229D  Papuloulcer”s bl”jdermatit
L229E  Granuloma gluteale (infantum)
L229X  Bl”jdermatit, ospecificerad
L230A  Allergisk kontaktdermatit orsakad av krom
L230B  Allergisk kontaktdermatit orsakad av nickel
L230C  Allergisk kontaktdermatit orsakad av kobolt
L230X  Allergisk kontaktdermatit orsakad av metaller (metallsalter)
L231A  Allergisk kontaktdermatit orsakad av kolofonium
L231X  Allergisk kontaktdermatit orsakad av lim„mnen och hartser
L232A  Allergisk kontaktdermatit orsakad av parfym„mnen
L232X  Allergisk kontaktdermatit orsakad av kosmetika
L234A  Allergisk kontaktdermatit orsakad av parafenylendiamin (PPDA)
L234X  Allergisk kontaktdermatit orsakad av f„rg„mnen
L235B  Allergisk kontaktdermatit orsakad av insektsd”dande medel
L235C  Allergisk kontaktdermatit orsakad av plast (kemikalier)
L235D  Allergisk kontaktdermatit orsakad av gummi (kemikalier)
L235E  Allergisk kontaktdermatit orsakad av epoxy
L235F  Allergisk kontaktdermatit orsakad av formalin
L235G  Allergisk kontaktdermatit orsakad av konserveringsmedel
L235W  Allergisk kontaktdermatit orsakad av andra kemiska produkter
L238A  Allergisk kontaktdermatit orsakad av luftburet allergen
L238B  Allergisk kontaktdermatit orsakad av skor
L238C  Allergisk kontaktdermatit orsakad av strumpor
L238D  Allergisk kontaktdermatit orsakad av textilier
L238W  Allergisk kontaktdermatit orsakad av andra specificerade substanser
L282A  Strofulus
L282B  Kronisk prurigo hos vuxna
L282C  Dermografisk prurigo
L282D  Prurigo pigmentosa
L282W  Annan och icke specificerad prurigo
L298A  Generaliserad kl†da vid annan sjukdom „n hudsjukdom (till„ggskod)
L298B  Pruritus senilis
L298C  Pruritus hiemalis
L298D  Lokaliserad kl†da
L298E  L„kemedelsinducerad kl†da
L298W  Annan specificerad pruritus
L304A  Intertrigin”st erytem
L304X  Intertrigin”st eksem, ospecificerat
L308A  Asteatotiskt eksem
L308B  Exsudativ diskoid likenoid dermatos [Sulzberger-Garbe]
L308C  Juvenil plantar dermatos
L308W  Annan specificerad dermatit
L309A  Akut eksem
L309B  Ansiktsdermatit UNS
L309C  Dermatitis palmaris sicca
L309D  Endogent handeksem
L309E  Foteksem UNS
L309F  Handeksem UNS
L309G  Underbenseksem UNS
L309X  Dermatit, ospecificerad
L401A  Impetigo herpetiformis
L401B  von Zumbuschs sjukdom
L401C  Recidiverande circinat erytemat”s psoriasis [Lapiere]
L401W  Annan och icke specificerad generaliserad pustul„r psoriasis
L403A  Andrews pustul„ra bakterid
L403B  Akropustulos hos sm†barn
L403C  Psoriasis palmaris et plantaris
L403W  Annan pustulosis palmaris et plantaris
L405A  Psoriasis med arthritis mutilans Å (M071*)
L405B  Psoriasis med juvenil artrit Å (M090*)
L405C  Psoriasis med artrit i distal interfalangealled Å (M070*)
L405D  Psoriasis med spondylit Å (M072*)
L405W  Psoriasis med andra och icke specificerade artropatier Å (M073*)
L408A  Flexural psoriasis
L408B  Erytrodermi vid psoriasis
L408C  Atypisk psoriasis
L408W  Annan specificerad psoriasis
L433A  Lichen planus tropicus
L433B  Erosiv lichen planus
L433X  Subakut lichen planus, ospecificerad
L438A  Lichen ruber planus atrophicus
L438B  Lichen planus erythematosus
L438C  Ulcer”s lichen ruber planus p† fotsulor
L438W  Annan specificerad lichen ruber planus
L448A  Pityriasis amiantacea
L448B  Pityriasis rotunda
L448C  Parakeratosis pustulosa
L448D  Paraneoplastisk akrokeratos
L448W  Andra specificerade papuloskvam”sa sjukdomar
L506A  Allergisk kontakturtikaria
L506B  Icke allergisk kontakturtikaria
L506X  Kontakturtikaria, ospecificerad
L529A  Erythema induratum nontuberculosum [Whitfield]
L529X  Erythema nodosum, ospecificerat
L533A  Erythema figuratum perstans
L533B  Erythema gyratum repens
L533W  Annat kroniskt figuralt erytem
L538A  Palmarerytem
L538B  Asymmetriskt periflexialt erytem hos barn [APEC]
L538W  Andra specificerade erytemat”sa tillst†nd
L539A  Erytrodermi UNS
L539B  Sekund„r erytrodermi
L539X  Erytemat”st tillst†nd, ospecificerat
L562A  Fotoallergisk kontaktdermatit
L562B  Fototoxisk kontaktdermatit
L562C  Fytofotodermatit
L562X  Fotokontaktdermatit, ospecificerad
L564A  Aktinisk prurigo
L564B  Hydroa vacciniforme
L564C  Hydroa estivale
L564D  Polymorf ljusdermatos
L564W  Annan polymorf ljusdermatit
L568A  Aktinisk keilit
L568B  Fotodermatit UNS (akut)
L568C  Fotodermatit UNS orsakad av l„kemedel
L568D  Fotosensitivt eksem UNS
L568E  Ljusk„nslighet UNS
L568W  Andra specificerade akuta hudf”r„ndringar orsakade av ultraviolett str†lning
L578A  Soldermatit (kronisk)
L578B  Kolloidmilium
L578C  Nodul„r elastos med cystor och komedoner [Favre-Racouchot]
L578W  Andra hudf”r„ndringar orsakade av kronisk exponering f”r icke joniserande str†lning
L603A  Dystrophia unguis mediana canaliformis [Heller]
L603B  Hapalonyki
L603C  Koilonyki
L603D  Nagelatrofi
L603E  Nagelsk”rhet
L603F  Onychoschisis
L603G  Onychorrhexis
L603H  Overcurvature of the nails
L603J  Trakyonyki
L603W  Annan och icke specificerad nageldystrofi
L608A  Leukonychia striata (punctata)(totalis)
L608B  Nagelmissf„rgning
L608C  Onychia punctata
L608D  Onykomades
L608E  Onykoptos
L608F  Pterygium inversum unguis
L608G  Pterygium unguis
L608H  Shedding of the nails
L608J  Subungual bl”dning
L608W  Andra nagelsjukdomar
L668A  Alopecia parvimaculata circumscripta atrophica [Dreuw]
L668B  Alopecia traumatica
L668C  Erosiv pustul„r dermatos i h†rbotten
L668W  Annat „rrbildande h†ravfall
L671A  Gr†h†righet (i f”rtid)
L671B  H†rheterokromi
L671C  Poliosis circumscripta (f”rv„rvad)(”gonbryn) (”gonfransar)
L671D  Polios UNS
L671W  Andra variationer i h†rf„rgen
L678A  Fragilitas crinium
L678B  Acquired progressive kinking of the hair
L678C  Bajonetth†r [Pinkus]
L678D  H†rcylindrar
L678E  Loose anagen hair syndrome
L678F  Pili triangulati et canaliculi
L678G  Pseudokromhidros
L678H  Trichomalacia
L678J  Trichonodosis (knutbildning)
L678K  Spiralh†r
L678W  Andra specificerade h†rf„rgs- och h†rskaftsabnormiteter
L700A  Acne vulgaris comedonica
L700B  Acne vulgaris palulopustulosa
L700C  Acne vulgaris nodulocystica
L700W  Annan acne vulgaris
L700X  Acne vulgaris, ospecificerad
L701A  Acne fulminans
L701X  Acne conglobata, ospecificerad
L708A  Acne cosmetica
L708B  Acne venenata
L708C  Steroidakne
L708W  Annan specificerad akne
L718A  Acne agminata
L718B  Granulomat”s rosacea
L718C  Pyoderma faciale
L718W  Annan specificerad rosacea
L720A  Milium
L720B  Multipla eruptiva milier
L720X  Epidermal cysta, ospecificerad
L738A  Sycosis barbae
L738B  Sycosis lupoides
L738C  Rosacealiknande follikulit
L738D  Seborroisk follikulit
L738E  Eosinofil pustul„r follikulit [Ofuji]
L738W  Andra follikul„ra sjukdomar
L748A  Granulosis rubra nasi
L748B  Hematohidros
L748C  Svettk”rtelabscess
L748W  Andra specificerade ekkrina svettk”rtelsjukdomar
L814A  Lentigo
L814B  Melanosis dorsalis
L814C  Pigmented cosmetic dermatitis
L814D  PUVA-Lentigines
L814E  Riehls melanos
L814W  Annan och icke specificerad melaninhyperpigmentering
L817A  Angioma serpiginosum [Hutchinson-Crocker]
L817B  Eksematidliknande purpura
L817C  Lichen aureus
L817D  Pigmented purpuric lichenoid dermatosis of Gougerot-Blum
L817E  Progressive pigmented purpuric dermatosis
L817F  Purpura annularis telangiectodes [Majocchi]
L817X  Pigmentpurpura, ospecificerad
L818A  J„rnpigmentering
L818B  Tatuering
L818C  Argyri
L818D  Arsenikpigmentering
L818E  Chrysiasis
L818F  Dermatopathia pigmentosa reticularis
L818G  Dyschromatosis symmetrica hereditaria [Dohi]
L818H  Dyschromatosis universalis
L818J  Erythromelanosis follicularis faciei et colli [Kitamura]
L818K  Erythrose peribuccale pigmentaire of Brocq
L818L  L„kemedelsorsakad pigmentering
L818M  Reticulate acropigmentation of Kitamura
L818N  Reticulate pigmented anomaly of the flexures [Dowling-Degos]
L818Q  Erythema dyschromium perstans
L818W  Andra pigmentrubbningar
L829A  Dermatosis papulosa nigra
L829B  Leser-Tr‚lats sjukdom
L829C  Stuccokeratos
L829D  Inverted follicular keratosis
L829X  Seborroisk keratos, ospecificerad
L839A  Sammanflytande och retikul„r papillomatos [Gougerot-Carteaud]
L839B  Acanthosis nigricans maligna
L839C  Acanthosis nigricans benigna, f”rv„rvad
L839D  Pseudoacanthosis nigricans (vid obesitas)
L839E  L„kemedelsinducerad acanthosis nigricans
L839X  Acanthosis nigricans, ospecificerad
L849A  Kallus (hudf”rh†rdnad)
L849B  Klavus (liktorn)
L849X  Liktornar och hudf”rh†rdnader, ospecificerat
L851A  Keratoderma climacterium [Haxthausen]
L851B  Keratoderma associerad med esofaguscancer
L851W  Annan f”rv„rvad keratosis palmaris et plantaris
L852A  Keratoderma hereditarium dissipatum palmare et plantare [Brauer Brnaer-Fuhs]
L852B  Keratoderma maculosa disseminata palmaris et plantaris [Buschke-Fischer]
L852C  Keratosis palmoplantaris areata et striata [Siemens]
L852D  Keratosis punctata of the palmar creases
L852W  Annan och icke specificerad keratosis punctata
L858A  Hudhorn
L858B  Arsenikkeratos
L858C  Benign likenoid keratos
L858D  F”rv„rvat digitalt fibrokeratom
L858E  Hyperkeratosis lenticularis perstans [Flegel]
L858F  Keratoakantom
L858G  Keratosis pilaris (f”rv„rvad)
L858H  Klarcellsakantom [Degos]
L858J  Lichen spinulosus
L858K  Reaktiv fibr”s papel p† fingrar
L858W  Annan epidermal hudf”rtjockning
L889A  Dermatitis gangraenosa
L889B  Fagedenisk pyoderma
L889C  Ecthyma gangraenosum
L889D  Malign pyoderma
L889X  Pyoderma gangraenosum, ospecificerad
L899A  Trycks†r i halsregionen
L899B  Trycks†r p† axel/”verarm
L899C  Trycks†r p† armb†ge/underarm
L899D  Trycks†r p† handled/hand
L899E  Trycks†r i b„ckenregionen
L899F  Trycks†r p† h”ft/l†r
L899G  Trycks†r p† kn„/underben
L899H  Trycks†r p† fotled/fot
L899J  Trycks†r i torakalregionen
L899K  Trycks†r i l„ndregionen
L899X  Trycks†r med icke specificerad lokalisation
L908A  Atrophia cutis senilis
L908B  Atrophia maculosa varioliformis cutis
L908C  Atrophoderma neuriticum
L908D  Gowers panatrofi
L908E  Stellata och diskoida pseudo„rr [Colomb]
L908W  Andra atrofiska hudsjukdomar
L920A  Generaliserad eller disseminerad granuloma annulare
L920B  Perforerande granuloma annulare
L920X  Granuloma annulare, ospecificerad
L923A  H†rsinus
L923B  Kiselgranulom (hud)
L923W  Annat och icke specificerat fr„mmandekroppsgranulom i hud och underhud
L942A  Calcinosis circumscripta (i hud)
L942B  Calculus cutaneus
L942C  Dystrofisk f”rkalkning (i hud)
L942D  Osteosis cutis
L942X  Calcinosis cutis, ospecificerad
L944A  Erythrokeratoderma en cocardes [Degos]
L944B  Erythrokeratoderma progressiva symmetrica [Gottron]
L944C  Erythrokeratoderma variabilis [Mendes da Costa]
L944X  Gottrons papler, ospecificerat
L950A  Atrophie blanche [Milian]
L950B  Livedo med noduli
L950C  Livedovaskulit
L950W  Annan och icke specificerad livedoid vaskulit
L979A  Malum perforans pedis
L979B  Martorells s†r
L979C  Ulcus pedis UNS
L979X  Icke specificerat bens†r som ej klassificeras annorst„des
L981A  Neurotiska exkoriationer
L981X  Dermatitis factitia, ospecificerad
L984A  Huds†r UNS
L984B  Progressivt synergistiskt gangr„n [Meleney]
L984C  Pyoderma chancriformis (faciei)
L984D  Trofiskt s†r UNS
L984E  Tropiskt huds†r UNS
L984F  Ulcus phagedaenicum
L984W  Annat kroniskt huds†r som ej klassificeras annorst„des
L985A  Fokal mucinos
L985B  Lichen myxoedematosus
L985C  Pretibialt myx”dem
L985D  Retikul„r erytemat”s mucinos
L985W  Annan och icke specificerad hudmucinos
L988A  Autoimmun progesterondermatit
L988B  Benign lymfocytinfiltration i huden [Jessner-Kanof]
L988C  Lymphocytoma cutis benigna
L988D  Digital myxoid cysta
L988W  Andra sjukdomar i hud och underhud
L990A* Bull”s amyloidos (E854Å)
L990B* Lichen amyloidosis (E854Å)
L990C* Makul„r amyloidos (E854Å)
L990D* Nodul„r amyloidos (E854Å)
L990W* Annan hudamyloidos (E854Å)
M000B  Septisk artrit (stafylokocker) i axelled
M000C  Septisk artrit (stafylokocker) i armb†gsled
M000D  Septisk artrit (stafylokocker) i handled/hand
M000E  Septisk pelvospondylit (stafylokocker)
M000F  Septisk artrit (stafylokocker) i h”ftled
M000G  Septisk artrit (stafylokocker) i kn„led
