Code;text;Note
JFA84;Laparoskopiska resnas zarnas bojajuma ekscizija;
JFA85;Endoskopiska mukoza vai submukoza resnas zarnas rezekcija ;Papildu kods ekscizijas tehnikai, skat.: ZXC
JFA86;Resnas zarnas fistulas slegsana;"Jaieklauj: Fistula uz adu vai citam zarnam. Fistulas slegsana ar zarnu rezekciju, skat.: JFB. Fistula uz urinizvadsistemu, skat.: KCH 30, KDH 50; uz maksti, skat.: LEE 30"
JFA96;Cita veida lokala zarnu operacija;
JFA97;Cita veida laparoskopiska lokala zarnu operacija;
JFA98;Cita veida transluminala endoskopiska lokala zarnu operacija;Akmens iznemsana no ureteroilealas anastomozes vai tas paplasinajuma, skat.: KBJ70 
JFB00;Parciala tievo zarnu rezekcija;
JFB01;Laparoskopiska parciala tievo zarnu rezekcija;
JFB10;Tievas zarnas segmenta reversija;
JFB13;Tievo zarnu plastiska rezekcija ar pagarinasanu;Eponims: Bjanki (Bianchi) operacija vai tai lidzigas operacijas atrezijas vai isas zarnas del
JFB20;Ileocekala rezekcija;
JFB21;Laparoskopiska ileocekala rezekcija;
JFB30;Labas puses hemikolektomija;
JFB31;Laparoskopiska labas puses hemikolektomija;
JFB33;Cita veida tievo vai resno zarnu rezekcijas;Jaieklauj: Rezekcija pec ieprieksejas rezekcijas vai anastomozes izveides, paplasinata labas puses hemikolektomija. skirta tievo zarnu un resno zarnu rezekcija tiek kodeta atseviski
JFB34;Cita veida laparoskopiska tievo vai resno zarnu rezekcija;
JFB40;skerszarnas (colon transversum) rezekcija;
JFB41;Laparoskopiska skerszarnas (colon transversum) rezekcija;
JFB43;Kreisas puses hemikolektomija;
JFB44;Laparoskopiska kreisas puses hemikolektomija;
JFB46;Sigmveida zarnas rezekcija;Sigmveida zarnas Hartmana (Hartmann) operacija, skat.: JFB 60. Ar daleju proktektomiju, skat.: JFB 53. Taisnas zarnas rezekcija, skat.: JGB 00 vai JGB 03
JFB47;Laparoskopiska sigmveida zarnas rezekcija;Laparoskopiska sigmveida zarnas Hartmana (Hartmann) operacija, skat.: JFB 61. Ar daleju proktektomiju, skat.: JFB 54. Taisnas zarnas laparaskopiska rezekcija, skat.: JGB 01 vai JGB 04
JFB50;Cita veida resnas zarnas rezekcija;
JFB51;Cita veida laparoskopiska resnas zarnas rezekcija;
JFB53;Sigmveida zarnas rezekcija ar daleju proktektomiju;
JFB54;Laparoskopiska sigmveida zarnas rezekcija ar daleju proktektomiju;
JFB60;Sigmveida zarnas rezekcija un terminala kolostomija;Ar distala amputacijas stumbra slegsanu (eponims: Hartmana (Hartmann) operacija) vai ar distalas glotadas fistulas izveidi. Taisnas zarnas Hartmana (Hartmann) operacija, skat.: JGB 10
JFB61;Laparoskopiska sigmveida zarnas rezekcija ar proksimalu kolostomiju un aborala stumbra slegsanu;Laparoskopiska taisnas zarnas Hartmana (Hartmann) operacija, skat.: JGB 11
JFB63;Cita veida lokzarnas rezekcija ar proksimalu kolostomiju un aborala stumbra slegsanu;Resno zarnu eksteriorizacija, kas saistita ar citu zarnu rezekciju bez distalas slegsanas, tiek kodeta atseviski
JFB64;Cita veida laparoskopiska resnas zarnas rezekcija ar proksimalu kolostomiju un aborala stumbra slegsanu;
JFB96;Cita veida parciala zarnu ekscizija;
JFB97;Cita veida laparoskopiska parciala zarnu ekscizija;
JFC00;Enteroenterostomija;Jaieklauj: Duodenoduodenostomija, duodenoenterostomija, enteroanastomoze pec ieprieks veiktas parcialas gastrektomijas (kunga rezekcijas). Nav jaieklauj: Tuksas zarnas (jejunum) cilpu enteroanastomozes izveide vienlaikus ar gastrojejunostomiju
JFC01;Laparoskopiska enteroenterostomija;
JFC10;Ileotransversostomija;
JFC11;Laparoskopiska ileotransversostomija;
JFC20;Cita veida enterokolostomija;
JFC21;Cita veida laparoskopiska enterokolostomija;
JFC30;Kolokolostomija;
JFC31;Laparoskopiska kolokolostomija;
JFC40;Ileorektostomija;
JFC41;Laparoskopiska ileorektostomija;
JFC50;Kolorektostomija;
JFC51;Laparoskopiska kolorektostomija;
JFD00;Jejunoileala sunta izveide;
JFD03;Duodenala sunta izveide ar biliopankreatisku parvirzisanu ;Sinonims: Biliopankreatiska novirzisana ar duodenalo parslegu. Jaieklauj: Operacija ar liela kunga loka (curvatura major) rezekciju, ja tas nepieciesams. Papildu kods holecistektomijai,  skat.: JKA 20
JFD04;Laparoskopiska duodenala sunta izveide ar biliopankreatisku parvirzisanu;Jaieklauj: Operacija ar liela kunga loka (curvatura major) rezekciju, ja tas nepieciesams. Papildu kods laparoskopiskai holecistektomijai, skat.: JKA 21
JFD10;Jejunoileala sunta revizija;
JFD13;Duodenala sunta revizija;
JFD20;Zarnu trakta kontinuitates atjaunosana pec jejunoilealas suntesanas operacija ;
JFD23;Zarnu trakta kontinuitates atjaunosana pec duodenalas suntesanas operacija ;
JFD96;Cita veida zarnu suntesanas operacija;
JFE00;Tievo zarnu transplantacija;Jaieklauj: Retransplantacija
JFE96;Cita veida operacija saistiba ar tievo zarnu transplantaciju;Jaieklauj: Transplantata rezekcija, transplantektomija, eksatrakorporalas  manipulacijas ar transplantatu, transplantata anastomozes izveide
JFF00;Katetra enterostomija;Jaieklauj: Katetra duodenostomija, jejunostomija vai ileostomija bez eksteriorizacijas, piemeram, adatas jejunostomija barosanas nodrosinasanai, parasti kopa ar kadu citu operaciju
JFF01;Laparoskopiska katetra enterostomija;
JFF10;Cilpas enterostomija;Jaieklauj: Cilpas jejunostomija vai cilpas ileostomija, parasti pagaidu novirzisanas del ka papildu manipulacija kopa ar  citu operaciju
JFF11;Laparoskopiska cilpas enterostomija;
JFF13;Terminala enterostomija;Jaieklauj: Konvencionala, parasti pastaviga, ileostomija vai jejunostomija
JFF20;Cekostomija;(Katetra cekostomijas) ar vai bez aklas zarnas eksteriorizacijas
JFF21;Laparoskopiska cekostomija;
JFF23;Transversostomija;
JFF24;Laparoskopiska transversostomija;
JFF26;Sigmoidostomija;
JFF27;Laparoskopiska sigmoidostomija;
JFF30;Cita veida kolostomija;
JFF31;Cita veida laparoskopiska kolostomija;
JFF40;Apendikostomija;
JFF41;Laparoskopiska apendikostomija;
JFF50;Resnas zarnas cilpas eksteriorizacija bez tas atversanas;
JFF51;Laparoskopiska resnas zarnas cilpas eksteriorizacija bez tas atversanas;
JFF60;Resnas zarnas eksteriorizetas cilpas atversana ;
JFF96;Cita veida zarnas eksteriorizacijas vai stomas izveides operacija;
JFF97;Cita veida laparoskopiska zarnas eksteriorizacijas vai stomas izveides operacija;
JFFX20;Tests laktozes absorbcijas traucejumiem;Ar glukozes limena merisanu asinis un izelpas gaisa analizi
JFFX21;Tests fruktozes absorbcijas traucejumiem;Ar izelpas gaisa analizi
JFFX30;Trioleina elpas prove tauku absorbcijas traucejumiem;
JFFX40;udenraza gazes analize izelpai lai diagnosticetu bakterialo paraudzi zarnas;
JFG00;Enterostomas cilpas slegsana bez rezekcijas;Jejunostomas un ileostomas arejas sienas slegsana
JFG10;Kolostomas slegsana bez rezekcijas;
JFG20;Enterostomas slegsana ar eksteriorizetas cilpas rezekciju;
JFG23;Terminalas enterostomas ar anastomozi uz tievajam zarnam slegsana;
JFG26;Terminalas enterostomas ar anastomozi uz resnajam zarnam slegsana;
JFG29;Terminalas enterostomas ar anastomozi uz taisno zarnu slegsana;
JFG30;Kolostomas slegsana ar eksteriorizetas cilpas rezekciju;
JFG33;Terminalas kolostomas ar anastomozi uz resnajam zarnam slegsana;
JFG36;Terminalas kolostomas ar anastomozi uz taisno zarnu slegsana;
JFG40;Enterostomas vai kolostomas revizija bez laparotomijas ;
JFG50;Laparotomija ar kolostomas vai enterostomas reviziju;
JFG53;Ileala iegurna rezervuara revizija;
JFG56;Koliska iegurna rezervuara revizija;
JFG60;Konvencionalas ileostomas parveidosana par saturoso ileostomu ;
JFG70;Saturosas ileostomas parveidosana par konvencionalo ileostomu ;
JFG73;Iliala iegurna rezervuara ekscizija;Jaieklauj: Operacija ar tupla atlieku dalas slegsanu vai eksciziju vai bez tas. Papildu kods ileostomijai, skat.: JFF 10, JFF 13. Papildu kods ileorektalai anastomozei, skat.: JFC 40. Ar jauna rezervuara izveidi, skat.: JFC 86. Ar vienlaikus veiktu taisnas zarnas eksciziju, skat.: JGB 40
JFG76;Koliska iegurna rezervuara ar kolorektala vai koloanalu anastomozi ekscizija;Ar jauna koliska iegurna rezervuara izveidi, skat.: JFG83. Koloanala iegurna rezervuara ar kolostomiju un distalo slegsanu ekscizija, skat.: JFB 60-63. Kolorektala iegurna rezervuara ar kolostomiju un distalo slegsanu ekscizija, skat.: JGB10. Koliska iegurna rezervuara un taisnas zarnas un tupla atlieku dalu ekscizija, skat.: JGB 30
JFG80;Ileala rezervuara ekscizija ar jauna ileala rezervuara izveidi;
JFG83;Koliska iegurna rezervuara ekscizija un jauna rezervuara izveide;
JFG86;Ileala iegurna rezervuara ekscizija un jauna rezervuara izveide;
JFG96;Cita veida zarnu stomas vai ileala rezervuara operacija ;
JFGX00;Siko fekaliju dalinu instilacija zarnas;Kolonoskopijai ir jaizmanto papildus kods no UJF-grupas. Ja procedura tiek veikta caur deuodenalo zondi ir jaizmanto papildus kods no TJD00 vai TJC10.
JFH00;Totala kolektomija un ileorektalas anastomozes izveide ;
JFH01;Laparoskopiska totala kolektomija un ileorektalas anastomozes izveide ;
JFH10;Totala kolektomija un ileostomija;Ar distalo glotadas fistulas izveidi vai taisnas zarnas amputacijas stumbra slegsanu
JFH11;Laparoskopiska totala kolektomija un ileostomija;
JFH20;Proktokolektomija un ileostomija;
JFH30;Totala kolektomija, taisnas zarnas glotadas ekstirpacija (mukozas proktektomija) un ileoanalas anastomozes izveide bez ileostomijas;Ar vai bez ileoanala rezervuara izveides
JFH33;Totala kolektomija, taisnas zarnas glotadas ekstirpacija (mukozas proktektomija), ileoanalas anastomozes izveide vai ileostomija;"Ar mukozo vai totalo proktektomiju, ar vai bez ileoanala rezervuara izveides. Mukoza proktektomija un ileoanala anastomoze pec ieprieks veiktas totalas kolektomijas, skat.: JGB50; vienlaikus veikta ileostomas slegsana, skat.: JFG. Ileanalas anastomozes parveidosana par ileostomu, skat.: JFG 73"
JFH40;Proktokolektomija un saturosas ileostomas izveide;Eponims: Koka (Kock) operacija. Saturosa ileostoma pec ieprieksejas proktokolektomijas, skat.: JFG 60
JFH96;Cita veida totala kolektomija;
JFJ00;Cekopeksija;
JFJ01;Laparoskopiska cekopeksija;
JFJ96;Cita veida enteropeksija vai kolopeksija;
JFJ97;Cita veida laparoskopiska enteropeksija vai kolopeksija;
JFK00;Saaugumu saites skelsana zarnu nosprostojuma gadijuma;
JFK01;Laparoskopiska saauguma saites skelsana zarnu nosprostojuma gadijuma;
JFK10;Saaugumu pardalisana zarnu nosprostojuma gadijuma;
JFK20;Saaugumu pardalisana un tievo zarnu plikacijas (sakrokosanas) operacija;
JFK96;Cita veida saaugumu operacija zarnu nosprostojuma gadijuma;
JFK97;Cita veida laparoskopiska saaugumu operacija zarnu nosprostojuma gadijuma;
JFL00;Zarnu samauksanas jeb invaginacijas (invaginatio s. intusseptio) valeja redukcija;Neoperativa repozicija, izmantojot barija klizmu,  skat.: TJF 30
JFL10;Laparotomija un manipulacija zarnu nosprostojuma del;Jaieklauj: Zarnu strangulacija vai zarnu samesanas (volvulus)
JFL20;Laparotomija un manipulacijas ar iespruduso zarnas dalu;Enterotomija un iesprudusas zarnu dalas iznemsana, skat.: JFA 00
JFL96;Cita veida operacija zarnu nosprostojuma del bez rezekcijas vai saaugumu pardalisanas ;
JFM00;Intraoperativa resnas zarnas irigacija;Jaieklauj: Ileotomija vai apendektomija irigacijas caurules ievietosanai
JFW96;Cita zarnu operacija;
JFW97;Cita laparoskopiska zarnu operacija;
JFW98;Cita transluminala endoskopiska zarnu operacija;
JGA02;Endoskopiska sveskermena izvilksana no taisnas zarnas ;
JGA05;Endoskopiska taisnas zarnas polipektomija;Jaieklauj: Biopsija ar polipektomijas cilpu
JGA22;Endoskopiska injekcija taisnaja zarna;Jaieklauj: Skleroterapija
JGA28;Endoskopiska taisnas zarnas kontaktkoagulacija ;Piemeram, hemostaze, izmantojot diatermiju, termozondi u.c.
JGA32;Endoskopiska taisnas zarnas lazerterapija;
JGA35;Cita veida endoskopiska hemostatiska taisnas zarnas manipulacija;Papildu kods pielietotajai energijai, skat.: ZXC
JGA52;Cita veida endoskopiska manipulacija taisnaja zarna, izmantojot diatermiju vai karstumu ;Piemeram, bojajuma destrukcija, stenozes incizija, „pogas cauruma” biopsija. Papildu kods diatermijas vai karstuma lietosanai, skat.: ZXC 00-ZXC 05, ZXC 60
JGA58;Endoskopiska rektala stenta ievietosana;Stents ar proksimalo galu virs taisnas zarnas, skat.: JFA 65, JFA 68
JGA60;Taisnas zarnas sasusana;Transanala sasusana, skat.: JHC 00
JGA70;Proktotomija un taisnas zarnas bojajuma ekscizija;Ekscizija skar visus sienas slanus
JGA73;Taisnas zarnas bojajuma transanala ekscizija;
JGA75;Endoskopiska mikrokirurgiska taisnas zarnas bojajuma ekscizija ;
JGA76;Skavojosa transanala taisnas zarnas rezekcija;Skavojosa transanala taisnas zarnas rezekcija (Stapled transanal rectal resection, STARR) obstruktivas defekacijas sindroma (obstructed defecation syndrome) del
JGA96;Cita veida proktotomija un lokala taisnas zarnas operacija;
JGA97;Cita veida laparoskopiska proktotomija un lokala taisnas zarnas operacija;
JGA98;Cita veida transluminala endoskopiska taisnas zarnas lokala operacija;
JGB00;Parciala proktektomija un kolorektalas vai koloanalas anastomozes izveide;Jaieklauj: Parciala rektosigmoidektomija, priekseja rezekcija. Jaieklauj: Koloanala rezervuara izveide
JGB01;Laparoskopiska parciala proktektomija un kolorektalas vai koloanalas anastomozes izveide;
JGB03;Parciala proktektomija ar daleju taisnas zarnas apzarna (mesorectum) eksciziju;Ar primaru anastomozi. Vienlaikus veikta zarnas stomas izveide,  skat.: JFF
JGB04;Laparoskopiska parciala proktektomija ar daleju taisnas zarnas apzarna (mesorectum) eksciziju;Ar primaru anastomozi. Vienlaikus veikta zarnas stomas izveide, skat.: JFF
JGB06;Parciala proktektomija ar totalu taisnas zarnas apzarna (mesorectum) eksciziju;Ar primaru anastomozi. Vienlaikus veikta zarnas stomas izveide, skat.: JFF
JGB07;Laparoskopiska parciala proktektomija ar totalu taisnas zarnas apzarna (mesorectum)  eksciziju;Ar primaru anastomozi. Vienlaikus veikta zarnas stomas izveide, skat.: JFF
JGB10;Daleja proktektomija un terminala kolostomija;Jaieklauj: Taisnas zarnas  amputacijas stumbra slegsana. (Eponims: Hartmana (Hartmann) operacija) vai distalas glotadas fistulas izveide. Sigmveida zarnas Hartmana (Hartmann) operacija, skat.: JFB 60
JGB11;Laparoskopiska parciala proktektomija un terminala kolostomija;Laparoksopiska sigmveida zarnas Hartmana (Hartmann) operacija, skat.: JFB 61
JGB20;Parciala rektosigmoidektomija un abdominoperinealas anastomozes izveide;Hirssprunga (Hirschprung) slimibas del, eponimi: Sova (Soave) operacija, Diamela (Duhamel) operacija
JGB30;Taisnas zarnas abdominoperineala ekscizija;Jaieklauj: Terminala kolostomija, ja ta nav veikta ieprieks
JGB31;Laparoskopiska un perineala taisnas zarnas ekscizija;
JGB33;Abdominoperineala taisnas zarnas ekscizija ar intersfinkterisku disekciju;Jaieklauj: Terminala kolostomija, ja ta nav veikta ieprieks
JGB34;Laparoskopiska abdominoperineala taisnas zarnas ekscizija ar intersfinkterisku disekciju;Jaieklauj: Terminala kolostomija, ja ta nav veikta ieprieks
JGB36;Plasa taisnas zarnas ekscizija;Vienlaikus veikta asteskaula ekscizija, skat.: NEK 19. Ar vai bez muskulokutanas krokas izveides. Jaieklauj: Terminala kolostomija, ja ta nav veikta ieprieks. Papildu kods transplantatu un leveru precizesanai, skat.: ZZ
JGB40;Taisnas zarnas ekscizija un terminala ileostomija;Pec ieprieksejas kolektomijas un ileorektalas anastomozes izveides
JGB50;Taisnas zarnas mukozas ekstirpacija un ileoanalas anastomozes izveide;Pec ieprieksejas totalas kolektomijas . Vienlaikus veikta ileostomas slegsana, skat.: JFG
JGB60;Taisnas zarnas ekscizija un ileoanalas anastomozes izveide;Pec ieprieksejas kolektomijas. Jaieklauj: Ileoanala rezervuara izveide
JGB96;Cita veida proktektomija vai taisnas zarnas ekscizija;
JGB97;Cita veida laparoskopiska proktektomija vai taisnas zarnas ekscizija;
JGC00;Rektopeksija;Transabdominala, piemeram, Ripsteina (Ripstein) operacija vai ivalona sukla operacija
JGC01;Laparoskopiska rektopeksija;
JGC10;Perineala rektopeksija;Cirkulara tupla apsusana, skat.: JHC 40
JGC20;Transanala sasusana;
JGC30;Taisnas zarnas mukoza ekscizija un sasusana ar muskulu levera izmantosanu;Delorma (Delorme) operacija taisnas zarnas  prolapsa gadijuma
JGC40;Anorektala rekonstrukcija tupla atrezijas del;Jaieklauj: Mugureja sagitala anorektoplastika (posterior sagittal anorectoplasty, PSARP) augstas vai videjas atrezijas gadijuma
JGC96;Cita veida rekonstruktiva taisnas zarnas operacija;
JGC97;Cita veida laparoskopiska rekonstruktiva taisnas zarnas operacija;
JGD00;Perirektalo audu ekscizija tumora recidiva del;Pec ieprieksejas taisnas zarnas veza operacijas
JGDE12;Transrektala endoskopiska ultrasonografija;
JGGX05;Antegrada zarnu skalosana caur atverumu apendiksa (stomija);
JGGX10;Inkontinences lidzeklu izmeginajums un apkalposana;
JGW96;Cita taisnas zarnas operacija;
JGW97;Cita laparoskopiska taisnas zarnas operacija;
JGW98;Cita transluminala endoskopiska taisnas zarnas operacija;
JHA00;Tupla vai perianala incizija;Jaieklauj: Incizija ar drenazu vai biopsiju. Tupla  fistulas incizija vai ekscizija, skat.: JHD 20-33 
JHA10;Tupla kanala biopsija;
JHA20;Tupla kanala vai perianalo audu bojajuma ekscizija;Konvencionala ekscizija, piemeram, polipa, fistulas vai kondilomas ekscizija. Jaieklauj: Penetrejosa sveskermena iznemsana. Lokala rektala audzeja starpenes recidiva ekscizija, skat.: JGD 00
JHA30;Termiskas manipulacijas pie anala kanala vai perianalo audu bojajumiem;Jaieklauj: Kriokirurgijas, diatermijas vai lazera izmantosana ekscizijai, incizijai, destrukcijai vai koagulacijai
JHB00;Hemoroidektomija;Jaieklauj: Hemoroidektomija glotadas prolapsa del
JHB10;Hemoroidu vai glotadas prolapsa termodestrukcija;Jaieklauj: Diatermijas, lazera vai kriokirurgijas izmantosana
JHB20;Hemoroidu skleroterapija;Sklerozejosa agenta injicesana
JHB30;Gumijas ligaturu izmantosana hemoroidu vai glotadas prolapsa arstesana;
JHB40;Tupla glotadas rezekcija un skavotas suves uzliksana;Hemoroidu vai glotadas prolapsa del
JHB96;Cita veida manipulacija hemoroidu vai glotadas prolapsa del;
JHC00;Anala sfinktera sasusana;Plisuma del
JHC10;Anala sfinktera rekonstrukcija bez transplantata;
JHC20;Anala sfinktera rekonstrukcija ar muskula transplantatu;
JHC30;Anala sfinktera rekonstrukcija ar muskula transpoziciju;
JHC40;Cirkulara tupla sasusana;Taisnas zarnas prolapsa del, eponims: Tirsa (Thiersch) operacija
JHC50;Tupla rekonstrukcija tupla atrezijas del;Zemas atrezijas gadijuma, piemeram, esosas fistulas transpozicija. Mugureja sagitala anorektoplastika (posterior sagittal anorectoplasty, PSARP)  augstas vai vidusdalas atrezijas gadijuma, skat.: JGC 40
JHC60;Transanala zemglotadas vai intersfinktera injekcija;
JHD00;Tupla dilatacija;
JHD10;Tupla sfinktera miotomija;Jaieklauj: Laterala subkutana sfinkterotomija, mugureja sfiinkterotomija. Plisuma ekscizija,  skat.: JHA 20
JHD20;Tupla fistulas (fistula-in-ano) incizija;
JHD30;Tupla fistulas nepilna incizija;Incizija ar savelkosa pavediena (seton) lietosanu. Eponims: Gabriela (Gabriel) operacija, I posms
JHD33;Tupla fistulas (fistula-in-ano) nobeidzosa incizija;Eponims: Gabriela (Gabriel) operacija, II posms
JHD40;Daleja iekseja tupla sfinktera ekscizija;Jaieklauj: Daleja mugureja miektomija Hirssprunga (Hirschsprung) slimibas del
JHD50;Tupla fistulas (fistula-in-ano) ekscizija ar glotadas levera parvirzisanu;
JHD60;Tupla fistulas (fistula-in-ano) okluzija, izmantojot kolagenu;
JHD63;Tupla fistulas (fistula-in-ano) okluzija, izmantojot fibrinu;
JHD96;Cita veida tupla sfinktera incizija;
JHDE00;Transanala ultrasonografija;
JHE10;Maksliga tupla sfinktera implantacija;
JHE20;Maksliga tupla sfinktera revizija;
JHE30;Maksliga tupla sfinktera iznemsana;
JHE96;Cita veida operacija, kas saistita ar maksliga tupla sfinktera implantaciju;
JHFE20;Anala sfinktera elektromiografija (EMG);
JHFM10;Anorektala manometrija;
JHGX00;Sakrala nerva stimulacija inkontinences arstesanai;
JHW96;Cita tupla un perianalo audu operacija;
JJA00;Aknu eksplorativa izmeklesana;Piemeram: Plisuma del . Jaieklauj: Drenaza vai tamponesana
JJA10;Hepatotomija;Jaieklauj: Drenaza
JJA20;Valeja aknu biopsija;
JJA21;Laparoskopiska aknu biopsija;
JJA23;Valeja aknu adatas biopsija;Perkutana adatas biopsija, skat.: TJJ 00
JJA24;Laparoskopiska adatas biopsija;
JJA30;Aknu cistas fenestracija;
JJA31;Laparoskopiska aknu cistas fenestracija;
JJA40;Aknu bojajuma ekscizija;Jaieklauj: Cistas vai audzeja enukleacija, sveskermena iznemsana
JJA41;Laparoskopiska aknu bojajuma ekscizija;Jaieklauj: Sveskermena iznemsana
JJA43;Aknu bojajuma destrukcija;Jaieklauj: Toksisku vielu injekcija, kriokirurgija vai lazera izmantosana. Perkutana destrukcija, skat.: TJJ 10
JJA44;Laparoskopiska aknu bojajuma destrukcija;
JJA50;Aknu sasusana;Jaieklauj: Hemostatiskas suves uzliksana, plisuma rekonstrukcija bez rezekcijas
JJA96;Cita veida lokala aknu operacija;
JJA97;Cita veida laparoskopiska lokala aknu operacija;
JJB00;Aknu kilveida rezekcija;
JJB10;Atipiska aknu rezekcija;Piemeram: Traumatiska plisuma revizijas ietvaros
JJB20;Viena aknu segmenta ekscizija;
JJB30;Divu aknu segmentu ekscizija;
JJB40;II, III un IV aknu segmenta rezekcija;Kreisa hepatektomija
JJB50;V, VI, VII un VIII aknu segmenta ekscizija;Laba hepatektomija
JJB53;IV, V, VI, VII un VIII aknu segmenta ekscizija;Paplasinata laba hepatektomija
JJB60;Citu tris vai vairak aknu segmentu rezekcija;
JJB71;Laparoskopiska aknu rezekcija;
JJB96;Cita veida aknu rezekcija;
JJC00;Aknu alotransplantacija;
JJC10;Daleja aknu alotransplantacija;
JJC20;Daleja dziva donora aknu alotransplantacija;
JJC30;Aknu ksenotransplantacija;
JJC40;Daleja aknu ksenotransplantacija;
JJC50;Aknu transplantata rezekcija;Transplantacijas laika, piemeram, aknas izmeru samazinasana, lai to pielagotu recipientam. Ieprieks transplantetas aknas rezekcija, skat.: JJB
JJC60;Totala transplantetas aknas ekscizija ;Reize ar jaunu transplantaciju
JJC96;Cita veida aknu transplantacija vai ar to saistita operacija;
JJFX00;Aknu funkcionalais tests ar metacetina slodzi un izelpas analize;
JJGD00;Aknu dialize;
JJGS05;Transjugulara aknu biopsija;
JJPE05;A. hepaticas embolizacija;
JJW96;Cita aknu operacija ;
JJW97;Cita laparoskopiska aknu operacija;
JKA00;Holecistostomija;Jaieklauj: Holecistotomija ar zultsakmens izvilksanu (bernu kirurgija). Atrezijas izmeklesanas gadijuma var tikt pievienots tiesas holangiografijas kods, skat.: TJK 00
JKA10;Holecistostomija;
JKA11;Laparoskopiska holecistostomija;
JKA13;Perkutana holecistostomija;
JKA20;Holecistektomija;
JKA21;Laparoskopiska holecistektomija;
JKA96;Cita veida zultspusla operacija;
JKA97;Cita veida laparoskopiska zultspusla operacija;
JKB00;zultsvada incizija;Jaieklauj: zultsakmenu ekscizija, biopsija. Jaieklauj: Holedohotomija, hepatikotomija, holedoholitotomija, hepatikolitotomija
JKB01;Laparoskopiska zultsvada incizija;Jaieklauj: zultsakmenu ekscizija, biopsija. Jaieklauj: Laparoskopiska holedohotomija, hepatikotomija, holedoholitotomija, hepatikolitotomija
JKB11;Laparoskopiska zultsakmens izvilksana no zultsvada cauri zultspusla izvadkanalu (ductus cysticus);Jaieklauj: zultspusla izvadkanala (ductus cysticus) dilatacija
JKB20;Intraoperativa holangioskopija;Perorala holangioskopija, skat.: UJK 12
JKB21;Laparoskopiska holangioskopija ;
JKB30;Perkutana transhepatiska zultscelu drenaza;
JKB40;zultsvada sasusana;Jaieklauj: Pec ievainojuma vai jatrogena bojajuma
JKB96;Cita veida zultsvada incizija vai operacija ;
JKB97;Cita veida laparoskopiska zultsvada incizija vai operacija;
JKC00;zultsvada incizija un lokala bojajuma ekscizija ;
JKC01;Laparoskopiska zultsvada incizija un lokala bojajuma ekscizija ;
JKC10;Parciala ekscizija un zultsvada anastomozes izveide;
JKC20;Parciala zultsvada ekscizija un anastomozes izveide ar divpadsmitpirkstu zarnu;
JKC30;Parciala zultsvada ekscizija un anastomozes izveide ar tukso zarnu (jejunum);
JKC40;Parciala laba vai kreisa aknu vada ekscizija un anastomoze ar tukso zarnu (jejunum);Jaieklauj: Kreisa, laba vai abu aknu izvadkanalu ekscizija kopa ar lielajiem aknu zariem vai bez tiem, kopa ar apkartesosiem aknu audiem  vai bez tiem.Jaieklauj: Ekscizija ar multiplu anastomozu izveidi
JKC50;Divpadsmitpirkstu zarnas lielas karpinas jeb Fatera karpinas (papilla duodeni major s. papilla Vateri) ekcizija un zultsvada anastomoze ar divpadsmitpirkstu zarmu vai tukso zarnu (jejunum);
JKC96;Cita veida zultsvada ekscizija;Jaieklauj: Ekscizija ar anastomozes izveidi uz kungi
JKC97;Cita veida laparoskopiska zultsvada ekscizija;Jaieklauj: Ekscizija ar anastomozes izveidi uz kungi
JKD00;zultspusla anastomozes izveide ar tukso zarnu (jejunum);Holecistojejunostomija
JKD01;Laparaskopiska zultspusla anastomozes izveide ar tukso zarnu (jejunum);
JKD10;zultsvada anastomozes izveide ar divpadsamitpirkstu zarnu;Jaieklauj: Holedohoduodenostomija, hepatikoduodenostomija
JKD20;zultsvada anastomoze ar tukso zarnu (jejunum);Jaieklauj: Holedohojejunostomija, hepatikojejunostomija
JKD30;Laba vai kreisa zultsvada ekstrahepatiskas anastomozes izveide ar tukso zarnu (jejunum);Jaieklauj: Ar labo un kreiso aknu vadu vai lielajiem aknu zultscelu zariem, ar multiplam anasomozem
JKD40;Intrahepatiska zultsvada anastomozes izveide ar tukso zarnu (jejunum); Intrahepatiska holaniojejunostomija
JKD50;Hepatoportoenterostomija;Atrezijas gadijuma, eponims: Kasai (Kasai) operacija vai tai radniecigas operacijas
JKD96;Cita veida biliodigestivas anastomozes izveide bez ekscizijas;Jaieklauj: Anastomozes izveide uz kungi
JKDB13;Perkutana transhepatiska kolangiografija;
JKE00;Transduodenala papilotomija;Vienkarsa divpadsmitpirkstu zarnas lielas karpinas jeb Fatera karpinas (papilla duodeni major s. papilla Vateri) incizija. Jaieklauj: zultsakmens izvilksana
JKE02;Endoskopiska transduodenala kopeja zultsvada atveres incizija;Sinonimi: Endoskopiska papilotomija (endoscopic palillotomy, EPT), endoskopiska sfinkterotomija (endoscopic sphincterotomy, EST). Jaieklauj: skeliena papilotomija (precut papillotomy)
JKE06;Transduodenala sfinkteroplastika;Visa Odi (Oddi)  sfinktera incizija un zultsvada malu piesusana pie divpadsmitpirkstu zarnas sienas. Jaieklauj: zultsakmens izvilksana
JKE12;Endoskopiska akmens izvilksana no zultsvadiem;
JKE15;Endoskopiska litotripsija zultsvada;Jaieklauj: Mehanisku, elektrohidraulisku, lazera vai citu litotripsijas iericu izmantosana. Papildu kods „mate un berns” tipa endoskopa izmantosanai, skat.: UJK 12
