Code	text	Original code	1.	2.	3.	4.	5.	6.		
FBE32	Perkutana transluminala plausu arterijas angioplastika	FBE 32	F	B	E	 	3	2	FBE	32
FBE35	Perkutana transluminala plausu arterijas angioplastika ar stenta ievietosanu	FBE 35	F	B	E	 	3	5	FBE	35
FBE42	Perkutana transluminala plausu arterijas rekanalizacija	FBE 42	F	B	E	 	4	2	FBE	42
FBE96	Cita veida plausu arterijas izplesanas un rekonstrukcijas operacija	FBE 96	F	B	E	 	9	6	FBE	96
FBF 	Plausu arterijas samazinasanas operacijas 	FBF 	F	B	F	 				
FBF00	Plausu arterijas rezekcija	FBF 00	F	B	F	 	0	0	FBF	00
FBF10	Plausu arterijas rezekcija un rekonstrukcija, izmantojot transplantatu	FBF 10	F	B	F	 	1	0	FBF	10
FBF20	Plausu arterijas rezekcija un elpcelu dalas rekonstrukcija	FBF 20	F	B	F	 	2	0	FBF	20
FBF96	Cita veida plausu arterijas samazinasanas operacija	FBF 96	F	B	F	 	9	6	FBF	96
FBG	MAPCA apvienosana (unifokalizacija) ar implantaciju plausu arterija vai transplantata	FBG	F	B	G					
FBG00	Anastomozes izveide starp MAPCA un  plausu arteriju	FBG 00	F	B	G	 	0	0	FBG	00
FBG10	Anastomozes izveide starp MAPCA un  transplantatu	FBG 10	F	B	G	 	1	0	FBG	10
FBG96	Cita veida MAPCA apvienosana (unifokalizacija)	FBG 96	F	B	G	 	9	6	FBG	96
FBH	Pulmonalas arterijas cilpas rekonstrukcija	FBH	F	B	H					
FBH00	Pulmonalas arterijas cilpas transpozicija	FBH 00	F	B	H	 	0	0	FBH	00
FBH10	Pulmonalas arterijas cilpas transpozicija un atdalisana no elpcelu dalas	FBH 10	F	B	H	 	1	0	FBH	10
FBH96	Cita veida pulmonalas arterijas cilpas rekonstrukcija	FBH 96	F	B	H	 	9	6	FBH	96
FBJ	Plausu arterijas un zematslegkaula arterijas (a. subclavia) savienojuma izveide	FBJ	F	B	J					
FBJ00	Anastomozes izveide starp plausu arteriju un zematslegkaula arteriju	FBJ 00	F	B	J	 	0	0	FBJ	00
FBJ10	Anastomozes izveide starp plausu arteriju un zematslegkaula arteriju, izmantojot transplantatu	FBJ 10	F	B	J	 	1	0	FBJ	10
FBJ96	Cita veida savienojuma izveide starp plausu arteriju un zematslegkaula arteriju	FBJ 96	F	B	J	 	9	6	FBJ	96
FBK	Plausu arterijas un zematslegkaula arterijas savienojuma slegsana	FBK	F	B	K					
FBK03	Plausu arterijas un zematslegkaula arterijas anastomozes slegsana	FBK 03	F	B	K	 	0	3	FBK	03
FBK13	Plausu arterijas un zematslegkaula arterijas anastomozes slegsana ar plausu arterijas rekonstrukciju	FBK 13	F	B	K	 	1	3	FBK	13
FBK96	Cita veida plausu arterijas un zematslegkaula arterijas savienojuma slegsana	FBK 96	F	B	K	 	9	6	FBK	96
FBL	Plausu arterijas un aortas savienojuma izveide	FBL	F	B	L					
FBL00	Anastomozes izveide starp plausu arterijas stumbru un ascendejoso aortu	FBL 00	F	B	L	 	0	0	FBL	00
FBL10	Aortopulmonalas anastomozes izveide	FBL 10	F	B	L	 	1	0	FBL	10
FBL20	Distalas aortopulmonalas anastomozes izveide 	FBL 20	F	B	L	 	2	0	FBL	20
FBL30	Aortopulmonalas anastomozes izveide, izmantojot transplantatu	FBL 30	F	B	L	 	3	0	FBL	30
FBL40	Aortopulmonalas anastomozes izveide kopiga kambara gadijuma	FBL 40	F	B	L	 	4	0	FBL	40
FBL50	Aortopulmonalas anastomozes ar pulmonalas arterijas transekciju	FBL 50	F	B	L	 	5	0	FBL	50
FBL96	Cita veida aortopulmonala savienojuma izveide	FBL 96	F	B	L	 	9	6	FBL	96
FBM	Aortopulmonalo savienojuma slegsana 	FBM	F	B	M					
FBM00	Centralas aortopulmonalas anastomozes slegsana	FBM 00	F	B	M	 	0	0	FBM	00
FBM10	Aortopulmonala sunta slegsana	FBM 10	F	B	M	 	1	0	FBM	10
FBM20	Distala aortopulmonala sunta slegsana	FBM 20	F	B	M	 	2	0	FBM	20
FBM30	Aortopulmonala savienojuma protezes slegsana	FBM 30	F	B	M	 	3	0	FBM	30
FBM96	Cita veida artificiala aortopulmonala savienojuma slegsana	FBM 96	F	B	M	 	9	6	FBM	96
FBN	Plausu arterijas fistulas slegsana	FBN	F	B	N					
FBN00	Priekskambara un plausu arterijas fistulas slegsana	FBN 00	F	B	N	 	0	0	FBN	00
FBN10	No plausu arterijas izejosas arteriovenozas fistulas slegsana	FBN 10	F	B	N	 	1	0	FBN	10
FBN96	Cita  veida plausu arterijas fistulas slegsana 	FBN 96	F	B	N	 	9	6	FBN	96
FBW	Citas plausu arterijas un tas zaru operacijas	FBW	F	B	W					
FBW96	Cita plausu arterijas un tas zaru operacija	FBW 96	F	B	W	 	9	6	FBW	96
FC	Torakala un torakoabdominala aorta, neieklaujot tas malformacijas	FC	F	C						
FCA	Ascendejosas (augsupejosas) aortas rekonstrukcija	FCA	F	C	A					
FCA00	Ascendejosas aortas sasusana	FCA 00	F	C	A	 	0	0	FCA	00
FCA10	Ascendejosas aortas rekonstrukcija ar atdalisanu un sasusanu	FCA 10	F	C	A	 	1	0	FCA	10
FCA20	Ascendejosas aortas nostiprinasana, veicot ietisanu	FCA 20	F	C	A	 	2	0	FCA	20
FCA30	Ascendejosas aortas parciala rezekcija un sasusana	FCA 30	F	C	A	 	3	0	FCA	30
FCA40	Ascendejosas aortas rekonstrukcija ar ielapu	FCA 40	F	C	A	 	4	0	FCA	40
FCA45	Perkutana stenta ievietosana ascendejosaja aorta	FCA 45	F	C	A	 	4	5	FCA	45
FCA50	Ascendejosas aortas rezekcija un rekonstrukcija, izmantojot protezi	FCA 50	F	C	A	 	5	0	FCA	50
FCA60	Ascendejosas aortas rezekcija, reimplantejot koronaro arteriju un izmantojot kompozitmaterialu transplantatu vai mehanisku varstulu protezi	FCA 60	F	C	A	 	6	0	FCA	60
FCA70	Ascendejosas aortas un aortas loka rezekcijas, reimplantejot koronaro arteriju un izmantojot biologisku varstulu protezi un caurulveida protezi	FCA 70	F	C	A	 	7	0	FCA	70
FCA83	Sveskermena iznemsana no ascendejosas aortas	FCA 83	F	C	A	 	8	3	FCA	83
FCA84	Perkutana sveskermena iznemsana no ascendejosas aortas	FCA 84	F	C	A	 	8	4	FCA	84
FCA96	Cita veida ascendejosas aortas rekonstrukcija	FCA 96	F	C	A	 	9	6	FCA	96
FCB	Aortas loka rekonstrukcija	FCB	F	C	B					
FCB00	Aortas loka sasusana	FCB 00	F	C	B	 	0	0	FCB	00
FCB10	Aortas loka rekonstrukcija ar atdalisanu un sasusanu	FCB 10	F	C	B	 	1	0	FCB	10
FCB20	Aortas loka daleja rezekcija un sasusana	FCB 20	F	C	B	 	2	0	FCB	20
FCB30	Aortas loka rekonstrukcija ar ielapu	FCB 30	F	C	B	 	3	0	FCB	30
FCB35	Perkutana stenta ievietosana aortas loka	FCB 35	F	C	B	 	3	5	FCB	35
FCB40	Aortas loka rezekcija un rekonstrukcija, izmantojot caurulveida protezi	FCB 40	F	C	B	 	4	0	FCB	40
FCB50	Aortas loka rezekcija un tas zaru reimplantacija	FCB 50	F	C	B	 	5	0	FCB	50
FCB80	Sveskermena iznemsana no aortas loka	FCB 80	F	C	B	 	8	0	FCB	80
FCB82	Perkutana sveskermena iznemsana no aortas loka	FCB 82	F	C	B	 	8	2	FCB	82
FCB96	Cita veida aortas loka rekonstrukcija 	FCB 96	F	C	B	 	9	6	FCB	96
FCC	Descendejosas (lejupejosas) aortas rekonstrukcija	FCC	F	C	C					
FCC00	Descendejosas aortas sasusana	FCC 00	F	C	C	 	0	0	FCC	00
FCC10	Descendejosas aortas rekonstrukcija ar atdalisanu un sasusanu	FCC 10	F	C	C	 	1	0	FCC	10
FCC30	Descendejosas aortas daleja rezekcija un sasusana	FCC 30	F	C	C	 	3	0	FCC	30
FCC40	Descendejosas aortas rekonstrukcija, izmantojot ielapu	FCC 40	F	C	C	 	4	0	FCC	40
FCC45	Perkutana stenta ievietosana descendejosaja aorta	FCC 45	F	C	C	 	4	5	FCC	45
FCC50	Descendejosas aortas rezekcija un rekonstrukcija, izmantojot caurulveida protezi	FCC 50	F	C	C	 	5	0	FCC	50
FCC60	Descendejosas aortas rezekcija un tas zaru reimplantacija	FCC 60	F	C	C	 	6	0	FCC	60
FCC70	Descendejosas aortas suntesanas operacija, izmantojot caurulveida protezi	FCC 70	F	C	C	 	7	0	FCC	70
FCC76	Torakoabdominalas aortas suntesanas operacija, izmantojot caurulveida protezi	FCC 76	F	C	C	 	7	6	FCC	76
FCC80	Sveskermena iznemsana no descendejosas aortas	FCC 80	F	C	C	 	8	0	FCC	80
FCC82	Perkutana sveskermena iznemsana no descendejosas aortas	FCC 82	F	C	C	 	8	2	FCC	82
FCC96	Cita veida descendejosas aortas rekonstrukcija	FCC 96	F	C	C	 	9	6	FCC	96
FCD	Torakoabdominalas aortas rekonstrukcija	FCD	F	C	D					
FCD00	Torakoabdominalas aortas sasusana	FCD 00	F	C	D	 	0	0	FCD	00
FCD10	Torakoabdominalas aortas nostiprinasana, izmantojot suvi	FCD 10	F	C	D	 	1	0	FCD	10
FCD30	Torakoabdominalas aortas rekonstrukcija, izmantojot ielapu	FCD 30	F	C	D	 	3	0	FCD	30
FCD35	Perkutana stenta ievietosana torakoabdominalaja aorta	FCD 35	F	C	D	 	3	5	FCD	35
FCD40	Torakoabdominalas aortas parciala rezekcija un sasusana	FCD 40	F	C	D	 	4	0	FCD	40
FCD50	Torakoabdominalas aortas rezekcija un rekonstrukcija, izmantojot caurulveida protezi	FCD 50	F	C	D	 	5	0	FCD	50
FCD60	Torakoabdominalas aortas rezekcija un tas zaru reimplantacija 	FCD 60	F	C	D	 	6	0	FCD	60
FCD70	Torakoabdominalas aortas suntesanas operacija, izmantojot caurulveida protezi	FCD 70	F	C	D	 	7	0	FCD	70
FCD80	Sveskermena iznemsana no torakoabdominalas aortas	FCD 80	F	C	D	 	8	0	FCD	80
FCD82	Perkutana sveskermena iznemsana no torakoabdominalas aortas	FCD 82	F	C	D	 	8	2	FCD	82
FCD96	Cita veida torakoabdominalas aortas rekonstrukcija	FCD 96	F	C	D	 	9	6	FCD	96
FCE	Iegutas aortas fistulas slegsana	FCE	F	C	E					
FCE00	Plisusas Valsalvas (Valsalva) sinusa jeb aortas sinusa aneirismas slegsana	FCE 00	F	C	E	 	0	0	FCE	00
FCE10	Aortovenozas fistulas slegsana	FCE 10	F	C	E	 	1	0	FCE	10
FCE20	Aortopulmonalas fistulas slegsana	FCE 20	F	C	E	 	2	0	FCE	20
FCE30	Aortobronhialas fistulas slegsana	FCE 30	F	C	E	 	3	0	FCE	30
FCE40	Aortoenteralas fistulas slegsana	FCE 40	F	C	E	 	4	0	FCE	40
FCE96	Cita veida aortas fistulas slegsana	FCE 96	F	C	E	 	9	6	FCE	96
FCW	Citas torakalas vai torakoabdominalas aortas operacijas 	FCW	F	C	W					
FCW96	Cita torakalas vai torakoabdominalas aortas operacija	FCW96	F	C	W	9	6			
FD	Ar torakalo aortu saistitas malformacijas	FD	F	D						
FDA	Operacijas hipoplastiskas kreisas sirds sindroma del	FDA	F	D	A					
FDA00	Aortoplastika un aortopulmonala sunta izveide HLHS del	FDA 00	F	D	A	 	0	0	FDA	00
FDA10	Aortoplastika un ventrikulopulmonala sunta izveide HLHS del 	FDA 10	F	D	A	 	1	0	FDA	10
FDA96	Cita veida operacija HLHS del	FDA 96	F	D	A	 	9	6	FDA	96
FDB	Operacijas lielo asinsvadu transpozicijas del	FDB	F	D	B					
FDB03	Arteriala parslegsana TGA del	FDB 03	F	D	B	 	0	3	FDB	03
FDB20	Arteriju parslegsanas operacija citas iedzimtas sirdskaites del	FDB 20	F	D	B	 	2	0	FDB	20
FDB96	Cita veida operacija lielo arteriju transpozicijas del	FDB 96	F	D	B	 	9	6	FDB	96
FDC	Persistejosa arteriala vada (truncus arteriosus) rekonstrukcija 	FDC	F	D	C					
FDC00	Persistejosa arteriala vada rekonstrukcija, izmantojot vienkarsu protezi no laba  kambara uz plausu arteriju	FDC 00	F	D	C	 	0	0	FDC	00
FDC10	Persistejosa arteriala vada rekonstrukcija, izmantojot varstulu protezes	FDC 10	F	D	C	 	1	0	FDC	10
FDC20	Persistejosa arteriala vada rekonstrukcija ar anastomozi no laba  kambara uz plausu arteriju 	FDC 20	F	D	C	 	2	0	FDC	20
FDC96	Cita veida persistejosa arteriala vada rekonstrukcija	FDC 96	F	D	C	 	9	6	FDC	96
FDD	Iedzimtas aortas fistulas slegsana	FDD	F	D	D					
FDD00	Aortoventrikulara tunela slegsana	FDD 00	F	D	D	 	0	0	FDD	00
FDD10	Aortopulmonalas fistulas ligesana	FDD 10	F	D	D	 	1	0	FDD	10
FDD13	Aortopulmonalas fistulas slegsana, izmantojot suvi	FDD 13	F	D	D	 	1	3	FDD	13
FDD20	Aortopulmonala savienojuma slegsana, izmantojot ielapu	FDD 20	F	D	D	 	2	0	FDD	20
FDD96	Cita veida iedzimtas aortas fistulas slegsana	FDD 96	F	D	D	 	9	6	FDD	96
FDE	Atverta arterioza vada (ductus arteriosus) jeb Botalla (Botallo) vada slegsana 	FDE	F	D	E					
FDE00	Atverta arterioza vada slegsana 	FDE 00	F	D	E	 	0	0	FDE	00
FDE10	Atverta arterioza vada ligesana	FDE 10	F	D	E	 	1	0	FDE	10
FDE20	Atverta arterioza vada pardalisana	FDE 20	F	D	E	 	2	0	FDE	20
FDE31	Torakoskopiska atverta arterioza vada slegsana	FDE 31	F	D	E	 	3	1	FDE	31
FDE32	Perkutana transluminala atverta arterioza vada noslegsana 	FDE 32	F	D	E	 	3	2	FDE	32
FDE96	Cita veida atverta arterioza vada slegsana	FDE 96	F	D	E	 	9	6	FDE	96
FDF	Aortopulmonalo kolateralu slegsana	FDF	F	D	F					
FDF00	Aortopulmonalu kolateralu slegsana	FDF 00	F	D	F	 	0	0	FDF	00
FDF05	Perkutana transluminala aortopulmonalu kolateralu slegsana	FDF 05	F	D	F	 	0	5	FDF	05
FDG	Supravalvularu aortalu stenozu operacijas	FDG	F	D	G					
FDG00	Supravalvularas aortas stenozes rekonstrukcija 	FDG 00	F	D	G	 	0	0	FDG	00
FDG10	Ascendejosas aortas supravalvularas stenozes rekonstrukcija, izmantojot ielapu	FDG 10	F	D	G	 	1	0	FDG	10
FDG96	Cita veida operacija supravalvularas aortas stenozes del	FDG 96	F	D	G	 	9	6	FDG	96
FDH	Operacijas partraukta vai hipoplastiska aortas loka del	FDH	F	D	H					
FDH00	Partraukta vai hipoplastiska aortas loka rekonstrukcija “gals pie gala “	FDH 00	F	D	H	 	0	0	FDH	00
FDH10	Partraukta vai hipoplastiska aortas loka rekonstrukcija, izmantojot ielapu	FDH 10	F	D	H	 	1	0	FDH	10
FDH30	Partraukta vai hipoplastiska aortas loka rekonstrukcija, izmantojot caurulveida protezi	FDH 30	F	D	H	 	3	0	FDH	30
FDH40	Partraukta vai hipoplastiska aortas loka rekonstrukcija ar suntesanu	FDH 40	F	D	H	 	4	0	FDH	40
FDH96	Cita veida operacija partraukta vai hipoplastiska aortas loka del	FDH 96	F	D	H	 	9	6	FDH	96
FDJ	Aortas koarktacijas operacijas	FDJ	F	D	J					
FDJ00	Aortas koarktacijas rekonstrukcija „gals pie gala”	FDJ 00	F	D	J	 	0	0	FDJ	00
FDJ10	Aortas plastika, izmantojot zematslegkaula arteriju (a. subclavia) vai miega arteriju (a. carotis)	FDJ 10	F	D	J	 	1	0	FDJ	10
FDJ20	Aortas koarktacijas plastika, izmantojot ielapu	FDJ 20	F	D	J	 	2	0	FDJ	20
FDJ30	Aortu koarktacijas rekonstrukcija, izmantojot caurulveida protezi	FDJ 30	F	D	J	 	3	0	FDJ	30
FDJ42	Perkutana transluminala torakalas aortas koarktacijas angioplastika	FDJ 42	F	D	J	 	4	2	FDJ	42
FDJ96	Cita veida aortas koarktacijas operacija	FDJ 96	F	D	J	 	9	6	FDJ	96
FDM	Aortas loka gredzenveida asinsvadu anomaliju operacijas	FDM	F	D	M					
FDM00	Divkarsa aortas loka pardalisana	FDM 00	F	D	M	 	0	0	FDM	00
FDM10	Citu aortas loka gredzenveida asinsvadu anomaliju pardalisana	FDM 10	F	D	M	 	1	0	FDM	10
FDM11	Torakoskopiska citu aortas loka gredzenveida asinsvadu anomaliju pardalisana	FDM 11	F	D	M	 	1	1	FDM	11
FDM20	Arterialas cilpas transpozicija	FDM 20	F	D	M	 	2	0	FDM	20
FDM96	Cita veida aortas loka anomaliju operacija	FDM 96	F	D	M	 	9	6	FDM	96
FDN	Operacijas arterioza vada (ductus arteriosus) jeb Botalla (Botallo) vada funkcionesanas nodrosinasanai	FDN	F	D	N					
FDN02	Perkutana transluminala stenta ievietosana arteriozaja vada	FDN 02	F	D	N	 	0	2	FDN	02
FDW	Citas operacijas torakalas vai torakoabdominalas aortas malformacijas del	FDW	F	D	W					
FDW96	Cita operacija torakalas vai torakoabdominalas aortas malformacijas del	FDW 96 	F	D	W	 	9	6	FDW	96
FE	Perikards	FE	F	E						
FEA	Slegta areja perikarda drenaza 	FEA	F	E	A					
FEA00	Slegta areja perikarda drenaza 	FEA 00	F	E	A	 	0	0	FEA	00
FEB	Perikardiotomija	FEB	F	E	B					
FEB00	Eksplorativa perikarda operacija	FEB00	F	E	B	0	0			
FEB10	Perikarda dekompresija un drenaza 	FEB10	F	E	B	1	0			
FEB51	Torakoskopiska perikardiotomija	FEB 51	F	E	B	 	5	1	FEB	51
FEB96	Cita veida perikardiotomija	FEB 96	F	E	B	 	9	6	FEB	96
FEC	Iekseja perikardiostomija	FEC	F	E	C					
FEC00	Perikardiopleirostomija	FEC 00	F	E	C	 	0	0	FEC	00
FEC01	Torakoskopiska perikardiopleirotomija	FEC 01	F	E	C	 	0	1	FEC	01
FEC10	Perikardioperitoneostomija	FEC 10	F	E	C	 	1	0	FEC	10
FEC96	Cita veida iekseja perikardiostomija	FEC 96	F	E	C	 	9	6	FEC	96
FED	Perikarda rekonstrukcija 	FED	F	E	D					
FED00	Perikarda sasusana	FED 00	F	E	D	 	0	0	FED	00
FED03	Perikarda rekonstrukcija ar ielapu	FED 03	F	E	D	 	0	3	FED	03
FED10	Perikarda un diafragmas sasusana	FED 10	F	E	D	 	1	0	FED	10
FED96	Cita veida perikarda rekonstrukcija	FED 96	F	E	D	 	9	6	FED	96
FEE	Perikarda bojajuma biopsija vai ekscizija 	FEE	F	E	E					
FEE00	Perikarda biopsija 	FEE 00	F	E	E	 	0	0	FEE	00
FEE01	Torakoskopiska perikarda biopsija	FEE 01	F	E	E	 	0	1	FEE	01
FEE10	Perikarda bojajuma ekscizija	FEE 10	F	E	E	 	1	0	FEE	10
FEE96	Cita veida perikarda bojajuma biopsija vai ekscizija	FEE 96	F	E	E	 	9	6	FEE	96
FEF	Perikarda rezekcija vai ekstirpacija	FEF	F	E	F					
FEF00	Perikarda rezekcija	FEF 00	F	E	F	 	0	0	FEF	00
FEF10	Subtotala perikardiektomija	FEF 10	F	E	F	 	1	0	FEF	10
FEF20	Perikardiektomija ar dekortikaciju	FEF 20	F	E	F	 	2	0	FEF	20
FEF31	Torakoskopiska perikardiektomija	FEF 31	F	E	F	 	3	1	FEF	31
FEF96	Cita veida perikarda rezekcija vai ekstirpacija	FEF 96	F	E	F	 	9	6	FEF	96
FEW	Citas perikarda operacijas	FEW	F	E	W					
FEW96	Cita perikarda operacija	FEW 96	F	E	W	 	9	6	FEW	96
FF	Priekskambari, priekskambaru starpsiena un plausu venas 	FF	F	F						
FFA	Priekskambaru bojajuma biopsija vai ekscizija	FFA	F	F	A					
FFA00	Priekskambaru biopsija	FFA 00	F	F	A	 	0	0	FFA	00
FFA02	Perkutana transluminala priekskambaru biopsija	FFA 02	F	F	A	 	0	2	FFA	02
FFA10	Priekskambaru bojajuma ekscizija	FFA 10	F	F	A	 	1	0	FFA	10
FFA20	Priekskambaru trombektomija 	FFA 20	F	F	A	 	2	0	FFA	20
FFA30	Sveskermenu iznemsana no priekskambara	FFA 30	F	F	A	 	3	0	FFA	30
FFA32	Perkutana transluminala sveskermenu iznemsana no priekskambara	FFA 32	F	F	A	 	3	2	FFA	32
FFA96	Cita veida priekskambaru bojajuma biopsija vai ekscizija	FFA 96	F	F	A	 	9	6	FFA	96
FFB	Operacijas priekskambara ievainojuma del	FFB	F	F	B					
FFB00	Priekskambara sasusana	FFB 00	F	F	B	 	0	0	FFB	00
FFB10	Priekskambara rekonstrukcija 	FFB 10	F	F	B	 	1	0	FFB	10
FFB96	Cita veida operacija priekskambara ievainojuma del	FFB 96	F	F	B	 	9	6	FFB	96
FFC	Izoleta priekskambaru starpsienas defekta slegsana	FFC	F	F	C					
FFC00	Ostium secundum veida ASD sasusana	FFC 00	F	F	C	 	0	0	FFC	00
FFC10	Sinus venosus veida ASD sasusana	FFC 10	F	F	C	 	1	0	FFC	10
FFC22	Perkutana transluminala ostium secundum veida ASD slegsana	FFC 22	F	F	C	 	2	2	FFC	22
FFC32	Perkutana transluminala sinus venosus veida ASD slegsana	FFC 32	F	F	C	 	3	2	FFC	32
FFC50	Ostium secundum veida ASD slegsana, izmantojot ielapu	FFC 50	F	F	C	 	5	0	FFC	50
FFC60	Sinus venosus veida ASD slegsana, izmantojot ielapu	FFC 60	F	F	C	 	6	0	FFC	60
FFC96	Cita veida izoleta priekskambaru starpsienas defekta slegsana	FFC 96	F	F	C	 	9	6	FFC	96
FFD	Operacijas daleja atrioventrikularu starpsienas defekta del 	FFD	F	F	D					
FFD00	Atrioventrikulara starpsienas defekta sasusana	FFD 00	F	F	D	 	0	0	FFD	00
FFD20	Atrioventrikulara starpsienas defekta slegsana, izmantojot ielapu	FFD 20	F	F	D	 	2	0	FFD	20
FFD96	Cita veida operacija daleja atrioventrikulara starpsienas defekta del	FFD 96	F	F	D	 	9	6	FFD	96
FFE	Priekskambaru starpsienas defekta izveide vai paplasinasana	FFE	F	F	E					
FFE00	Slegta atriala septostomija	FFE 00	F	F	E	 	0	0	FFE	00
FFE02	Perkutana transluminala atriala septostomija	FFE 02	F	F	E	 	0	2	FFE	02
FFE10	ASD paplasinasana valeja sirds operacijas laika	FFE 10	F	F	E	 	1	0	FFE	10
FFE96	Cita veida priekskambaru starpsienas defekta izveide vai paplasinasana	FFE 96	F	F	E	 	9	6	FFE	96
FFF	Operacijas daleji anomalu plausu venu del	FFF	F	F	F					
FFF00	Daleji anomalu plausu venu transpozicija, izmantojot intraatrialu ielapu	FFF 00	F	F	F	 	0	0	FFF	00
FFF10	ASD izveide vai paplasinasana un anomalu plausu venu korekcija, izmantojot intraatrialu ielapu	FFF 10	F	F	F	 	1	0	FFF	10
FFF20	Anastomozes izveide no kreisa priekskambara uz daleji anomalam plausu venam 	FFF 20	F	F	F	 	2	0	FFF	20
FFF96	Cita veida operacija daleji anomalu plausu venu del	FFF 96	F	F	F	 	9	6	FFF	96
FFG	Totali anomalas plausu venu drenazas korekcija	FFG	F	F	G					
FFG00	Suprakardiala TAPVD korekciija	FFG 00	F	F	G	 	0	0	FFG	00
FFG10	Kardiala TAPVD rekonstrukcija	FFG 10	F	F	G	 	1	0	FFG	10
FFG20	Intrakardiala TAPVD rekonstrukcija	FFG 20	F	F	G	 	2	0	FFG	20
FFG30	Jaukta tipa TAPVD rekonstrukcija	FFG 30	F	F	G	 	3	0	FFG	30
FFG96	Cita veida totali anomalas plausu venu drenazas korekcija	FFG 96	F	F	G	 	9	6	FFG	96
FFH	Operacijas plausu venu stenozes del	FFH	F	F	H					
FFH00	Operacija primaras plausu venu stenozes del	FFH 00	F	F	H	 	0	0	FFH	00
FFH10	Operacija plausu venu stenozes del pec TAPVD korekcijas 	FFH 10	F	F	H	 	1	0	FFH	10
FFH22	Plausu venu stenozes perkutana transluminala angioplastika	FFH 22	F	F	H	 	2	2	FFH	22
FFH25	Plausu venu stenozes perkutana transluminala angioplastika ar stenta ievietosanu	FFH 25	F	F	H	 	2	5	FFH	25
FFH96	Cita veida operacija plausu venu stenozes del	FFH 96	F	F	H	 	9	6	FFH	96
FFJ	Intraatriala venozas atteces transpozicija	FFJ	F	F	J					
FFJ00	Intraatriala transpozicija, izmantojot priekskambara sieninu	FFJ 00	F	F	J	 	0	0	FFJ	00
FFJ10	Intertatriala transpozicija, izmantojot ielapu	FFJ 10	F	F	J	 	1	0	FFJ	10
FFJ96	Cita veida intraatriala venozas atteces transpozicija	FFJ 96	F	F	J	 	9	6	FFJ	96
FFK	Priekskambaru anastomozes operacijas	FFK	F	F	K					
FFK10	Atrioventrikulara anastomoze	FFK 10	F	F	K	 	1	0	FFK	10
FFK20	Atriopulmonala anastomoze	FFK 20	F	F	K	 	2	0	FFK	20
FFK96	Cita veida priekskambaru anastomozes	FFK 96	F	F	K	 	9	6	FFK	96
FFL	Priekskambaru rekonstrukcija trispriekskambaru sirds (cor triatriatum) del	FFL	F	F	L					
FFL00	Intraatrialas membranas rezekcija	FFL 00	F	F	L	 	0	0	FFL	00
FFL10	Intraatrialas membranas rezekcija un ASD slegsana	FFL 10	F	F	L	 	1	0	FFL	10
FFL96	Cita veida priekskambaru rekonstrukcija trispriekskambaru sirds (cor triatriatum) del	FFL 96	F	F	L	 	9	6	FFL	96
FFW	Citas priekskambaru operacijas	FFW	F	F	W					
FFW96	Cita priekskambaru operacija	FFW 96	F	F	W	 	9	6	FFW	96
FG	Trisviru varstulis	FG	F	G						
FGA	Trisviru varstula stenozes korekcija	FGA	F	G	A					
FGA00	Komisurotomija trisviru varstula iedzimtas malformacijas del	FGA 00	F	G	A	 	0	0	FGA	00
FGA10	Komisurotomija trisviru varstula iegutas stenozes del	FGA 10	F	G	A	 	1	0	FGA	10
FGA32	Perkutana transluminala trisviru varstula paplasinasana	FGA 32	F	G	A	 	3	2	FGA	32
FGA96	Cita veida trisviru varstula stenozes korekcija	FGA 96	F	G	A	 	9	6	FGA	96
FGB	Ebsteina (Ebstein) anomalijas korekcija	FGB	F	G	B					
FGB00	Ebsteina anomalijas korekcija ar atrioventrikularu krokosanu	FGB 00	F	G	B	 	0	0	FGB	00
FGB10	Ebsteina anomalijas korekcija ar mobilizaciju un ventrikularu krokosanu	FGB 10	F	G	B	 	1	0	FGB	10
FGB96	Cita veida Ebsteina anomalijas korekcija	FGB 96	F	G	B	 	9	6	FGB	96
FGC	Anuloplastika trisviru varstula insuficiences del	FGC	F	G	C					
FGC00	Trisviru varstula anuloplastika, izmantojot suvi	FGC 00	F	G	C	 	0	0	FGC	00
FGC10	Trisviru varstula anuloplastika, izmantojot gredzenveida protezi	FGC 10	F	G	C	 	1	0	FGC	10
FGC96	Cita veida anuloplastika trisviru varstula insuficiences del	FGC 96	F	G	C	 	9	6	FGC	96
FGD	Trisviru varstula insuficiences korekcija	FGD	F	G	D					
FGD00	Trisviru varstula korekcija, izmantojot suvi	FGD 00	F	G	D	 	0	0	FGD	00
FGD03	Trisviru varstula viru skeltnes sasusana	FGD 03	F	G	D	 	0	3	FGD	03
FGD10	Trisviru varstula rekonstrukcija, izmantojot ielapu	FGD 10	F	G	D	 	1	0	FGD	10
FGD30	Trisviru varstula rekonstrukcija ar papilaro muskulu vai hordu sasusanu	FGD 30	F	G	D	 	3	0	FGD	30
FGD40	Trisviru varstula rekonstrukcija, izmantojot hordu protezes	FGD 40	F	G	D	 	4	0	FGD	40
FGD96	Cita veida trisviru varstula insuficiences rekonstrukcija	FGD 96	F	G	D	 	9	6	FGD	96
FGE	Trisviru varstula protezesana	FGE	F	G	E					
FGE00	Trisviru varstula protezesana, izmantojot mehaniskas protezes	FGE 00	F	G	E	 	0	0	FGE	00
FGE10	Trisviru varstula protezesana, izmantojot biologiskas protezes	FGE 10	F	G	E	 	1	0	FGE	10
