Tunniste;Lyhenne;Nimi;Pitkä nimi;Ylempi koodi;Hierarkiataso;Voimassaolo alkaa;Voimassaolo päättyy;Muutospvm;Viim. tallentaja;Tila;Määritelmä;OID;Anm.;Exkluderar;Huom.;Inkluderar;Korvaava koodi;Lehtisolmu;Long_name;Långt_namn;Mukaan lukien;NCSP+;NCSP+ ala;NCSP ala;NCSP+ luku;NCSP luku;NCSP+ ryhmä;NCSP ryhmä;Note;Obs.;Pois lukien;Suun terveys (T/F);Taso;Vaativuus;Voimassa
GDA31;Keuhkon aukaisu/vierasesinepoisto tähyst;Keuhkon aukaisu/vierasesinepoisto tähyst;Keuhkon aukaisu ja vierasesineen poisto rintaontelon tähystyksessä;GDA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic incision of lung and removal of foreign body;Torakoskopisk pneumotomi och extraktion av främmande kropp;;GDSA31;;GDA;G;G;GD;GD;;;;F;C;;T
GDA40;Keuhkovamman korjaus leikkauksessa;Keuhkovamman korjaus leikkauksessa;Keuhkovamman korjaus leikkauksessa;GDA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Repair of lung for injury;Revision och sutur av lungskada (öppen operation);;GDSA40;;GDA;G;G;GD;GD;;;;F;C;;T
GDA41;Keuhkovamman korjaus leikkauksessa;Keuhkovamman korjaus leikkauksessa;Keuhkovamman korjaus, rintaontelon tähystyksessä;GDA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic repair of lung for injury;Torakoskopisk revision och sutur av lungskada;;GDSA41;;GDA;G;G;GD;GD;;;;F;C;;T
GDA96;Muu keuhkoleikkaus;Muu keuhkoleikkaus;Muu keuhkon koepalan otto, aukaisu tai korjaus leikkauksessa;GDA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other incision, excision of lesion or repair of lung;Annan incision, lokal exstirpation eller sutur av lunga (öppen operation);;GDSA96;;GDA;G;G;GD;GD;;;;F;C;;T
GDA97;Muu keuhkoleikkaus torakoskopiassa;Muu keuhkoleikkaus torakoskopiassa;Muu keuhkon koepalan otto, aukaisu tai korjaus rintaontelon tähystyksessä;GDA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other thoracoscopic incision, excision of lesion or repair of lung;Annan torakoskopisk incision, lokal exstirpation eller sutur av lunga;;GDSA97;;GDA;G;G;GD;GD;;;;F;C;;T
GDA98;Muu keuhkoleikkaus bronkoskopiassa;Muu keuhkoleikkaus bronkoskopiassa;Muu keuhkon koepalan otto, aukaisu tai korjaus keuhkoputken tähystyksessä;GDA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other bronchoscopic incision, excision of lesion or repair of lung;Annan bronkoskopisk lungoperation;;GDSA98;;GDA;G;G;GD;GD;;;;F;C;;T
GDB;Keuhkojen osien poistoleikkaukset;Keuhkojen osien poistoleikkaukset;Keuhkojen osien poistoleikkaukset;GD;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Minor resections of lung;Lungresektioner;;GDSB;;GDB;G;G;GD;GD;;;;F;A;;T
GDB00;Keuhkorakkulan poisto;Keuhkorakkulan poisto;Keuhkorakkulan poisto;GDB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Resection of bullae of lung;Resektion av bulla;;GDSB00;;GDB;G;G;GD;GD;;;;F;C;;T
GDB01;Keuhkorakkulan poisto tähystyksessä;Keuhkorakkulan poisto tähystyksessä;Keuhkorakkulan poisto rintaontelon tähystyksessä;GDB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic resection of bullae of lung;Torakoskopisk resektion av bulla;;GDSB01;;GDB;G;G;GD;GD;;;;F;C;;T
GDB10;Keuhkon kiilapoisto;Keuhkon kiilapoisto;Keuhkon kiilapoisto;GDB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Wedge resection of lung;Kilresektion av lunga;;GDSB10;;GDB;G;G;GD;GD;;;;F;C;;T
GDB11;Keuhkon kiilapoisto tähystyksessä;Keuhkon kiilapoisto tähystyksessä;Keuhkon kiilapoisto rintaontelon tähystyksessä;GDB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic wedge resection of lung;Torakoskopisk kilresektion av lunga;;GDSB11;;GDB;G;G;GD;GD;;;;F;C;;T
GDB20;Keuhkojaokkeen poisto;Keuhkojaokkeen poisto;Keuhkojaokkeen poisto;GDB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Segmental resection of lung;Segmentresektion av lunga;;GDSB20;;GDB;G;G;GD;GD;;;;F;C;;T
GDB21;Keuhkojaokkeen poisto tähystyksessä;Keuhkojaokkeen poisto tähystyksessä;Keuhkojaokkeen poisto rintaontelon tähystyksessä;GDB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic segmental resection of lung;Torakoskopisk segmentresektion av lunga;;GDSB21;;GDB;G;G;GD;GD;;;;F;C;;T
GDB96;Muu keuhkon osan poistoleikkaus;Muu keuhkon osan poistoleikkaus;Muu keuhkon osan poistoleikkaus;GDB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other minor resection of lung;Annan lungresektion (öppen operation);;GDSB96;;GDB;G;G;GD;GD;;;;F;C;;T
GDB97;Muu keuhkon osan poisto tähystyksessä;Muu keuhkon osan poisto tähystyksessä;Muu keuhkon osan poisto rintaontelon tähystyksessä;GDB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other thoracoscopic minor resection of lung;Annan torakoskopisk lungresektion;;GDSB97;;GDB;G;G;GD;GD;;;;F;C;;T
GDC;Keuhkolohkojen poistoleikkaukset;Keuhkolohkojen poistoleikkaukset;Keuhkolohkojen poistoleikkaukset;GD;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Lobectomy of lung;Lobektomioperationer på lungor;;GDSC;;GDC;G;G;GD;GD;;;;F;A;;T
GDC00;Keuhkolohkon poistoleikkaus;Keuhkolohkon poistoleikkaus;Keuhkolohkon poistoleikkaus;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Lobectomy of lung;Lobektomi av lunga (öppen operation);;GDSC00;;GDC;G;G;GD;GD;;;;F;C;;T
GDC01;Keuhkolohkon poisto tähystyksessä;Keuhkolohkon poisto tähystyksessä;Keuhkolohkon poisto rintaontelon tähystyksessä;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic lobectomy of lung;Torakoskopisk lobektomi av lunga;;GDSC01;;GDC;G;G;GD;GD;;;;F;C;;T
GDC10;Kahden keuhkolohkon poistoleikkaus;Kahden keuhkolohkon poistoleikkaus;Kahden keuhkolohkon poistoleikkaus;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Bilobectomy of lung;Bilobektomi av lunga (öppen operation);;GDSC10;;GDC;G;G;GD;GD;;;;F;C;;T
GDC11;Kahden keuhkolohkon poisto tähystyksessä;Kahden keuhkolohkon poisto tähystyksessä;Kahden keuhkolohkon poisto rintaontelon tähystyksessä;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic bilobectomy of lung;Torakoskopisk bilobektomi av lunga;;GDSC11;;GDC;G;G;GD;GD;;;;F;C;;T
GDC13;Laaj keuhkolohkon poisto;Laaj keuhkolohkon poisto;Laajennettu yhden tai kahden keuhkolohkon poisto poisto;GDC;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Extended lobectomy or bilobectomy of lung;Utvidgad lobektomi eller bilobektomi av lunga;;GDSC13;;GDC;G;G;GD;GD;;;;F;C;;T
GDC20;Keuhkolohkon poisto/sleeveresektio;Keuhkolohkon poisto/sleeveresektio;Keuhkolohkon poistoleikkaus ja  sleeveresektio;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Lobectomy of lung and sleeve resection of bronchus;Lobektomi av lunga med sleeve-bronkresektion;;GDSC20;;GDC;G;G;GD;GD;;;;F;C;;T
GDC23;Keuhkolohkon ja -jaokkeen poistoleikkaus;Keuhkolohkon ja -jaokkeen poistoleikkaus;Keuhkolohkon ja -jaokkeen poistoleikkaus;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Lobectomy and segment resection of lung;Lobektomi av lunga med segmentresektion;;GDSC23;;GDC;G;G;GD;GD;;;;F;C;;T
GDC26;Keuhkolohkon/muun keuhkon osan poisto;Keuhkolohkon/muun keuhkon osan poisto;Keuhkolohkon ja muun keuhkon osan poistoleikkaus;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Lobectomy and other resection of lung;Lobektomi av lunga med annan resektion;;GDSC26;;GDC;G;G;GD;GD;;;;F;C;;T
GDC96;Muu keuhkolohkon poistoleikkaus;Muu keuhkolohkon poistoleikkaus;Muu keuhkolohkon poistoleikkaus;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other lobectomy of lung;Annan lobektomioperation på lunga (öppen operation);;GDSC96;;GDC;G;G;GD;GD;;;;F;C;;T
GDC97;Muu keuhkolohkon poisto tähystyksessä;Muu keuhkolohkon poisto tähystyksessä;Muu keuhkolohkon poisto rintaontelon tähystyksessä;GDC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other thoracoscopic lobectomy of lung;Annan torakoskopisk lobektomioperation på lunga;;GDSC97;;GDC;G;G;GD;GD;;;;F;C;;T
GDD;Koko keuhkon poistoleikkaukset;Koko keuhkon poistoleikkaukset;Koko keuhkon poistoleikkaukset;GD;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Pneumonectomy;Pneumektomi;;GDSD;;GDD;G;G;GD;GD;;;;F;A;;T
GDD00;Keuhkonpoistoleikkaus;Keuhkonpoistoleikkaus;Keuhkonpoistoleikkaus;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Pneumonectomy;Pneumektomi (öppen operation);;GDSD00;;GDD;G;G;GD;GD;;;;F;C;;T
GDD01;Keuhkonpoisto rintaontelon tähystyksessä;Keuhkonpoisto rintaontelon tähystyksessä;Keuhkonpoisto rintaontelon tähystyksessä;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic pneumonectomy;Torakoskopisk pneumektomi;;GDSD01;;GDD;G;G;GD;GD;;;;F;C;;T
GDD10;Keuhkopussin ja keuhkon poistoleikkaus;Keuhkopussin ja keuhkon poistoleikkaus;Keuhkopussin ja keuhkon poistoleikkaus;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Pleuropneumonectomy;Pleuropneumektomi (öppen operation);;GDSD10;;GDD;G;G;GD;GD;;;;F;C;;T
GDD11;Keuhkopussin/keuhkon poisto tähystykses;Keuhkopussin/keuhkon poisto tähystykses;Keuhkopussin ja keuhkon poisto rintaontelon tähystyksessä;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thoracoscopic pleuropneumonectomy;Torakoskopisk pleuropneumektomi;;GDSD11;;GDD;G;G;GD;GD;;;;F;C;;T
GDD20;Haajennettu keuhkonpoistoleikkaus;Haajennettu keuhkonpoistoleikkaus;Laajennettu keuhkonpoistoleikkaus;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Extended pneumonectomy;Utvidgad pneumektomi;;GDSD20;;GDD;G;G;GD;GD;;;;F;C;;T
GDD23;Keuhkonpoisto/carinanpoisto osittain;Keuhkonpoisto/carinanpoisto osittain;Keuhkonpoisto ja henkitorven harjun poisto osittain;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Pneumonectomy and resection of carina;Pneumektomi och resektion av carina;;GDSD23;;GDD;G;G;GD;GD;;;;F;C;;T
GDD26;Keuhkonpoisto/keuhkoputken/henkitorvipoi;Keuhkonpoisto/keuhkoputken/henkitorvipoi;Keuhkonpoisto ja keuhkoputken tai henkitorven poisto osittain;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Pneumonectomy and resection of bronchus or bronchus and trachea;Pneumektomi + resektion av bronker/trakea;;GDSD26;;GDD;G;G;GD;GD;;;;F;C;;T
GDD96;Muu avoin keuhkonpoistoleikkaus;Muu avoin keuhkonpoistoleikkaus;Muu avoin keuhkonpoistoleikkaus;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other pneumonectomy;Annan öppen pneumektomi;;GDSD96;;GDD;G;G;GD;GD;;;;F;C;;T
GDD97;Muu keuhkonpoistoleikkaus tähystyksessä;Muu keuhkonpoistoleikkaus tähystyksessä;Muu keuhkonpoistoleikkaus rintaontelon tähystyksessä;GDD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other thoracoscopic pneumonectomy;Annan torakoskopisk pneumektomi;;GDSD97;;GDD;G;G;GD;GD;;;;F;C;;T
GDG;Keuhkonsiirtoleikkaukset;Keuhkonsiirtoleikkaukset;Keuhkonsiirtoleikkaukset;GD;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Transplantation of lung;Lungtransplantationer;;GDSG;;GDG;G;G;GD;GD;;;;F;A;;T
GDG00;Yhden keuhkon siirto;Yhden keuhkon siirto;Yhden keuhkon siirto;GDG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Unilateral transplantation of lung;Unilateral lungtransplantation;;GDSG00;;GDG;G;G;GD;GD;;;;F;C;;T
GDG03;Yhden keuhkon siirto+keuhkoputkivaltimot;Yhden keuhkon siirto+keuhkoputkivaltimot;Yhden keuhkon siirto keuhkoputkivaltimot yhdistäen;GDG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Unilateral transplantation of lung with revascularisation of bronchial arteries;Unilateral lungtransplantation med anastomos av bronkialartärer;;GDSG03;;GDG;G;G;GD;GD;;;;F;C;;T
GDG10;Molempien keuhkojen siirto;Molempien keuhkojen siirto;Molempien keuhkojen siirto;GDG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Bilateral transplantation of lung;Transplantation av båda lungorna;;GDSG10;;GDG;G;G;GD;GD;;;;F;C;;T
GDG13;Keuhkojen siirto/en bloc/keuhkoputkivalt;Keuhkojen siirto/en bloc/keuhkoputkivalt;Molempien keuhkojen siirto  en bloc  keuhkoputkivaltimot yhdistäen;GDG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;En bloc transplantation of lungs with revascularisation of bronchial arteries;Transplantation av båda lungorna en bloc med anastomos av bronkialartärer;;GDSG13;;GDG;G;G;GD;GD;;;;F;C;;T
GDG30;Keuhkonsiirto elävältä luovuttajalta;Keuhkonsiirto elävältä luovuttajalta;Keuhkonsiirto elävältä luovuttajalta;GDG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Transplantation of lung from living donor;Lungtransplantation från levande donator;;GDSG30;;GDG;G;G;GD;GD;;;;F;C;;T
GDG96;Muu keuhkojen siirtoleikkaus;Muu keuhkojen siirtoleikkaus;Muu keuhkojen siirtoleikkaus;GDG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other transplantation of lung;Annan lungtransplantation;;GDSG96;;GDG;G;G;GD;GD;;;;F;C;;T
GDW;Muut keuhkoleikkaukset;Muut keuhkoleikkaukset;Muut keuhkoleikkaukset;GD;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Other operations on lung;Andra operationer på lungorna;;GDSW;;GDW;G;G;GD;GD;;;;F;A;;T
GDW96;Muu avoin keuhkoleikkaus;Muu avoin keuhkoleikkaus;Muu avoin keuhkoleikkaus;GDW;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operation on lung;Annan öppen operation på lungor;;GDSW96;;GDW;G;G;GD;GD;;;;F;C;;T
GDW97;Muu keuhkoleikkaus torakoskopiassa;Muu keuhkoleikkaus torakoskopiassa;Muu keuhkoleikkaus tähystäen rintaontelon kautta;GDW;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other thoracoscopic operation on lung;Annan torakoskopisk operation på lungorna;;GDSW97;;GDW;G;G;GD;GD;;;;F;C;;T
GDW98;Muu keuhkoleikkaus bronkoskopiassa;Muu keuhkoleikkaus bronkoskopiassa;Muu keuhkoleikkaus tähystäen keuhkoputken kautta;GDW;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other bronchoscopic operation on lung;Annan bronkoskopisk operation på lungorna;;GDSW98;;GDW;G;G;GD;GD;;;;F;C;;T
GD0;Keuhkojen sädehoito;Keuhkojen sädehoito;Keuhkojen sädehoito;GD;2;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF0;F;;Strålbehandling av lungorna;;GDO;;GD0;G;G;GD;GD;;;;F;A;;T
GD001;Sädeh alaheng prim.kasv preop hoitona;Sädeh alaheng prim.kasv preop hoitona;Sädehoito henkitorven, keuhkoputkien ja keuhkojen primaarikasvaimen  preoperatiivisena hoitona;GD0;3;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF001;T;Preoperative radiotherapy of trachea, bronchi and lungs;Preoperativ strålbehandling av primärtumör i lungorna;;GDO001;;GD0;G;G;GD;GD;;;;F;C;;T
GD002;Radik alaheng prim.kasv sädehoito;Radik alaheng prim.kasv sädehoito;Radikaali henkitorven, keuhkoputkien ja keuhkojen primaarikasvaimen sädehoito;GD0;3;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF002;T;Radical radiotherapy of trachea, bronchi and lungs;Radikal strålbehandling av primärtumör i lungorna;;GDO002;;GD0;G;G;GD;GD;;;;F;C;;T
GD003;Sädeh alaheng prim.kasv liit.hoitona;Sädeh alaheng prim.kasv liit.hoitona;Sädehoito henkitorven, keuhkoputkien ja keuhkojen primaarikasvaimen liitännäishoitona;GD0;3;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF003;T;Adjuvant radiotherapy of trachea, bronchi and lungs;Adjuvant strålbehandling av primärtumör i lungorna;;GDO003;;GD0;G;G;GD;GD;;;;F;C;;T
GD004;Sädeh alaheng prim.kasv palliat hoitona;Sädeh alaheng prim.kasv palliat hoitona;Sädehoito henkitorven, keuhkoputkien ja keuhkojen primaarikasvaimen palliatiivisena hoitona;GD0;3;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF004;T;Palliative radiotherapy of trachea, bronchi and lungs;Palliativ strålbehandling av primärtumör i lungorna;;GDO004;;GD0;G;G;GD;GD;;;;F;C;;T
GD029;Sädeh alaheng paik uus kasv hoitona;Sädeh alaheng paik uus kasv hoitona;Sädehoito henkitorven, keuhkoputkien ja keuhkojen paikallisesti uusineen kasvaimen hoitona;GD0;3;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF029;T;Radiotherapy of local recidive of trachea, bronchi and lungs;Strålbehandling av lokalt recidivtumör i lungorna;;GDO029;;GD0;G;G;GD;GD;;;;F;C;;T
GD049;Sädeh alaheng metastaasin  hoitona;Sädeh alaheng metastaasin  hoitona;Sädehoito keuhkoissa ilmenneen etäpesäkkeen hoitona;GD0;3;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF049;T;Radiotherapy of methastasis of trachea, bronchi and lungs;Strålbehandling av metastas i lungorna;;GDO049;;GD0;G;G;GD;GD;;;;F;C;;T
GD090;Sädeh alaheng profyl hoitona;Sädeh alaheng profyl hoitona;Sädehoito henkitorven, keuhkoputkien ja keuhkojen profylaktisena hoitona;GD0;3;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF090;T;Profylactic radiotherapy of trachea, bronchi and lungs;Profylaktisk strålbehandling av lungorna;;GDO090;;GD0;G;G;GD;GD;;;;F;C;;T
GD099;Muu keuhkojen sädehoito;Muu keuhkojen sädehoito;Muu keuhkojen sädehoito;GD0;3;1.1.1997;31.12.2010;23.11.2010;Lehtonen, Jari;1;;;;;;;WF099;T;Other radiotherapy of the lungs;Annan strålbehandling av lungorna;;GDO099;;GD0;G;G;GD;GD;;;;F;C;;T
GD1AA;Thorax rtg;Thorax rtg;Thoraxin natiiviröntgen;GD_;3;1.1.1999;31.12.2030;15.12.2009;Stakes, Admin;1;;;;;;;;T;Thorax X-ray examination;Toraxröntgen;;GDDA1A;;GD1;G;G;GD;GD;;;;F;C;;T
GD1AD;Thorax TT;Thorax TT;Thorax TT;GD_;3;1.1.2003;31.12.2030;15.12.2009;Stakes, Admin;1;;;;;;;;T;Thorax CT examination;Toraxregion, DT;;GDDD1A;;GD1;G;G;GD;GD;;;;F;C;;T
GD1AN;Keuhkoparenkyymin gammakuvaus;Keuhkoparenkyymin gammakuvaus;Keuhkoparenkyymin gammakuvaus (esim. tuumori);GD_;3;1.1.2009;31.12.2030;1.12.2008;Stakes, Admin;1;;;;;;;;T;Lung parechyme isotope imaging;Lungparekym isotopundersökning;;GXIC00;;GD1;G;G;GX;GD;;;;F;C;;T
GD1AT;Keuhkokudosn,UÄ-ohj;Keuhkokudosn,UÄ-ohj;Keuhkon kudosnäytteen otto UÄ-ohjauksessa;GD_2;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Biopsy of the lung with ultrasound guidance;Lunga, UL-styrd vävnadsbiopsi;;GDXX00;;GD1;G;G;GD;GD;;;;F;C;;T
GD1BA;Thorax l.rtg;Thorax l.rtg;Thoraxin laaja natiiviröntgen;GD_;3;1.1.1999;31.12.2030;15.12.2009;Stakes, Admin;1;;;;;;;;T;Extensive X-ray examination of thorax;Lungor, omfattande röntgen;;GDDA1A;;GD1;G;G;GD;GD;;;;F;C;;T
GD1BD;Thorax,l.TT;Thorax,l.TT;Thoraxin laaja TT;GD_;3;1.1.2003;31.12.2030;15.12.2009;Stakes, Admin;1;;;;;;;;T;Thorax extensive CT-examination;Toraxregion, omfattande DT;;GDDD1A;;GD1;G;G;GD;GD;;;;F;C;;T
GD1BF;Keuhkojen KKMT;Keuhkojen KKMT;Keuhkojen ja pleuran magneettitutkimus keskikenttälaitteella;GD_;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;MRI of lungs and pleura with median intensity magnet;Lungor och pleura, MR med mellanfältsmagnet;;GDDG1B;;GD1;G;G;GD;GD;;;;F;C;;T
GD1BG;Keuhkojen VKMT;Keuhkojen VKMT;Keuhkojen ja pleuran magneettitutkimus vahvakenttälaitteella;GD_;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;MRI of lungs and pleura with high intensity magnet;Lungor och pleura, MR med högfältsmagnet;;GDDG1B;;GD1;G;G;GD;GD;;;;F;C;;T
GD1BM;Keuhkojen 3TMT;Keuhkojen 3TMT;Keuhkojen ja mediastinumin magneettitutkimus 3 Teslan laitteella;GD_;3;1.1.2009;31.12.2030;15.12.2009;Stakes, Admin;1;;;;;;;;T;Lungs and pleura MRI examination with 3 Tesla magnet;Lungor och pleura, MR med 3 Tesla magnet;;GDDG1B;;GD1;G;G;GD;GD;;;;F;C;;T
GD1BT;Keuhkokudosn,lpv-ohj;Keuhkokudosn,lpv-ohj;Keuhkon kudosnäytteen otto läpivalaisuohjauksessa;GD_2;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Biopsy of lung with X-ray guidance;Lunga, genomlysningsstyrd vävnadsbiopsi;;GDXX00;;GD1;G;G;GD;GD;;;;F;C;;T
GD1CA;Thoraxin pienoisröntgen;Thoraxin pienoisröntgen;Thoraxin pienoisröntgen;GD_;3;1.1.1999;31.12.2010;5.7.2011;Lehtonen, Jari;1;;;;;;;;T;Miniature X-ray examination of thorax;Skärmbildsundersökning av torax;;GDDA1C;;GD1;G;G;GD;GD;;;;F;C;;F
GD1CD;Thorax er.l.TT;Thorax er.l.TT;Thoraxin erittäin laaja TT;GD_;3;1.1.2003;31.12.2030;15.12.2009;Stakes, Admin;1;;;;;;;;T;Thorax extensive CT-examination;Toraxregion, mycket omfattande DT;;GDDD1A;;GD1;G;G;GD;GD;;;;F;C;;T
GD1CF;Keuhkojen l.KKMT;Keuhkojen l.KKMT;Keuhkojen ja pleuran laaja magneettitutkimus keskikenttälaitteella;GD_;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Extensive examination of lungs and pleura with median intensity magnet;Lungor och pleura, omfattande MR med mellanfältsmagnet;;GDDG1B;;GD1;G;G;GD;GD;;;;F;C;;T
GD1CG;Keuhkojen l.VKMT;Keuhkojen l.VKMT;Keuhkojen ja pleuran laaja magneettitutkimus vahvakenttälaitteella;GD_;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Extensive examination of lungs and pleura with high intensity magnet;Lungor och pleura, omfattande MR med högfältsmagnet;;GDDG1B;;GD1;G;G;GD;GD;;;;F;C;;T
GD1CM;Keuhkojen l.3TMT;Keuhkojen l.3TMT;Keuhkojen ja pleuran laaja 3 Teslan MT;GD_;3;1.1.2009;31.12.2030;1.12.2008;Stakes, Admin;1;;;;;;;;T;Lungs and pleura extensive MRI examination with 3 Tesla magnet;Lungor och pleura, omfattande MR med 3 Tesla magnet;;GDDG1B;;GD1;G;G;GD;GD;;;;F;C;;T
GD1CN;Keuhkoperfuusion gammakuvaus;Keuhkoperfuusion gammakuvaus;Keuhkoperfuusion gammakuvaus;GD_;3;1.1.2009;31.12.2030;1.12.2008;Stakes, Admin;1;;;;;;;;T;Lung circulation isotope imaging;Lungperfusion isotopundersökning;;GXID00;;GD1;G;G;GX;GD;;;;F;C;;T
GD1CQ;Keuhkoperfuusion SPET ja mat TT;Keuhkoperfuusion SPET ja mat TT;Keuhkoperfuusion SPET ja matala-annos TT;GD_;3;1.1.2009;31.12.2030;1.12.2008;Stakes, Admin;1;;;;;;;;T;Lung circulation SPECT with low dose CT;Lungperfusion SPET med låg dos DT;;GXID03;;GD1;G;G;GX;GD;;;;F;C;;T
GD1CT;Keuhkokudosn,TT-ohj;Keuhkokudosn,TT-ohj;Keuhkon kudosnäytteen otto TT-ohjauksessa;GD_2;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Biopsy of the lung with CT guidance;Lunga, DT-styrd vävnadsbiopsi;;GDXX00;;GD1;G;G;GD;GD;;;;F;C;;T
GD1DD;Keuhkokudoksen HR-TT;Keuhkokudoksen HR-TT;Keuhkokudoksen HR-TT;GD_;3;1.1.2003;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;High resolution CT examination of lungs;Lungor, högresolutions-DT;;GDDD1D;;GD1;G;G;GD;GD;;;;F;C;;T
GD1DF;Keuhkojen er.l.KKMT;Keuhkojen er.l.KKMT;Keuhkojen ja pleuran erittäin laaja magneettitutkimus keskikenttälaitteella;GD_;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Extremely extensive MRI examination of pleura with median field magnet;Lungor och pleura, mycket omfattande MR med mellanfältsmagnet;;GDDG1B;;GD1;G;G;GD;GD;;;;F;C;;T
