code;text
FGSB96;Other repair of Ebstein's anomaly
FGSC00;Annuloplasty of tricuspid valve using suture
FGSC10;Annuloplasty of tricuspid valve using prosthetic ring
FGSC96;Other annuloplasty of tricuspid valve for insufficiency
FGSD00;Repair of tricuspid valve using suture
FGSD03;Suture of cleft tricuspid leaflet
FGSD10;Repair of tricuspid valve using patch
FGSD30;Repair of tricuspid valve with suture of papillary muscle or chord
FGSD40;Repair of tricuspid valve using prosthetic chord
FGSD96;Other repair of tricuspid valve for insufficiency
FGSE00;Replacement of tricuspid valve using mechanical prosthesis
FGSE10;Replacement of tricuspid valve using biological prosthesis
FGSE20;Replacement of tricuspid valve using homograft
FGSE96;Other prosthetic replacement of tricuspid valve
FGSW96;Other operation on tricuspid valve
FHSA00;Closure of VSR for injury
FHSA10;Closure of VSR in anteroseptal myocardial infarction
FHSA20;Closure of VSR in posteroseptal myocardial infarction
FHSA96;Other closure of acquired ventricular septal defect
FHSB00;Transatrial suture of VSD
FHSB10;Transventricular suture of VSD
FHSB20;Transpulmonary suture of VSD
FHSB30;Transaortal suture of VSD
FHSB40;Intraoperative transluminal closure of ventricular septal defect
FHSB42;Percutaneous transluminal closure of ventricular septal defect
FHSB50;Transatrial closure of VSD using patch
FHSB60;Transventricular closure of VSD using patch
FHSB70;Transpulmonary closure of VSD using patch
FHSB80;Transaortal closure of VSD using patch
FHSB96;Other closure of congenital ventricular septal defect
FHSC00;Transatrial closure of multiple ventricular septal defects
FHSC10;Closure of multiple ventricular septal defects through right ventriculotomy
FHSC20;Closure of multiple ventricular septal defects through left ventriculotomy
FHSC30;Closure of multiple ventricular septal defects through atriotomy and ventriculotomy
FHSC96;Other closure of multiple congenital ventricular septal defects
FHSD00;Repair of complete atrio-ventricular septal defect using atrio-ventricular patch
FHSD05;Repair of complete atrioventricular septal defect using atrial patch and suture of ventricular septal defect
FHSD10;Repair of complete atrio-ventricular septal defect using two patch technique
FHSD30;Repair of complete atrio-ventricular septal defect and concurrent resection of pulmonary stenosis
FHSD96;Other repair of complete atrio-ventricular septal defect
FHSE00;Transatrial repair of tetralogy of Fallot
FHSE10;Transventricular repair of tetralogy of Fallot
FHSE20;Transventricular repair of tetralogy of Fallot with outlet patch
FHSE30;Repair of tetralogy of Fallot with transannular patch
FHSE40;Repair of tetralogy of Fallot with ventriculo-pulmonary prosthesis or homograft
FHSE96;Other repair of tetralogy of Fallot
FHSF00;Repair of pulmonary atresia with transannular patch
FHSF10;Repair of pulmonary atresia with ventriculo-pulmonary prosthesis or homograft
FHSF20;Repair of pulmonary atresia with transannular patch and closure of VSD
FHSF30;Repair of pulmonary atresia with ventriculo-pulmonary prosthesis or homograft and closure of VSD
FHSF96;Other repair of pulmonary atresia
FHSG00;Correction of DOLV
FHSG10;Correction of DORV
FHSG20;Intraventricular switch with extraventricular conduit
FHSG96;Other operation for double outlet ventricle
FHSH00;Expansion of VSD in univentricular heart
FHSH10;Expansion of VSD in double outlet ventricle
FHSH20;Fenestration of VSD patch
FHSH96;Other operation for creation or expansion of VSD
FHSH98;Percutaneous creation or expansion of VSD
FHSJ00;Construction of ventricular septum using patch
FHSJ10;Construction of ventricular septum using fenestrated patch
FHSJ96;Other construction of septum in common ventricle
FHSW96;Other operation on ventricular septum
FJSA00;Biopsy of right ventricle
FJSA12;Percutaneous transluminal biopsy of right ventricle
FJSA96;Other biopsy of right ventricle
FJSB00;Suture of right ventricle for injury
FJSB10;Repair of right ventricle for injury using graft
FJSB96;Other repair of right ventricle for injury
FJSC00;Excision of lesion of right ventricle
FJSC10;Removal of foreign body from right ventricle
FJSC12;Percutaneous transluminal removal of foreign body from right ventricle
FJSD00;Resection of fibromuscular infundibular pulmonary stenosis
FJSD10;Expansion of right ventricle with patch
FJSD20;Bypass of pulmonary valve with ventriculopulmonary prosthesis or homograft
FJSD96;Other operation on right ventricle outlet for congenital or acquired obstruction
FJSE00;Dilatation of pulmonary valve
FJSE10;Pulmonary valvulotomy
FJSE20;Excision of pulmonary valve and expansion of annulus using patch
FJSE30;Transannular pulmonary patch using monocusp valve
FJSE42;Percutaneous transluminal expansion of pulmonary valve
FJSE96;Other operation on pulmonary valve for isolated stenosis
FJSF00;Replacement of pulmonary valve using mechanical prosthesis
FJSF10;Replacement of pulmonary valve using biological prosthesis
FJSF12;Percutaneous transluminal replacement of pulmonary valve using biological prosthesis
FJSF20;Replacement of pulmonary valve using homograft
FJSF96;Other prosthetic replacement of pulmonary valve
FJSW96;Other operation on right ventricle and pulmonary valve
FJX;Other procedures of right ventricle and pulmonary valve
FKSA00;Commissurotomy of mitral valve
FKSA10;Commissurotomy of mitral valve with decalcification
FKSA20;Commissurotomy of mitral valve and discission of fusion of chords
FKSA32;Percutaneous transluminal expansion of mitral valve
FKSA96;Other repair of mitral valve for stenosis
FKSB00;Annuloplasty of mitral valve for insufficiency using suture
FKSB10;Annuloplasty of mitral valve for insufficiency using ring
FKSB96;Other annuloplasty of mitral valve for insufficiency
FKSC00;Repair of mitral valve for insufficiency using suture
FKSC10;Suture of cleft mitral leaflet
FKSC20;Plastic repair of mitral valve leaflet for insufficiency
FKSC30;Shortening or elongation of chords of mitral valve
FKSC40;Suture of chord or papillary muscle of mitral valve
FKSC50;Repair of mitral valve for insufficiency using prosthetic chord
FKSC60;Resection and reconstruction of leaflet of mitral valve for insufficiency
FKSC96;Other repair of mitral valve for insufficiency
FKSD00;Replacement of mitral valve using mechanical prosthesis
FKSD10;Replacement of mitral valve using biological prosthesis
FKSD20;Replacement of mitral valve using homograft
FKSD96;Other replacement of mitral valve
FKSW96;Other operation on mitral valve
FKX;Other procedures of mitral valve
FLSA00;Biopsy of left ventricle
FLSA12;Percutaneous transluminal biopsy of left ventricle
FLSA96;Other biopsy of left ventricle
FLSB00;Excision of lesion of left ventricle
FLSB10;Removal of foreign body from left ventricle
FLSB12;Percutaneous transluminal removal of foreign body from left ventricle
FLSC00;Suture of left ventricle
FLSC10;Repair of wall of left ventricle using patch
FLSC96;Other repair of left ventricle
FLSD00;Plication of aneurysm of left ventricle
FLSD10;Resection of aneurysm of left ventricle
FLSD20;Resection of aneurysm and repair of left ventricle using patch
FLSD30;Partial excision of left ventricle
FLSD50;Plastic expansion of left ventricle
FLSD96;Other expansion or reduction of left ventricle
FLSE00;Excision of subvalvular membrane of left ventricle
FLSE10;Myotomy or myectomy of left ventricle for outlet obstruction
FLSE20;Myotomy or myectomy of left vetricle for outlet obstruction using ventricular septum patch
FLSE32;Percutaneous transcoronary destruction of myocardium
FLSE96;Other repair of outlet obstruction of left ventricle
FLSF00;Transmyocardial laser revascularisation from left ventricle
FLSF12;Percutaneous transmyocardial laser revascularisation from left ventricle
FLSW96;Other operation on left ventricle
FMSA00;Dilatation of aortic valve
FMSA10;Commissurotomy of aortic valve
FMSA20;Plastic repair of aortic valve for stenosis
FMSA32;Percutaneous transluminal expansion of aortic valve
FMSA96;Other repair of aortic valve for stenosis
FMSB00;Supravalvular aortic expansion using patch
FMSB10;Transannular expansion of aortic ostium
FMSB20;Aorto-septal expansion of aortic ostium
FMSB96;Other expansion of aortic ostium
FMSC00;Annuloplasty of aortic valve
FMSC10;Reduction of leaflet of aortic valve
FMSC20;Suture of leaflet of aortic valve
FMSC96;Other operation on aortic valve for insufficiency
FMSD00;Replacement of aortic valve using mechanical prosthesis
FMSD10;Replacement of aortic valve using biological prosthesis
FMSD20;Replacement of aortic valve using homograft
FMSD22;Percutaneous transluminal replacement of aortic valve using biological prosthesis
FMSD24;Percutaneous transapical replacement of aortic valve using biological prosthesis
FMSD30;Replacement of aortic root using homograft and reimplantation of coronary arteries
FMSD33;Replacement of aortic root using xenograft and reimplantation of coronary arteries
FMSD40;Aortopulmonary root replacement using autograft of aortic root with reimplantation of coronary arteries
FMSD96;Other prosthetic replacement of aortic valve
FMSW96;Other operation on aortic valve
FNDC1A;Angiography of heart and/or coronary arteries
FNDD1A;CT of coronary arteries
FNDE1A;Percutaneous ultrasonography of coronary ateries
FNDE1B;Intravascular ultrasonography of coronary arteries
FNDE1K;Percutaneous ultrasound of coronary arteries with contrast
FNDG1B;Coronary artery structure and blood flow MRI examination
FNIA00;Heart perfusion isotope imaging at rest
FNIA02;Heart perfusion isotope imaging with exercise
FNIA04;Heart perfusion isotope imaging both at rest and with exercise
FNIB00;Heart perfusion PET
FNO000;Coronary artery brachytherapy
FNSA00;Anastomosis to coronary artery from internal mammary artery
FNSA01;Anastomosis to coronary artery from internal mammary artery, one distal anastamosis
FNSA02;Anastomosis to coronary artery from internal mammary artery, two distal anastamoses
FNSA03;Anastomosis to coronary artery from internal mammary artery, three distal anastamoses
FNSA04;Anastomosis to coronary artery from internal mammary artery, four distal anastamoses
FNSA05;Anastomosis to coronary artery from internal mammary artery, five or more distal anastamoses
FNSA10;Sequential anastomoses to coronary arteries from internal mammary arteries
FNSA20;Anastomosis to coronary arteries from bilateral internal mammary arteries
FNSA96;Other connection to coronary artery from internal mammary artery
FNSB00;Anastomosis to coronary artery from gastroepiploic artery
FNSB01;Anastomosis to coronary artery from gastroepiploic artery, one distal anastamosis
FNSB02;Anastomosis to coronary artery from gastroepiploic artery, two distal anastamosis
FNSB20;Sequential anastomoses to coronary arteries from gastroepiploic arteries
FNSB96;Other connection of gastroepiploic artery to coronary artery
FNSC10;Aorto-coronary venous bypass with single distal anastomosis
FNSC20;Aorto-coronary venous bypass with two distal anastomoses
FNSC30;Aorto-coronary venous bypass with three distal anastomoses
FNSC40;Aorto-coronary venous bypass with four distal anastomoses
FNSC50;Aorto-coronary venous bypass with five distal anastomoses
FNSC60;Aorto-coronary venous bypass with six distal anastomoses
FNSC96;Other aorto-coronary venous bypass
FNSD10;Aorto-coronary bypass using single prosthetic graft
FNSD20;Aorto-coronary bypass using two prosthetic grafts
FNSD96;Other aorto-coronary bypass using prosthetic graft
FNSE00;Coronary bypass using free arterial graft of internal mammary artery
FNSE01;Coronary bypass using free arterial graft of internal mammary artery, one graft
FNSE02;Coronary bypass using free arterial graft of internal mammary artery, two grafts
FNSE03;Coronary bypass using free arterial graft of internal mammary artery, sequential grafts
FNSE10;Coronary bypass using free arterial graft of gastroepiploic artery
FNSE20;Coronary bypass using free arterial graft of radial artery
FNSE96;Coronary bypass using other free arterial graft
FNSF00;Thrombendarterectomy of right coronary artery
FNSF10;Thrombendarterectomy of anterior descending branch
FNSF20;Thrombendarterectomy of circumflex branch
FNSF30;Thrombendarterectomy of left main coronary artery
FNSF96;Other coronary thrombendarterectomy
FNSG00;Dilatation of coronary artery
FNSG02;Percutaneous transluminal coronary angioplasty
FNSG05;Percutaneous transluminal coronary angioplasty with insertion of stent
FNSG10;Embolectomy of coronary artery
FNSG12;Percutaneous transluminal embolectomy of coronary artery
FNSG20;Removal of foreign body from coronary artery
FNSG22;Percutaneous transluminal removal of foreign body from coronary artery
FNSG30;Expansion of coronary artery using patch
FNSG40;Recanalisation of coronary artery with laser
FNSG96;Other recanalisation of coronary artery
FNSH00;Suture of coronary artery
FNSH10;Repair of coronary artery using patch
FNSH20;Repair of coronary artery with bypass
FNSH96;Other repair of coronary artery
FNSJ00;Ligature of anomalous coronary artery
FNSJ02;Percutaneous transluminal occlusion of anomalous coronary artery
FNSJ10;Closure of coronary fistula
FNSJ12;Percutaneous transluminal occlusion of coronary fistula
FNSJ96;Other operation for coronary fistula
FNSK00;Transposition of coronary artery
FNSK10;Pulmonary arterioplasty with anastomosis to aorta
FNSK20;Ligature and bypass reconstruction of anomalous coronary artery
FNSK96;Other repair of anomalous origin of coronary artery
FNSW96;Other operation on coronary arteries
FNSW97;Other thoracoscopic procedure on coronary arteries
FNSW98;Other percutaneous transluminal procedure on coronary arteries
FNX002;Intraoperative coronary angioscopy
FNX096;Other intraoperative angiocardioscopic investigation
FNXT1S;Local thrombolytic therapy of coronary arteries with radiological guidance
FNXT1X;Other coronary artery procedure through catheter
FNXX10;Catheterisation of heart with local thrombolysis
FNXX20;Coronary catheterisation with pressure measurment
FNXX99;Catheterisation of heart with other coronary procedure
FPF000;Mapping of ectopic focus or aberrant path of impulse propagation
FPF009;Other invasive electrophysiological investigation for arrhythmia or disturbance of impulse propagation
FPFA00;Standard check-up and reprogramming of pacemaker or defibrillator
FPFA02;Check-up of defibrillator with induced ventricular fibrillation
FPSA00;Division of anteroseptal atrio-ventricular pathway
FPSA10;Division of posteroseptal atrio-ventricular pathway
FPSA20;Division of right free wall atrio-ventricular pathway
FPSA30;Division of left free wall atrio-ventricular pathway
FPSA40;Division of multiple atrio-ventricular pathways
FPSA96;Other operation for supraventricular arrhythmia
FPSB00;Excision of ectopic heart focus
FPSB10;Cryoablation of ectopic heart focus
FPSB20;Radiofrequency ablation of aberrant pathway or focus of heart
FPSB22;Transvenous radiofrequency ablation of aberrant pathway or focus of heart
FPSB32;Transvenous radiofrequency ablation of pulmonary vein pathway or focus
FPSB96;Other excision or ablation of aberrant pathway or focus of heart
FPSC00;Partial endocardial myotomy for ventricular arrhythmia
FPSC10;Total endocardial myotomy for ventricular arrhythmia
FPSC96;Other endocardial myotomy for ventricular arrhythmia
FPSD00;Maze procedure for atrial fibrillation
FPSD96;Other operation for atrial fibrillation
FPSE00;Implantation of transvenous cardiac pacemaker with ventricular electrode
FPSE02;Venous implantation of permanent pacemaker, ventricular and atrial sensor
FPSE10;Implantation of transvenous cardiac pacemaker with atrial electrode
FPSE20;Implantation of transvenous cardiac pacemaker with atrial and ventricular electrodes
FPSE25;Implantation of transvenous cardiac pacemaker with biventricular electrodes
FPSE30;Replacement of transvenous cardiac pacemaker pulse generator
FPSE42;Implantation of transvenous atrial electrode
FPSE44;Implantation of transvenous ventricular electrode
FPSE49;Replacement of transvenous cardiac pacemaker electrode
FPSE96;Other implantation or replacement of transvenous cardiac pacemaker
FPSF00;Implantation of epicardial pacemaker with ventricular electrode
FPSF10;Implantation of epicardial pacemaker with atrial electrode
FPSF20;Implantation of epicardial pacemaker with atrial and ventricular electrodes
FPSF30;Replacement of epicardial pacemaker pulse generator
FPSF40;Replacement of epicardial pacemaker electrode
FPSF96;Other implantation or replacement of epicardial pacemaker
FPSG02;Insertion of internal defibrillator, atrial electrode
FPSG04;Insertion of internal defibrillator, atrial and chamber electrode
FPSG10;Open implantation of epicardial cardioverter-defibrillator
FPSG20;Implantation of epicardial cardioverter-defibrillator at heart surgery
FPSG30;Implantation of transvenous cardioverter-defibrillator with generator and ventricular electrode
FPSG33;Implantation of transvenous cardioverter-defibrillator with generator and with atrial and ventricular electrodes
FPSG36;Implantation of transvenous cardioverter-defibrillator with generator and with biventricular electrodes
FPSG40;Replacement of pulsgenerator in transvenous cardioverter-defibrillator
FPSG43;Replacement of electrode(s) in transvenous cardioverter-defibrillator
FPSG96;Other implantation of permanent cardioverter-defibrillator
FPSH00;Transvenous extraction of transvenous cardiac pacemaker or cardioverter-defibrillator
FPSH10;Open removal of transvenous cardiac pacemaker or cardioverter-defibrillator
FPSH20;Removal of epicardial pacemaker or cardioverter-defibrillator
FPSH96;Other removal of cardiac pacemaker or cardioverter-defibrillator
FPSJ00;Revision of pacemaker pulse generator or electrode
FPSW96;Other operation for arrhythmia or disturbance of impulse propagation
FPXA00;X-ray guidance of implantation of cardiac pacemaker or defibrillator
FPXX00;Temporary use of transvenous or epicardial pacemaker
FPXX10;Transcutaneous external cardiac pacing (TEP)
FPXX20;Cardioversion
FPXX26;Treatment of cardiac arythmia with rapid pacemaker stimulation
FQSA00;Orthotopic transplantation of heart
FQSA10;Orthotopic transplantation of heart with bicaval anastomosis
FQSA20;Orthotopic heart transplantation with reconstruction of recipient atria or systemic venous connections
FQSA30;Heterotopic transplantation of heart
FQSA40;Transplantation of heart with living donor
FQSA96;Other transplantation of heart
FQSB00;Transplantation of heart and lung
FQSB10;Transplantation of heart and lung with bicaval anastomosis
FQSB20;Transplantation of heart and lung with reconstruction of recipient atria or systemic venous connections
FQSB30;Transplantation of heart and lungs with revascularisation of bronchial arteries
FQSB96;Other transplantation of heart and lung
FQSW96;Other procedure in transplantation of heart and lung
FWSA00;Repair of wound dehiscence in surgery of heart and major thoracic vessels
FWSB00;Reoperation for superficial infection in surgery of heart and major thoracic vessels
FWSC00;Reoperation for deep infection in surgery of heart and major thoracic vessels
FWSD00;Reoperation for superficial haemorrhage in surgery of heart and major thoracic vessels
FWSE00;Reoperation for deep haemorrhage in surgery of heart and major thoracic vessels
FWSF00;Reoperation for insufficiency of anastomosis or suture in surgery of heart
FWSG00;Reoperation for thrombosis or embolus in surgery of heart and major thoracic vessels
FWSG02;Angioscopic reoperation for thrombosis or embolus in surgery of heart and major thoracic vessels
FWSW96;Other reoperation on heart or major thoracic vessels
FWSW98;Other angioscopic reoperation on heart or major thoracic vessels
FWXX00;MAST (Anti Shock Trousers)
FWXX99;Other minor procedure in cardiac surgery
FXDA00;Cardiac X-ray examination
FXDA10;Dynamic heart X-ray examination
FXDC1A;Upper cavography
FXDC2A;Right cardioangiography
FXDC3A;Left cardioangiography
FXDC40;Bilateral cardioangiography
FXDD1A;CT of heart
FXDD1P;CT examinantion of heart perfusion
FXDE1A;Cardiac ultrasonography
FXDE1B;Cardiac ultrasound with work load or stress
FXDE1K;Ultrasonography of heart with contrast
FXDE4B;Transesophageal cardiac ultrasonography
FXDE6C;Angioscopic cardiac ultrasonography
FXDE7B;Epicardial ultrasonography
FXDE7C;Thoracoscopic epicardial ultrasonography
FXDE7D;Other intraoperative ultrasonography of heart
FXDE8P;Ultrasonography of ductus Botalli
FXDG1B;Heart MRI examination
FXDK1A;Cardiac spectroscopy
FXDL1A;Magnetocardiography
FXF000;ECG with 12 standard connections
FXF002;ECG with work load test
FXF003;ECG with hyperventilation
FXF004;Ambulatory ECG
FXF005;Symptom ECG
FXF006;High resolution ECG
FXF008;Esophageal ECG
FXF009;Other special ECG
FXF010;Implantation of electrode for ambulatory ECG
FXF020;Implantation of loop recorder for examination of cardiac arythmias
FXF022;Analysis of loop recorder data of cardiac arythmias
FXF024;Removal of loop recorder
FXF030;Check-up and reprogramming of cardiac pacemaker or defibrillator
FXF050;Transesophageal diagnostic stimulation of heart
FXF100;Blood pressure measurement
FXF101;Blood pressure measurement with Doppler method
FXF102;Blood pressure monitoring
FXF103;Direct intraarterial blood pressure measurement
FXF104;Baroreflex sensitivity measurement
FXF106;Ortostatic test
FXF107;Registration of pulse volume curve or registration of blood pressure at several or periferal locations
FXF110;Measurement of pulse and pulsvariation
FXF112;Measurement of central venous pressure
FXF114;Measurement of pulmonary circulation pressure and flow
FXF119;Other physical examination of heart
FXF120;Examination of circulation with color method
FXF122;Measurement of minute volume of heart
FXF145;Heart ultrasonography with load test
FXF200;Catheterisation of right atrium or ventricle
FXF210;Catheterisation of left atrium or ventricle
FXF220;Catheterisation of both sides of heart
FXF225;Transseptal catheterisation of left atrium or ventricle
FXF230;Balloon dilatation of coarctation of aorta
FXF299;Catheterisation of heart with other procedure
FXFA00;Clinical examination of heart
FXFA90;Fysical exercise test
FXFX90;Cardiologic clinical examination
FXIA00;Heart isotope imaging
FXIA20;Heart function isotope examination
FXIA40;Intra cardiac shunt isotope imaging
FXIB00;Heart, metabolic PET
FXIC00;Heart, receptor PET
FXIW00;Heart, isotope imaging combined with PET
FXX000;Puncture of heart or major thoracic vessels
FXX001;Thoracoscopic puncture of heart or major thoracic vessel
FXX002;Puncture of heart or major thoracic vessels with aspiration
FXX004;Puncture manometry of heart or major thoracic vessels
FXX010;Muscle biopsy of heart
FXX020;Flowmetry of heart or major thoracic vessels
FXXA00;Closed cardiac compression
FXXA05;Mechanical heart compression
FXXA10;Open cardiac compression
FXXA20;Cardiac compression with temporary clamping of thoracic aorta
FXXA30;Other cardiac compression procedure
FXXB00;Temporary transvenous cardiac pacemaker
FXXB10;Use of temporary epicardial pacemaker
FZSA00;Total cardiopulmonary bypass in normothermia or moderate hypothermia at concurrent surgical procedure
FZSA10;Total cardiopulmonary bypass in deep hypothermia at concurrent surgical procedure
FZSA13;Total cardiopulmonary bypass in deep hypothermia and exclusive cerebral perfusion at concurrent surgical procedure
FZSA20;Total cardiopulmonary bypass in deep hypothermia and circulatory arrest at concurrent surgical procedure
FZSA96;Other total cardiopulmonary bypass at concurrent surgical procedure
FZSB00;Intraoperative partial cardiopulmonary bypass
FZSC00;Partial cardiopulmonary bypass without use of oxygenator
FZSD00;Use of extracorporeal heart and lung assistance (ECHLA) without concurrent surgical procedure
FZSE00;Use of extracorporeal lung assistance (ECLA)
FZSF00;Decannulation after ECHLA or ECLA
FZSG00;Insertion and use of intra-aortal balloon pump (IABP)
FZSH00;Removal of IABP
FZSJ00;Insertion of pulmonary artery balloon pump (PABP)
FZSK00;Removal of PABP
FZSL00;Insertion and use of extra-, para- or intracorporeal VAD
FZSM00;Removal of extra-, para- or intracorporeal VAD
FZSN00;Procedures using total artificial heart (TAH )
FZSP00;Haemofiltration or haemodialysis in the course of cardiopulmonary bypass
FZX000;Trendelenburg therapy for cardica insuffisiency
FZX009;Other or usspecified position therapy of cardiac insuffisiency
GADA5A;Rib X-ray examination
GADA6A;Sternal X-ray examination
GADA7A;Sterno-clavicular joint X-ray examination
GADE1A;Chest cage ultrasonography
GAE002;Endoscopy through pleuro-cutaneous window
GAE005;Endoscopy with biopsy through pleuro-cutaneous window
GAFA00;Transillumination of chest
GAFG00;Magnetic stimulation of the phrenic nerve
GAO001;Preoperative radiotherapy of thorax excluding intrathoracal organs
GAO002;Radical radiotherapy of tumor of thorax excluding intrathoracal organs
GAO003;Adjuvant radiotherapy of thorax excluding intrathoracal organs
GAO004;Palliative radiotherapy of thorax excluding intrathoracal organs
GAO029;Raditherapy of local recidive of tumor of thorax excluding intrathoracal organs
GAO049;Radiotherapy of methastasis of thorax excluding intrathoracal organs
GAO090;Profylactic radiotherapy of thorax excluding intrathoracal organs
GAO099;Other radiotherapy of thorax excluding intrathoracal organs
GASA10;Intercostal insertion of pleural drainage tube
GASA15;Insertion of pleural drainage tube by resection of rib
GASA20;Fenestration of pleura
GASA31;Thoracoscopy
GASA96;Other open or percutaneous drainage of pleural cavity
GASA97;Other thoracoscopic drainage procedures on pleura
GASB00;Emergency thoracotomy
GASB10;Antero- or postero-lateral thoracotomy
GASB13;Transaxillary thoracotomy
GASB20;Median sternotomy
GASB30;Parasternal minitorakotomi
GASB96;Other thoracotomy
GASC00;Biopsy of pleura
GASC01;Endoscopic biopsy of pleura
GASC10;Removal of foreign body from pleural cavity
GASC11;Endoscopic removal of foreign body from pleural cavity
GASC20;Excision or destruction of lesion of pleura
GASC21;Endoscopic excision or destruction of lesion of pleura
GASC30;Artificial pneumothorax
GASC33;Mechanical pleurodesis
GASC34;Endoscopic mechanical pleurodesis
GASC36;Chemical pleurodesis
GASC37;Endoscopic chemical pleurodesis
GASC40;Pleurodesis with decortication
GASC41;Endoscopic pleurodesis with decortication
GASC43;Total decortication of pleura
GASC44;Endoscopic total decortication of pleura
GASC46;Partial decortication of pleura
GASC47;Endoscopic partial decortication of pleura
GASC96;Other operation on pleura
GASC97;Other endoscopic operation on pleura
GASC98;Other operation on pleura through pleuro-cutaneous window
GASD00;Thoracoplasty without plombage
GASD03;Thoracoplasty with plombage
GASD10;Removal of plombage material from chest wall
GASD96;Other thoracoplasty or related procedure
GASE00;Incision or biopsy of chest wall
GASE03;Suture of chest wall
GASE06;Excision of lesion of chest wall
GASE10;Closure of previous incision of chest wall
GASE13;Closure of fenestration of pleura
GASE16;Resection of chest wall
GASE20;Resection of chest wall and repair using flap
GASE23;Resection of chest wall and prosthetic repair
GASE26;Repair of injury to chest wall
GASE30;Repair of combined injury to chest wall and diaphragm
GASE40;Operation on rib and soft tissues for thoracic outlet syndrome
GASE50;Reconstruction of chest wall
GASE53;Removal of foreign body from chest wall
GASE70;Operation for pseudoarthrosis of chest wall
GASE73;Operation for pseudoarthrosis of chest wall with bone transplantation
GASE90;Removal of fixation material from chest wall
GASE96;Other incision, biopsy, resection or repair of chest wall
GASF00;Correction of pectus carinatum
GASF03;Correction of pectus excavatum
GASF10;Removal of prosthetic material after correction of malformation of chest wall
GASF96;Other correction of malformation of chest wall
GASG00;Transthoracic biopsy of diaphragm
GASG01;Thoracoscopic biopsy of diaphragm
GASG10;Transthoracic excision or destruction of lesion of diaphragm
GASG11;Thoracoscopic excision or destruction of lesion of diaphragm
GASG20;Transthoracic removal of foreign body from diaphragm
GASG21;Thoracoscopic removal of foreign body from diaphragm
GASG30;Transthoracic repair of diaphragm for rupture
GASG31;Thoracoscopic repair of diaphragm for rupture
GASG33;Transthoracic resection of diaphragm
GASG36;Transthoracic resection and reconstruction of diaphragm using graft
GASG40;Transthoracic closure of thoraco-abdominal fistula
GASG50;Transthoracic repair of defect of diaphragm
GASG96;Other transthoracic operation on diaphragm
GASG97;Other thoracoscopic operation on diaphragm
GASW96;Other operation on chest wall, pleura and diaphragm
GASW97;Other thoracoscopic operation on chest wall, pleura and diaphragm
GAXA05;Check-up of diafragma stimulating device
GAXX00;Needle biopsy of chest wall
GAXX02;Needle biopsy of pleura
GAXX04;Needle biopsy of diaphragm
GAXX10;Thoracocentesis
GAXX12;Pleural catheter exchange or removal
GAXX20;Artificial pneumothorax for collapse of lung
GAXX30;Irrigation of pleural cavity
GBDA1A;Tracheal X-ray examination
GBDA2A;Epipharynx X-ray examination
GBDA3A;Larynx X-ray examination
GBE002;Tracheoscopy
GBE005;Tracheoscopy with biopsy
GBSA00;Tracheotomy
GBSA10;Tracheotomy with removal of foreign body
GBSA12;Endoscopic removal of foreign body from trachea
GBSA22;Endoscopic excision of lesion of trachea
GBSA25;Endoscopic electrocoagulation of lesion of trachea
GBSA28;Endoscopic laser therapy of lesion of trachea
GBSA32;Endoscopic dilatation of trachea
GBSA35;Endoscopic insertion of tracheal stent
GBSA40;Suture of trachea
GBSA46;Tracheoplasty
GBSA50;Repair of trachea
GBSA53;Prosthetic repair of trachea
GBSA96;Other incision or operation on trachea for injury or lesion
GBSA98;Other endoscopic operation on trachea for injury or lesion
GBSB00;Tracheostomy
GBSB02;Tracheostomy with dilatation
GBSB03;Percutaneous tracheostomy
GBSB06;Tracheostomy with removal of foreign body
GBSB13;Revision of tracheostomy
GBSB18;Closure of tracheostomy
GBSB96;Other tracheostomy procedure
GBSC00;Partial resection of trachea
GBSC03;Resection of trachea
GBSC06;Resection and prosthetic reconstruction of trachea
GBSC10;Resection and reconstruction of carina
GBSC13;Resection and reconstruction of carina using graft
GBSC96;Other resection or reconstruction of trachea
GBSW96;Other operation on trachea
GBSW98;Other transluminal endoscopic procedure on trachea
GBXB00;Installation or exchange of tube to tracheostomy
GBXB10;Exchange of tracheostmy voice valve
GBXX00;Needle biopsy of trachea
GBXX67;Percutaneous insertion of aspiration cannula into trachea
GCDB1B;Bronchography with X-ray
GCE002;Rigid bronchoscopy
GCE004;Rigid bronchoscopy with biopsy of lung
GCE005;Rigid bronchoscopy with biopsy
GCE012;Flexible bronchoscopy
GCE014;Flexible bronchoscopy with biopsy of lung
GCE015;Flexible bronchoscopy with biopsy
GCIA00;Bronchial cilia function isotope imaging
GCSA02;Bronchoscopic electrocoagulation of lesion of bronchus
GCSA05;Bronchoscopic laser therapy of lesion of bronchus
GCSA06;Excision of lesion of bronchus
GCSA08;Bronchoscopic excsion of lesion of bronchus
GCSA10;Incision of bronchus with removal of foreign body
GCSA12;Bronchoscopic removal of foreign body
GCSA18;Bronchoscopic dilatation of bronchus
GCSA20;Suture or reconstruction of bronchus for injury
GCSA26;Plastic repair of bronchus
GCSA30;Repair of bronchus using prosthesis
GCSA32;Endoscopic insertion of bronchial stent
GCSA40;Closure of bronchopleural fistula
GCSA42;Bronchoscopic closure of bronchopleural fistula
GCSA43;Other closure of bronchopleural fistula
GCSA50;Partial resection of bronchus
