AA027	Innlegging av intracerebral trykkmåler
JDG10	Proksimal gastrisk vagotomi
JDG11	Laparoskopisk proksimal gastrisk vagotomi
JDG96	Annen vagotomi
JDG97	Annen laparoskopisk vagotomi
JDH00	Duodenotomi
JDH05	Endoskopisk polypektomi i duodenum
JDH08	Endoskopisk fjernelse av fremmedlegeme fra duodenum
JDH15	Endoskopisk injeksjon i duodenum
JDH18	Endoskopisk kontaktkoagulasjon i duodenum
JDH22	Endoskopisk laserterapi i duodenum
JDH25	Annet endoskopisk hemostaseinngrep i duodenum
JDH28	Annen endoskopisk op med diatermi eller varme i duodenum
JDH32	Endoskopisk dilatasjon av duodenum
JDH40	Duodenostomi på bulbus
JDH41	Laparoskopisk duodenostomi på bulbus
JDH50	Lokal ekstirpasjon i bulbus duodeni
JDH60	Pyloromyotomi
JDH61	Laparoskopisk pyloromyotomi
JDH63	Pylorusplastikk
JDH70	Duodenorafi
JDH71	Laparoskopisk duodenorafi
JDW96	Annen operasjon på ventrikkel eller bulbus duodeni
JDW97	Annen laparoskopisk op på ventrikkel eller bulbus duodeni
JDW98	Annen transluminalt endoskopisk op på ventrikkel el duodenum
JEA00	Appendektomi
JEA01	Laparoskopisk appendektomi
JEW96	Annen operasjon på appendix
JEW97	Annen laparoskopisk operasjon på appendix
JFA00	Enterotomi
JFA02	Endoskopisk fjernelse av fremmedlegeme fra tynntarm
JFA05	Endoskopisk polypektomi i tynntarm
JFA10	Kolotomi
JFA12	Endoskopisk fjernelse av fremmedlegeme fra kolon
JFA15	Endoskopisk polypektomi i kolon
JFA16	Biopsi av kolonvegg uten kolotomi
JFA17	Laparoskopisk biopsi av kolonvegg uten kolotomi
JFA22	Endoskopisk injeksjon i tynntarm
JFA25	Endoskopisk kontaktkoagulasjon i tynntarm
JFA28	Endoskopisk laserterapi i tynntarm
JFA32	Annet endoskopisk hemostaseinngrep i tynntarm
JFA35	Annet endoskopisk inngrep med diatermi el varme i tynntarm
JFA38	Endoskopisk dilatasjon av tynntarm
JFA42	Endoskopisk injeksjon i kolon
JFA45	Endoskopisk kontaktkoagulasjon i kolon
JFA48	Endoskopisk laserterapi i kolon
JFA52	Annet endoskopisk hemostaseinngrep i kolon
JFA55	Annet endoskopisk inngrep med diatermi eller varme i kolon
JFA60	Stricturoplastikk i tynntarm
JFA63	Stricturoplastikk i kolon
JFA70	Enterorafi
JFA71	Laparoskopisk enterorafi
JFA73	Lokal ekstirpasjon i tynntarm
JFA74	Laparoskopisk lokal ekstirpasjon i tynntarm
JFA76	Lukking av tynntarmsfistel
JFA80	Kolorafi
JFA81	Laparoskopisk kolorafi
JFA83	Lokal ekstirpasjon i kolon
JFA84	Laparoskopisk lokal ekstirpasjon i kolon
JFA86	Lukking av kolonfistel
JFA96	Annet lokalt inngrep på tarm
JFA97	Annet laparoskopisk lokalt inngrep på tarm
JFA98	Annet transluminalt endoskopisk lokalt inngrep på tarm
JFB00	Tynntarmsreseksjon
JFB01	Laparoskopisk tynntarmsreseksjon
JFB10	Reversering av tynntarmssegment
JFB13	Forlengelsesplastikk på tynntarm
JFB20	Ileocoecal reseksjon
JFB21	Laparoskopisk ileocoecal reseksjon
JFB30	Høyresidig hemicolektomi
JFB31	Laparoskopisk høyresidig hemicolektomi
JFB33	Annen reseksjon som omfatter tynntarm og kolon
JFB34	Annen laparoskopisk reseksjon som omfatter tynntarm og kolon
JFB40	Reseksjon av kolon transversum
JFB41	Laparoskopisk reseksjon av kolon transversum
JFB43	Venstresidig hemicolektomi
JFB44	Laparoskopisk venstresidig hemicolektomi
JFB46	Reseksjon av kolon sigmoideum
JFB47	Laparoskopisk reseksjon av kolon sigmoideum
JFB50	Annen kolonreseksjon
JFB51	Annen laparoskopisk kolonreseksjon
JFB60	Reseksjon av kolon sigmoideum med terminal kolostomi
JFB61	Laparosk reseksj sigmoid m/terminal kolostomi & dist lukking
JFB63	Annen reseksj av kolon m/terminal kolostomi & distal lukking
JFB64	Ann laparosk reseksj kolon m/terminal kolostomi & dist lukk
JFB96	Annen tarmreseksjon
JFB97	Annen laparoskopisk tarmreseksjon
JFC00	Enteroenterostomi
JFC01	Laparoskopisk enteroenterostomi
JFC10	Ileotransversostomi
JFC11	Laparoskopisk ileotransversostomi
JFC20	Annen enterokolostomi
JFC21	Annen laparoskopisk enterokolostomi
JFC30	Kolokolostomi
JFC31	Laparoskopisk kolokolostomi
JFC40	Ileorectostomi
JFC41	Laparoskopisk ileorectostomi
JFC50	Kolorectostomi
JFC51	Laparokopisk kolorectostomi
JFD00	Jejunoileal shunt
JFD10	Revisjon av jejunoileal shunt
JFD20	Tilbakekobling av tarmshunt
JFD96	Annen tarmshuntoperasjon
JFE00	Tynntarmstransplantasjon
JFE96	Annen operasjon tilknyttet tynntarmstransplantasjon
JFF00	Kateterenterostomi
JFF01	Laparoskopisk kateterenterostomi
JFF10	Bøyleenterostomi
JFF11	Laparoskopisk bøyleenterostomi
JFF13	Terminal enterostomi
JFF20	Coecostomi
JFF21	Laparoskopisk coecostomi
JFF23	Transversostomi
JFF24	Laparoskopisk transversostomi
JFF26	Sigmoidostomi
JFF27	Laparoskopisk sigmoidostomi
JFF30	Annen kolostomi
JFF31	Annen laparoskopisk kolostomi
JFF40	Appendicostomi
JFF41	Laparoskopisk appendicostomi
JFF50	Fremlegning av kolonslynge uten åpning
JFF51	Laparoskopisk fremlegning av kolonslynge uten åpning
JFF60	Åpning av fremlagt kolonslynge
JFF96	Annen fremlegning av tarm eller anleggelse av tarmstomi
JFF97	Annen laparoskop framlegg av tarm el anleggelse av tarmstomi
JFG00	Lukking av bøyleenterostomi uten reseksjon
JFG10	Lukking av bøylekolostomi uten reseksjon
JFG20	Lukking av enterostomi med reseksjon av fremlagt bøyle
JFG23	Lukking av endeenterostomi med anastomose til tynntarm
JFG26	Lukking av endeenterostomi med anastomose til kolon
JFG29	Lukking av endeenterostomi med anastomose til rectum
JFG30	Lukking av kolostomi med reseksjon av fremlagt bøyle
JFG33	Lukking av endekolostomi med anastomose til kolon
JFG36	Lukking av endekolostomi med anastomose til rectum
JFG40	Revisjon av enterostomi eller kolostomi uten laparotomi
JFG50	Laparotomi med revisjon av enterostomi eller kolostomi
JFG53	Revisjon av ileoanalt eller ileorektalt reservoar
JFG56	Revisjon av koloanalt eller kolorektalt reservoar
JFG60	Konvert av konvensjonell ileostomi til kontinent ileostomi
JFG70	Konvert av kontinent ileostomi til konvensjonell ileostomi
JFG73	Eksisjon av ileoanalt eller ileorektalt reservoar
JFG76	Eksisjon kolonreservoar m/koloanal el kolorektal anastomose
JFG80	Eksisjon ileumreservoar m/anleggelse ny kontinent ileostomi
JFG83	Eksisjon av kolonreservoar med anleggelse av nytt reservoar
JFG86	Exisj ileoanal el ileorektalt reservoar m/anl nytt reservoar
JFG96	Annen operasjon på tarmstomi eller reservoar
JFH00	Total colektomi og ileorektal anastomose
JFH10	Total colektomi og ileostomi
JFH20	Proctocolektomi og ileostomi
JFH30	Proctocolektomi og ileoanal anastomose uten ileostomi
JFH33	Proctocolektomi og ileoanal anastomose med bøyleileostomi
JFH40	Proctocolektomi og kontinent ileostomi
JFH96	Annen total colektomi
JFJ00	Coecopexi
JFJ01	Laparoskopisk coecopexi
JFJ96	Annen enteropexi eller kolopexi
JFJ97	Annen laparoskopisk enteropexi eller kolopexi
JFK00	Deling av adheransestreng ved tarmobstruksjon
JFK01	Laparoskopisk deling av adheransestreng ved tarmobstruksjon
JFK10	Adheranseløsning ved tarmobstruksjon
JFK11	Laparoskopisk adheranseløsning ved tarmobstruksjon
JFK20	Enterolyse og tynntarmsplikatur
JFK96	Annen adheranseoperasjon ved tarmobstruksjon
JFK97	Annen laparoskopisk adheranseoperasjon ved tarmobstruksjon
JFL00	Åpen desinvaginasjon av tarm
JFL10	Laparotomi og manipulasjon av obstruert tarm
JFL20	Laparotomi og manipulasjon av fastsittende tarminnhold
JFL96	Annen op for tarmobstruksjon u/reseksj el adheranseløsning
JFM00	Peroperativ tarmskylling
JFW96	Annen tarmoperasjon
JFW97	Annen laparoskopisk tarmoperasjon
JFW98	Annet transluminalt endoskopisk tarminngrep
JGA00	Proctotomi
JGA02	Endoskopisk fjernelse av fremmedlegeme fra rectum
JGA05	Endoskopisk polypektomi i rectum
JGA22	Endoskopisk injeksjon i rectum
JGA28	Endoskopisk kontaktkoagulasjon i rectum
JGA32	Endoskopisk laserterapi i rectum
JGA35	Annet endoskopisk hemostaseinngrep i rectum
JGA52	Annet endoskopisk inngrep med diatermi eller varme i rectum
JGA60	Sutur av rectum
JGA70	Proctotomi og lokal ekstirpasjon i rectum
JGA73	Transanal lokal ekstirpasjon i rectum
JGA75	Transanal endoskopisk mikrokirurgi
JGA96	Annen proctotomi eller lokalt inngrep på rectum
JGA97	Annen laparoskopisk proctotomi el lokalt inngrep på rectum
JGA98	Annet transluminalt endoskopisk lokalt inngrep på rectum
JGB00	Rectumreseksjon og kolorektal eller koloanal anastomose
JGB01	Laparoskop rectumreseksj & kolorektal el koloanal anastomose
JGB10	Rectumreseksjon og endekolostomi
JGB11	Laparoskopisk rectumreseksjon og endekolostomi
JGB20	Part rectosigmoidekt & abdominoperineal pull-through anast
JGB30	Abdominoperineal rectumamputasjon
JGB40	Proctektomi og endeileostomi
JGB50	Mucosal proctektomi og ileoanal anastomose
JGB96	Annen reseksjon eller amputasjon av rectum
JGB97	Annen laparoskopisk reseksjon eller amputasjon av rectum
JGC00	Rectopexi
JGC01	Laparoskopisk rectopexi
JGC10	Perineal rectopexi
JGC20	Transanal sutur
JGC30	Eksisjon & sutur rektal mucosa m/imbrikasjon av muscularis
JGC40	Anorektal rekonstruksjon ved analatresi
JGC96	Annet rekonstruksjonsinngrep på rectum
JGC97	Annet laparoskopisk rekonstruksjonsinngrep på rectum
JGD00	Eksisjon av perinealt tumorresidiv
JGW96	Annen operasjon på rectum
JGW97	Annen laparoskopisk operasjon på rectum
JGW98	Annet transluminalt endoskopisk inngrep på rectum
JHA00	Anal eller perianal incisjon
JHA10	Biopsi i analkanalen
JHA20	Lokal ekstirpasjon i analkanalen eller perianalt vev
JHA30	Termisk behandling av lesjon i analkanalen eller perianalt
JHB00	Hemorroidektomi
JHB10	Termisk destruksjon av hemorroider eller slimhinneprolaps
JHB20	Skleroterapi av hemorroider
JHB30	Gummiringligatur av hemorroider eller slimhinneprolaps
JHB96	Annet inngrep for hemorroider eller slimhinneprolaps
JHC00	Sutur av analsfinkter
JHC10	Rekonstruksjon av analsfinkter uten transplantat
JHC20	Rekonstruksjon av analsfinkter med muskeltransplantasjon
JHC30	Rekonstruksjon av anal sfinkter med muskeltransposisjon
JHC40	Anal cerclage
JHC50	Anal operasjon for analatresi
JHD00	Analdilatasjon
JHD10	Myotomi av analsfinkter
JHD20	Incisjon av analfistel
JHD30	Inkomplett incisjon av analfistel
JHD33	Kompletterende incisjon av analfistel
JHD40	Reseksjon av interne analsfinkter
JHD96	Annen incisjon av analsfinkter
JHW96	Annen operasjon på anus eller perianalt vev
JJA00	Eksplorasjon av lever
JJA10	Hepatotomi
JJA20	Åpen leverbiopsi
JJA21	Laparoskopisk leverbiopsi
JJA23	Åpen nålebiopsi av lever
JJA24	Laparoskopisk nålebiopsi av lever
JJA30	Marsupialisasjon av levercyste
JJA31	Laparoskopisk marsupialisasjon av levercyste
JJA40	Ekstirpasjon av lesjon i lever
JJA43	Destruksjon av lesjon i lever
JJA44	Laparoskopisk destruksjon av lesjon i lever
JJA50	Sutur av lever
JJA96	Annet lokalt inngrep på lever
JJA97	Annet laparoskopisk lokalt inngrep på lever
JJB00	Kilereseksjon av lever
JJB10	Atypisk leverreseksjon
JJB20	Eksisjon av ett leversegment
JJB30	Eksisjon av to leversegmenter
JJB40	Eksisjon av leversegmentene II, III og IV
JJB50	Eksisjon av leversegmentene V, VI, VII og VIII
JJB53	Eksisjon av leversegmentene IV,V, VI, VII og VIII
JJB60	Annen reseksjon av tre eller flere leversegmenter
JJB71	Laparoskopisk leverreseksjon
JJB96	Annen leverreseksjon
JJC00	Allogen levertransplantasjon
JJC10	Allogen partiell levertransplantasjon
JJC20	Allogen partiell levertransplantasjon fra levende donor
JJC30	Xenogen levertransplantasjon
JJC40	Xenogen partiell levertransplantasjon
JJC50	Reseksjon av levertransplantat
JJC60	Eksisjon av transplantert lever
JJC96	Annen levertransplantasjon eller tilhørende operasjon
JJW96	Annen operasjon på lever
JJW97	Annen laparoskopisk operasjon på lever
JKA00	Kolecystotomi
JKA10	Kolecystostomi
JKA11	Laparoskopisk kolecystostomi
JKA13	Perkutan kolecystostomi
JKA20	Kolecystektomi
JKA21	Laparoskopisk kolecystektomi
JKA96	Annen operasjon på galleblære
JKA97	Annen laparoskopisk operasjon på galleblære
JKB00	Incisjon av gallegang
JKB01	Laparoskopisk incisjon av gallegang
JKB11	Laparoskop stenekstr fra gallegang gjennom ductus cysticus
JKB20	Peroperativ kolangioskopi
JKB21	Laparoskopisk kolangioskopi
JKB30	Perkutan transhepatisk galledrenasje
JKB40	Sutur av gallegang
JKB96	Annen incisjon eller tilhørende operasjon på gallegang
JKB97	Annen laparoskopisk incisjon el tilhørende op på gallegang
JKC00	Incisjon av gallegang med ekstirpasjon av lesjon
JKC01	Laparoskopisk incisjon av gallegang m/ekstirpasjon av lesjon
JKC10	Gallegangsreseksjon med anastomose til gallegang
JKC20	Gallegangsreseksjon med anastomose til duodenum
JKC30	Gallegangsreseksjon med anastomose til jejunum
JKC40	Reseksjon av hø eller ve levergang m/anastomose til jejunum
JKC50	Eksisjon av papilla Vateri med biliointestinal anastomose
JKC96	Annen eksisjon av gallegang
JKC97	Annen laparoskopisk eksisjon av gallegang
JKD00	Anastomose av galleblære til jejunum
JKD01	Laparoskopisk anastomose av galleblære til jejunum
JKD10	Anastomose av gallegang til duodenum
JKD20	Anastomose av gallegang til jejunum
JKD30	Extrahepatisk anastomose av hø el ve levergang til jejunum
JKD40	Anastomose av intrahepatisk gallegang til jejunum
JKD50	Hepatoportoenterostomi
JKD96	Annen biliodigestiv anastomose
JKE00	Transduodenal papillotomi
JKE02	Transduodenal endoskopisk incisjon av gallegangsostium
JKE06	Transduodenal sfinkterplastikk
JKE12	Endoskopisk ekstraksjon av stein fra gallegang
JKE15	Endoskopisk litotripsi i gallegang
JKE18	Endoskopisk innlegging av stent i gallegang
JKE22	Endoskopisk fjernelse av fremmedlegeme fra gallegang
JKE25	Endoskopisk ekstern drenasje av gallegang
JKE32	Endoskopisk dilatasjon av gallegang
JKE96	Annen transduodenal op på gallegang eller papilla Vateri
JKE98	Annet translum endoskopisk op på gallegang el papilla Vateri
JKF00	Eksisjon av ductus cysticus
JKF10	Perkutan ekstraksjon av gallestein
JKF96	Annen sekundær operasjon på galleveier
JKF97	Annen laparoskopisk sekundær operasjon på galleveier
JKT00	Ekstrakorporal sjokkbølgelitotripsi i galleblære
JKT10	Ekstrakorporal sjokkbølgelitotripsi i gallegang
JKW96	Annen operasjon på galleveier
JKW97	Annen laparoskopisk operasjon på galleveier
JKW98	Annet transluminalt endoskopisk inngrep på galleveier
JLA00	Eksplorasjon av pancreas
JLA10	Biopsi av pancreas
JLA20	Åpen nålebiopsi av pancreas
JLA21	Laparoskopisk nålebiopsi av pancreas
JLB00	Incisjon av pancreas
JLB10	Pancreaticolithotomi
JLB12	Transduodenal endoskopisk incisjon av pancreasostium
JLB22	Transduodenal endoskopisk steinekstraksjon fra pancreasgang
JLB25	Transduodenal endoskopisk litotripsi i pancreasgang
JLB28	Endoskopisk innlegging av stent i pancrasgang
JLB35	Transduod endoskop fjernelse fremmedlegeme fra pancreasgang
JLB38	Endoskopisk ekstern drenasje av pancreasgang
JLB42	Transduodenal endoskopisk dilatasjon av pancreasgang
JLB96	Annen incisjon, drenasje eller dilatasjon av pancreas
JLB98	Annen transduod endoskop incisjon/drenasje/dilatasjon pancr
JLC00	Lokal ekstirpasjon i pancreas
JLC10	Distal pancreasreseksjon
JLC20	Total pancreatektomi
JLC30	Pancreatoduodenektomi
JLC40	Total pancreatoduodenektomi
JLC50	Atypisk pancreasreseksjon
JLC96	Annet reseksjonsinngrep på pancreas
JLD00	Pancreaticojejunostomi
JLD10	Anastomose av pancreas pseudocyste til ventrikkel
JLD12	Endoskopisk drenasje av pancreas pseudocyste
JLD20	Anastomose av pancreas pseudocyste til jejunum
JLD22	Endoskopisk drenasje av pancreas pseudocyste til jejunum
JLE00	Allogen tot pancreastransplantasjon m/pancreaticocystostomi
JLE03	Allogen tot pancreastransplantasjon m/pancreaticoenterostomi
JLE10	Allogen segmental pancreastransplantasjon
JLE16	Allogen segmental pancreastransplantasjon fra levende donor
JLE20	Allogen øycelletransplantasjon
JLE30	Xenogen øycelletransplantasjon
JLE40	Eksisjon av transplantert pancreas
JLE50	Okklusjon av transplantert pancreasgang
JLE56	Konvertering pancreaticocystostomi til pancr-enterostomi
JLE96	Annen pancreastransplantasjon eller tilhørende operasjon
JLT00	Ekstrakorporal sjokkbølgelitotripsi i pancreasgang
JLW96	Annen operasjon på pancreas
JLW97	Annen laparoskopisk operasjon på pancreas
JLW98	Annet transluminalt endoskopisk inngrep på pancreas
JMA00	Miltreseksjon
JMA10	Transabdominal splenektomi
JMA11	Laparoskopisk splenektomi
JMA20	Transthorakal splenektomi
JMB00	Biopsi av milt
JMB01	Laparoskopisk biopsi av milt
JMB10	Rekonstruksjon av milt
JMW96	Annen operasjon på milt
JMW97	Annen laparoskopisk operasjon på milt
JWA00	Reoperasjon for sårruptur ved gastroenterologisk kirurgi
JWB00	Reop for overfladisk infeksjon v/gastroenterologisk kirurgi
JWC00	Reoperasjon for dyp infeksjon ved gastroenterologisk kirurgi
JWC01	Perkutan endoskop reop for dyp inf v/gastroenterologisk kir
JWD00	Reop for overfladisk blødning ved gastroenterologisk inngrep
JWE00	Reoperasjon for dyp blødning ved gastroenterologisk kirurgi
JWE01	Perk endoskop reop for dyp blødning v/gastroenterologisk kir
JWE02	Translum endoskop reop dyp blødning v/gastroenterologisk kir
JWF00	Reop insuff av anastomose el sutur v/gastroenterologisk kir
JWF01	Perkutan endoskop reop insuff av anastomose/sutur v/G-E kir
JWW96	Annen reoperasjon ved gastroenterologisk kirurgi
JWW97	Annen perkutan endoskopisk reoperasjon ved G-E kirurgi
JWW98	Annen transluminal endoskopisk reoperasjon ved G-E kirurgi
KAA00	Eksplorasjon av nyre
KAA01	Perkutan endoskopisk eksplorasjon av nyre
KAA20	Eksplorativ nefrotomi
KAA21	Perkutan endoskopisk eksplorativ nefrotomi
KAA30	Eksplorativ pyelotomi
KAA31	Perkutan nefroskopi
KAA96	Annen eksplorasjon av nyre eller nyrebekken
KAA97	Annen perkutan endoskopi av nyre eller nyrebekken
KAB00	Biopsi av nyre eller nyrebekken
KAB01	Perkutan endoskopisk biopsi av nyre eller nyrebekken
KAC00	Nefrektomi
KAC01	Perkutan endoskopisk nefrektomi
KAC20	Nefroureterektomi
KAC21	Perkutan endoskopisk nefroureterektomi
KAD00	Nyrereseksjon
KAD01	Perkutan endoskopisk nyrereseksjon
KAD10	Heminefrektomi
KAD11	Perkutan endoskopisk heminefrektomi
KAD40	Reseksjon av nyrebekken
KAD41	Perkutan endoskopisk reseksjon av nyrebekken
KAD50	Destruksjon av nyrebekkentumor
KAD51	Perkutan endoskopisk destruksjon av nyrebekkentumor
KAD52	Retrograd ureteronefroskopisk destruksjon av nyrebekkentumor
KAD96	Annen reseksjon av nyre eller nyrebekken
KAD97	Ann perkut endoskop reseksjon/destruksjon av nyre/nyrebekken
KAD98	Annen transluminal endoskopisk reseksjon av nyrebekken
KAE00	Nefrolithotomi
KAE01	Nefroskopisk nefrolithotomi
KAE10	Pyelolithotomi
KAE11	Nefroskopisk pyelolithotomi
KAE12	Retrograd ureterorenoskopisk pyelolitotripsi
KAE96	Annen fjernelse av stein fra nyre eller nyrebekken
KAE97	Ann perkut endoskop fjernelse av sten fra nyre/nyrebekken
KAE98	Ann translum endoskop fjernelse av sten fra nyre/nyrebekken
KAF00	Fjernelse av fremmedlegeme fra nyre
KAF01	Perkutan endoskopisk fjernelse av fremmedlegeme fra nyre
KAF10	Fjernelse av fremmedlegeme fra nyrebekken
KAF11	Perkutan endoskop fjernelse av fremmedlegeme fra nyrebekken
KAF12	Translum endoskop fjernelse av fremmedlegeme fra nyrebekken
KAH00	Sutur av nyre
KAH01	Perkutan endoskopisk sutur av nyre
KAH10	Sutur av nyrebekken
KAH11	Perkutan endoskopisk sutur av nyrebekken
KAH30	Nyrebekken-ureterplastikk u/deling nyrebekken-ureterovergang
KAH31	Perk endosk pelvis-ureterplastikk u/deling pelvis-ureterovrg
KAH40	Nyrebekken-ureterplastikk m/deling nyrebekken-ureterovergang
KAH41	Perk endosk pelvis-ureterplastikk m/deling pelvis-ureterovrg
KAH50	Ureterocalycostomi
KAH51	Perkutan endoskopisk ureterocalycostomi
KAH54	Perkutan endoskopisk incisjon eller dilatasjon av calyxhals
KAH55	Retrograd ureterorenoskop incisjon el dilatasjon calyxhals
KAH61	Perkutan endoskopisk incisjon av nyrebekken-ureterovergang
KAH62	Endopyelotomi
KAH70	Adheranseløsning i nyrebekken-ureterovergang
KAH71	Perkutan endosk adheranseløsning i nyrebekken-ureterovergang
KAH80	Nefropexi
KAH81	Perkutan endoskopisk nefropexi
KAH96	Annen rekonstruksjon av nyre eller nyrebekken
KAH97	Annen perkut endosk rekonstruksjon av nyre eller nyrebekken
KAH98	Annen translum endosk rekonstruksjon av nyre el nyrebekken
KAJ00	Nefrostomi
KAJ01	Perkutan endoskopisk nefrostomi
KAJ02	Retrograd ureteronefroskopisk nefrostomi
KAJ10	Pyelostomi
KAJ11	Perkutan endoskopisk pyelostomi
KAJ96	Annen ekstern drenasje av nyrebekken
KAJ97	Annen perkutan endoskopisk ekstern drenasje av nyrebekken
KAJ98	Annen translum endoskopisk ekstern drenasje av nyrebekken
KAS00	Autotransplantasjon av nyre
KAS10	Transplantasjon av nyre fra kadaverdonor
KAS20	Allogen transplantasjon av nyre fra levende donor
KAS40	Eksisjon av transplantert nyre
KAS41	Perkutan endoskopisk eksisjon av transplantert nyre
KAS50	Nefrocystostomi på transplantert nyre
KAS60	Operasjon for lymfocele i transplantert nyre
KAS61	Perkutan endoskopisk op for lymfocele i transplantert nyre
KAS96	Annet inngrep ved nyretransplantasjon
KAS97	Annet perkutant endoskopisk inngrep ved nyretransplantasjon
KAT00	Ekstrakorporal sjokkbølgelitotripsi i nyrebekken
KAW96	Annen operasjon på nyre eller nyrebekken
KAW97	Annen perkutan endoskopisk op på nyre eller nyrebekken
KAW98	Annen transluminal endoskopisk op på nyre eller nyrebekken
KBA00	Eksplorasjon av ureter
KBA01	Perkutan nefroureteroskopi
KBA10	Eksplorativ ureterotomi
KBA11	Perkutan endoskopisk eksplorativ ureterotomi
KBA96	Annen eksplorasjon av ureter
KBA97	Annen perkutan endoskopi el endoskopisk incisjon av ureter
KBB00	Biopsi av ureter
KBB01	Perkutan endoskopisk biopsi av ureter
KBC00	Ureterektomi
KBC01	Perkutan endoskopisk ureterektomi
KBD00	Reseksjon av ureter
KBD01	Perkutan endoskopisk reseksjon av ureter
KBD20	Destruksjon av tumor i ureter
KBD21	Perkutan endoskopisk destruksjon av tumor i ureter
KBD22	Retrograd ureteroskopisk destruksjon av tumor i ureter
KBD30	Eksisjon av ureterstump
KBD31	Perkutan endoskopisk eksisjon av ureterstump
KBD96	Annen reseksjon av ureter el destruksjon av tumor i ureter
KBD97	Annen perkut endosk reseksj ureter el destr av uretertumor
KBE00	Ureterolithotomi
KBE01	Perkutan endoskopisk ureterolithotomi
KBE12	Transluminal endoskopisk ekstraksjon av ureterstein
KBE22	Transluminal endoskopisk dislokasjon av innkilt ureterstein
KBE96	Annen operasjon for ureterstein
KBE97	Annen perkutan endoskopisk operasjon for ureterstein
KBE98	Annen transluminal endoskopisk operasjon for ureterstein
KBF00	Fjernelse av fremmedlegeme fra ureter
KBF01	Perkutan endoskopisk fjernelse av fremmedlegeme fra ureter
KBF02	Translum endoskopisk fjernelse av fremmedlegeme fra ureter
KBH00	Sutur av ureter
KBH01	Perkutan endoskopisk sutur av ureter
KBH06	Ureteroureterostomi
KBH10	Kontralateral ureteroureterostomi
KBH20	Reimplantasjon av ureter
KBH21	Perkutan endoskopisk reimplantasjon av ureter
KBH30	Rekonstruksjon av ureter med interposisjon av ileum
KBH40	Plastisk rekonstruksjon av ureter
KBH45	Endoureterotomi
KBH50	Ureterolyse
KBH51	Perkutan endoskopisk ureterolyse
KBH62	Transluminal endoskopisk dilatasjon av ureter
KBH96	Annen rekonstruksjon eller anastomose av ureter
KBH97	Annen perkutan endosk rekonstruksjon el anastomose av ureter
KBH98	Annen transluminal endoskopisk rekonstruksjon av ureter
KBJ00	Kutan ureterostomi
KBJ01	Perkutan endoskopisk kutan ureterostomi
KBJ10	Kutan ureteroenterostomi
KBJ20	Kontinent kutan ureteroenterostomi
KBJ40	Ureteroenterostomi
KBJ60	Anastomose av ureter til urethra m/interposisjon av tynntarm
KBJ70	Fjernelse av stein fra kutan ureterostomi eller reservoar
KBJ72	Translum endosk stenextr fra kutan ureterostomi el reservoar
KBJ80	Operasjon for malfunksjon av kutan ureterostomi el reservoar
KBJ96	Annet urinavledende eller tilhørende inngrep på ureter
KBJ97	Annet perkut endosk urinavledende el tilhørende op på ureter
KBJ98	Annen translum endosk op på kutan ureterostomi el reservoar
KBT00	Ekstrakorporal sjokkbølgelitotripsi i ureter
KBV00	Innlegging av ureterstent
KBV01	Nefroskopisk innlegging av ureterstent
KBV02	Transurethral innnleggelse av ureterstent
KBV10	Fjernelse av ureterstent
KBV11	Nefroskopisk fjernelse av ureterstent
KBV12	Transurethral fjernelse av ureterstent
KBV22	Transurethral dilatasjon av ureterostium
KBV32	Transurethral incisjon av ureterostium
KBV40	Incisjon eller eksisjon av ureterocele
KBV42	Transurethral incisjon eller eksisjon av ureterocele
KBV52	Transurethral injeksjonsbehandling for vesicoureteral reflux
KBW96	Annen operasjon på ureter
KBW97	Annen perkutan endoskopisk operasjon på ureter
KBW98	Annen transluminal endoskopisk operasjon på ureter
KCA00	Cystotomi
KCA01	Perkutan endoskopisk cystotomi
KCB00	Biopsi av urinblære
KCB01	Perkutan endoskopisk biopsi av urinblære
KCC00	Cystektomi
KCC10	Cystoprostatektomi
KCC20	Cystoprostatourethrektomi
KCC30	Cystektomi med eksisjon av kvinnelige genitalia interna
KCC96	Annen cystektomi
KCD02	Transurethral reseksjon av blæretumor
KCD10	Blærereseksjon
KCD11	Perkutan endoskopisk blærereseksjon
KCD20	Eksisjon av blæredivertikkel
KCD21	Perkutan endoskopisk eksisjon av blæredivertikkel
KCD30	Destruksjon av blæretumor
KCD32	Transurethral destruksjon av blæretumor
KCD40	Eksisjon av urachus
KCD96	Annen blærereseksjon eller destruksjon av blæretumor
KCD97	Annen perkut endosk blærereseksjon el destruksjon blæretumor
KCD98	Annen transurethral reseksjon el destruksjon av blæretumor
KCE00	Cystolithotomi
KCE01	Perkutan endoskopisk ekstraksjon av blærestein
KCE02	Transurethral ekstraksjon av blærestein
KCF00	Cystotomi med fjernelse av fremmedlegeme fra urinblære
KCF01	Perkutan endosk fjernelse av fremmedlegeme fra urinblære
KCF02	Transurethral fjernelse av fremmedlegeme fra urinblære
KCH00	Sutur av urinblære
KCH01	Perkutan endoskopisk sutur av urinblære
KCH02	Transurethral blæresutur
KCH10	Enterocystoplastikk
KCH11	Perkutan endoskopisk enterocystoplastikk
KCH20	Reduksjonscystoplastikk
KCH21	Perkutan endoskopisk reduksjonscystoplastikk
KCH30	Lukking av vesicointestinal fistel
KCH40	Incisjon eller reseksjon av blærehals
KCH42	Transurethral incisjon eller reseksjon av blærehals
