AA0 27	Innlegging av intracerebral trykkmåler
FHC 20	Lukking av multiple ventrikkelseptumdefekter gjennom venstre ventrikulotomi
FHC 30	Lukking av multiple ventrikkelseptumdefekter gjennom kombinert atriotomi og ventrikulotomi
FHC 96	Annen lukking av multiple medfødte ventrikkelseptumdefekter
FHD 00	Rekonstruksjon med atrioventrikulær patch ved komplett atrioventrikulær septumdefekt 
FHD 10	Rekonstruksjon med to-patch-teknikk ved komplett atrioventrikulær septumdefekt
FHD 30	Rekonstruksjon og samtidig reseksjon av pulmonalstenose ved komplett atrioventrikulær septumdefekt
FHD 96	Annen rekonstruksjon ved komplett atrioventrikulær septumdefekt
FHE 00	Transatrial rekonstruksjon ved Fallots tetrade
FHE 10	Transventrikulær rekonstruksjon ved Fallots tetrade
FHE 20	Transventrikulær rekonstruksjon med utløpspatch ved Fallots tetrade 
FHE 30	Rekonstruksjon med transannulær patch ved Fallots tetrade
FHE 40	Rekonstruksjon med ventrikulopulmonal protese eller homotransplantat ved Fallots tetrade
FHE 96	Annet rekonstruksjonsinngrep ved Fallots tetrade
FHF 00	Rekonstruksjon med transannulær patch ved pulmonalatresi 
FHF 10	Rekonstruksjon ved pulmonalatresi med ventrikulopulmonal protese eller homotransplantat
FHF 20	Rekonstruksjon ved pulmonalatresi med transannulær patch og lukking av ventrikkelseptumdefekt
FHF 30	Rekonstruksjon ved pulmonalatresi med ventrikulopulmonal protese eller homotransplantat og lukking av ventrikkelseptumdefekt
FHF 96	Annet rekonstruksjonsinngrep ved pulmonalatresi
FHG 00	Korreksjon av double outlet venstre ventrikkel
FHG 10	Korreksjon av double outlet høyre ventrikkel
FHG 96	Annen operasjon for double outlet ventrikkel
FHH 00	Utvidelse av ventrikkelseptumdefekt ved univentrikulært hjerte
FHH 10	Utvidelse av ventrikkelseptumdefekt ved double outlet ventrikkel
FHH 20	Fenestrasjon av patch innsatt i ventrikkelseptumdefekt
FHH 96	Annen operasjon for anleggelse eller utvidelse av ventrikkelseptumdefekt
FHJ 00	Konstruksjon av ventrikkelseptum med patch
FHJ 10	Konstruksjon av ventrikkelseptum med fenestrert patch
FHJ 96	Annen konstruksjon av ventrikkelseptum
FHW 96	Annen operasjon på ventrikkelseptum
FJA 00	Biopsi av høyre ventrikkel
FJA 12	Transvenøs biopsi av høyre ventrikkel
FJA 96	Annen biopsi av høyre ventrikkel
FJB 00	Sutur av høyre ventrikkel for skade
FJB 10	Rekonstruksjon av høyre ventrikkel med protese for skade 
FJB 96	Annet rekonstruksjonsinngrep på høyre ventrikkel for skade
FJC 00	Ekstirpasjon av lesjon i høyre ventrikkel
FJC 10	Fjerning av fremmedlegeme fra høyre ventrikkel
FJC 12	Perkutan transluminal fjerning av fremmedlegeme fra høyre ventrikkel
FJD 00	Reseksjon av fibromuskulær infundibulær pulmonalstenose
FJD 10	Utvidelse av høyre ventrikkel med patch
FJD 20	Bypass av pulmonalklaff med ventrikulopulmonal protese eller homotransplantat
FJD 96	Annen operasjon på høyre ventrikkelutløp for obstruksjon
FJE 00	Dilatasjon av pulmonalklaff
FJE 10	Pulmonal valvulotomi
FJE 20	Eksisjon av pulmonalklaff og utvidelse av annulus med patch
FJE 30	Transannulær pulmonal patch-plastikk med monocusp klaffeprotese
FJE 42	Perkutan transluminal utvidelse av pulmonalklaffen
FJE 96	Annen operasjon på pulmonalklaff for isolert stenose
FJF 00	Implantasjon av mekanisk pulmonalklaffeprotese
FJF 10	Implantasjon av biologisk pulmonalklaffeprotese 
FJF 20	Homotransplantasjon av pulmonalklaff
FJF 96	Annen implantasjon av pulmonalklaffeprotese
FJW 96	Annen operasjon på høyre ventrikkel eller pulmonalklaff
FKA 00	Kommissurotomi av mitralklaff
FKA 10	Kommissurotomi av mitralklaff med dekalsinering
FKA 20	Kommissurotomi av mitralklaff og spalting av fusjonerte chordae
FKA 32	Perkutan transluminal utvidelse av mitralklaffen
FKA 96	Annet rekonstruksjonsinngrep ved mitralstenose
FKB 00	Annuloplastikk med sutur ved mitralinsuffisiens
FKB 10	Annuloplastikk med ring ved mitralinsuffisiens
FKB 96	Annen annuloplastikk ved mitralinsuffisiens
FKC 00	Rekonstruksjon med sutur ved mitralinsuffisiens
FKC 10	Sutur av mitralsplitt
FKC 20	Plastisk rekonstruksjon av klaffeblad ved mitralinsuffisiens
FKC 30	Forkortning eller forlengelse av chorda ved mitralinsuffisiens
FKC 40	Sutur av chorda eller papillemuskel ved mitralinsuffisiens
FKC 50	Rekonstruksjon med kunstig chorda ved mitralinsuffisiens
FKC 60	Reseksjon og rekonstruksjon av klaffeblad ved mitralinsuffisiens
FKC 96	Annet rekonstruksjonsinngrep ved mitralinsuffisiens
FKD 00	Implantasjon av mekanisk mitralklaffeprotese
FKD 10	Implantasjon av biologisk mitralklaffeprotese
FKD 20	Implantasjon av homotransplantat i mitralostiet
FKD 96	Annen implantasjon av mitralklaffeprotese
FKW 96	Annen operasjon på mitralklaff
FLA 00	Åpen biopsi av venstre ventrikkel
FLA 12	Perkutan transluminal biopsi av venstre ventrikkel
FLA 96	Annen biopsi av venstre ventrikkel
FLB 00	Ekstirpasjon av lesjon i venstre ventrikkel
FLB 10	Fjerning av fremmedlegeme fra venstre ventrikkel
FLB 12	Perkutan transluminal fjerning av fremmedlegeme fra venstre ventrikkel
FLC 00	Sutur av venstre ventrikkel
FLC 10	Rekonstruksjon av venstre ventrikkelvegg med patch
FLC 96	Annet rekonstruksjonsinngrep på venstre ventrikkel
FLD 00	Plikatur av venstre ventrikkelaneurisme
FLD 10	Reseksjon av venstre ventrikkelaneurisme
FLD 20	Reseksjon av venstre ventrikkelaneurisme og rekonstruksjon med patch
FLD 30	Reduksjonsplastikk av venstre ventrikkel
FLD 50	Plastisk ekspansjon av venstre ventrikkel
FLD 96	Annen reduksjon eller ekspansjon av venstre ventrikkel
FLE 00	Eksisjon av subvalvulær membran i venstre ventrikkel
FLE 10	Myotomi eller myektomi i venstre ventrikkel for utløpsobstruksjon
FLE 96	Annen operasjon på venstre ventrikkelutløp ved obstruksjon
FLF 00	Transmyokardial laserrevaskularisering fra venstre ventrikkel
FLF 12	Perkutan transmyokardial laserrevaskularisering fra venstre ventrikkel
FLW 96	Annen operasjon på venstre ventrikkel
FMA 00	Dilatasjon av aortaklaff
FMA 10	Kommissurotomi i aortaklaff
FMA 20	Plastisk rekonstruksjon ved aortaklaffestenose
FMA 32	Perkutan transluminal utvidelse av aortaklaffen
FMA 96	Annet rekonstruksjonsinngrep ved aortaklaffestenose
FMB 00	Supravalvulær utvidelse av aortaostium med patch
FMB 10	Transannulær utvidelse av aortaostium
FMB 20	Aortoseptal utvidelse av aortaostium
FMB 96	Annen utvidelse av aortaostium
FMC 00	Annuloplastikk ved aortainsuffisiens
FMC 10	Reduksjon av klaffeblad i aortaklaff
FMC 20	Sutur av klaffeblad i aortaklaff
FMC 96	Annen operasjon ved aortainsuffisiens
FMD 00	Implantasjon av mekanisk aortaklaffeprotese
FMD 10	Implantasjon av biologisk aortaklaffeprotese
FMD 20	Implantasjon av homotransplantat i aortaostium
FMD 30	Homotransplantasjon av aortaroten med reimplantasjon av koronararterier
FMD 40	Pulmoaortal autotransplantasjon med reimplantasjon av koronararterier og implantasjon av homotransplantat i pulmonalostiet
FMD 96	Annen implantasjon av aortaklaffeprotese
FMW 96	Annen operasjon på aortaklaff
FNA 00	Anastomose mellom a. mammaria interna og koronararterie
FNA 10	Sekvensielle anastomoser mellom a. mammaria interna og koronararterier
FNA 20	Anastomose mellom bilaterale aa. mammariae internae og koronararterier
FNA 96	Annen anastomose mellom a. mammaria interna og koronararterie
FNB 00	Anastomose mellom a. gastroepiploica og koronararterie
FNB 20	Sekvensielle anastomoser mellom a. gastroepiploica og koronararterier
FNB 96	Annen anastomose mellom a. gastroepiploica og koronararterie
FNC 10	Aortokoronar venebypass med en distal anastomose
FNC 20	Aortokoronar venebypass med to distale anastomoser
FNC 30	Aortokoronar venebypass med tre distale anastomoser
FNC 40	Aortokoronar venebypass med fire distale anastomoser
FNC 50	Aortokoronar venebypass med fem distale anastomoser
FNC 60	Aortokoronar venebypass med seks distale anastomoser
FNC 96	Annen aortokoronar venebypass
FND 10	Aortokoronar bypass med én karprotese
FND 20	Aortokoronar bypass med to karproteser
FND 96	Annen aortokoronar bypass med karprotese
FNE 00	Koronar bypass med fritt transplantat av a. mammaria interna
FNE 10	Koronar bypass med fritt transplantat av a. gastroepiploica
FNE 96	Koronar bypass med annet fritt arterietransplantat
FNF 00	Trombendarterektomi i høyre koronararterie
FNF 10	Trombendarterektomi i ramus descendens anterior
FNF 20	Trombendarterektomi i ramus circumflexus
FNF 30	Trombendarterektomi i venstre koronararteries hovedstamme
FNF 96	Annen koronar trombendarterektomi
FNG 00	Dilatasjon av koronararterie
FNG 02	Perkutan transluminal koronar angioplastikk
FNG 05	Perkutan transluminal koronar angioplastikk med stentinnlegging
FNG 10	Embolektomi i koronararterie
FNG 20	Fjerning av fremmedlegeme fra koronararterie
FNG 22	Perkutan transluminal fjerning av fremmedlegeme fra koronararterie
FNG 30	Koronar angioplastikk med patch
FNG 96	Annen utvidelse eller rekanalisering av koronararterie
FNH 00	Sutur av koronararterie
FNH 10	Rekonstruksjon av koronararterie med patch
FNH 20	Rekonstruksjon av koronararterie med bypass
FNH 96	Annet rekonstruksjonsinngrep på koronararterie
FNJ 00	Ligatur av anomal koronararterie
FNJ 02	Perkutan transluminal okklusjon av anomal koronararterie
FNJ 10	Lukking av koronarfistel
FNJ 12	Perkutan transluminal okklusjon av koronarfistel
FNJ 96	Annen operasjon for koronarfistel
FNK 00	Transposisjon av koronararterie
FNK 10	Pulmonal koronar arterieplastikk med anastomose til aorta
FNK 20	Rekonstruksjon av anomal koronararterie med ligatur og bypass
FNK 96	Annet rekonstruksjonsinngrep ved anomal avgang av koronararterie
FNW 96	Annen operasjon på koronararterie
FNW 98	Annet perkutant transluminalt inngrep på koronararterie
FPA 00	Deling av anteroseptal atrioventrikulær ledningsbane
FPA 10	Deling av posteroseptal atrioventrikulær ledningsbane
FPA 20	Deling av høyresidig atrioventrikulær ledningsbane
FPA 30	Deling av venstresidig atrioventrikulær ledningsbane
FPA 40	Deling av multiple atrioventrikulære ledningsbaner
FPA 96	Annen operasjon for supraventrikulær arytmi
FPB 00	Eksisjon av ektopisk hjertefokus
FPB 10	Kryoablasjon av ektopisk hjertefokus
FPB 20	Radiobølgeablasjon av aberrant ledningsbane eller hjertefokus
FPB 22	Transvenøs radiobølgeablasjon av aberrant ledningsbane eller hjertefokus
FPB 96	Annen eksisjon eller destruksjon av aberrant ledningsbane eller hjertefokus
FPC 00	Partiell endokardial myotomi for ventrikulær arytmi
FPC 10	Total endokardial myotomi for ventrikulær arytmi
FPC 96	Annen endokardial myotomi for ventrikulær arytmi
FPD 00	Labyrintoperasjon for atrieflimmer
FPD 96	Annen operasjon for atrieflimmer
FPE 00	Implantasjon av pacemaker med transvenøs ventrikkelelektrode
FPE 10	Implantasjon av pacemaker med transvenøs atrieelektrode
FPE 20	Implantasjon av pacemaker med transvenøs atrie- og ventrikkelelektrode
FPE 30	Utskifting av transvenøs pacemaker pulsgenerator
FPE 40	Utskifting av transvenøs pacemaker elektrode
FPE 96	Annen implantasjon eller utskifting av transvenøs pacemaker
FPF 00	Implantasjon av pacemaker med epikardial ventrikkelelektrode
FPF 10	Implantasjon av pacemaker med epikardial atrieelektrode
FPF 20	Implantasjon av pacemaker med epikardial atrie- og ventrikkelelektrode
FPF 30	Utskifting av epikardial pacemaker pulsgenerator
FPF 40	Utskifting av epikardial pacemakerelektrode
FPF 96	Annen implantasjon eller utskifting av epikardial pacemaker
FPG 00	Implantasjon av cardioverter-defibrillator med generator og transvenøs elektrode
FPG 10	Implantasjon av cardioverter-defibrillator med generator og epikardial elektrode
FPG 20	Implantasjon av cardioverter-defibrillator med generator og epikardial elektrode ved åpen hjertekirurgi
FPG 96	Annen implantasjon av permanent cardioverter-defibrillator
FPH 00	Fjerning av pacemaker eller cardioverter-defibrillator med transvenøs ekstraksjon av elektrode
FPH 10	Fjerning av pacemaker eller cardioverter-defibrillator med åpen ekstraksjon av transvenøs elektrode
FPH 20	Fjerning av pacemaker eller cardioverter-defibrillator med epikardial elektrode
FPH 96	Annen fjerning av pacemaker eller cardioverter-defibrillator
FPJ 00	Revisjon av pacemaker-pulsgenerator eller -elektrode
FPW 96	Annen operasjon for arytmi eller ledningsforstyrrelse
FQA 00	Ortotop hjertetransplantasjon
FQA 10	Ortotop hjertetransplantasjon med bikaval anastomose
FQA 20	Ortotop hjertetransplantasjon med rekonstruksjon av mottakeratrier eller systemvenøse anastomoser
FQA 30	Heterotop hjertetransplantasjon
FQA 40	Hjertetransplantasjon med levende donor
FQA 96	Annen hjertetransplantasjon
FQB 00	Transplantasjon av hjerte og lunge
FQB 10	Transplantasjon av hjerte og lunge med bikaval anastomose
FQB 20	Transplantasjon av hjerte og lunge med rekonstruksjon av mottakeratrier eller systemvenøse anastomoser
FQB 30	Transplantasjon av hjerte og lunger med revaskularisering av bronkialarterier
FQB 96	Annen transplantasjon av hjerte og lunge
FQW 96	Annet inngrep ved transplantasjon av hjerte og lunge
FWA 00	Reoperasjon for sårruptur etter inngrep på hjerte eller stort intratorakalt kar
FWB 00	Reoperasjon for overfladisk infeksjon etter inngrep på hjerte eller stort intratorakalt kar
FWC 00	Reoperasjon for dyp infeksjon etter inngrep på hjerte eller stort intratorakalt kar
FWD 00	Reoperasjon for overfladisk blødning etter inngrep på hjerte eller stort intratorakalt kar
FWE 00	Reoperasjon for dyp blødning etter inngrep på hjerte eller stort intratorakalt kar
FWF 00	Reoperasjon for insuffisiens av anastomose eller sutur i hjerte eller stort intratorakalt kar
FWG 00	Reoperasjon for trombose eller emboli etter inngrep på hjerte eller stort intratorakalt kar
FWG 02	Perkutan transluminal reoperasjon for trombose eller emboli etter inngrep på hjerte eller stort intratorakalt kar
FWW 96	Annen reoperasjon etter inngrep på hjerte eller stort intratorakalt kar
FWW 98	Annen perkutan transluminal reoperasjon etter inngrep på hjerte eller stort intratorakalt kar
FX2 81	Åpen hjertekompresjon
FXA 00	Total peroperativ kardiopulmonal bypass ved normotermi eller moderat hypotermi
FXA 10	Total peroperativ kardiopulmonal bypass ved dyp hypotermi
FXA 20	Total peroperativ kardiopulmonal bypass ved dyp hypotermi og sirkulasjonsstans
FXA 96	Annen peroperativ total kardiopulmonal bypass
FXB 00	Peroperativ partiell kardiopulmonal bypass
FXC 00	Peroperativ partiell kardiopulmonal bypass uten oksygenator
FXD 00	Kanylering for ECHLA uten samtidig kirurgisk inngrep
FXE 00	Kanylering for ECLA
FXF 00	Dekanylering etter ECHLA eller ECLA
FXG 00	Innlegging av IABP
FXH 00	Fjerning av IABP
FXJ 00	Innlegging av PABP
FXK 00	Fjerning av PABP
FXL 00	Innlegging av ekstra -, para- eller intrakorporal VAD
FXM 00	Fjerning av ekstra -, para- eller intrakorporal VAD
FXN 00	Prosedyre med bruk av TAH
FXP 00	Hemofiltrasjon eller hemodialyse under kardiopulmonal bypass
GAA 10	Interkostal innlegging av pleuradren
GAA 15	Innlegging av pleuradren med costareseksjon
GAA 20	Pleurostomi
GAA 31	Torakoskopi
GAA 96	Annen åpen eller perkutan pleuradrenasje
GAA 97	Annen torakoskopisk pleuradrenasje
GAB 00	Nødtorakotomi
GAB 10	Antero- eller posterolateral torakotomi
GAB 13	Transaksillær torakotomi
GAB 20	Median sternotomi
GAB 96	Annen torakotomi
GAC 00	Pleurabiopsi
GAC 01	Torakoskopisk pleurabiopsi
GAC 10	Fjerning av fremmedlegeme fra pleura
GAC 11	Torakoskopisk fjerning av fremmedlegeme fra pleura
GAC 20	Ekstirpasjon eller destruksjon av lesjon i pleura
GAC 21	Torakoskopisk ekstirpasjon eller destruksjon av lesjon i pleura
GAC 30	Anleggelse av pneumotoraks
GAC 33	Mekanisk pleurodese
GAC 34	Torakoskopisk mekanisk pleurodese
GAC 36	Kjemisk pleurodese
GAC 37	Torakoskopisk kjemisk pleurodese
GAC 40	Pleurodese med pleurektomi
GAC 41	Torakoskopisk pleurodese med pleurektomi
GAC 43	Total dekortikasjon av lunge
GAC 44	Torakoskopisk total dekortikasjon 
GAC 46	Partiell dekortikasjon av lunge
GAC 47	Torakoskopisk partiell dekortikasjon av pleura
GAC 96	Annen operasjon på pleura
GAC 97	Annen torakoskopisk operasjon på pleura
GAC 98	Annen operasjon på pleura gjennom pleurostomi
GAD 00	Torakoplastikk
GAD 03	Torakoplastikk med plombe
GAD 10	Fjerning av plombe fra brystvegg
GAD 96	Annen torakoplastikk eller tilhørende inngrep
GAE 00	Incisjon eller biopsi av brystvegg
GAE 03	Sutur av brystvegg
GAE 06	Ekstirpasjon av lesjon i brystvegg
GAE 10	Lukking av tidligere incisjon i brystvegg
GAE 13	Lukking av pleuravindu
GAE 16	Reseksjon av brystvegg
GAE 20	Reseksjon av brystvegg og rekonstruksjon med lapp
GAE 23	Reseksjon av brystvegg og rekonstruksjon med protesemateriale
GAE 26	Rekonstruksjon av brystvegg ved skade
GAE 30	Rekonstruksjon av brystvegg og diafragma ved kombinert skade
GAE 40	Operasjon på ribbein og bløtdeler for toraksapertursyndrom
GAE 50	Rekonstruksjon ved brystveggsdefekt
GAE 53	Fjerning av fremmedlegeme fra brystvegg
GAE 96	Annen incisjon, biopsi, reseksjon eller rekonstruksjon av brystvegg
GAF 00	Korreksjon av pectus carinatum
GAF 03	Korreksjon av pectus excavatum
GAF 10	Fjerning av protesemateriale fra brystvegg etter korreksjon av misdannelse
GAF 96	Annen operasjon for misdannelse av brystvegg
GAG 00	Transtorakal biopsi av diafragma
GAG 01	Torakoskopisk biopsi av diafragma
GAG 10	Transtorakal ekstirpasjon eller destruksjon av lesjon i diafragma
GAG 11	Torakoskopisk ekstirpasjon eller destruksjon av lesjon i diafragma
GAG 20	Transtorakal fjerning av fremmedlegeme fra diafragma
GAG 21	Torakoskopisk fjerning av fremmedlegeme fra diafragma
GAG 30	Transtorakal rekonstruksjon av diafragma ved ruptur
GAG 33	Transtorakal reseksjon av diafragma
GAG 36	Transtorakal reseksjon og rekonstruksjon av diafragma med transplantat
GAG 40	Transtorakal lukking av torakoabdominal fistel
GAG 50	Transtorakal rekonstruksjon av diafragmadefekt
GAG 96	Annen transtorakal operasjon på diafragma
GAG 97	Annen torakoskopisk operasjon på diafragma
GAW 96	Annen operasjon på brystvegg, pleura eller diafragma
GAW 97	Annen torakoskopisk operasjon på brystvegg, pleura eller diafragma
GBA 00	Incisjon av trachea
GBA 12	Endoskopisk fjerning av fremmedlegeme fra trachea
GBA 22	Endoskopisk ekstirpasjon av lesjon i trachea
GBA 25	Endoskopisk elektrokoagulasjon av lesjon i trachea
GBA 28	Endoskopisk laserterapi av lesjon i trachea
GBA 32	Endoskopisk dilatasjon av trachea
GBA 40	Sutur av trachea
GBA 46	Tracheoplastikk
GBA 50	Rekonstruksjon av trachea
GBA 53	Rekonstruksjon av trachea med protese
GBA 96	Annen incisjon eller operasjon på trachea for skade eller lesjon
GBA 98	Annet endoskopisk inngrep på trachea for skade eller lesjon
GBB 00	Tracheostomi
GBB 06	Tracheostomi med fjerning av fremmedlegeme
GBB 13	Revisjon av tracheostomi
GBB 18	Lukking av tracheostomi
GBB 96	Annet inngrep ved tracheostomi
GBC 00	Partiell reseksjon av trachea
GBC 03	Reseksjon av trachea
GBC 06	Reseksjon og rekonstruksjon av trachea med protese
GBC 10	Reseksjon og rekonstruksjon av carina
GBC 13	Reseksjon og rekonstruksjon av carina med transplantat
GBC 96	Annen reseksjon eller rekonstruksjon av trachea
GBW 96	Annen operasjon på trachea
GBW 98	Annet transluminalt endoskopisk inngrep på trachea
GCA 02	Bronkoskopisk elektrokoagulasjon
GCA 05	Bronkoskopisk laserterapi
GCA 06	Ekstirpasjon av lesjon i bronkie
GCA 08	Bronkoskopisk ekstirpasjon av lesjon
GCA 10	Åpen fjerning av fremmedlegeme i bronkie
GCA 12	Bronkoskopisk fjerning av fremmedlegeme
GCA 18	Bronkoskopisk dilatasjon av bronkie
GCA 20	Sutur eller rekonstruksjon av bronkie for skade
GCA 26	Plastisk rekonstruksjon av bronkie
GCA 30	Rekonstruksjon av bronkie med protese
GCA 40	Lukking av bronkopleural fistel
GCA 42	Bronkoskopisk lukking av bronkopleural fistel
GCA 43	Annen lukking av bronkopleural fistel
GCA 50	Partiell reseksjon av bronkie
GCA 60	Reseksjon av bronkie med ende til ende-anastomose
GCA 63	Mansjettreseksjon av bronkie
GCA 70	Reseksjon og rekonstruksjon av bronkie med protese
GCA 96	Annen operasjon på bronkie
GCA 98	Annet bronkoskopisk inngrep
GDA 00	Incisjon av lunge
GDA 01	Torakoskopisk incisjon av lunge
GDA 10	Lungebiopsi
GDA 11	Torakoskopisk lungebiopsi
GDA 12	Bronkoskopisk lungebiopsi
GDA 20	Ekstirpasjon av lesjon i lunge
GDA 21	Torakoskopisk ekstirpasjon av lesjon i lunge
GDA 30	Åpen fjerning av fremmedlegeme fra lunge
GDA 31	Torakoskopisk fjerning av fremmedlegeme fra lunge
GDA 40	Rekonstruksjon av lunge ved skade
GDA 41	Torakoskopisk rekonstruksjon av lunge ved skade
GDA 96	Annen incisjon, ekstirpasjon av lesjon eller rekonstruksjon av lunge
GDA 97	Annen torakoskopisk incisjon, ekstirpasjon av lesjon eller rekonstruksjon av lunge
GDA 98	Annen bronkoskopisk incisjon, ekstirpasjon av lesjon eller rekonstruksjon av lunge
GDB 00	Reseksjon av bullae
GDB 01	Torakoskopisk reseksjon av bullae
GDB 10	Kilereseksjon av lunge
GDB 11	Torakoskopisk kilereseksjon av lunge
GDB 20	Segmentreseksjon av lunge
GDB 21	Torakoskopisk segmentreseksjon av lunge
GDB 96	Annet reseksjonsinngrep på lunge
GDB 97	Annet torakoskopisk reseksjonsinngrep på lunge
GDC 00	Lobektomi av lunge
GDC 01	Torakoskopisk lobektomi av lunge
GDC 10	Bilobektomi av lunge
GDC 11	Torakoskopisk bilobektomi av lunge
GDC 13	Utvidet lobektomi eller bilobektomi av lunge
GDC 20	Lobektomi av lunge og mansjettreseksjon av bronkie
GDC 23	Lobektomi og segmentreseksjon av lunge
GDC 26	Lobektomi og annen reseksjon av lunge
GDC 96	Annen lobektomi av lunge
GDC 97	Annen torakoskopisk lobektomi av lunge
GDD 00	Pneumonektomi
GDD 01	Torakoskopisk pneumonektomi
GDD 10	Pleuropneumonektomi
GDD 11	Torakoskopisk pleuropneumonektomi
GDD 20	Utvidet pneumonektomi
GDD 23	Pneumonektomi med reseksjon av carina
GDD 26	Pneumonektomi med reseksjon av bronkie og ev. trachea
GDD 96	Annen pneumonektomi
GDD 97	Annen torakoskopisk pneumonektomi
GDG 00	Unilateral lungetransplantasjon
GDG 03	Unilateral lungetransplantasjon med revaskularisering av bronkialarterier
GDG 10	Bilateral lungetransplantasjon
GDG 13	Bilateral lungetransplantasjon med revaskularisering av bronkialarterier
GDG 30	Lungetransplantasjon fra levende donor
GDG 96	Annen lungetransplantasjon
GDW 96	Annen operasjon på lunge
GDW 97	Annen torakoskopisk operasjon på lunge
GDW 98	Annen bronkoskopisk operasjon på lunge
GEA 00	Mediastinoskopi
GEA 10	Mediastinoskopi med fjerning av fremmedlegeme
GEA 20	Mediastinoskopi med ekstirpasjon av lesjon
GEA 96	Annet mediastinoskopisk inngrep
GEB 10	Mediastinotomi
GEB 20	Mediastinotomi med fjerning av fremmedlegeme
GEB 30	Mediastinotomi og ekstirpasjon av lesjon
GEB 40	Mediastinotomi og utvidet ekstirpasjon av lesjon
GEB 96	Annen mediastinotomi
GEC 00	Biopsi av thymus
GEC 03	Mediastinoskopisk biopsi av thymus
GEC 10	Transcervikal reseksjon av thymus
GEC 13	Transsternal reseksjon av thymus
GEC 16	Mediastinoskopisk reseksjon av thymus
GEC 20	Transcervikal thymektomi
GEC 23	Transsternal thymektomi
GEC 26	Mediastinoskopisk thymektomi
GEC 93	Annen mediastinoskopisk operasjon på thymus
GEC 96	Annen operasjon på thymus
GEW 96	Annen operasjon på mediastinum
GWA 00	Reoperasjon for sårruptur ved torakskirurgi
GWB 00	Reoperasjon for overfladisk infeksjon ved torakskirurgi
GWC 00	Reoperasjon for dyp infeksjon ved torakskirurgi
GWC 01	Torakoskopisk reoperasjon for dyp infeksjon ved torakskirurgi
GWD 00	Reoperasjon for overfladisk blødning ved torakskirurgi
GWE 00	Reoperasjon for dyp blødning ved torakskirurgi
GWE 01	Torakoskopisk reoperasjon for dyp blødning ved torakskirurgi
GWE 02	Transluminal endoskopisk reoperasjon for dyp blødning ved torakskirurgi
GWF 00	Reoperasjon for insuffisiens av anastomose eller sutur ved torakskirurgi
GWF 01	Torakoskopisk reoperasjon for insuffisiens av anastomose eller sutur ved torakskirurgi
GWW 96	Annen reoperasjon ved torakskirurgi
GWW 97	Annen torakoskopisk reoperasjon ved torakskirurgi
GWW 98	Annen transluminal endoskopisk reoperasjon ved torakskirurgi
HAA 00	Incisjon av mamma
HAA 01	Sutur av mamma
HAA 10	Biopsi av mamma
HAB 00	Ekstirpasjon av lesjon i mamma
HAB 10	Mikroductektomi i mamma
HAB 20	Eksisjon av melkegang
HAB 30	Eksisjon av brystvorte eller areola
HAB 40	Kilereseksjon av mamma
HAB 99	Annen reseksjon av mamma
HAC 10	Subkutan mastektomi med bevaring av brystvorte
HAC 15	Subkutan mastektomi med eksisjon av brystvorte
HAC 20	Total mastektomi
HAC 25	Radikal mastektomi
HAC 30	Eksisjon av overtallig mamma eller brystvorte
HAC 99	Annen mastektomi
HAD 00	Augmentasjonsmammoplastikk
HAD 10	Augmentasjon av mamma med protese
HAD 20	Fettsuging i mamma
HAD 30	Reduksjonsmammoplastikk med transposisjon av areola
HAD 35	Reduksjonsmammoplastikk med transplantasjon av areola
HAD 40	Mastopeksi
HAD 45	Eversjon av brystvorte
HAD 50	Fjerning av mammaprotese
HAD 55	Incisjon av fibrøs kapsel rundt mammaprotese
HAD 60	Utskifting av mammaprotese
HAD 99	Annen plastisk operasjon på mamma
HAE 00	Rekonstruksjon av mamma med protese
HAE 05	Rekonstruksjon av mamma med bløtvev og protese
HAE 10	Rekonstruksjon av mamma med transplantat eller lapp
HAE 20	Rekonstruksjon av areola og brystvorte med transplantat eller lapp
HAE 99	Annen rekonstruksjon av mamma
HAF 00	Eksisjon av lokalresidiv av mammacancer
HAF 10	Rekonstruksjon av mamma med transplantat eller lapp etter eksisjon av lokalt cancerresidiv
HAF 20	Rekonstruksjon av mamma med protese etter eksisjon av lokalt cancerresidiv
HAF 99	Annen operasjon for lokalresidiv av mammacancer
HWA 00	Reoperasjon for sårruptur ved mammakirurgi
HWB 00	Reoperasjon for overfladisk infeksjon ved mammakirurgi
HWC 00	Reoperasjon for dyp infeksjon ved mammakirurgi
HWD 00	Reoperasjon for overfladisk blødning ved mammakirurgi
HWE 00	Reoperasjon for dyp blødning ved mammakirurgi
HWF 00	Reoperasjon for suturinsuffisiens ved mammakirurgi
HWW 99	Annen reoperasjon ved mammakirurgi
JAA 00	Incisjon i bukvegg
JAA 10	Lokal ekstirpasjon i bukvegg
JAA 11	Laparoskopisk biopsi eller lokal ekstirpasjon i bukvegg
JAA 96	Annet lokalt inngrep på bukvegg
JAA 97	Annet laparoskopisk lokalt inngrep på bukvegg
JAB 00	Deling og ligatur av ingvinal brokksekk
JAB 10	Operasjon for lyskebrokk
JAB 11	Laparoskopisk operasjon for lyskebrokk
JAB 20	Operasjon for lyskebrokk med transplantat
JAB 30	Operasjon for lyskebrokk med fremmed materiale
JAB 40	Laparotomi med bukveggsplastikk for lyskebrokk 
JAB 96	Annen operasjon for lyskebrokk
JAC 10	Operasjon for lårbrokk
JAC 11	Laparoskopisk operasjon for lårbrokk
