AAA00	Eksplorativ kraniotomi
JFD10	Revisjon av jejunoileal shunt
JFD20	Tilbakekobling av tarmshunt
JFD96	Annen tarmshuntoperasjon
JFE00	Tynntarmstransplantasjon
JFE96	Annen operasjon tilknyttet tynntarmstransplantasjon
JFF00	Kateterenterostomi
JFF01	Laparoskopisk kateterenterostomi
JFF10	Bøyleenterostomi
JFF11	Laparoskopisk bøyleenterostomi
JFF13	Terminal enterostomi
JFF20	Cøkostomi
JFF21	Laparoskopisk cøkostomi
JFF23	Transversostomi
JFF24	Laparoskopisk transversostomi
JFF26	Sigmoidostomi
JFF27	Laparoskopisk sigmoidostomi
JFF30	Annen kolostomi
JFF31	Annen laparoskopisk kolostomi
JFF40	Appendicostomi
JFF41	Laparoskopisk appendicostomi
JFF50	Fremlegging av kolonslynge uten åpning
JFF51	Laparoskopisk fremlegging av kolonslynge uten åpning
JFF60	Åpning av fremlagt kolonslynge
JFF96	Annen fremlegging av tarm eller anleggelse av tarmstomi
JFF97	Annen laparoskopisk fremlegging av tarm eller anleggelse av tarmstomi
JFG00	Lukking av bøyleenterostomi uten reseksjon
JFG10	Lukking av bøylekolostomi uten reseksjon
JFG20	Lukking av enterostomi med reseksjon av fremlagt bøyle
JFG23	Lukking av endeenterostomi med anastomose til tynntarm
JFG26	Lukking av endeenterostomi med anastomose til colon
JFG29	Lukking av endeenterostomi med anastomose til rectum
JFG30	Lukking av kolostomi med reseksjon av fremlagt bøyle
JFG33	Lukking av endekolostomi med anastomose til colon
JFG36	Lukking av endekolostomi med anastomose til rectum
JFG40	Revisjon av enterostomi eller kolostomi uten laparotomi
JFG50	Laparotomi med revisjon av enterostomi eller kolostomi
JFG53	Revisjon av ileoanalt eller ileorektalt reservoar
JFG56	Revisjon av koloanalt eller kolorektalt reservoar
JFG60	Konvertering av konvensjonell ileostomi til kontinent ileostomi
JFG70	Konvertering av kontinent ileostomi til konvensjonell ileostomi
JFG73	Eksisjon av ileoanalt eller ileorektalt reservoar
JFG76	Eksisjon av kolonreservoar med koloanal eller kolorektal anastomose
JFG80	Eksisjon av ileumreservoar med anleggelse av ny kontinent ileostomi
JFG83	Eksisjon av kolonreservoar med anleggelse av nytt reservoar
JFG86	Eksisjon av ileoanalt eller ileorektalt reservoar med anleggelse av nytt reservoar
JFG96	Annen operasjon på tarmstomi eller reservoar
JFH00	Total kolektomi og ileorektal anastomose
JFH01	Laparoskopisk total kolektomi og ileorektal anastomose
JFH10	Total kolektomi og ileostomi
JFH11	Laparoskopisk total kolektomi og ileostomi
JFH20	Proktokolektomi og ileostomi
JFH30	Proktokolektomi og ileoanal anastomose uten ileostomi
JFH33	Proktokolektomi og ileoanal anastomose med bøyleileostomi
JFH40	Proktokolektomi og kontinent ileostomi
JFH96	Annen total kolektomi
JFJ00	Cøkopeksi
JFJ01	Laparoskopisk cøkopeksi
JFJ96	Annen enteropeksi eller kolopeksi
JFJ97	Annen laparoskopisk enteropeksi eller kolopeksi
JFK00	Deling av adheransestreng ved tarmobstruksjon
JFK01	Laparoskopisk deling av adheransestreng ved tarmobstruksjon
JFK10	Adheranseløsning ved tarmobstruksjon
JFK11	Laparoskopisk adheranseløsning ved tarmobstruksjon
JFK20	Enterolyse og tynntarmsplikatur
JFK96	Annen adheranseoperasjon ved tarmobstruksjon
JFK97	Annen laparoskopisk adheranseoperasjon ved tarmobstruksjon
JFL00	Åpen desinvaginasjon av tarm
JFL10	Laparotomi og manipulasjon av obstruert tarm
JFL20	Laparotomi og manipulasjon av fastsittende tarminnhold
JFL96	Annen operasjon for tarmobstruksjon uten reseksjon eller adheranseløsning
JFM00	Peroperativ tarmskylling
JFW96	Annen tarmoperasjon
JFW97	Annen laparoskopisk tarmoperasjon
JFW98	Annet transluminalt endoskopisk tarminngrep
JGA00	Proktotomi
JGA02	Endoskopisk fjerning av fremmedlegeme fra rectum
JGA05	Endoskopisk polypektomi i rectum
JGA22	Endoskopisk injeksjon i rectum
JGA28	Endoskopisk kontaktkoagulasjon i rectum
JGA32	Endoskopisk laserterapi i rectum
JGA35	Annet endoskopisk hemostaseinngrep i rectum
JGA52	Annet endoskopisk inngrep med diatermi eller varme i rectum
JGA58	Endoskopisk innlegging av stent i rectum
JGA60	Sutur av rectum
JGA70	Proktotomi og lokal ekstirpasjon i rectum
JGA73	Transanal lokal ekstirpasjon i rectum
JGA75	Transanal endoskopisk mikrokirurgi
JGA96	Annen proktotomi eller lokalt inngrep på rectum
JGA97	Annen laparoskopisk proktotomi eller lokalt inngrep på rectum
JGA98	Annet transluminalt endoskopisk lokalt inngrep på rectum
JGB00	Rektumreseksjon og kolorektal eller koloanal anastomose
JGB01	Laparoskopisk rektumreseksjon og kolorektal eller koloanal anastomose
JGB10	Rektumreseksjon og endekolostomi
JGB11	Laparoskopisk rektumreseksjon og endekolostomi
JGB20	Partiell rektosigmoidektomi og abdominoperineal pull-through anastomose
JGB30	Abdominoperineal rektumamputasjon
JGB31	Laparoskopisk og perineal rektumamputasjon
JGB40	Proktektomi og endeileostomi
JGB50	Mukosal proktektomi og ileoanal anastomose
JGB60	Eksisjon av rectum og ileoanal anastomose
JGB96	Annen reseksjon eller amputasjon av rectum
JGB97	Annen laparoskopisk reseksjon eller amputasjon av rectum
JGC00	Rektopeksi
JGC01	Laparoskopisk rektopeksi
JGC10	Perineal rektopeksi
JGC20	Transanal sutur
JGC30	Eksisjon og sutur av rektal mukosa med imbrikasjon av muscularis
JGC40	Anorektal rekonstruksjon ved analatresi
JGC96	Annet rekonstruksjonsinngrep på rectum
JGC97	Annet laparoskopisk rekonstruksjonsinngrep på rectum
JGD00	Eksisjon av perinealt tumorresidiv
JGW96	Annen operasjon på rectum
JGW97	Annen laparoskopisk operasjon på rectum
JGW98	Annet transluminalt endoskopisk inngrep på rectum
JHA00	Anal eller perianal incisjon
JHA10	Biopsi i analkanalen
JHA20	Lokal ekstirpasjon i analkanalen eller perianalt vev
JHA30	Termisk behandling av lesjon i analkanalen eller perianalt
JHB00	Hemoroidektomi
JHB10	Termisk destruksjon av hemoroider eller slimhinneprolaps
JHB20	Skleroterapi av hemoroider
JHB30	Gummiringligatur av hemoroider eller slimhinneprolaps
JHB40	Sirkulær reseksjon og maskinsutur av analslimhinne
JHB96	Annet inngrep for hemoroider eller slimhinneprolaps
JHC00	Sutur av analsfinkter
JHC10	Rekonstruksjon av analsfinkter uten transplantat
JHC20	Rekonstruksjon av analsfinkter med muskeltransplantasjon
JHC30	Rekonstruksjon av analsfinkter med muskeltransposisjon
JHC40	Anal cerclage
JHC50	Anal operasjon for analatresi
JHD00	Analdilatasjon
JHD10	Myotomi av analsfinkter
JHD20	Incisjon av analfistel
JHD30	Inkomplett incisjon av analfistel
JHD33	Kompletterende incisjon av analfistel
JHD40	Reseksjon av interne analsfinkter
JHD96	Annen incisjon av analsfinkter
JHE10	Implantasjon av anal sfinkterprotese
JHE20	Revisjon av anal sfinkterprotese
JHE30	Fjerning av anal sfinkterprotese
JHE96	Annen operasjon på anal sfinkterprotese
JHW96	Annen operasjon på anus eller perianalt vev
JJA00	Eksplorasjon av lever
JJA10	Hepatotomi
JJA20	Åpen leverbiopsi
JJA21	Laparoskopisk leverbiopsi
JJA23	Åpen nålebiopsi av lever
JJA24	Laparoskopisk nålebiopsi av lever
JJA30	Fenestrasjon av levercyste
JJA31	Laparoskopisk fenestrasjon av levercyste
JJA40	Ekstirpasjon av lesjon i lever
JJA41	Laparoskopisk ekstirpasjon av lesjon i lever
JJA43	Destruksjon av lesjon i lever
JJA44	Laparoskopisk destruksjon av lesjon i lever
JJA50	Sutur av lever
JJA96	Annet lokalt inngrep på lever
JJA97	Annet laparoskopisk lokalt inngrep på lever
JJB00	Kilereseksjon av lever
JJB10	Atypisk leverreseksjon
JJB20	Eksisjon av ett leversegment
JJB30	Eksisjon av to leversegmenter
JJB40	Eksisjon av leversegmentene II, III og IV
JJB50	Eksisjon av leversegmentene V, VI, VII og VIII
JJB53	Eksisjon av leversegmentene IV,V, VI, VII og VIII
JJB60	Annen reseksjon av tre eller flere leversegmenter
JJB71	Laparoskopisk leverreseksjon
JJB96	Annen leverreseksjon
JJC00	Allogen levertransplantasjon
JJC10	Allogen partiell levertransplantasjon
JJC20	Allogen partiell levertransplantasjon fra levende donor
JJC30	Xenogen levertransplantasjon
JJC40	Xenogen partiell levertransplantasjon
JJC50	Reseksjon av levertransplantat
JJC60	Eksisjon av transplantert lever
JJC96	Annen levertransplantasjon eller tilhørende operasjon
JJW96	Annen operasjon på lever
JJW97	Annen laparoskopisk operasjon på lever
JKA00	Kolecystotomi
JKA10	Kolecystostomi
JKA11	Laparoskopisk kolecystostomi
JKA13	Perkutan kolecystostomi
JKA20	Kolecystektomi
JKA21	Laparoskopisk kolecystektomi
JKA96	Annen operasjon på galleblære
JKA97	Annen laparoskopisk operasjon på galleblære
JKB00	Incisjon av gallegang
JKB01	Laparoskopisk incisjon av gallegang
JKB11	Laparoskopisk steinekstraksjon fra gallegang gjennom ductus cysticus
JKB20	Peroperativ kolangioskopi
JKB21	Laparoskopisk kolangioskopi
JKB30	Perkutan transhepatisk galledrenasje
JKB40	Sutur av gallegang
JKB96	Annen incisjon eller tilhørende operasjon på gallegang
JKB97	Annen laparoskopisk incisjon eller tilhørende operasjon på gallegang
JKC00	Incisjon av gallegang med ekstirpasjon av lesjon
JKC01	Laparoskopisk incisjon av gallegang med ekstirpasjon av lesjon
JKC10	Gallegangsreseksjon med anastomose til gallegang
JKC20	Gallegangsreseksjon med anastomose til duodenum
JKC30	Gallegangsreseksjon med anastomose til jejunum
JKC40	Reseksjon av høyre eller venstre levergang med anastomose til jejunum
JKC50	Eksisjon av papilla Vateri med biliointestinal anastomose
JKC96	Annen eksisjon av gallegang
JKC97	Annen laparoskopisk eksisjon av gallegang
JKD00	Anastomose av galleblære til jejunum
JKD01	Laparoskopisk anastomose av galleblære til jejunum
JKD10	Anastomose av gallegang til duodenum
JKD20	Anastomose av gallegang til jejunum
JKD30	Ekstrahepatisk anastomose av høyre eller venstre levergang til jejunum
JKD40	Anastomose av intrahepatisk gallegang til jejunum
JKD50	Hepatoportoenterostomi
JKD96	Annen biliodigestiv anastomose
JKE00	Transduodenal papillotomi
JKE02	Transduodenal endoskopisk incisjon av gallegangsostium
JKE06	Transduodenal sfinkterplastikk
JKE12	Endoskopisk ekstraksjon av stein fra gallegang
JKE15	Endoskopisk litotripsi i gallegang
JKE18	Endoskopisk innlegging av stent i gallegang
JKE22	Endoskopisk fjerning av fremmedlegeme fra gallegang
JKE25	Endoskopisk ekstern drenasje av gallegang
JKE32	Endoskopisk dilatasjon av gallegang
JKE96	Annen transduodenal operasjon på gallegang eller papilla Vateri
JKE98	Annet transluminalt endoskopisk inngrep på gallegang eller papilla Vateri
JKF00	Eksisjon av ductus cysticus
JKF10	Perkutan ekstraksjon av gallestein
JKF96	Annen sekundær operasjon på galleveier
JKF97	Annen laparoskopisk sekundær operasjon på galleveier
JKT00	Ekstrakorporal sjokkbølgelitotripsi i galleblære
JKT10	Ekstrakorporal sjokkbølgelitotripsi i gallegang
JKW96	Annen operasjon på galleveier
JKW97	Annen laparoskopisk operasjon på galleveier
JKW98	Annet transluminalt endoskopisk inngrep på galleveier
JLA00	Eksplorasjon av pancreas
JLA10	Biopsi av pancreas
JLA20	Åpen nålebiopsi av pancreas
JLA21	Laparoskopisk nålebiopsi av pancreas
JLB00	Incisjon av pancreas
JLB10	Pankreatikolitotomi
JLB12	Transduodenal endoskopisk incisjon av pankreasostium
JLB22	Transduodenal endoskopisk steinekstraksjon fra pankreasgang
JLB25	Transduodenal endoskopisk litotripsi i pankreasgang
JLB28	Endoskopisk innlegging av stent i pancrasgang
JLB35	Transduodenal endoskopisk fjerning av fremmedlegeme fra pankreasgang
JLB38	Endoskopisk ekstern drenasje av pankreasgang
JLB42	Transduodenal endoskopisk dilatasjon av pankreasgang
JLB96	Annen incisjon, drenasje eller dilatasjon av pancreas
JLB98	Annen transduodenal endoskopisk incisjon, drenasje eller dilatasjon av pancreas
JLC00	Lokal ekstirpasjon i pancreas
JLC10	Distal pankreasreseksjon
JLC20	Total pankreatektomi
JLC30	Pankreatoduodenektomi
JLC40	Total pankreatoduodenektomi
JLC50	Atypisk pankreasreseksjon
JLC96	Annet reseksjonsinngrep på pancreas
JLD00	Pankreatikojejunostomi
JLD10	Anastomose av pancreas pseudocyste til ventrikkel
JLD12	Endoskopisk drenasje av pancreas pseudocyste
JLD20	Anastomose av pancreas pseudocyste til jejunum
JLD22	Endoskopisk drenasje av pancreas pseudocyste til jejunum
JLE00	Allogen total pankreastransplantasjon med pankreatikocystostomi
JLE03	Allogen total pankreastransplantasjon med pankreatikoenterostomi
JLE10	Allogen segmental pankreastransplantasjon
JLE16	Allogen segmental pankreastransplantasjon fra levende donor
JLE20	Allogen øycelletransplantasjon
JLE30	Xenogen øycelletransplantasjon
JLE40	Eksisjon av transplantert pancreas
JLE50	Okklusjon av transplantert pankreasgang
JLE56	Konvertering av pankreatikocystostomi til pankreatikoenterostomi
JLE96	Annen pankreastransplantasjon eller tilhørende operasjon
JLT00	Ekstrakorporal sjokkbølgelitotripsi i pankreasgang
JLW96	Annen operasjon på pancreas
JLW97	Annen laparoskopisk operasjon på pancreas
JLW98	Annet transluminalt endoskopisk inngrep på pancreas
JMA00	Miltreseksjon
JMA10	Transabdominal splenektomi
JMA11	Laparoskopisk splenektomi
JMA20	Transtorakal splenektomi
JMB00	Biopsi av milt
JMB01	Laparoskopisk biopsi av milt
JMB10	Rekonstruksjon av milt
JMW96	Annen operasjon på milt
JMW97	Annen laparoskopisk operasjon på milt
JWA00	Reoperasjon for sårruptur ved gastroenterologisk kirurgi
JWB00	Reoperasjon for overfladisk infeksjon ved gastroenterologisk kirurgi
JWC00	Reoperasjon for dyp infeksjon ved gastroenterologisk kirurgi
JWC01	Perkutan endoskopisk reoperasjon for dyp infeksjon ved gastroenterologisk kirurgi
JWD00	Reoperasjon for overfladisk blødning ved gastroenterologisk kirurgi
JWE00	Reoperasjon for dyp blødning ved gastroenterologisk kirurgi
JWE01	Perkutan endoskopisk reoperasjon for dyp blødning ved gastroenterologisk kirurgi
JWE02	Transluminal endoskopisk reoperasjon for dyp blødning ved gastroenterologisk kirurgi
JWF00	Reoperasjon for insuffisiens av anastomose eller sutur ved gastroenterologisk kirurgi
JWF01	Perkutan endoskopisk reoperasjon for insuffisiens av anastomose eller sutur ved gastroenterologisk kirurgi
JWW96	Annen reoperasjon ved gastroenterologisk kirurgi
JWW97	Annen perkutan endoskopisk reoperasjon ved gastroenterologisk kirurgi
JWW98	Annen transluminal endoskopisk reoperasjon ved gastroenterologisk kirurgi
KAA00	Eksplorasjon av nyre
KAA01	Perkutan endoskopisk eksplorasjon av nyre
KAA20	Eksplorativ nefrotomi
KAA21	Perkutan endoskopisk eksplorativ nefrotomi
KAA30	Eksplorativ pyelotomi
KAA31	Perkutan nefroskopi
KAA96	Annen eksplorasjon av nyre eller nyrebekken
KAA97	Annen perkutan endoskopi av nyre eller nyrebekken
KAB00	Biopsi av nyre eller nyrebekken
KAB01	Perkutan endoskopisk biopsi av nyre eller nyrebekken
KAC00	Nefrektomi
KAC01	Perkutan endoskopisk nefrektomi
KAC20	Nefroureterektomi
KAC21	Perkutan endoskopisk nefroureterektomi
KAD00	Nyrereseksjon
KAD01	Perkutan endoskopisk nyrereseksjon
KAD10	Heminefrektomi
KAD11	Perkutan endoskopisk heminefrektomi
KAD40	Reseksjon av nyrebekken
KAD41	Perkutan endoskopisk reseksjon av nyrebekken
KAD50	Destruksjon av nyrebekkentumor
KAD51	Perkutan endoskopisk destruksjon av nyrebekkentumor
KAD52	Retrograd ureteronefroskopisk destruksjon av nyrebekkentumor
KAD96	Annen reseksjon av nyre eller nyrebekken
KAD97	Annen perkutan endoskopisk reseksjon eller destruksjon av nyre eller nyrebekken
KAD98	Annen transluminal endoskopisk reseksjon av nyrebekken
KAE00	Nefrolitotomi
KAE01	Nefroskopisk nefrolitotomi
KAE10	Pyelolitotomi
KAE11	Nefroskopisk pyelolitotomi
KAE12	Retrograd ureterorenoskopisk pyelolitotripsi
KAE96	Annen fjerning av stein fra nyre eller nyrebekken
KAE97	Annen perkutan endoskopisk fjerning av stein fra nyre eller nyrebekken
KAE98	Annen transluminal endoskopisk fjerning av stein fra nyre eller nyrebekken
KAF00	Fjerning av fremmedlegeme fra nyre
KAF01	Perkutan endoskopisk fjerning av fremmedlegeme fra nyre
KAF10	Fjerning av fremmedlegeme fra nyrebekken
KAF11	Perkutan endoskopisk fjerning av fremmedlegeme fra nyrebekken
KAF12	Transluminal endoskopisk fjerning av fremmedlegeme fra nyrebekken
KAH00	Sutur av nyre
KAH01	Perkutan endoskopisk sutur av nyre
KAH10	Sutur av nyrebekken
KAH11	Perkutan endoskopisk sutur av nyrebekken
KAH30	Nyrebekken-ureterplastikk uten deling av nyrebekken-ureterovergang
KAH31	Perkutan endoskopisk nyrebekken-ureterplastikk uten deling av nyrebekken-ureterovergang
KAH40	Nyrebekken-ureterplastikk med deling av nyrebekken-ureterovergang
KAH41	Perkutan endoskopisk nyrebekken-ureterplastikk med deling av nyrebekken-ureterovergang
KAH50	Ureterocalycostomi
KAH51	Perkutan endoskopisk ureterocalycostomi
KAH54	Perkutan endoskopisk incisjon eller dilatasjon av calyxhals
KAH55	Retrograd ureterorenoskopisk incisjon eller dilatasjon av calyxhals
KAH61	Perkutan endoskopisk incisjon av nyrebekken-ureterovergang
KAH62	Endopyelotomi
KAH70	Adheranseløsning i nyrebekken-ureterovergang
KAH71	Perkutan endoskopisk adheranseløsning i nyrebekken-ureterovergang
KAH80	Nefropeksi
KAH81	Perkutan endoskopisk nefropeksi
KAH96	Annen rekonstruksjon av nyre eller nyrebekken
KAH97	Annen perkutan endoskopisk rekonstruksjon av nyre eller nyrebekken
KAH98	Annen transluminal endoskopisk rekonstruksjon av nyre eller nyrebekken
KAJ00	Nefrostomi
KAJ01	Perkutan endoskopisk nefrostomi
KAJ02	Retrograd ureteronefroskopisk nefrostomi
KAJ10	Pyelostomi
KAJ11	Perkutan endoskopisk pyelostomi
KAJ96	Annen ekstern drenasje av nyrebekken
KAJ97	Annen perkutan endoskopisk ekstern drenasje av nyrebekken
KAJ98	Annen transluminal endoskopisk ekstern drenasje av nyrebekken
KAS00	Autotransplantasjon av nyre
KAS10	Transplantasjon av nyre fra kadaverdonor
KAS20	Allogen transplantasjon av nyre fra levende donor
KAS40	Eksisjon av transplantert nyre
KAS41	Perkutan endoskopisk eksisjon av transplantert nyre
KAS50	Nefrocystostomi på transplantert nyre
KAS60	Operasjon for lymfocele i transplantert nyre
KAS61	Perkutan endoskopisk operasjon for lymfocele i transplantert nyre
KAS96	Annet inngrep ved nyretransplantasjon
KAS97	Annet perkutant endoskopisk inngrep ved nyretransplantasjon
KAT00	Ekstrakorporal sjokkbølgelitotripsi i nyrebekken
KAW96	Annen operasjon på nyre eller nyrebekken
KAW97	Annen perkutan endoskopisk operasjon på nyre eller nyrebekken
KAW98	Annen transluminal endoskopisk operasjon på nyre eller nyrebekken
KBA00	Eksplorasjon av ureter
KBA01	Perkutan nefroureteroskopi
KBA10	Eksplorativ ureterotomi
KBA11	Perkutan endoskopisk eksplorativ ureterotomi
KBA96	Annen eksplorasjon av ureter
KBA97	Annen perkutan endoskopi eller endoskopisk incisjon av ureter
KBB00	Biopsi av ureter
KBB01	Perkutan endoskopisk biopsi av ureter
KBC00	Ureterektomi
KBC01	Perkutan endoskopisk ureterektomi
KBD00	Reseksjon av ureter
KBD01	Perkutan endoskopisk reseksjon av ureter
KBD20	Destruksjon av tumor i ureter
KBD21	Perkutan endoskopisk destruksjon av tumor i ureter
KBD22	Retrograd ureteroskopisk destruksjon av tumor i ureter
KBD30	Eksisjon av ureterstump
KBD31	Perkutan endoskopisk eksisjon av ureterstump
KBD96	Annen reseksjon av ureter eller destruksjon av tumor i ureter
KBD97	Annen perkutan endoskopisk reseksjon av ureter eller destruksjon av tumor i ureter
KBE00	Ureterolitotomi
KBE01	Perkutan endoskopisk ureterolitotomi
KBE12	Transluminal endoskopisk ekstraksjon av ureterstein
KBE22	Transluminal endoskopisk dislokasjon av innkilt ureterstein
KBE96	Annen operasjon for ureterstein
KBE97	Annen perkutan endoskopisk operasjon for ureterstein
KBE98	Annen transluminal endoskopisk operasjon for ureterstein
KBF00	Fjerning av fremmedlegeme fra ureter
KBF01	Perkutan endoskopisk fjerning av fremmedlegeme fra ureter
KBF02	Transluminal endoskopisk fjerning av fremmedlegeme fra ureter
KBH00	Sutur av ureter
KBH01	Perkutan endoskopisk sutur av ureter
KBH06	Ureteroureterostomi
KBH10	Kontralateral ureteroureterostomi
KBH20	Reimplantasjon av ureter
KBH21	Perkutan endoskopisk reimplantasjon av ureter
KBH30	Rekonstruksjon av ureter med interposisjon av ileum
KBH40	Plastisk rekonstruksjon av ureter
KBH45	Endoureterotomi
KBH50	Ureterolyse
KBH51	Perkutan endoskopisk ureterolyse
KBH62	Transluminal endoskopisk dilatasjon av ureter
KBH96	Annen rekonstruksjon eller anastomose av ureter
KBH97	Annen perkutan endoskopisk rekonstruksjon eller anastomose av ureter
KBH98	Annen transluminal endoskopisk rekonstruksjon av ureter
KBJ00	Kutan ureterostomi
KBJ01	Perkutan endoskopisk kutan ureterostomi
KBJ10	Kutan ureteroenterostomi
KBJ20	Kontinent kutan ureteroenterostomi
KBJ40	Ureteroenterostomi
KBJ60	Anastomose av ureter til urethra med interposisjon av tynntarm
KBJ70	Fjerning av stein fra kutan ureterostomi eller reservoar
KBJ72	Transluminal endoskopisk steinekstraksjon fra kutan ureterostomi eller reservoar
KBJ80	Operasjon for funksjonssvikt av kutan ureterostomi eller reservoar
KBJ96	Annet urinavledende eller tilhørende inngrep på ureter
KBJ97	Annet perkutan endoskopisk urinavledende eller tilhørende inngrep på ureter
KBJ98	Annet transluminalt endoskopisk inngrep på kutan ureterostomi eller reservoar
KBT00	Ekstrakorporal sjokkbølgelitotripsi i ureter
KBV00	Innlegging av ureterstent
KBV01	Nefroskopisk innlegging av ureterstent
KBV02	Transurethral innnleggelse av ureterstent
KBV10	Fjerning av ureterstent
KBV11	Nefroskopisk fjerning av ureterstent
KBV12	Transurethral fjerning av ureterstent
KBV22	Transurethral dilatasjon av ureterostium
KBV32	Transurethral incisjon av ureterostium
KBV40	Incisjon eller eksisjon av ureterocele
KBV42	Transurethral incisjon eller eksisjon av ureterocele
KBV52	Transurethral injeksjonsbehandling for vesikoureteral refluks
KBW96	Annen operasjon på ureter
KBW97	Annen perkutan endoskopisk operasjon på ureter
KBW98	Annen transluminal endoskopisk operasjon på ureter
KCA00	Cystotomi
KCA01	Perkutan endoskopisk cystotomi
KCB00	Biopsi av urinblære
KCB01	Perkutan endoskopisk biopsi av urinblære
KCC00	Cystektomi
KCC10	Cystoprostatektomi
KCC20	Cystoprostatourethrektomi
KCC30	Cystektomi med eksisjon av kvinnelige genitalia interna
KCC96	Annen cystektomi
KCD02	Transurethral reseksjon av blæretumor
KCD10	Blærereseksjon
KCD11	Perkutan endoskopisk blærereseksjon
KCD20	Eksisjon av blæredivertikkel
KCD21	Perkutan endoskopisk eksisjon av blæredivertikkel
KCD30	Destruksjon av blæretumor
KCD32	Transurethral destruksjon av blæretumor
KCD40	Eksisjon av urachus
KCD96	Annen blærereseksjon eller destruksjon av blæretumor
KCD97	Annen perkutan endoskopisk blærereseksjon eller destruksjon av blæretumor
KCD98	Annen transurethral reseksjon eller destruksjon av blæretumor
KCE00	Cystolitotomi
KCE01	Perkutan endoskopisk ekstraksjon av blærestein
KCE02	Transurethral ekstraksjon av blærestein
KCF00	Cystotomi med fjerning av fremmedlegeme fra urinblære
KCF01	Perkutan endoskopisk fjerning av fremmedlegeme fra urinblære
KCF02	Transurethral fjerning av fremmedlegeme fra urinblære
KCH00	Sutur av urinblære
KCH01	Perkutan endoskopisk sutur av urinblære
KCH02	Transurethral blæresutur
KCH10	Enterocystoplastikk
KCH11	Perkutan endoskopisk enterocystoplastikk
KCH20	Reduksjonscystoplastikk
KCH21	Perkutan endoskopisk reduksjonscystoplastikk
KCH30	Lukking av vesikointestinal fistel
KCH40	Incisjon eller reseksjon av blærehals
KCH42	Transurethral incisjon eller reseksjon av blærehals
KCH96	Annen blærerekonstruksjon
KCH97	Annen perkutan endoskopisk blærerekonstruksjon
KCH98	Annen transluminal endoskopisk blærerekonstruksjon
KCJ00	Cystostomi
KCJ10	Kutan cystoenterostomi
KCJ20	Kontinent kutan cystoenterostomi
KCJ96	Annen cystostomi
KCT00	Ekstrakorporal sjokkbølgelitotripsi i urinblære
KCV02	Transurethral blæredilatasjon
KCV10	Denervering av urinblære
KCV11	Perkutan endoskopisk denervering av urinblære
KCV20	Mobilisering av urinblære
KCV21	Perkutan endoskopisk mobilisering av urinblære
KCV32	Transurethral evakuering av koagler fra blære
KCW96	Annen operasjon på urinblære
KCW97	Annen perkutan endoskopisk operasjon på urinblære
KCW98	Annen transluminal endoskopisk operasjon på urinblære
KDC00	Urethrektomi
KDD00	Reseksjon av urethra
KDD10	Eksisjon av divertikkel i urethra
KDD30	Destruksjon av tumor i urethra
KDD32	Transurethral destruksjon av tumor i urethra
KDD40	Reseksjon av eksterne urethrasfinkter
KDD42	Transurethral reseksjon av eksterne urethrasfinkter
KDD50	Eksisjon av urethraklaff
KDD52	Transurethral eksisjon av urethraklaff
KDD80	Reseksjon og plastisk rekonstruksjon av urethra
KDD96	Annen reseksjon av urethra
KDD98	Annen transurethral eksisjon i urethra
KDE00	Urethrolitotomi
KDE12	Transurethral steinekstraksjon fra urethra
KDE20	Fjerning av fremmedlegeme fra urethra
KDE22	Transurethral fjerning av fremmedlegeme fra urethra
KDE96	Annen fjerning av stein eller fremmedlegeme fra urethra
KDE98	Annen transluminal endoskopisk fjerning av stein eller fremmedlegeme fra urethra
KDG00	Retropubisk kolposuspensjon av urethra
KDG01	Perkutan endoskopisk retropubisk kolposuspensjon av urethra
KDG10	Abdominovaginal suspensjon av blærehals
KDG20	Abdominal kolposuspensjon
KDG21	Perkutan endoskopisk kolposuspensjon
KDG30	Suprapubisk urethrocystopeksi med slynge
KDG31	Perkutan endoskopisk suprapubisk urethrocystopeksi med slynge
KDG40	Suprapubisk urethrocystopeksi
KDG41	Perkutan endoskopisk suprapubisk urethrocystopeksi
KDG50	Transabdominal bekkenbunnplastikk for urininkontinens
KDG96	Annen operasjon på urethra eller blærehals hos kvinne for inkontinens
KDG97	Annen perkutan endoskopisk operasjon på urethra eller blærehals hos kvinne for inkontinens
KDH00	Sutur av urethra
KDH10	Urethral meatoplastikk
KDH30	Lukking av urethrokutan fistel
KDH50	Lukking av urethrointestinal fistel
KDH62	Transurethral rekanalisering av urethra
KDH70	Urethraplastikk for striktur
KDH96	Annet rekonstruksjonsinngrep på urethra
KDH98	Annet transluminalt endoskopisk rekonstruksjonsinngrep på urethra
KDJ00	Urethrostomi
KDK00	Implantasjon av sfinkterprotese rundt blærehals
KDK10	Implantasjon av sfinkterprotese rundt bulbære urethra
KDK30	Revisjon av urethral sfinkterprotese
KDK40	Fjerning av urethral sfinkterprotese
KDV00	Innlegging av stent i urethra
KDV12	Transurethral intern urethrotomi
KDV15	Transurethral intern sfinkterotomi
KDV20	Periurethral injeksjon
KDV22	Transurethral submukøs injeksjon i urethra
KDW96	Annen operasjon på urethra
KDW98	Annet transluminalt endoskopisk inngrep på urethra
KEA00	Eksplorasjon av prostata
KEA10	Prostatotomi
KEA20	Incisjon av sædblære
KEB00	Åpen biopsi av prostata
KEC00	Retropubisk radikal prostatektomi
KEC01	Perkutan endoskopisk radikal prostatektomi
KEC10	Perineal radikal prostatektomi
KEC20	Transsakral radikal prostatektomi
